DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_RPICJUEXD12,1995-01-01T00:00:00-02:00,49.013
1995-02-01,1995,1,2,BPAG12_RPICJUEXD12,1995-02-01T00:00:00-02:00,28.713
1995-03-01,1995,1,3,BPAG12_RPICJUEXD12,1995-03-01T00:00:00-03:00,93.982
1995-04-01,1995,1,4,BPAG12_RPICJUEXD12,1995-04-01T00:00:00-03:00,1312.173
1995-05-01,1995,1,5,BPAG12_RPICJUEXD12,1995-05-01T00:00:00-03:00,101.849
1995-06-01,1995,1,6,BPAG12_RPICJUEXD12,1995-06-01T00:00:00-03:00,406.215
1995-07-01,1995,1,7,BPAG12_RPICJUEXD12,1995-07-01T00:00:00-03:00,77.848
1995-08-01,1995,1,8,BPAG12_RPICJUEXD12,1995-08-01T00:00:00-03:00,42.594
1995-09-01,1995,1,9,BPAG12_RPICJUEXD12,1995-09-01T00:00:00-03:00,100.243
1995-10-01,1995,1,10,BPAG12_RPICJUEXD12,1995-10-01T00:00:00-03:00,1397.081
1995-11-01,1995,1,11,BPAG12_RPICJUEXD12,1995-11-01T00:00:00-03:00,91.333
1995-12-01,1995,1,12,BPAG12_RPICJUEXD12,1995-12-01T00:00:00-02:00,385.608
1996-01-01,1996,1,1,BPAG12_RPICJUEXD12,1996-01-01T00:00:00-02:00,163.684
1996-02-01,1996,1,2,BPAG12_RPICJUEXD12,1996-02-01T00:00:00-02:00,53.298
1996-03-01,1996,1,3,BPAG12_RPICJUEXD12,1996-03-01T00:00:00-03:00,81.987
1996-04-01,1996,1,4,BPAG12_RPICJUEXD12,1996-04-01T00:00:00-03:00,1362.807
1996-05-01,1996,1,5,BPAG12_RPICJUEXD12,1996-05-01T00:00:00-03:00,117.909
1996-06-01,1996,1,6,BPAG12_RPICJUEXD12,1996-06-01T00:00:00-03:00,434.662
1996-07-01,1996,1,7,BPAG12_RPICJUEXD12,1996-07-01T00:00:00-03:00,153.741
1996-08-01,1996,1,8,BPAG12_RPICJUEXD12,1996-08-01T00:00:00-03:00,98.571
1996-09-01,1996,1,9,BPAG12_RPICJUEXD12,1996-09-01T00:00:00-03:00,108.93
1996-10-01,1996,1,10,BPAG12_RPICJUEXD12,1996-10-01T00:00:00-03:00,1373.494
1996-11-01,1996,1,11,BPAG12_RPICJUEXD12,1996-11-01T00:00:00-03:00,132.146
1996-12-01,1996,1,12,BPAG12_RPICJUEXD12,1996-12-01T00:00:00-02:00,449.845
1997-01-01,1997,1,1,BPAG12_RPICJUEXD12,1997-01-01T00:00:00-02:00,128.068
1997-02-01,1997,1,2,BPAG12_RPICJUEXD12,1997-02-01T00:00:00-02:00,103.347
1997-03-01,1997,1,3,BPAG12_RPICJUEXD12,1997-03-01T00:00:00-03:00,110.07
1997-04-01,1997,1,4,BPAG12_RPICJUEXD12,1997-04-01T00:00:00-03:00,1428.889
1997-05-01,1997,1,5,BPAG12_RPICJUEXD12,1997-05-01T00:00:00-03:00,194.492
1997-06-01,1997,1,6,BPAG12_RPICJUEXD12,1997-06-01T00:00:00-03:00,579.812
1997-07-01,1997,1,7,BPAG12_RPICJUEXD12,1997-07-01T00:00:00-03:00,331.13
1997-08-01,1997,1,8,BPAG12_RPICJUEXD12,1997-08-01T00:00:00-03:00,196.413
1997-09-01,1997,1,9,BPAG12_RPICJUEXD12,1997-09-01T00:00:00-03:00,128.018
1997-10-01,1997,1,10,BPAG12_RPICJUEXD12,1997-10-01T00:00:00-03:00,1533.945
1997-11-01,1997,1,11,BPAG12_RPICJUEXD12,1997-11-01T00:00:00-03:00,437.988
1997-12-01,1997,1,12,BPAG12_RPICJUEXD12,1997-12-01T00:00:00-02:00,585.9
1998-01-01,1998,1,1,BPAG12_RPICJUEXD12,1998-01-01T00:00:00-02:00,192.549
1998-02-01,1998,1,2,BPAG12_RPICJUEXD12,1998-02-01T00:00:00-02:00,227.613
1998-03-01,1998,1,3,BPAG12_RPICJUEXD12,1998-03-01T00:00:00-03:00,172.608
1998-04-01,1998,1,4,BPAG12_RPICJUEXD12,1998-04-01T00:00:00-03:00,1320.528
1998-05-01,1998,1,5,BPAG12_RPICJUEXD12,1998-05-01T00:00:00-03:00,496.535
1998-06-01,1998,1,6,BPAG12_RPICJUEXD12,1998-06-01T00:00:00-03:00,578.828
1998-07-01,1998,1,7,BPAG12_RPICJUEXD12,1998-07-01T00:00:00-03:00,334.491
1998-08-01,1998,1,8,BPAG12_RPICJUEXD12,1998-08-01T00:00:00-03:00,207.352
1998-09-01,1998,1,9,BPAG12_RPICJUEXD12,1998-09-01T00:00:00-03:00,351.18
1998-10-01,1998,1,10,BPAG12_RPICJUEXD12,1998-10-01T00:00:00-03:00,1489.628
1998-11-01,1998,1,11,BPAG12_RPICJUEXD12,1998-11-01T00:00:00-03:00,438.515
1998-12-01,1998,1,12,BPAG12_RPICJUEXD12,1998-12-01T00:00:00-02:00,567.252
1999-01-01,1999,1,1,BPAG12_RPICJUEXD12,1999-01-01T00:00:00-02:00,283.563
