DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_RPICLD12,1995-01-01T00:00:00-02:00,-73.741
1995-02-01,1995,1,2,BPAG12_RPICLD12,1995-02-01T00:00:00-02:00,-91.191
1995-03-01,1995,1,3,BPAG12_RPICLD12,1995-03-01T00:00:00-03:00,-127.653
1995-04-01,1995,1,4,BPAG12_RPICLD12,1995-04-01T00:00:00-03:00,-75.996
1995-05-01,1995,1,5,BPAG12_RPICLD12,1995-05-01T00:00:00-03:00,-73.184
1995-06-01,1995,1,6,BPAG12_RPICLD12,1995-06-01T00:00:00-03:00,-113.901
1995-07-01,1995,1,7,BPAG12_RPICLD12,1995-07-01T00:00:00-03:00,-35.103
1995-08-01,1995,1,8,BPAG12_RPICLD12,1995-08-01T00:00:00-03:00,-53.527
1995-09-01,1995,1,9,BPAG12_RPICLD12,1995-09-01T00:00:00-03:00,-34.543
1995-10-01,1995,1,10,BPAG12_RPICLD12,1995-10-01T00:00:00-03:00,-19.484
1995-11-01,1995,1,11,BPAG12_RPICLD12,1995-11-01T00:00:00-03:00,-2.402
1995-12-01,1995,1,12,BPAG12_RPICLD12,1995-12-01T00:00:00-02:00,-49.122
1996-01-01,1996,1,1,BPAG12_RPICLD12,1996-01-01T00:00:00-02:00,-40.196
1996-02-01,1996,1,2,BPAG12_RPICLD12,1996-02-01T00:00:00-02:00,-47.37
1996-03-01,1996,1,3,BPAG12_RPICLD12,1996-03-01T00:00:00-03:00,-140.641
1996-04-01,1996,1,4,BPAG12_RPICLD12,1996-04-01T00:00:00-03:00,-62.238
1996-05-01,1996,1,5,BPAG12_RPICLD12,1996-05-01T00:00:00-03:00,-55.747
1996-06-01,1996,1,6,BPAG12_RPICLD12,1996-06-01T00:00:00-03:00,-88.52
1996-07-01,1996,1,7,BPAG12_RPICLD12,1996-07-01T00:00:00-03:00,-214.031
1996-08-01,1996,1,8,BPAG12_RPICLD12,1996-08-01T00:00:00-03:00,-98.4
1996-09-01,1996,1,9,BPAG12_RPICLD12,1996-09-01T00:00:00-03:00,-81.967
1996-10-01,1996,1,10,BPAG12_RPICLD12,1996-10-01T00:00:00-03:00,-65.018
1996-11-01,1996,1,11,BPAG12_RPICLD12,1996-11-01T00:00:00-03:00,-50.083
1996-12-01,1996,1,12,BPAG12_RPICLD12,1996-12-01T00:00:00-02:00,-59.498
1997-01-01,1997,1,1,BPAG12_RPICLD12,1997-01-01T00:00:00-02:00,-81.75
1997-02-01,1997,1,2,BPAG12_RPICLD12,1997-02-01T00:00:00-02:00,-54.148
1997-03-01,1997,1,3,BPAG12_RPICLD12,1997-03-01T00:00:00-03:00,-45.655
1997-04-01,1997,1,4,BPAG12_RPICLD12,1997-04-01T00:00:00-03:00,-119.352
1997-05-01,1997,1,5,BPAG12_RPICLD12,1997-05-01T00:00:00-03:00,-100.204
1997-06-01,1997,1,6,BPAG12_RPICLD12,1997-06-01T00:00:00-03:00,-248.415
1997-07-01,1997,1,7,BPAG12_RPICLD12,1997-07-01T00:00:00-03:00,-371.756
1997-08-01,1997,1,8,BPAG12_RPICLD12,1997-08-01T00:00:00-03:00,-75.948
1997-09-01,1997,1,9,BPAG12_RPICLD12,1997-09-01T00:00:00-03:00,-108.753
1997-10-01,1997,1,10,BPAG12_RPICLD12,1997-10-01T00:00:00-03:00,-76.497
1997-11-01,1997,1,11,BPAG12_RPICLD12,1997-11-01T00:00:00-03:00,-56.107
1997-12-01,1997,1,12,BPAG12_RPICLD12,1997-12-01T00:00:00-02:00,-108.888
1998-01-01,1998,1,1,BPAG12_RPICLD12,1998-01-01T00:00:00-02:00,-82.631
1998-02-01,1998,1,2,BPAG12_RPICLD12,1998-02-01T00:00:00-02:00,-143.451
1998-03-01,1998,1,3,BPAG12_RPICLD12,1998-03-01T00:00:00-03:00,-128.977
1998-04-01,1998,1,4,BPAG12_RPICLD12,1998-04-01T00:00:00-03:00,-184.509
1998-05-01,1998,1,5,BPAG12_RPICLD12,1998-05-01T00:00:00-03:00,-262.591
1998-06-01,1998,1,6,BPAG12_RPICLD12,1998-06-01T00:00:00-03:00,-390.681
1998-07-01,1998,1,7,BPAG12_RPICLD12,1998-07-01T00:00:00-03:00,-65.708
1998-08-01,1998,1,8,BPAG12_RPICLD12,1998-08-01T00:00:00-03:00,-159.376
1998-09-01,1998,1,9,BPAG12_RPICLD12,1998-09-01T00:00:00-03:00,-306.993
1998-10-01,1998,1,10,BPAG12_RPICLD12,1998-10-01T00:00:00-03:00,-105.564
1998-11-01,1998,1,11,BPAG12_RPICLD12,1998-11-01T00:00:00-03:00,-105.587
1998-12-01,1998,1,12,BPAG12_RPICLD12,1998-12-01T00:00:00-02:00,-122.841
1999-01-01,1999,1,1,BPAG12_RPICLD12,1999-01-01T00:00:00-02:00,-151.627
1999-02-01,1999,1,2,BPAG12_RPICLD12,1999-02-01T00:00:00-02:00,-45.295
1999-03-01,1999,1,3,BPAG12_RPICLD12,1999-03-01T00:00:00-03:00,-63.706
1999-04-01,1999,1,4,BPAG12_RPICLD12,1999-04-01T00:00:00-03:00,-115.501
1999-05-01,1999,1,5,BPAG12_RPICLD12,1999-05-01T00:00:00-03:00,-53.745
1999-06-01,1999,1,6,BPAG12_RPICLD12,1999-06-01T00:00:00-03:00,-90.709
1999-07-01,1999,1,7,BPAG12_RPICLD12,1999-07-01T00:00:00-03:00,-216.76
1999-08-01,1999,1,8,BPAG12_RPICLD12,1999-08-01T00:00:00-03:00,-270.285
1999-09-01,1999,1,9,BPAG12_RPICLD12,1999-09-01T00:00:00-03:00,-33.93
1999-10-01,1999,1,10,BPAG12_RPICLD12,1999-10-01T00:00:00-03:00,-71.513
1999-11-01,1999,1,11,BPAG12_RPICLD12,1999-11-01T00:00:00-03:00,-22.828
1999-12-01,1999,1,12,BPAG12_RPICLD12,1999-12-01T00:00:00-02:00,-146.839
2000-01-01,2000,1,1,BPAG12_RPICLD12,2000-01-01T00:00:00-02:00,-30.452
2000-02-01,2000,1,2,BPAG12_RPICLD12,2000-02-01T00:00:00-02:00,-90.451
2000-03-01,2000,1,3,BPAG12_RPICLD12,2000-03-01T00:00:00-03:00,-164.108
2000-04-01,2000,1,4,BPAG12_RPICLD12,2000-04-01T00:00:00-03:00,-72.75
2000-05-01,2000,1,5,BPAG12_RPICLD12,2000-05-01T00:00:00-03:00,-171.251
2000-06-01,2000,1,6,BPAG12_RPICLD12,2000-06-01T00:00:00-03:00,-255.766
2000-07-01,2000,1,7,BPAG12_RPICLD12,2000-07-01T00:00:00-03:00,-86.075
2000-08-01,2000,1,8,BPAG12_RPICLD12,2000-08-01T00:00:00-03:00,-29.307
2000-09-01,2000,1,9,BPAG12_RPICLD12,2000-09-01T00:00:00-03:00,-59.151
2000-10-01,2000,1,10,BPAG12_RPICLD12,2000-10-01T00:00:00-03:00,-13.152
2000-11-01,2000,1,11,BPAG12_RPICLD12,2000-11-01T00:00:00-03:00,-32.402
2000-12-01,2000,1,12,BPAG12_RPICLD12,2000-12-01T00:00:00-02:00,-138.572
