DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_SERD12,1995-01-01T00:00:00-02:00,911.36596732
1995-02-01,1995,1,2,BPAG12_SERD12,1995-02-01T00:00:00-02:00,692.75043703
1995-03-01,1995,1,3,BPAG12_SERD12,1995-03-01T00:00:00-03:00,965.54546521
1995-04-01,1995,1,4,BPAG12_SERD12,1995-04-01T00:00:00-03:00,979.14948061
1995-05-01,1995,1,5,BPAG12_SERD12,1995-05-01T00:00:00-03:00,967.51703308
1995-06-01,1995,1,6,BPAG12_SERD12,1995-06-01T00:00:00-03:00,1035.78063569
1995-07-01,1995,1,7,BPAG12_SERD12,1995-07-01T00:00:00-03:00,1053.83494763
1995-08-01,1995,1,8,BPAG12_SERD12,1995-08-01T00:00:00-03:00,1063.98184447
1995-09-01,1995,1,9,BPAG12_SERD12,1995-09-01T00:00:00-03:00,962.03155082
1995-10-01,1995,1,10,BPAG12_SERD12,1995-10-01T00:00:00-03:00,1006.50833492
1995-11-01,1995,1,11,BPAG12_SERD12,1995-11-01T00:00:00-03:00,966.92136128
1995-12-01,1995,1,12,BPAG12_SERD12,1995-12-01T00:00:00-02:00,999.84234055
1996-01-01,1996,1,1,BPAG12_SERD12,1996-01-01T00:00:00-02:00,1004.59281380298
1996-02-01,1996,1,2,BPAG12_SERD12,1996-02-01T00:00:00-02:00,782.504352351106
1996-03-01,1996,1,3,BPAG12_SERD12,1996-03-01T00:00:00-03:00,800.678235304761
1996-04-01,1996,1,4,BPAG12_SERD12,1996-04-01T00:00:00-03:00,862.87188985273
1996-05-01,1996,1,5,BPAG12_SERD12,1996-05-01T00:00:00-03:00,1036.93096881285
1996-06-01,1996,1,6,BPAG12_SERD12,1996-06-01T00:00:00-03:00,998.296231986541
1996-07-01,1996,1,7,BPAG12_SERD12,1996-07-01T00:00:00-03:00,1442.16556692195
1996-08-01,1996,1,8,BPAG12_SERD12,1996-08-01T00:00:00-03:00,1110.05899406022
1996-09-01,1996,1,9,BPAG12_SERD12,1996-09-01T00:00:00-03:00,1092.17867466464
1996-10-01,1996,1,10,BPAG12_SERD12,1996-10-01T00:00:00-03:00,1262.87630787336
1996-11-01,1996,1,11,BPAG12_SERD12,1996-11-01T00:00:00-03:00,1135.85085399879
1996-12-01,1996,1,12,BPAG12_SERD12,1996-12-01T00:00:00-02:00,1377.84655585647
1997-01-01,1997,1,1,BPAG12_SERD12,1997-01-01T00:00:00-02:00,1307.04326023299
