DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_SERGOVD12,1995-01-01T00:00:00-02:00,11.9
1995-02-01,1995,1,2,BPAG12_SERGOVD12,1995-02-01T00:00:00-02:00,12.7
1995-03-01,1995,1,3,BPAG12_SERGOVD12,1995-03-01T00:00:00-03:00,34.4
1995-04-01,1995,1,4,BPAG12_SERGOVD12,1995-04-01T00:00:00-03:00,44.9
1995-05-01,1995,1,5,BPAG12_SERGOVD12,1995-05-01T00:00:00-03:00,32.9
1995-06-01,1995,1,6,BPAG12_SERGOVD12,1995-06-01T00:00:00-03:00,42.4
1995-07-01,1995,1,7,BPAG12_SERGOVD12,1995-07-01T00:00:00-03:00,47.4
1995-08-01,1995,1,8,BPAG12_SERGOVD12,1995-08-01T00:00:00-03:00,23.7
1995-09-01,1995,1,9,BPAG12_SERGOVD12,1995-09-01T00:00:00-03:00,74.1
1995-10-01,1995,1,10,BPAG12_SERGOVD12,1995-10-01T00:00:00-03:00,32.4
1995-11-01,1995,1,11,BPAG12_SERGOVD12,1995-11-01T00:00:00-03:00,55.0
1995-12-01,1995,1,12,BPAG12_SERGOVD12,1995-12-01T00:00:00-02:00,57.5
1996-01-01,1996,1,1,BPAG12_SERGOVD12,1996-01-01T00:00:00-02:00,20.762
1996-02-01,1996,1,2,BPAG12_SERGOVD12,1996-02-01T00:00:00-02:00,33.969
1996-03-01,1996,1,3,BPAG12_SERGOVD12,1996-03-01T00:00:00-03:00,21.497
1996-04-01,1996,1,4,BPAG12_SERGOVD12,1996-04-01T00:00:00-03:00,40.092
1996-05-01,1996,1,5,BPAG12_SERGOVD12,1996-05-01T00:00:00-03:00,27.261
1996-06-01,1996,1,6,BPAG12_SERGOVD12,1996-06-01T00:00:00-03:00,26.179
1996-07-01,1996,1,7,BPAG12_SERGOVD12,1996-07-01T00:00:00-03:00,32.239
1996-08-01,1996,1,8,BPAG12_SERGOVD12,1996-08-01T00:00:00-03:00,39.17
1996-09-01,1996,1,9,BPAG12_SERGOVD12,1996-09-01T00:00:00-03:00,64.081
1996-10-01,1996,1,10,BPAG12_SERGOVD12,1996-10-01T00:00:00-03:00,45.74
1996-11-01,1996,1,11,BPAG12_SERGOVD12,1996-11-01T00:00:00-03:00,63.617
1996-12-01,1996,1,12,BPAG12_SERGOVD12,1996-12-01T00:00:00-02:00,91.539
1997-01-01,1997,1,1,BPAG12_SERGOVD12,1997-01-01T00:00:00-02:00,40.128
1997-02-01,1997,1,2,BPAG12_SERGOVD12,1997-02-01T00:00:00-02:00,39.017
1997-03-01,1997,1,3,BPAG12_SERGOVD12,1997-03-01T00:00:00-03:00,56.917
1997-04-01,1997,1,4,BPAG12_SERGOVD12,1997-04-01T00:00:00-03:00,70.932
1997-05-01,1997,1,5,BPAG12_SERGOVD12,1997-05-01T00:00:00-03:00,64.369
