DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_SERGOVR12,1995-01-01T00:00:00-02:00,5.9
1995-02-01,1995,1,2,BPAG12_SERGOVR12,1995-02-01T00:00:00-02:00,9.3
1995-03-01,1995,1,3,BPAG12_SERGOVR12,1995-03-01T00:00:00-03:00,9.8
1995-04-01,1995,1,4,BPAG12_SERGOVR12,1995-04-01T00:00:00-03:00,8.2
1995-05-01,1995,1,5,BPAG12_SERGOVR12,1995-05-01T00:00:00-03:00,9.5
1995-06-01,1995,1,6,BPAG12_SERGOVR12,1995-06-01T00:00:00-03:00,15.3
1995-07-01,1995,1,7,BPAG12_SERGOVR12,1995-07-01T00:00:00-03:00,9.7
1995-08-01,1995,1,8,BPAG12_SERGOVR12,1995-08-01T00:00:00-03:00,13.3
1995-09-01,1995,1,9,BPAG12_SERGOVR12,1995-09-01T00:00:00-03:00,11.8
1995-10-01,1995,1,10,BPAG12_SERGOVR12,1995-10-01T00:00:00-03:00,11.7
1995-11-01,1995,1,11,BPAG12_SERGOVR12,1995-11-01T00:00:00-03:00,13.2
1995-12-01,1995,1,12,BPAG12_SERGOVR12,1995-12-01T00:00:00-02:00,12.7
1996-01-01,1996,1,1,BPAG12_SERGOVR12,1996-01-01T00:00:00-02:00,13.772
1996-02-01,1996,1,2,BPAG12_SERGOVR12,1996-02-01T00:00:00-02:00,10.095
1996-03-01,1996,1,3,BPAG12_SERGOVR12,1996-03-01T00:00:00-03:00,14.881
1996-04-01,1996,1,4,BPAG12_SERGOVR12,1996-04-01T00:00:00-03:00,7.363
1996-05-01,1996,1,5,BPAG12_SERGOVR12,1996-05-01T00:00:00-03:00,13.755
1996-06-01,1996,1,6,BPAG12_SERGOVR12,1996-06-01T00:00:00-03:00,14.005
1996-07-01,1996,1,7,BPAG12_SERGOVR12,1996-07-01T00:00:00-03:00,13.871
1996-08-01,1996,1,8,BPAG12_SERGOVR12,1996-08-01T00:00:00-03:00,22.534
1996-09-01,1996,1,9,BPAG12_SERGOVR12,1996-09-01T00:00:00-03:00,12.522
1996-10-01,1996,1,10,BPAG12_SERGOVR12,1996-10-01T00:00:00-03:00,25.07
1996-11-01,1996,1,11,BPAG12_SERGOVR12,1996-11-01T00:00:00-03:00,33.151
1996-12-01,1996,1,12,BPAG12_SERGOVR12,1996-12-01T00:00:00-02:00,21.875
1997-01-01,1997,1,1,BPAG12_SERGOVR12,1997-01-01T00:00:00-02:00,15.909
1997-02-01,1997,1,2,BPAG12_SERGOVR12,1997-02-01T00:00:00-02:00,19.444
1997-03-01,1997,1,3,BPAG12_SERGOVR12,1997-03-01T00:00:00-03:00,35.716
1997-04-01,1997,1,4,BPAG12_SERGOVR12,1997-04-01T00:00:00-03:00,34.816
1997-05-01,1997,1,5,BPAG12_SERGOVR12,1997-05-01T00:00:00-03:00,38.703
1997-06-01,1997,1,6,BPAG12_SERGOVR12,1997-06-01T00:00:00-03:00,41.677
1997-07-01,1997,1,7,BPAG12_SERGOVR12,1997-07-01T00:00:00-03:00,41.739
1997-08-01,1997,1,8,BPAG12_SERGOVR12,1997-08-01T00:00:00-03:00,43.007
1997-09-01,1997,1,9,BPAG12_SERGOVR12,1997-09-01T00:00:00-03:00,52.829
1997-10-01,1997,1,10,BPAG12_SERGOVR12,1997-10-01T00:00:00-03:00,60.334
1997-11-01,1997,1,11,BPAG12_SERGOVR12,1997-11-01T00:00:00-03:00,57.251
1997-12-01,1997,1,12,BPAG12_SERGOVR12,1997-12-01T00:00:00-02:00,59.475
1998-01-01,1998,1,1,BPAG12_SERGOVR12,1998-01-01T00:00:00-02:00,51.606
1998-02-01,1998,1,2,BPAG12_SERGOVR12,1998-02-01T00:00:00-02:00,42.417
1998-03-01,1998,1,3,BPAG12_SERGOVR12,1998-03-01T00:00:00-03:00,64.875
1998-04-01,1998,1,4,BPAG12_SERGOVR12,1998-04-01T00:00:00-03:00,67.673
1998-05-01,1998,1,5,BPAG12_SERGOVR12,1998-05-01T00:00:00-03:00,94.144
1998-06-01,1998,1,6,BPAG12_SERGOVR12,1998-06-01T00:00:00-03:00,47.978
1998-07-01,1998,1,7,BPAG12_SERGOVR12,1998-07-01T00:00:00-03:00,29.46
1998-08-01,1998,1,8,BPAG12_SERGOVR12,1998-08-01T00:00:00-03:00,29.762
1998-09-01,1998,1,9,BPAG12_SERGOVR12,1998-09-01T00:00:00-03:00,20.106
1998-10-01,1998,1,10,BPAG12_SERGOVR12,1998-10-01T00:00:00-03:00,37.495
1998-11-01,1998,1,11,BPAG12_SERGOVR12,1998-11-01T00:00:00-03:00,31.499
1998-12-01,1998,1,12,BPAG12_SERGOVR12,1998-12-01T00:00:00-02:00,30.667
1999-01-01,1999,1,1,BPAG12_SERGOVR12,1999-01-01T00:00:00-02:00,26.922
1999-02-01,1999,1,2,BPAG12_SERGOVR12,1999-02-01T00:00:00-02:00,27.141
1999-03-01,1999,1,3,BPAG12_SERGOVR12,1999-03-01T00:00:00-03:00,24.498
1999-04-01,1999,1,4,BPAG12_SERGOVR12,1999-04-01T00:00:00-03:00,17.964
1999-05-01,1999,1,5,BPAG12_SERGOVR12,1999-05-01T00:00:00-03:00,35.534
1999-06-01,1999,1,6,BPAG12_SERGOVR12,1999-06-01T00:00:00-03:00,18.264
1999-07-01,1999,1,7,BPAG12_SERGOVR12,1999-07-01T00:00:00-03:00,29.35
1999-08-01,1999,1,8,BPAG12_SERGOVR12,1999-08-01T00:00:00-03:00,23.336
1999-09-01,1999,1,9,BPAG12_SERGOVR12,1999-09-01T00:00:00-03:00,20.06
1999-10-01,1999,1,10,BPAG12_SERGOVR12,1999-10-01T00:00:00-03:00,24.979
1999-11-01,1999,1,11,BPAG12_SERGOVR12,1999-11-01T00:00:00-03:00,29.32
1999-12-01,1999,1,12,BPAG12_SERGOVR12,1999-12-01T00:00:00-02:00,40.655
2000-01-01,2000,1,1,BPAG12_SERGOVR12,2000-01-01T00:00:00-02:00,22.607
2000-02-01,2000,1,2,BPAG12_SERGOVR12,2000-02-01T00:00:00-02:00,27.276
2000-03-01,2000,1,3,BPAG12_SERGOVR12,2000-03-01T00:00:00-03:00,33.375
2000-04-01,2000,1,4,BPAG12_SERGOVR12,2000-04-01T00:00:00-03:00,43.938
2000-05-01,2000,1,5,BPAG12_SERGOVR12,2000-05-01T00:00:00-03:00,42.782
2000-06-01,2000,1,6,BPAG12_SERGOVR12,2000-06-01T00:00:00-03:00,46.993
2000-07-01,2000,1,7,BPAG12_SERGOVR12,2000-07-01T00:00:00-03:00,50.365
2000-08-01,2000,1,8,BPAG12_SERGOVR12,2000-08-01T00:00:00-03:00,54.281
2000-09-01,2000,1,9,BPAG12_SERGOVR12,2000-09-01T00:00:00-03:00,53.142
2000-10-01,2000,1,10,BPAG12_SERGOVR12,2000-10-01T00:00:00-03:00,49.469
2000-11-01,2000,1,11,BPAG12_SERGOVR12,2000-11-01T00:00:00-03:00,55.128
2000-12-01,2000,1,12,BPAG12_SERGOVR12,2000-12-01T00:00:00-02:00,58.064
2001-01-01,2001,1,1,BPAG12_SERGOVR12,2001-01-01T00:00:00-02:00,77.587
2001-02-01,2001,1,2,BPAG12_SERGOVR12,2001-02-01T00:00:00-02:00,37.903
2001-03-01,2001,1,3,BPAG12_SERGOVR12,2001-03-01T00:00:00-03:00,44.896
2001-04-01,2001,1,4,BPAG12_SERGOVR12,2001-04-01T00:00:00-03:00,38.308
2001-05-01,2001,1,5,BPAG12_SERGOVR12,2001-05-01T00:00:00-03:00,46.843
2001-06-01,2001,1,6,BPAG12_SERGOVR12,2001-06-01T00:00:00-03:00,78.335
2001-07-01,2001,1,7,BPAG12_SERGOVR12,2001-07-01T00:00:00-03:00,40.576
2001-08-01,2001,1,8,BPAG12_SERGOVR12,2001-08-01T00:00:00-03:00,43.456
2001-09-01,2001,1,9,BPAG12_SERGOVR12,2001-09-01T00:00:00-03:00,34.438
2001-10-01,2001,1,10,BPAG12_SERGOVR12,2001-10-01T00:00:00-03:00,47.441
2001-11-01,2001,1,11,BPAG12_SERGOVR12,2001-11-01T00:00:00-03:00,48.96
2001-12-01,2001,1,12,BPAG12_SERGOVR12,2001-12-01T00:00:00-02:00,65.27
2002-01-01,2002,1,1,BPAG12_SERGOVR12,2002-01-01T00:00:00-02:00,60.806
2002-02-01,2002,1,2,BPAG12_SERGOVR12,2002-02-01T00:00:00-02:00,46.23
2002-03-01,2002,1,3,BPAG12_SERGOVR12,2002-03-01T00:00:00-03:00,65.392
2002-04-01,2002,1,4,BPAG12_SERGOVR12,2002-04-01T00:00:00-03:00,60.498
2002-05-01,2002,1,5,BPAG12_SERGOVR12,2002-05-01T00:00:00-03:00,59.475
2002-06-01,2002,1,6,BPAG12_SERGOVR12,2002-06-01T00:00:00-03:00,52.178
2002-07-01,2002,1,7,BPAG12_SERGOVR12,2002-07-01T00:00:00-03:00,53.659
2002-08-01,2002,1,8,BPAG12_SERGOVR12,2002-08-01T00:00:00-03:00,67.379
2002-09-01,2002,1,9,BPAG12_SERGOVR12,2002-09-01T00:00:00-03:00,52.0
2002-10-01,2002,1,10,BPAG12_SERGOVR12,2002-10-01T00:00:00-03:00,57.902
2002-11-01,2002,1,11,BPAG12_SERGOVR12,2002-11-01T00:00:00-03:00,58.593
