DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_SERINT12,1995-01-01T00:00:00-02:00,-35.915
1995-02-01,1995,1,2,BPAG12_SERINT12,1995-02-01T00:00:00-02:00,-40.037
1995-03-01,1995,1,3,BPAG12_SERINT12,1995-03-01T00:00:00-03:00,-45.004
1995-04-01,1995,1,4,BPAG12_SERINT12,1995-04-01T00:00:00-03:00,-65.37
1995-05-01,1995,1,5,BPAG12_SERINT12,1995-05-01T00:00:00-03:00,-36.259
1995-06-01,1995,1,6,BPAG12_SERINT12,1995-06-01T00:00:00-03:00,-21.773
1995-07-01,1995,1,7,BPAG12_SERINT12,1995-07-01T00:00:00-03:00,-48.92
1995-08-01,1995,1,8,BPAG12_SERINT12,1995-08-01T00:00:00-03:00,-34.259
1995-09-01,1995,1,9,BPAG12_SERINT12,1995-09-01T00:00:00-03:00,-31.831
1995-10-01,1995,1,10,BPAG12_SERINT12,1995-10-01T00:00:00-03:00,-58.346
1995-11-01,1995,1,11,BPAG12_SERINT12,1995-11-01T00:00:00-03:00,-53.402
1995-12-01,1995,1,12,BPAG12_SERINT12,1995-12-01T00:00:00-02:00,-26.206
1996-01-01,1996,1,1,BPAG12_SERINT12,1996-01-01T00:00:00-02:00,-56.735
1996-02-01,1996,1,2,BPAG12_SERINT12,1996-02-01T00:00:00-02:00,-68.227
1996-03-01,1996,1,3,BPAG12_SERINT12,1996-03-01T00:00:00-03:00,-46.467
1996-04-01,1996,1,4,BPAG12_SERINT12,1996-04-01T00:00:00-03:00,-39.559
1996-05-01,1996,1,5,BPAG12_SERINT12,1996-05-01T00:00:00-03:00,-67.131
1996-06-01,1996,1,6,BPAG12_SERINT12,1996-06-01T00:00:00-03:00,-52.416
1996-07-01,1996,1,7,BPAG12_SERINT12,1996-07-01T00:00:00-03:00,-104.362
1996-08-01,1996,1,8,BPAG12_SERINT12,1996-08-01T00:00:00-03:00,-61.12
1996-09-01,1996,1,9,BPAG12_SERINT12,1996-09-01T00:00:00-03:00,-60.444
1996-10-01,1996,1,10,BPAG12_SERINT12,1996-10-01T00:00:00-03:00,-80.449
1996-11-01,1996,1,11,BPAG12_SERINT12,1996-11-01T00:00:00-03:00,-50.592
1996-12-01,1996,1,12,BPAG12_SERINT12,1996-12-01T00:00:00-02:00,-65.954
1997-01-01,1997,1,1,BPAG12_SERINT12,1997-01-01T00:00:00-02:00,-71.525
1997-02-01,1997,1,2,BPAG12_SERINT12,1997-02-01T00:00:00-02:00,-124.962
1997-03-01,1997,1,3,BPAG12_SERINT12,1997-03-01T00:00:00-03:00,-57.063
1997-04-01,1997,1,4,BPAG12_SERINT12,1997-04-01T00:00:00-03:00,-59.432
1997-05-01,1997,1,5,BPAG12_SERINT12,1997-05-01T00:00:00-03:00,-91.694
1997-06-01,1997,1,6,BPAG12_SERINT12,1997-06-01T00:00:00-03:00,-31.386
1997-07-01,1997,1,7,BPAG12_SERINT12,1997-07-01T00:00:00-03:00,-104.488
1997-08-01,1997,1,8,BPAG12_SERINT12,1997-08-01T00:00:00-03:00,-47.393
1997-09-01,1997,1,9,BPAG12_SERINT12,1997-09-01T00:00:00-03:00,-82.334
1997-10-01,1997,1,10,BPAG12_SERINT12,1997-10-01T00:00:00-03:00,-76.863
1997-11-01,1997,1,11,BPAG12_SERINT12,1997-11-01T00:00:00-03:00,-38.936
1997-12-01,1997,1,12,BPAG12_SERINT12,1997-12-01T00:00:00-02:00,-61.516
1998-01-01,1998,1,1,BPAG12_SERINT12,1998-01-01T00:00:00-02:00,-96.17
1998-02-01,1998,1,2,BPAG12_SERINT12,1998-02-01T00:00:00-02:00,-126.817
1998-03-01,1998,1,3,BPAG12_SERINT12,1998-03-01T00:00:00-03:00,-100.731
1998-04-01,1998,1,4,BPAG12_SERINT12,1998-04-01T00:00:00-03:00,-101.485
1998-05-01,1998,1,5,BPAG12_SERINT12,1998-05-01T00:00:00-03:00,-64.252
1998-06-01,1998,1,6,BPAG12_SERINT12,1998-06-01T00:00:00-03:00,-94.332
1998-07-01,1998,1,7,BPAG12_SERINT12,1998-07-01T00:00:00-03:00,-139.187
1998-08-01,1998,1,8,BPAG12_SERINT12,1998-08-01T00:00:00-03:00,-133.656
1998-09-01,1998,1,9,BPAG12_SERINT12,1998-09-01T00:00:00-03:00,-116.874
1998-10-01,1998,1,10,BPAG12_SERINT12,1998-10-01T00:00:00-03:00,-102.544
1998-11-01,1998,1,11,BPAG12_SERINT12,1998-11-01T00:00:00-03:00,-83.831
1998-12-01,1998,1,12,BPAG12_SERINT12,1998-12-01T00:00:00-02:00,-169.055
1999-01-01,1999,1,1,BPAG12_SERINT12,1999-01-01T00:00:00-02:00,-146.167
1999-02-01,1999,1,2,BPAG12_SERINT12,1999-02-01T00:00:00-02:00,-73.044
1999-03-01,1999,1,3,BPAG12_SERINT12,1999-03-01T00:00:00-03:00,-81.887
1999-04-01,1999,1,4,BPAG12_SERINT12,1999-04-01T00:00:00-03:00,-124.154
1999-05-01,1999,1,5,BPAG12_SERINT12,1999-05-01T00:00:00-03:00,-45.43
1999-06-01,1999,1,6,BPAG12_SERINT12,1999-06-01T00:00:00-03:00,-75.852
1999-07-01,1999,1,7,BPAG12_SERINT12,1999-07-01T00:00:00-03:00,-72.443
1999-08-01,1999,1,8,BPAG12_SERINT12,1999-08-01T00:00:00-03:00,-76.538
1999-09-01,1999,1,9,BPAG12_SERINT12,1999-09-01T00:00:00-03:00,-96.341
1999-10-01,1999,1,10,BPAG12_SERINT12,1999-10-01T00:00:00-03:00,-64.627
1999-11-01,1999,1,11,BPAG12_SERINT12,1999-11-01T00:00:00-03:00,-93.717
1999-12-01,1999,1,12,BPAG12_SERINT12,1999-12-01T00:00:00-02:00,-199.543
2000-01-01,2000,1,1,BPAG12_SERINT12,2000-01-01T00:00:00-02:00,-96.748
