DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (US$)
1995-01-01,1995,1,1,BPAG12_SERVIAGR12,1995-01-01T00:00:00-02:00,91.6
1995-02-01,1995,1,2,BPAG12_SERVIAGR12,1995-02-01T00:00:00-02:00,76.5
1995-03-01,1995,1,3,BPAG12_SERVIAGR12,1995-03-01T00:00:00-03:00,90.9
1995-04-01,1995,1,4,BPAG12_SERVIAGR12,1995-04-01T00:00:00-03:00,66.0
1995-05-01,1995,1,5,BPAG12_SERVIAGR12,1995-05-01T00:00:00-03:00,97.7
1995-06-01,1995,1,6,BPAG12_SERVIAGR12,1995-06-01T00:00:00-03:00,77.5
1995-07-01,1995,1,7,BPAG12_SERVIAGR12,1995-07-01T00:00:00-03:00,87.4
1995-08-01,1995,1,8,BPAG12_SERVIAGR12,1995-08-01T00:00:00-03:00,85.8
1995-09-01,1995,1,9,BPAG12_SERVIAGR12,1995-09-01T00:00:00-03:00,71.1
1995-10-01,1995,1,10,BPAG12_SERVIAGR12,1995-10-01T00:00:00-03:00,80.5
1995-11-01,1995,1,11,BPAG12_SERVIAGR12,1995-11-01T00:00:00-03:00,76.8
1995-12-01,1995,1,12,BPAG12_SERVIAGR12,1995-12-01T00:00:00-02:00,69.8
1996-01-01,1996,1,1,BPAG12_SERVIAGR12,1996-01-01T00:00:00-02:00,70.65
1996-02-01,1996,1,2,BPAG12_SERVIAGR12,1996-02-01T00:00:00-02:00,65.504
1996-03-01,1996,1,3,BPAG12_SERVIAGR12,1996-03-01T00:00:00-03:00,65.187
1996-04-01,1996,1,4,BPAG12_SERVIAGR12,1996-04-01T00:00:00-03:00,68.518
1996-05-01,1996,1,5,BPAG12_SERVIAGR12,1996-05-01T00:00:00-03:00,57.894
1996-06-01,1996,1,6,BPAG12_SERVIAGR12,1996-06-01T00:00:00-03:00,59.201
1996-07-01,1996,1,7,BPAG12_SERVIAGR12,1996-07-01T00:00:00-03:00,69.935
1996-08-01,1996,1,8,BPAG12_SERVIAGR12,1996-08-01T00:00:00-03:00,71.861
1996-09-01,1996,1,9,BPAG12_SERVIAGR12,1996-09-01T00:00:00-03:00,65.86
1996-10-01,1996,1,10,BPAG12_SERVIAGR12,1996-10-01T00:00:00-03:00,80.568
1996-11-01,1996,1,11,BPAG12_SERVIAGR12,1996-11-01T00:00:00-03:00,73.769
1996-12-01,1996,1,12,BPAG12_SERVIAGR12,1996-12-01T00:00:00-02:00,90.873
1997-01-01,1997,1,1,BPAG12_SERVIAGR12,1997-01-01T00:00:00-02:00,89.113
1997-02-01,1997,1,2,BPAG12_SERVIAGR12,1997-02-01T00:00:00-02:00,82.793
1997-03-01,1997,1,3,BPAG12_SERVIAGR12,1997-03-01T00:00:00-03:00,83.252
1997-04-01,1997,1,4,BPAG12_SERVIAGR12,1997-04-01T00:00:00-03:00,83.175
1997-05-01,1997,1,5,BPAG12_SERVIAGR12,1997-05-01T00:00:00-03:00,78.188
1997-06-01,1997,1,6,BPAG12_SERVIAGR12,1997-06-01T00:00:00-03:00,82.204
1997-07-01,1997,1,7,BPAG12_SERVIAGR12,1997-07-01T00:00:00-03:00,89.183
1997-08-01,1997,1,8,BPAG12_SERVIAGR12,1997-08-01T00:00:00-03:00,88.181
1997-09-01,1997,1,9,BPAG12_SERVIAGR12,1997-09-01T00:00:00-03:00,85.227
1997-10-01,1997,1,10,BPAG12_SERVIAGR12,1997-10-01T00:00:00-03:00,104.94
1997-11-01,1997,1,11,BPAG12_SERVIAGR12,1997-11-01T00:00:00-03:00,94.464
1997-12-01,1997,1,12,BPAG12_SERVIAGR12,1997-12-01T00:00:00-02:00,108.235
1998-01-01,1998,1,1,BPAG12_SERVIAGR12,1998-01-01T00:00:00-02:00,131.88
1998-02-01,1998,1,2,BPAG12_SERVIAGR12,1998-02-01T00:00:00-02:00,123.068
1998-03-01,1998,1,3,BPAG12_SERVIAGR12,1998-03-01T00:00:00-03:00,157.944
1998-04-01,1998,1,4,BPAG12_SERVIAGR12,1998-04-01T00:00:00-03:00,130.751
1998-05-01,1998,1,5,BPAG12_SERVIAGR12,1998-05-01T00:00:00-03:00,128.552
