DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (Pessoa)
2020-01-01,2020,1,1,CAGED12_SALDON12,2020-01-01T00:00:00-03:00,66818.0
2020-02-01,2020,1,2,CAGED12_SALDON12,2020-02-01T00:00:00-03:00,188869.0
2020-03-01,2020,1,3,CAGED12_SALDON12,2020-03-01T00:00:00-03:00,-207401.0
2020-04-01,2020,1,4,CAGED12_SALDON12,2020-04-01T00:00:00-03:00,-860503.0
2020-05-01,2020,1,5,CAGED12_SALDON12,2020-05-01T00:00:00-03:00,-331901.0
2020-06-01,2020,1,6,CAGED12_SALDON12,2020-06-01T00:00:00-03:00,-10984.0
2020-07-01,2020,1,7,CAGED12_SALDON12,2020-07-01T00:00:00-03:00,131010.0
2020-08-01,2020,1,8,CAGED12_SALDON12,2020-08-01T00:00:00-03:00,249388.0
2020-09-01,2020,1,9,CAGED12_SALDON12,2020-09-01T00:00:00-03:00,313564.0
2020-10-01,2020,1,10,CAGED12_SALDON12,2020-10-01T00:00:00-03:00,394989.0
2020-11-01,2020,1,11,CAGED12_SALDON12,2020-11-01T00:00:00-03:00,414556.0
2020-12-01,2020,1,12,CAGED12_SALDON12,2020-12-01T00:00:00-03:00,-67906.0
