DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1991-12-01,1991,1,12,CNI12_HTRAB12,1991-12-01T00:00:00-02:00,113.106044149431
1992-01-01,1992,1,1,CNI12_HTRAB12,1992-01-01T00:00:00-02:00,117.271523794802
1992-02-01,1992,1,2,CNI12_HTRAB12,1992-02-01T00:00:00-02:00,118.015172231663
1992-03-01,1992,1,3,CNI12_HTRAB12,1992-03-01T00:00:00-03:00,120.105775046472
1992-04-01,1992,1,4,CNI12_HTRAB12,1992-04-01T00:00:00-03:00,118.093206471673
1992-05-01,1992,1,5,CNI12_HTRAB12,1992-05-01T00:00:00-03:00,120.758999073916
1992-06-01,1992,1,6,CNI12_HTRAB12,1992-06-01T00:00:00-03:00,121.218984113121
1992-07-01,1992,1,7,CNI12_HTRAB12,1992-07-01T00:00:00-03:00,125.825148726123
1992-08-01,1992,1,8,CNI12_HTRAB12,1992-08-01T00:00:00-03:00,121.525759942169
1992-09-01,1992,1,9,CNI12_HTRAB12,1992-09-01T00:00:00-03:00,120.111374449953
1992-10-01,1992,1,10,CNI12_HTRAB12,1992-10-01T00:00:00-03:00,120.409929878145
1992-11-01,1992,1,11,CNI12_HTRAB12,1992-11-01T00:00:00-03:00,118.135976383373
1992-12-01,1992,1,12,CNI12_HTRAB12,1992-12-01T00:00:00-02:00,108.163081373821
1993-01-01,1993,1,1,CNI12_HTRAB12,1993-01-01T00:00:00-02:00,109.927250879274
1993-02-01,1993,1,2,CNI12_HTRAB12,1993-02-01T00:00:00-02:00,107.800430646201
1993-03-01,1993,1,3,CNI12_HTRAB12,1993-03-01T00:00:00-03:00,120.801173304394
1993-04-01,1993,1,4,CNI12_HTRAB12,1993-04-01T00:00:00-03:00,115.621605947623
1993-05-01,1993,1,5,CNI12_HTRAB12,1993-05-01T00:00:00-03:00,119.577524939287
1993-06-01,1993,1,6,CNI12_HTRAB12,1993-06-01T00:00:00-03:00,119.97079368169
1993-07-01,1993,1,7,CNI12_HTRAB12,1993-07-01T00:00:00-03:00,123.019490173083
1993-08-01,1993,1,8,CNI12_HTRAB12,1993-08-01T00:00:00-03:00,122.268217016587
