DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
2010-01-01,2010,1,1,CNI12_INDP12,2010-01-01T00:00:00-02:00,48.4
2010-02-01,2010,1,2,CNI12_INDP12,2010-02-01T00:00:00-02:00,48.7
2010-03-01,2010,1,3,CNI12_INDP12,2010-03-01T00:00:00-03:00,48.5
2010-04-01,2010,1,4,CNI12_INDP12,2010-04-01T00:00:00-03:00,48.5
2010-05-01,2010,1,5,CNI12_INDP12,2010-05-01T00:00:00-03:00,49.3
2010-06-01,2010,1,6,CNI12_INDP12,2010-06-01T00:00:00-03:00,49.5
2010-07-01,2010,1,7,CNI12_INDP12,2010-07-01T00:00:00-03:00,50.8
2010-08-01,2010,1,8,CNI12_INDP12,2010-08-01T00:00:00-03:00,51.1
2010-09-01,2010,1,9,CNI12_INDP12,2010-09-01T00:00:00-03:00,50.2
2010-10-01,2010,1,10,CNI12_INDP12,2010-10-01T00:00:00-03:00,48.8
2010-11-01,2010,1,11,CNI12_INDP12,2010-11-01T00:00:00-02:00,49.7
2010-12-01,2010,1,12,CNI12_INDP12,2010-12-01T00:00:00-02:00,49.7
2011-01-01,2011,1,1,CNI12_INDP12,2011-01-01T00:00:00-02:00,50.2
2011-02-01,2011,1,2,CNI12_INDP12,2011-02-01T00:00:00-02:00,49.9
2011-03-01,2011,1,3,CNI12_INDP12,2011-03-01T00:00:00-03:00,50.1
2011-04-01,2011,1,4,CNI12_INDP12,2011-04-01T00:00:00-03:00,51.3
2011-05-01,2011,1,5,CNI12_INDP12,2011-05-01T00:00:00-03:00,50.9
2011-06-01,2011,1,6,CNI12_INDP12,2011-06-01T00:00:00-03:00,53.3
2011-07-01,2011,1,7,CNI12_INDP12,2011-07-01T00:00:00-03:00,53.7
2011-08-01,2011,1,8,CNI12_INDP12,2011-08-01T00:00:00-03:00,53.2
2011-09-01,2011,1,9,CNI12_INDP12,2011-09-01T00:00:00-03:00,52.5
2011-10-01,2011,1,10,CNI12_INDP12,2011-10-01T00:00:00-03:00,53.1
2011-11-01,2011,1,11,CNI12_INDP12,2011-11-01T00:00:00-02:00,52.3
2011-12-01,2011,1,12,CNI12_INDP12,2011-12-01T00:00:00-02:00,52.5
2012-01-01,2012,1,1,CNI12_INDP12,2012-01-01T00:00:00-02:00,52.8
2012-02-01,2012,1,2,CNI12_INDP12,2012-02-01T00:00:00-02:00,52.1
2012-03-01,2012,1,3,CNI12_INDP12,2012-03-01T00:00:00-03:00,51.6
2012-04-01,2012,1,4,CNI12_INDP12,2012-04-01T00:00:00-03:00,53.0
2012-05-01,2012,1,5,CNI12_INDP12,2012-05-01T00:00:00-03:00,53.1
2012-06-01,2012,1,6,CNI12_INDP12,2012-06-01T00:00:00-03:00,52.5
2012-07-01,2012,1,7,CNI12_INDP12,2012-07-01T00:00:00-03:00,52.2
2012-08-01,2012,1,8,CNI12_INDP12,2012-08-01T00:00:00-03:00,51.8
2012-09-01,2012,1,9,CNI12_INDP12,2012-09-01T00:00:00-03:00,50.6
