DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE ((%))
1991-12-01,1991,1,12,CNI12_NUCAP12,1991-12-01T00:00:00-02:00,68.585
1992-01-01,1992,1,1,CNI12_NUCAP12,1992-01-01T00:00:00-02:00,69.4735
1992-02-01,1992,1,2,CNI12_NUCAP12,1992-02-01T00:00:00-02:00,70.4062
1992-03-01,1992,1,3,CNI12_NUCAP12,1992-03-01T00:00:00-03:00,70.6898
1992-04-01,1992,1,4,CNI12_NUCAP12,1992-04-01T00:00:00-03:00,71.281
1992-05-01,1992,1,5,CNI12_NUCAP12,1992-05-01T00:00:00-03:00,72.402
1992-06-01,1992,1,6,CNI12_NUCAP12,1992-06-01T00:00:00-03:00,72.8605
1992-07-01,1992,1,7,CNI12_NUCAP12,1992-07-01T00:00:00-03:00,73.6562
1992-08-01,1992,1,8,CNI12_NUCAP12,1992-08-01T00:00:00-03:00,73.2473
1992-09-01,1992,1,9,CNI12_NUCAP12,1992-09-01T00:00:00-03:00,73.4429
1992-10-01,1992,1,10,CNI12_NUCAP12,1992-10-01T00:00:00-03:00,74.9808
1992-11-01,1992,1,11,CNI12_NUCAP12,1992-11-01T00:00:00-03:00,74.0279
1992-12-01,1992,1,12,CNI12_NUCAP12,1992-12-01T00:00:00-02:00,71.0253
1993-01-01,1993,1,1,CNI12_NUCAP12,1993-01-01T00:00:00-02:00,72.6875
1993-02-01,1993,1,2,CNI12_NUCAP12,1993-02-01T00:00:00-02:00,72.639
1993-03-01,1993,1,3,CNI12_NUCAP12,1993-03-01T00:00:00-03:00,75.355
1993-04-01,1993,1,4,CNI12_NUCAP12,1993-04-01T00:00:00-03:00,74.7594
1993-05-01,1993,1,5,CNI12_NUCAP12,1993-05-01T00:00:00-03:00,75.7264
1993-06-01,1993,1,6,CNI12_NUCAP12,1993-06-01T00:00:00-03:00,75.9943
1993-07-01,1993,1,7,CNI12_NUCAP12,1993-07-01T00:00:00-03:00,75.7353
1993-08-01,1993,1,8,CNI12_NUCAP12,1993-08-01T00:00:00-03:00,75.9103
1993-09-01,1993,1,9,CNI12_NUCAP12,1993-09-01T00:00:00-03:00,75.8405
1993-10-01,1993,1,10,CNI12_NUCAP12,1993-10-01T00:00:00-03:00,76.8061
1993-11-01,1993,1,11,CNI12_NUCAP12,1993-11-01T00:00:00-03:00,77.0332
1993-12-01,1993,1,12,CNI12_NUCAP12,1993-12-01T00:00:00-02:00,74.2911
1994-01-01,1994,1,1,CNI12_NUCAP12,1994-01-01T00:00:00-02:00,75.0667
1994-02-01,1994,1,2,CNI12_NUCAP12,1994-02-01T00:00:00-02:00,74.2716
1994-03-01,1994,1,3,CNI12_NUCAP12,1994-03-01T00:00:00-03:00,76.5636
1994-04-01,1994,1,4,CNI12_NUCAP12,1994-04-01T00:00:00-03:00,74.4613
1994-05-01,1994,1,5,CNI12_NUCAP12,1994-05-01T00:00:00-03:00,75.618
1994-06-01,1994,1,6,CNI12_NUCAP12,1994-06-01T00:00:00-03:00,75.9293
1994-07-01,1994,1,7,CNI12_NUCAP12,1994-07-01T00:00:00-03:00,76.2918
1994-08-01,1994,1,8,CNI12_NUCAP12,1994-08-01T00:00:00-03:00,78.6685
1994-09-01,1994,1,9,CNI12_NUCAP12,1994-09-01T00:00:00-03:00,79.3067
1994-10-01,1994,1,10,CNI12_NUCAP12,1994-10-01T00:00:00-03:00,79.995
1994-11-01,1994,1,11,CNI12_NUCAP12,1994-11-01T00:00:00-03:00,80.4369
1994-12-01,1994,1,12,CNI12_NUCAP12,1994-12-01T00:00:00-02:00,78.8998
1995-01-01,1995,1,1,CNI12_NUCAP12,1995-01-01T00:00:00-02:00,79.4547
