DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1992-01-01,1992,1,1,CNI12_PEEMPD12,1992-01-01T00:00:00-02:00,127.721790918788
1992-02-01,1992,1,2,CNI12_PEEMPD12,1992-02-01T00:00:00-02:00,126.451192357712
1992-03-01,1992,1,3,CNI12_PEEMPD12,1992-03-01T00:00:00-03:00,124.927188542095
1992-04-01,1992,1,4,CNI12_PEEMPD12,1992-04-01T00:00:00-03:00,124.107220519931
1992-05-01,1992,1,5,CNI12_PEEMPD12,1992-05-01T00:00:00-03:00,123.478764820189
1992-06-01,1992,1,6,CNI12_PEEMPD12,1992-06-01T00:00:00-03:00,122.198733268495
1992-07-01,1992,1,7,CNI12_PEEMPD12,1992-07-01T00:00:00-03:00,121.437400060217
1992-08-01,1992,1,8,CNI12_PEEMPD12,1992-08-01T00:00:00-03:00,120.761189009275
1992-09-01,1992,1,9,CNI12_PEEMPD12,1992-09-01T00:00:00-03:00,120.16445333588
1992-10-01,1992,1,10,CNI12_PEEMPD12,1992-10-01T00:00:00-03:00,119.448810796494
1992-11-01,1992,1,11,CNI12_PEEMPD12,1992-11-01T00:00:00-03:00,119.026754317819
1992-12-01,1992,1,12,CNI12_PEEMPD12,1992-12-01T00:00:00-02:00,118.254519598495
1993-01-01,1993,1,1,CNI12_PEEMPD12,1993-01-01T00:00:00-02:00,118.185619229776
1993-02-01,1993,1,2,CNI12_PEEMPD12,1993-02-01T00:00:00-02:00,118.131080236336
1993-03-01,1993,1,3,CNI12_PEEMPD12,1993-03-01T00:00:00-03:00,118.152778517621
1993-04-01,1993,1,4,CNI12_PEEMPD12,1993-04-01T00:00:00-03:00,118.283693619618
1993-05-01,1993,1,5,CNI12_PEEMPD12,1993-05-01T00:00:00-03:00,118.45426958203
1993-06-01,1993,1,6,CNI12_PEEMPD12,1993-06-01T00:00:00-03:00,118.766504635281
1993-07-01,1993,1,7,CNI12_PEEMPD12,1993-07-01T00:00:00-03:00,118.839144937643
1993-08-01,1993,1,8,CNI12_PEEMPD12,1993-08-01T00:00:00-03:00,118.635717024477
1993-09-01,1993,1,9,CNI12_PEEMPD12,1993-09-01T00:00:00-03:00,118.38985955711
1993-10-01,1993,1,10,CNI12_PEEMPD12,1993-10-01T00:00:00-03:00,118.099334368358
1993-11-01,1993,1,11,CNI12_PEEMPD12,1993-11-01T00:00:00-03:00,117.917080948032
1993-12-01,1993,1,12,CNI12_PEEMPD12,1993-12-01T00:00:00-02:00,117.975582410098
1994-01-01,1994,1,1,CNI12_PEEMPD12,1994-01-01T00:00:00-02:00,117.432308043815
1994-02-01,1994,1,2,CNI12_PEEMPD12,1994-02-01T00:00:00-02:00,117.165923188407
1994-03-01,1994,1,3,CNI12_PEEMPD12,1994-03-01T00:00:00-03:00,116.776891156643
1994-04-01,1994,1,4,CNI12_PEEMPD12,1994-04-01T00:00:00-03:00,116.44053366
1994-05-01,1994,1,5,CNI12_PEEMPD12,1994-05-01T00:00:00-03:00,116.128923099668
1994-06-01,1994,1,6,CNI12_PEEMPD12,1994-06-01T00:00:00-03:00,116.054937190233
1994-07-01,1994,1,7,CNI12_PEEMPD12,1994-07-01T00:00:00-03:00,115.828172981538
1994-08-01,1994,1,8,CNI12_PEEMPD12,1994-08-01T00:00:00-03:00,115.852347356703
1994-09-01,1994,1,9,CNI12_PEEMPD12,1994-09-01T00:00:00-03:00,116.402027129213
1994-10-01,1994,1,10,CNI12_PEEMPD12,1994-10-01T00:00:00-03:00,117.141160537657
1994-11-01,1994,1,11,CNI12_PEEMPD12,1994-11-01T00:00:00-03:00,117.599542434298
1994-12-01,1994,1,12,CNI12_PEEMPD12,1994-12-01T00:00:00-02:00,117.984641631219
1995-01-01,1995,1,1,CNI12_PEEMPD12,1995-01-01T00:00:00-02:00,118.883541609376
1995-02-01,1995,1,2,CNI12_PEEMPD12,1995-02-01T00:00:00-02:00,119.208579091835
1995-03-01,1995,1,3,CNI12_PEEMPD12,1995-03-01T00:00:00-03:00,119.419803257526
1995-04-01,1995,1,4,CNI12_PEEMPD12,1995-04-01T00:00:00-03:00,119.020744370509
1995-05-01,1995,1,5,CNI12_PEEMPD12,1995-05-01T00:00:00-03:00,118.338947180684
1995-06-01,1995,1,6,CNI12_PEEMPD12,1995-06-01T00:00:00-03:00,117.047378466052
1995-07-01,1995,1,7,CNI12_PEEMPD12,1995-07-01T00:00:00-03:00,115.828749562023
1995-08-01,1995,1,8,CNI12_PEEMPD12,1995-08-01T00:00:00-03:00,113.441566016976
1995-09-01,1995,1,9,CNI12_PEEMPD12,1995-09-01T00:00:00-03:00,112.103429168876
1995-10-01,1995,1,10,CNI12_PEEMPD12,1995-10-01T00:00:00-03:00,111.166449993306
1995-11-01,1995,1,11,CNI12_PEEMPD12,1995-11-01T00:00:00-03:00,110.627634177478
1995-12-01,1995,1,12,CNI12_PEEMPD12,1995-12-01T00:00:00-02:00,110.203631813218
1996-01-01,1996,1,1,CNI12_PEEMPD12,1996-01-01T00:00:00-02:00,109.563278519912
1996-02-01,1996,1,2,CNI12_PEEMPD12,1996-02-01T00:00:00-02:00,108.857248873712
1996-03-01,1996,1,3,CNI12_PEEMPD12,1996-03-01T00:00:00-03:00,108.182790395298
1996-04-01,1996,1,4,CNI12_PEEMPD12,1996-04-01T00:00:00-03:00,107.41442494401
1996-05-01,1996,1,5,CNI12_PEEMPD12,1996-05-01T00:00:00-03:00,106.715588715968
1996-06-01,1996,1,6,CNI12_PEEMPD12,1996-06-01T00:00:00-03:00,106.404231705876
1996-07-01,1996,1,7,CNI12_PEEMPD12,1996-07-01T00:00:00-03:00,106.366470750993
1996-08-01,1996,1,8,CNI12_PEEMPD12,1996-08-01T00:00:00-03:00,106.03572171048
1996-09-01,1996,1,9,CNI12_PEEMPD12,1996-09-01T00:00:00-03:00,106.07984486844
1996-10-01,1996,1,10,CNI12_PEEMPD12,1996-10-01T00:00:00-03:00,105.916023047261
1996-11-01,1996,1,11,CNI12_PEEMPD12,1996-11-01T00:00:00-03:00,105.766849808209
1996-12-01,1996,1,12,CNI12_PEEMPD12,1996-12-01T00:00:00-02:00,105.504923534868
1997-01-01,1997,1,1,CNI12_PEEMPD12,1997-01-01T00:00:00-02:00,105.348416568067
1997-02-01,1997,1,2,CNI12_PEEMPD12,1997-02-01T00:00:00-02:00,104.947789113644
1997-03-01,1997,1,3,CNI12_PEEMPD12,1997-03-01T00:00:00-03:00,104.396942560813
1997-04-01,1997,1,4,CNI12_PEEMPD12,1997-04-01T00:00:00-03:00,103.757535064372
1997-05-01,1997,1,5,CNI12_PEEMPD12,1997-05-01T00:00:00-03:00,103.141959827099
1997-06-01,1997,1,6,CNI12_PEEMPD12,1997-06-01T00:00:00-03:00,102.767717809799
1997-07-01,1997,1,7,CNI12_PEEMPD12,1997-07-01T00:00:00-03:00,102.106885999925
1997-08-01,1997,1,8,CNI12_PEEMPD12,1997-08-01T00:00:00-03:00,101.641589750828
1997-09-01,1997,1,9,CNI12_PEEMPD12,1997-09-01T00:00:00-03:00,101.162398345158
1997-10-01,1997,1,10,CNI12_PEEMPD12,1997-10-01T00:00:00-03:00,100.730618655106
1997-11-01,1997,1,11,CNI12_PEEMPD12,1997-11-01T00:00:00-03:00,100.279647233448
1997-12-01,1997,1,12,CNI12_PEEMPD12,1997-12-01T00:00:00-02:00,99.7032501567195
1998-01-01,1998,1,1,CNI12_PEEMPD12,1998-01-01T00:00:00-02:00,98.9532651571367
1998-02-01,1998,1,2,CNI12_PEEMPD12,1998-02-01T00:00:00-02:00,98.4676901888096
1998-03-01,1998,1,3,CNI12_PEEMPD12,1998-03-01T00:00:00-03:00,97.9748046246601
1998-04-01,1998,1,4,CNI12_PEEMPD12,1998-04-01T00:00:00-03:00,97.5536216461264
1998-05-01,1998,1,5,CNI12_PEEMPD12,1998-05-01T00:00:00-03:00,97.0591053749249
1998-06-01,1998,1,6,CNI12_PEEMPD12,1998-06-01T00:00:00-03:00,96.6335842495099
1998-07-01,1998,1,7,CNI12_PEEMPD12,1998-07-01T00:00:00-03:00,96.38446099281
1998-08-01,1998,1,8,CNI12_PEEMPD12,1998-08-01T00:00:00-03:00,95.8592334739028
1998-09-01,1998,1,9,CNI12_PEEMPD12,1998-09-01T00:00:00-03:00,95.4972249449962
1998-10-01,1998,1,10,CNI12_PEEMPD12,1998-10-01T00:00:00-03:00,94.8612923856229
1998-11-01,1998,1,11,CNI12_PEEMPD12,1998-11-01T00:00:00-03:00,93.9733985480751
1998-12-01,1998,1,12,CNI12_PEEMPD12,1998-12-01T00:00:00-02:00,93.4062852946262
1999-01-01,1999,1,1,CNI12_PEEMPD12,1999-01-01T00:00:00-02:00,92.8031900366711
1999-02-01,1999,1,2,CNI12_PEEMPD12,1999-02-01T00:00:00-02:00,91.800200923243
1999-03-01,1999,1,3,CNI12_PEEMPD12,1999-03-01T00:00:00-03:00,91.0987890173594
1999-04-01,1999,1,4,CNI12_PEEMPD12,1999-04-01T00:00:00-03:00,90.5520216655713
1999-05-01,1999,1,5,CNI12_PEEMPD12,1999-05-01T00:00:00-03:00,90.1906091265064
1999-06-01,1999,1,6,CNI12_PEEMPD12,1999-06-01T00:00:00-03:00,90.161820532558
1999-07-01,1999,1,7,CNI12_PEEMPD12,1999-07-01T00:00:00-03:00,90.1458559642307
1999-08-01,1999,1,8,CNI12_PEEMPD12,1999-08-01T00:00:00-03:00,90.1811310570637
1999-09-01,1999,1,9,CNI12_PEEMPD12,1999-09-01T00:00:00-03:00,90.2220959496768
1999-10-01,1999,1,10,CNI12_PEEMPD12,1999-10-01T00:00:00-03:00,90.4116851103861
1999-11-01,1999,1,11,CNI12_PEEMPD12,1999-11-01T00:00:00-03:00,90.6719097864835
1999-12-01,1999,1,12,CNI12_PEEMPD12,1999-12-01T00:00:00-02:00,90.8659821210136
2000-01-01,2000,1,1,CNI12_PEEMPD12,2000-01-01T00:00:00-02:00,90.8684839657442
2000-02-01,2000,1,2,CNI12_PEEMPD12,2000-02-01T00:00:00-02:00,90.8708983373979
2000-03-01,2000,1,3,CNI12_PEEMPD12,2000-03-01T00:00:00-03:00,90.7938623448119
2000-04-01,2000,1,4,CNI12_PEEMPD12,2000-04-01T00:00:00-03:00,90.8816944862513
