DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (-)
1991-12-01,1991,1,12,CNI12_VENREA12,1991-12-01T00:00:00-02:00,48.9298103406456
1992-01-01,1992,1,1,CNI12_VENREA12,1992-01-01T00:00:00-02:00,51.4594452614013
1992-02-01,1992,1,2,CNI12_VENREA12,1992-02-01T00:00:00-02:00,51.69044906082
1992-03-01,1992,1,3,CNI12_VENREA12,1992-03-01T00:00:00-03:00,54.1242662496314
1992-04-01,1992,1,4,CNI12_VENREA12,1992-04-01T00:00:00-03:00,55.7037379103317
1992-05-01,1992,1,5,CNI12_VENREA12,1992-05-01T00:00:00-03:00,56.7949369162466
1992-06-01,1992,1,6,CNI12_VENREA12,1992-06-01T00:00:00-03:00,57.9257967416107
1992-07-01,1992,1,7,CNI12_VENREA12,1992-07-01T00:00:00-03:00,62.7711438445873
1992-08-01,1992,1,8,CNI12_VENREA12,1992-08-01T00:00:00-03:00,59.9073167977036
1992-09-01,1992,1,9,CNI12_VENREA12,1992-09-01T00:00:00-03:00,61.7895093148212
1992-10-01,1992,1,10,CNI12_VENREA12,1992-10-01T00:00:00-03:00,61.6454902329855
1992-11-01,1992,1,11,CNI12_VENREA12,1992-11-01T00:00:00-03:00,59.8592909381637
1992-12-01,1992,1,12,CNI12_VENREA12,1992-12-01T00:00:00-02:00,54.9979742131965
1993-01-01,1993,1,1,CNI12_VENREA12,1993-01-01T00:00:00-02:00,53.5407608307401
1993-02-01,1993,1,2,CNI12_VENREA12,1993-02-01T00:00:00-02:00,53.8570529410103
1993-03-01,1993,1,3,CNI12_VENREA12,1993-03-01T00:00:00-03:00,65.6760356337328
1993-04-01,1993,1,4,CNI12_VENREA12,1993-04-01T00:00:00-03:00,61.0020256106492
1993-05-01,1993,1,5,CNI12_VENREA12,1993-05-01T00:00:00-03:00,63.3213060966848
1993-06-01,1993,1,6,CNI12_VENREA12,1993-06-01T00:00:00-03:00,62.4928161470349
1993-07-01,1993,1,7,CNI12_VENREA12,1993-07-01T00:00:00-03:00,62.7042820206481
1993-08-01,1993,1,8,CNI12_VENREA12,1993-08-01T00:00:00-03:00,64.5209581398552
1993-09-01,1993,1,9,CNI12_VENREA12,1993-09-01T00:00:00-03:00,62.7068558791374
1993-10-01,1993,1,10,CNI12_VENREA12,1993-10-01T00:00:00-03:00,63.2622828417814
1993-11-01,1993,1,11,CNI12_VENREA12,1993-11-01T00:00:00-03:00,62.6801813457024
1993-12-01,1993,1,12,CNI12_VENREA12,1993-12-01T00:00:00-02:00,58.734046804049
1994-01-01,1994,1,1,CNI12_VENREA12,1994-01-01T00:00:00-02:00,56.1916595844142
1994-02-01,1994,1,2,CNI12_VENREA12,1994-02-01T00:00:00-02:00,54.5187100631236
1994-03-01,1994,1,3,CNI12_VENREA12,1994-03-01T00:00:00-03:00,63.7003067592409
1994-04-01,1994,1,4,CNI12_VENREA12,1994-04-01T00:00:00-03:00,55.1522302322057
1994-05-01,1994,1,5,CNI12_VENREA12,1994-05-01T00:00:00-03:00,62.9560521783332
1994-06-01,1994,1,6,CNI12_VENREA12,1994-06-01T00:00:00-03:00,62.4226785032002
1994-07-01,1994,1,7,CNI12_VENREA12,1994-07-01T00:00:00-03:00,63.9108951810965
1994-08-01,1994,1,8,CNI12_VENREA12,1994-08-01T00:00:00-03:00,75.337247460626
1994-09-01,1994,1,9,CNI12_VENREA12,1994-09-01T00:00:00-03:00,76.0134702819176
1994-10-01,1994,1,10,CNI12_VENREA12,1994-10-01T00:00:00-03:00,77.1521686763176
1994-11-01,1994,1,11,CNI12_VENREA12,1994-11-01T00:00:00-03:00,78.1312293475943
1994-12-01,1994,1,12,CNI12_VENREA12,1994-12-01T00:00:00-02:00,73.8114758474989
1995-01-01,1995,1,1,CNI12_VENREA12,1995-01-01T00:00:00-02:00,71.6907334458459
1995-02-01,1995,1,2,CNI12_VENREA12,1995-02-01T00:00:00-02:00,68.5054080749295
1995-03-01,1995,1,3,CNI12_VENREA12,1995-03-01T00:00:00-03:00,83.6558996014064
1995-04-01,1995,1,4,CNI12_VENREA12,1995-04-01T00:00:00-03:00,70.167594187992
1995-05-01,1995,1,5,CNI12_VENREA12,1995-05-01T00:00:00-03:00,76.9786672154222
1995-06-01,1995,1,6,CNI12_VENREA12,1995-06-01T00:00:00-03:00,73.2169730332439
1995-07-01,1995,1,7,CNI12_VENREA12,1995-07-01T00:00:00-03:00,70.4879225763478
1995-08-01,1995,1,8,CNI12_VENREA12,1995-08-01T00:00:00-03:00,74.7484188344044
1995-09-01,1995,1,9,CNI12_VENREA12,1995-09-01T00:00:00-03:00,71.264116401237
1995-10-01,1995,1,10,CNI12_VENREA12,1995-10-01T00:00:00-03:00,74.6852423078478
1995-11-01,1995,1,11,CNI12_VENREA12,1995-11-01T00:00:00-03:00,74.5061251557029
1995-12-01,1995,1,12,CNI12_VENREA12,1995-12-01T00:00:00-02:00,67.2032696664562
1996-01-01,1996,1,1,CNI12_VENREA12,1996-01-01T00:00:00-02:00,67.5778830702236
1996-02-01,1996,1,2,CNI12_VENREA12,1996-02-01T00:00:00-02:00,68.4737613148674
1996-03-01,1996,1,3,CNI12_VENREA12,1996-03-01T00:00:00-03:00,75.1298763618822
1996-04-01,1996,1,4,CNI12_VENREA12,1996-04-01T00:00:00-03:00,74.4564613862152
1996-05-01,1996,1,5,CNI12_VENREA12,1996-05-01T00:00:00-03:00,80.6434322267631
1996-06-01,1996,1,6,CNI12_VENREA12,1996-06-01T00:00:00-03:00,74.8475123862442
1996-07-01,1996,1,7,CNI12_VENREA12,1996-07-01T00:00:00-03:00,82.0225524027814
1996-08-01,1996,1,8,CNI12_VENREA12,1996-08-01T00:00:00-03:00,81.7506593514524
1996-09-01,1996,1,9,CNI12_VENREA12,1996-09-01T00:00:00-03:00,81.5557480676682
1996-10-01,1996,1,10,CNI12_VENREA12,1996-10-01T00:00:00-03:00,85.3814377313771
1996-11-01,1996,1,11,CNI12_VENREA12,1996-11-01T00:00:00-03:00,83.8336713275228
1996-12-01,1996,1,12,CNI12_VENREA12,1996-12-01T00:00:00-02:00,73.4812615026726
1997-01-01,1997,1,1,CNI12_VENREA12,1997-01-01T00:00:00-02:00,75.881852518258
1997-02-01,1997,1,2,CNI12_VENREA12,1997-02-01T00:00:00-02:00,73.0852967728004
1997-03-01,1997,1,3,CNI12_VENREA12,1997-03-01T00:00:00-03:00,81.2812226610661
1997-04-01,1997,1,4,CNI12_VENREA12,1997-04-01T00:00:00-03:00,84.8102751338778
1997-05-01,1997,1,5,CNI12_VENREA12,1997-05-01T00:00:00-03:00,83.8436742775609
1997-06-01,1997,1,6,CNI12_VENREA12,1997-06-01T00:00:00-03:00,86.4815282484367
1997-07-01,1997,1,7,CNI12_VENREA12,1997-07-01T00:00:00-03:00,89.0149654601424
1997-08-01,1997,1,8,CNI12_VENREA12,1997-08-01T00:00:00-03:00,87.4447362912904
1997-09-01,1997,1,9,CNI12_VENREA12,1997-09-01T00:00:00-03:00,91.9915158095026
1997-10-01,1997,1,10,CNI12_VENREA12,1997-10-01T00:00:00-03:00,94.8786245763583
1997-11-01,1997,1,11,CNI12_VENREA12,1997-11-01T00:00:00-03:00,84.0659035594023
1997-12-01,1997,1,12,CNI12_VENREA12,1997-12-01T00:00:00-02:00,77.4340061809009
1998-01-01,1998,1,1,CNI12_VENREA12,1998-01-01T00:00:00-02:00,75.6989915719467
1998-02-01,1998,1,2,CNI12_VENREA12,1998-02-01T00:00:00-02:00,74.0396133045089
1998-03-01,1998,1,3,CNI12_VENREA12,1998-03-01T00:00:00-03:00,87.8744536654434
1998-04-01,1998,1,4,CNI12_VENREA12,1998-04-01T00:00:00-03:00,82.169262336674
1998-05-01,1998,1,5,CNI12_VENREA12,1998-05-01T00:00:00-03:00,85.1055668987463
1998-06-01,1998,1,6,CNI12_VENREA12,1998-06-01T00:00:00-03:00,84.7821381808465
1998-07-01,1998,1,7,CNI12_VENREA12,1998-07-01T00:00:00-03:00,84.8972598514609
1998-08-01,1998,1,8,CNI12_VENREA12,1998-08-01T00:00:00-03:00,86.9238809279015
1998-09-01,1998,1,9,CNI12_VENREA12,1998-09-01T00:00:00-03:00,87.5294981310876
1998-10-01,1998,1,10,CNI12_VENREA12,1998-10-01T00:00:00-03:00,85.1252218181195
1998-11-01,1998,1,11,CNI12_VENREA12,1998-11-01T00:00:00-03:00,81.7717181936379
1998-12-01,1998,1,12,CNI12_VENREA12,1998-12-01T00:00:00-02:00,78.3705396903195
1999-01-01,1999,1,1,CNI12_VENREA12,1999-01-01T00:00:00-02:00,73.7916454377741
1999-02-01,1999,1,2,CNI12_VENREA12,1999-02-01T00:00:00-02:00,71.4437600244365
1999-03-01,1999,1,3,CNI12_VENREA12,1999-03-01T00:00:00-03:00,86.1862364835687
1999-04-01,1999,1,4,CNI12_VENREA12,1999-04-01T00:00:00-03:00,78.2609752141708
1999-05-01,1999,1,5,CNI12_VENREA12,1999-05-01T00:00:00-03:00,81.029803484084
1999-06-01,1999,1,6,CNI12_VENREA12,1999-06-01T00:00:00-03:00,84.7234074098623
1999-07-01,1999,1,7,CNI12_VENREA12,1999-07-01T00:00:00-03:00,83.5727756715573
1999-08-01,1999,1,8,CNI12_VENREA12,1999-08-01T00:00:00-03:00,89.7971844537685
1999-09-01,1999,1,9,CNI12_VENREA12,1999-09-01T00:00:00-03:00,89.6831157252634
1999-10-01,1999,1,10,CNI12_VENREA12,1999-10-01T00:00:00-03:00,89.6538088365547
1999-11-01,1999,1,11,CNI12_VENREA12,1999-11-01T00:00:00-03:00,90.8448033557154
1999-12-01,1999,1,12,CNI12_VENREA12,1999-12-01T00:00:00-02:00,86.4071788361648
2000-01-01,2000,1,1,CNI12_VENREA12,2000-01-01T00:00:00-02:00,78.361472688823
2000-02-01,2000,1,2,CNI12_VENREA12,2000-02-01T00:00:00-02:00,84.6928720886933
2000-03-01,2000,1,3,CNI12_VENREA12,2000-03-01T00:00:00-03:00,90.3726173164886
2000-04-01,2000,1,4,CNI12_VENREA12,2000-04-01T00:00:00-03:00,84.8426238553461
2000-05-01,2000,1,5,CNI12_VENREA12,2000-05-01T00:00:00-03:00,95.062830948698
2000-06-01,2000,1,6,CNI12_VENREA12,2000-06-01T00:00:00-03:00,92.6704294828512
2000-07-01,2000,1,7,CNI12_VENREA12,2000-07-01T00:00:00-03:00,93.4332860410232
2000-08-01,2000,1,8,CNI12_VENREA12,2000-08-01T00:00:00-03:00,99.3971501479721
2000-09-01,2000,1,9,CNI12_VENREA12,2000-09-01T00:00:00-03:00,97.0269189632042
2000-10-01,2000,1,10,CNI12_VENREA12,2000-10-01T00:00:00-03:00,100.544623059949
2000-11-01,2000,1,11,CNI12_VENREA12,2000-11-01T00:00:00-03:00,100.833129197891
2000-12-01,2000,1,12,CNI12_VENREA12,2000-12-01T00:00:00-02:00,96.4329426200039
2001-01-01,2001,1,1,CNI12_VENREA12,2001-01-01T00:00:00-02:00,91.9723873611848
2001-02-01,2001,1,2,CNI12_VENREA12,2001-02-01T00:00:00-02:00,90.0508850053201
2001-03-01,2001,1,3,CNI12_VENREA12,2001-03-01T00:00:00-03:00,106.819924044108
2001-04-01,2001,1,4,CNI12_VENREA12,2001-04-01T00:00:00-03:00,99.9270725128581
2001-05-01,2001,1,5,CNI12_VENREA12,2001-05-01T00:00:00-03:00,112.428069208473
2001-06-01,2001,1,6,CNI12_VENREA12,2001-06-01T00:00:00-03:00,108.355932594409
2001-07-01,2001,1,7,CNI12_VENREA12,2001-07-01T00:00:00-03:00,107.059351380401
2001-08-01,2001,1,8,CNI12_VENREA12,2001-08-01T00:00:00-03:00,107.696381356515
2001-09-01,2001,1,9,CNI12_VENREA12,2001-09-01T00:00:00-03:00,104.320648954171
2001-10-01,2001,1,10,CNI12_VENREA12,2001-10-01T00:00:00-03:00,108.737916592942
2001-11-01,2001,1,11,CNI12_VENREA12,2001-11-01T00:00:00-03:00,100.29232643121
2001-12-01,2001,1,12,CNI12_VENREA12,2001-12-01T00:00:00-02:00,88.2662651236623
2002-01-01,2002,1,1,CNI12_VENREA12,2002-01-01T00:00:00-02:00,87.4583075451437
2002-02-01,2002,1,2,CNI12_VENREA12,2002-02-01T00:00:00-02:00,82.8483515003744
2002-03-01,2002,1,3,CNI12_VENREA12,2002-03-01T00:00:00-03:00,93.4558073028053
2002-04-01,2002,1,4,CNI12_VENREA12,2002-04-01T00:00:00-03:00,96.8534175023087
2002-05-01,2002,1,5,CNI12_VENREA12,2002-05-01T00:00:00-03:00,95.9934562829482
2002-06-01,2002,1,6,CNI12_VENREA12,2002-06-01T00:00:00-03:00,95.4624224791694
2002-07-01,2002,1,7,CNI12_VENREA12,2002-07-01T00:00:00-03:00,102.779609680459
2002-08-01,2002,1,8,CNI12_VENREA12,2002-08-01T00:00:00-03:00,110.195480956102
2002-09-01,2002,1,9,CNI12_VENREA12,2002-09-01T00:00:00-03:00,110.433211885662
2002-10-01,2002,1,10,CNI12_VENREA12,2002-10-01T00:00:00-03:00,119.408373431578
