DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_CSLLDF12,1993-01-01T00:00:00-02:00,17178490.0
1993-02-01,1993,1,2,CONFAZ12_CSLLDF12,1993-02-01T00:00:00-02:00,17338104.0
1993-03-01,1993,1,3,CONFAZ12_CSLLDF12,1993-03-01T00:00:00-03:00,12372011.0
1993-04-01,1993,1,4,CONFAZ12_CSLLDF12,1993-04-01T00:00:00-03:00,5971762.0
1993-05-01,1993,1,5,CONFAZ12_CSLLDF12,1993-05-01T00:00:00-03:00,19324220.0
1993-06-01,1993,1,6,CONFAZ12_CSLLDF12,1993-06-01T00:00:00-03:00,7131394.0
1993-07-01,1993,1,7,CONFAZ12_CSLLDF12,1993-07-01T00:00:00-03:00,3918070.0
1993-08-01,1993,1,8,CONFAZ12_CSLLDF12,1993-08-01T00:00:00-03:00,4293602.0
1993-09-01,1993,1,9,CONFAZ12_CSLLDF12,1993-09-01T00:00:00-03:00,7592412.0
1993-10-01,1993,1,10,CONFAZ12_CSLLDF12,1993-10-01T00:00:00-03:00,4820207.0
1993-11-01,1993,1,11,CONFAZ12_CSLLDF12,1993-11-01T00:00:00-03:00,4115001.0
1993-12-01,1993,1,12,CONFAZ12_CSLLDF12,1993-12-01T00:00:00-02:00,11484984.0
1994-01-01,1994,1,1,CONFAZ12_CSLLDF12,1994-01-01T00:00:00-02:00,9074461.0
1994-02-01,1994,1,2,CONFAZ12_CSLLDF12,1994-02-01T00:00:00-02:00,10205739.0
1994-03-01,1994,1,3,CONFAZ12_CSLLDF12,1994-03-01T00:00:00-03:00,9604704.0
1994-04-01,1994,1,4,CONFAZ12_CSLLDF12,1994-04-01T00:00:00-03:00,12440861.0
1994-05-01,1994,1,5,CONFAZ12_CSLLDF12,1994-05-01T00:00:00-03:00,7751313.0
1994-06-01,1994,1,6,CONFAZ12_CSLLDF12,1994-06-01T00:00:00-03:00,12433827.0
1994-07-01,1994,1,7,CONFAZ12_CSLLDF12,1994-07-01T00:00:00-03:00,13997634.0
1994-08-01,1994,1,8,CONFAZ12_CSLLDF12,1994-08-01T00:00:00-03:00,14589628.0
1994-09-01,1994,1,9,CONFAZ12_CSLLDF12,1994-09-01T00:00:00-03:00,17667028.0
1994-10-01,1994,1,10,CONFAZ12_CSLLDF12,1994-10-01T00:00:00-03:00,11735354.0
1994-11-01,1994,1,11,CONFAZ12_CSLLDF12,1994-11-01T00:00:00-03:00,15931488.0
1994-12-01,1994,1,12,CONFAZ12_CSLLDF12,1994-12-01T00:00:00-02:00,16936921.0
1995-01-01,1995,1,1,CONFAZ12_CSLLDF12,1995-01-01T00:00:00-02:00,16720915.0
1995-02-01,1995,1,2,CONFAZ12_CSLLDF12,1995-02-01T00:00:00-02:00,12645905.0
1995-03-01,1995,1,3,CONFAZ12_CSLLDF12,1995-03-01T00:00:00-03:00,13452629.0
1995-04-01,1995,1,4,CONFAZ12_CSLLDF12,1995-04-01T00:00:00-03:00,11525880.0
1995-05-01,1995,1,5,CONFAZ12_CSLLDF12,1995-05-01T00:00:00-03:00,16406845.0
1995-06-01,1995,1,6,CONFAZ12_CSLLDF12,1995-06-01T00:00:00-03:00,16549544.0
1995-07-01,1995,1,7,CONFAZ12_CSLLDF12,1995-07-01T00:00:00-03:00,14195067.0
1995-08-01,1995,1,8,CONFAZ12_CSLLDF12,1995-08-01T00:00:00-03:00,19496553.0
1995-09-01,1995,1,9,CONFAZ12_CSLLDF12,1995-09-01T00:00:00-03:00,5579124.0
1995-10-01,1995,1,10,CONFAZ12_CSLLDF12,1995-10-01T00:00:00-03:00,21801667.0
1995-11-01,1995,1,11,CONFAZ12_CSLLDF12,1995-11-01T00:00:00-03:00,17443616.0
1995-12-01,1995,1,12,CONFAZ12_CSLLDF12,1995-12-01T00:00:00-02:00,14548504.0
1996-01-01,1996,1,1,CONFAZ12_CSLLDF12,1996-01-01T00:00:00-02:00,10861546.0
1996-02-01,1996,1,2,CONFAZ12_CSLLDF12,1996-02-01T00:00:00-02:00,17665333.0
1996-03-01,1996,1,3,CONFAZ12_CSLLDF12,1996-03-01T00:00:00-03:00,42642390.0
1996-04-01,1996,1,4,CONFAZ12_CSLLDF12,1996-04-01T00:00:00-03:00,17143479.0
1996-05-01,1996,1,5,CONFAZ12_CSLLDF12,1996-05-01T00:00:00-03:00,15076764.0
1996-06-01,1996,1,6,CONFAZ12_CSLLDF12,1996-06-01T00:00:00-03:00,15930105.0
1996-07-01,1996,1,7,CONFAZ12_CSLLDF12,1996-07-01T00:00:00-03:00,39199494.0
1996-08-01,1996,1,8,CONFAZ12_CSLLDF12,1996-08-01T00:00:00-03:00,20614724.0
1996-09-01,1996,1,9,CONFAZ12_CSLLDF12,1996-09-01T00:00:00-03:00,25704784.0
1996-10-01,1996,1,10,CONFAZ12_CSLLDF12,1996-10-01T00:00:00-03:00,17413669.0
1996-11-01,1996,1,11,CONFAZ12_CSLLDF12,1996-11-01T00:00:00-03:00,354304186.0
1996-12-01,1996,1,12,CONFAZ12_CSLLDF12,1996-12-01T00:00:00-02:00,20818828.0
1997-01-01,1997,1,1,CONFAZ12_CSLLDF12,1997-01-01T00:00:00-02:00,8785494.0
1997-02-01,1997,1,2,CONFAZ12_CSLLDF12,1997-02-01T00:00:00-02:00,41003506.0
1997-03-01,1997,1,3,CONFAZ12_CSLLDF12,1997-03-01T00:00:00-03:00,108373443.0
1997-04-01,1997,1,4,CONFAZ12_CSLLDF12,1997-04-01T00:00:00-03:00,68054821.0
1997-05-01,1997,1,5,CONFAZ12_CSLLDF12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_CSLLDF12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_CSLLDF12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_CSLLDF12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_CSLLDF12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_CSLLDF12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_CSLLDF12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_CSLLDF12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_CSLLDF12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_CSLLDF12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_CSLLDF12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_CSLLDF12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_CSLLDF12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_CSLLDF12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_CSLLDF12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_CSLLDF12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_CSLLDF12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_CSLLDF12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_CSLLDF12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_CSLLDF12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_CSLLDF12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_CSLLDF12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_CSLLDF12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_CSLLDF12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_CSLLDF12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_CSLLDF12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_CSLLDF12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_CSLLDF12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_CSLLDF12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_CSLLDF12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_CSLLDF12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_CSLLDF12,1999-12-01T00:00:00-02:00,
