DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_CSLLGO12,1993-01-01T00:00:00-02:00,2020288.0
1993-02-01,1993,1,2,CONFAZ12_CSLLGO12,1993-02-01T00:00:00-02:00,2055504.0
1993-03-01,1993,1,3,CONFAZ12_CSLLGO12,1993-03-01T00:00:00-03:00,2008195.0
1993-04-01,1993,1,4,CONFAZ12_CSLLGO12,1993-04-01T00:00:00-03:00,3640824.0
1993-05-01,1993,1,5,CONFAZ12_CSLLGO12,1993-05-01T00:00:00-03:00,5082146.0
1993-06-01,1993,1,6,CONFAZ12_CSLLGO12,1993-06-01T00:00:00-03:00,3062475.0
1993-07-01,1993,1,7,CONFAZ12_CSLLGO12,1993-07-01T00:00:00-03:00,3419753.0
1993-08-01,1993,1,8,CONFAZ12_CSLLGO12,1993-08-01T00:00:00-03:00,2532807.0
1993-09-01,1993,1,9,CONFAZ12_CSLLGO12,1993-09-01T00:00:00-03:00,2233448.0
1993-10-01,1993,1,10,CONFAZ12_CSLLGO12,1993-10-01T00:00:00-03:00,3018269.0
1993-11-01,1993,1,11,CONFAZ12_CSLLGO12,1993-11-01T00:00:00-03:00,2781400.0
1993-12-01,1993,1,12,CONFAZ12_CSLLGO12,1993-12-01T00:00:00-02:00,2685668.0
1994-01-01,1994,1,1,CONFAZ12_CSLLGO12,1994-01-01T00:00:00-02:00,3502290.0
1994-02-01,1994,1,2,CONFAZ12_CSLLGO12,1994-02-01T00:00:00-02:00,4514231.0
1994-03-01,1994,1,3,CONFAZ12_CSLLGO12,1994-03-01T00:00:00-03:00,2082736.0
1994-04-01,1994,1,4,CONFAZ12_CSLLGO12,1994-04-01T00:00:00-03:00,2733045.0
1994-05-01,1994,1,5,CONFAZ12_CSLLGO12,1994-05-01T00:00:00-03:00,2474307.0
1994-06-01,1994,1,6,CONFAZ12_CSLLGO12,1994-06-01T00:00:00-03:00,3023923.0
1994-07-01,1994,1,7,CONFAZ12_CSLLGO12,1994-07-01T00:00:00-03:00,3642506.0
1994-08-01,1994,1,8,CONFAZ12_CSLLGO12,1994-08-01T00:00:00-03:00,2775716.0
1994-09-01,1994,1,9,CONFAZ12_CSLLGO12,1994-09-01T00:00:00-03:00,3784507.0
1994-10-01,1994,1,10,CONFAZ12_CSLLGO12,1994-10-01T00:00:00-03:00,3756069.0
1994-11-01,1994,1,11,CONFAZ12_CSLLGO12,1994-11-01T00:00:00-03:00,4112797.0
1994-12-01,1994,1,12,CONFAZ12_CSLLGO12,1994-12-01T00:00:00-02:00,6336833.0
1995-01-01,1995,1,1,CONFAZ12_CSLLGO12,1995-01-01T00:00:00-02:00,4305929.0
1995-02-01,1995,1,2,CONFAZ12_CSLLGO12,1995-02-01T00:00:00-02:00,4071279.0
1995-03-01,1995,1,3,CONFAZ12_CSLLGO12,1995-03-01T00:00:00-03:00,5070159.0
1995-04-01,1995,1,4,CONFAZ12_CSLLGO12,1995-04-01T00:00:00-03:00,4754092.0
1995-05-01,1995,1,5,CONFAZ12_CSLLGO12,1995-05-01T00:00:00-03:00,4872085.0
1995-06-01,1995,1,6,CONFAZ12_CSLLGO12,1995-06-01T00:00:00-03:00,4575753.0
1995-07-01,1995,1,7,CONFAZ12_CSLLGO12,1995-07-01T00:00:00-03:00,4431393.0
1995-08-01,1995,1,8,CONFAZ12_CSLLGO12,1995-08-01T00:00:00-03:00,3804796.0
1995-09-01,1995,1,9,CONFAZ12_CSLLGO12,1995-09-01T00:00:00-03:00,4949859.0
1995-10-01,1995,1,10,CONFAZ12_CSLLGO12,1995-10-01T00:00:00-03:00,5613036.0
1995-11-01,1995,1,11,CONFAZ12_CSLLGO12,1995-11-01T00:00:00-03:00,4263396.0
1995-12-01,1995,1,12,CONFAZ12_CSLLGO12,1995-12-01T00:00:00-02:00,4347926.0
1996-01-01,1996,1,1,CONFAZ12_CSLLGO12,1996-01-01T00:00:00-02:00,4658021.0
1996-02-01,1996,1,2,CONFAZ12_CSLLGO12,1996-02-01T00:00:00-02:00,5318770.0
1996-03-01,1996,1,3,CONFAZ12_CSLLGO12,1996-03-01T00:00:00-03:00,9831997.0
1996-04-01,1996,1,4,CONFAZ12_CSLLGO12,1996-04-01T00:00:00-03:00,4886857.0
1996-05-01,1996,1,5,CONFAZ12_CSLLGO12,1996-05-01T00:00:00-03:00,4639887.0
1996-06-01,1996,1,6,CONFAZ12_CSLLGO12,1996-06-01T00:00:00-03:00,4942226.0
1996-07-01,1996,1,7,CONFAZ12_CSLLGO12,1996-07-01T00:00:00-03:00,5141248.0
1996-08-01,1996,1,8,CONFAZ12_CSLLGO12,1996-08-01T00:00:00-03:00,5298427.0
1996-09-01,1996,1,9,CONFAZ12_CSLLGO12,1996-09-01T00:00:00-03:00,5656256.0
1996-10-01,1996,1,10,CONFAZ12_CSLLGO12,1996-10-01T00:00:00-03:00,5683452.0
1996-11-01,1996,1,11,CONFAZ12_CSLLGO12,1996-11-01T00:00:00-03:00,5062231.0
1996-12-01,1996,1,12,CONFAZ12_CSLLGO12,1996-12-01T00:00:00-02:00,6453717.0
1997-01-01,1997,1,1,CONFAZ12_CSLLGO12,1997-01-01T00:00:00-02:00,6959476.0
1997-02-01,1997,1,2,CONFAZ12_CSLLGO12,1997-02-01T00:00:00-02:00,6189060.0
1997-03-01,1997,1,3,CONFAZ12_CSLLGO12,1997-03-01T00:00:00-03:00,10013987.0
1997-04-01,1997,1,4,CONFAZ12_CSLLGO12,1997-04-01T00:00:00-03:00,8268909.0
1997-05-01,1997,1,5,CONFAZ12_CSLLGO12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_CSLLGO12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_CSLLGO12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_CSLLGO12,1997-08-01T00:00:00-03:00,
