DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_CSLLMG12,1993-01-01T00:00:00-02:00,14962611.0
1993-02-01,1993,1,2,CONFAZ12_CSLLMG12,1993-02-01T00:00:00-02:00,125115271.0
1993-03-01,1993,1,3,CONFAZ12_CSLLMG12,1993-03-01T00:00:00-03:00,14165284.0
1993-04-01,1993,1,4,CONFAZ12_CSLLMG12,1993-04-01T00:00:00-03:00,17849859.0
1993-05-01,1993,1,5,CONFAZ12_CSLLMG12,1993-05-01T00:00:00-03:00,34793319.0
1993-06-01,1993,1,6,CONFAZ12_CSLLMG12,1993-06-01T00:00:00-03:00,13339238.0
1993-07-01,1993,1,7,CONFAZ12_CSLLMG12,1993-07-01T00:00:00-03:00,15683583.0
1993-08-01,1993,1,8,CONFAZ12_CSLLMG12,1993-08-01T00:00:00-03:00,12177877.0
1993-09-01,1993,1,9,CONFAZ12_CSLLMG12,1993-09-01T00:00:00-03:00,16678024.0
1993-10-01,1993,1,10,CONFAZ12_CSLLMG12,1993-10-01T00:00:00-03:00,13293196.0
1993-11-01,1993,1,11,CONFAZ12_CSLLMG12,1993-11-01T00:00:00-03:00,14093088.0
1993-12-01,1993,1,12,CONFAZ12_CSLLMG12,1993-12-01T00:00:00-02:00,22022212.0
1994-01-01,1994,1,1,CONFAZ12_CSLLMG12,1994-01-01T00:00:00-02:00,16864838.0
1994-02-01,1994,1,2,CONFAZ12_CSLLMG12,1994-02-01T00:00:00-02:00,16403347.0
1994-03-01,1994,1,3,CONFAZ12_CSLLMG12,1994-03-01T00:00:00-03:00,17735722.0
1994-04-01,1994,1,4,CONFAZ12_CSLLMG12,1994-04-01T00:00:00-03:00,44516704.0
1994-05-01,1994,1,5,CONFAZ12_CSLLMG12,1994-05-01T00:00:00-03:00,15568075.0
1994-06-01,1994,1,6,CONFAZ12_CSLLMG12,1994-06-01T00:00:00-03:00,14363465.0
1994-07-01,1994,1,7,CONFAZ12_CSLLMG12,1994-07-01T00:00:00-03:00,13516024.0
1994-08-01,1994,1,8,CONFAZ12_CSLLMG12,1994-08-01T00:00:00-03:00,19388510.0
1994-09-01,1994,1,9,CONFAZ12_CSLLMG12,1994-09-01T00:00:00-03:00,32683116.0
1994-10-01,1994,1,10,CONFAZ12_CSLLMG12,1994-10-01T00:00:00-03:00,41267714.0
1994-11-01,1994,1,11,CONFAZ12_CSLLMG12,1994-11-01T00:00:00-03:00,25905841.0
1994-12-01,1994,1,12,CONFAZ12_CSLLMG12,1994-12-01T00:00:00-02:00,27309335.0
1995-01-01,1995,1,1,CONFAZ12_CSLLMG12,1995-01-01T00:00:00-02:00,41898497.0
1995-02-01,1995,1,2,CONFAZ12_CSLLMG12,1995-02-01T00:00:00-02:00,28275294.0
1995-03-01,1995,1,3,CONFAZ12_CSLLMG12,1995-03-01T00:00:00-03:00,32884806.0
1995-04-01,1995,1,4,CONFAZ12_CSLLMG12,1995-04-01T00:00:00-03:00,27943520.0
1995-05-01,1995,1,5,CONFAZ12_CSLLMG12,1995-05-01T00:00:00-03:00,36991776.0
1995-06-01,1995,1,6,CONFAZ12_CSLLMG12,1995-06-01T00:00:00-03:00,33013146.0
1995-07-01,1995,1,7,CONFAZ12_CSLLMG12,1995-07-01T00:00:00-03:00,27691407.0
1995-08-01,1995,1,8,CONFAZ12_CSLLMG12,1995-08-01T00:00:00-03:00,30628520.0
1995-09-01,1995,1,9,CONFAZ12_CSLLMG12,1995-09-01T00:00:00-03:00,30793296.0
1995-10-01,1995,1,10,CONFAZ12_CSLLMG12,1995-10-01T00:00:00-03:00,34429312.0
1995-11-01,1995,1,11,CONFAZ12_CSLLMG12,1995-11-01T00:00:00-03:00,34648553.0
1995-12-01,1995,1,12,CONFAZ12_CSLLMG12,1995-12-01T00:00:00-02:00,29459376.0
1996-01-01,1996,1,1,CONFAZ12_CSLLMG12,1996-01-01T00:00:00-02:00,35306878.0
1996-02-01,1996,1,2,CONFAZ12_CSLLMG12,1996-02-01T00:00:00-02:00,31103882.0
1996-03-01,1996,1,3,CONFAZ12_CSLLMG12,1996-03-01T00:00:00-03:00,80485302.0
1996-04-01,1996,1,4,CONFAZ12_CSLLMG12,1996-04-01T00:00:00-03:00,33295556.0
1996-05-01,1996,1,5,CONFAZ12_CSLLMG12,1996-05-01T00:00:00-03:00,26639806.0
1996-06-01,1996,1,6,CONFAZ12_CSLLMG12,1996-06-01T00:00:00-03:00,28798895.0
1996-07-01,1996,1,7,CONFAZ12_CSLLMG12,1996-07-01T00:00:00-03:00,30738134.0
1996-08-01,1996,1,8,CONFAZ12_CSLLMG12,1996-08-01T00:00:00-03:00,28966655.0
1996-09-01,1996,1,9,CONFAZ12_CSLLMG12,1996-09-01T00:00:00-03:00,30329215.0
1996-10-01,1996,1,10,CONFAZ12_CSLLMG12,1996-10-01T00:00:00-03:00,32302290.0
1996-11-01,1996,1,11,CONFAZ12_CSLLMG12,1996-11-01T00:00:00-03:00,30811564.0
1996-12-01,1996,1,12,CONFAZ12_CSLLMG12,1996-12-01T00:00:00-02:00,30995688.0
1997-01-01,1997,1,1,CONFAZ12_CSLLMG12,1997-01-01T00:00:00-02:00,34929819.0
1997-02-01,1997,1,2,CONFAZ12_CSLLMG12,1997-02-01T00:00:00-02:00,29540257.0
1997-03-01,1997,1,3,CONFAZ12_CSLLMG12,1997-03-01T00:00:00-03:00,55024850.0
1997-04-01,1997,1,4,CONFAZ12_CSLLMG12,1997-04-01T00:00:00-03:00,37147741.0
1997-05-01,1997,1,5,CONFAZ12_CSLLMG12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_CSLLMG12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_CSLLMG12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_CSLLMG12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_CSLLMG12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_CSLLMG12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_CSLLMG12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_CSLLMG12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_CSLLMG12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_CSLLMG12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_CSLLMG12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_CSLLMG12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_CSLLMG12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_CSLLMG12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_CSLLMG12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_CSLLMG12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_CSLLMG12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_CSLLMG12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_CSLLMG12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_CSLLMG12,1998-12-01T00:00:00-02:00,
