DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_CSLLPE12,1993-01-01T00:00:00-02:00,2744554.0
1993-02-01,1993,1,2,CONFAZ12_CSLLPE12,1993-02-01T00:00:00-02:00,3052101.0
1993-03-01,1993,1,3,CONFAZ12_CSLLPE12,1993-03-01T00:00:00-03:00,2534067.0
1993-04-01,1993,1,4,CONFAZ12_CSLLPE12,1993-04-01T00:00:00-03:00,3319776.0
1993-05-01,1993,1,5,CONFAZ12_CSLLPE12,1993-05-01T00:00:00-03:00,6628909.0
1993-06-01,1993,1,6,CONFAZ12_CSLLPE12,1993-06-01T00:00:00-03:00,2501929.0
1993-07-01,1993,1,7,CONFAZ12_CSLLPE12,1993-07-01T00:00:00-03:00,2775899.0
1993-08-01,1993,1,8,CONFAZ12_CSLLPE12,1993-08-01T00:00:00-03:00,2999230.0
1993-09-01,1993,1,9,CONFAZ12_CSLLPE12,1993-09-01T00:00:00-03:00,2970116.0
1993-10-01,1993,1,10,CONFAZ12_CSLLPE12,1993-10-01T00:00:00-03:00,3059033.0
1993-11-01,1993,1,11,CONFAZ12_CSLLPE12,1993-11-01T00:00:00-03:00,2826000.0
1993-12-01,1993,1,12,CONFAZ12_CSLLPE12,1993-12-01T00:00:00-02:00,2917017.0
1994-01-01,1994,1,1,CONFAZ12_CSLLPE12,1994-01-01T00:00:00-02:00,3328464.0
1994-02-01,1994,1,2,CONFAZ12_CSLLPE12,1994-02-01T00:00:00-02:00,3937066.0
1994-03-01,1994,1,3,CONFAZ12_CSLLPE12,1994-03-01T00:00:00-03:00,4138342.0
1994-04-01,1994,1,4,CONFAZ12_CSLLPE12,1994-04-01T00:00:00-03:00,5590661.0
1994-05-01,1994,1,5,CONFAZ12_CSLLPE12,1994-05-01T00:00:00-03:00,3156076.0
1994-06-01,1994,1,6,CONFAZ12_CSLLPE12,1994-06-01T00:00:00-03:00,2805893.0
1994-07-01,1994,1,7,CONFAZ12_CSLLPE12,1994-07-01T00:00:00-03:00,5700922.0
1994-08-01,1994,1,8,CONFAZ12_CSLLPE12,1994-08-01T00:00:00-03:00,4314248.0
