DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_CSLLSC12,1993-01-01T00:00:00-02:00,3251969.0
1993-02-01,1993,1,2,CONFAZ12_CSLLSC12,1993-02-01T00:00:00-02:00,4496053.0
1993-03-01,1993,1,3,CONFAZ12_CSLLSC12,1993-03-01T00:00:00-03:00,4258250.0
1993-04-01,1993,1,4,CONFAZ12_CSLLSC12,1993-04-01T00:00:00-03:00,12036611.0
1993-05-01,1993,1,5,CONFAZ12_CSLLSC12,1993-05-01T00:00:00-03:00,13900103.0
1993-06-01,1993,1,6,CONFAZ12_CSLLSC12,1993-06-01T00:00:00-03:00,5683592.0
1993-07-01,1993,1,7,CONFAZ12_CSLLSC12,1993-07-01T00:00:00-03:00,5669661.0
1993-08-01,1993,1,8,CONFAZ12_CSLLSC12,1993-08-01T00:00:00-03:00,5802623.0
1993-09-01,1993,1,9,CONFAZ12_CSLLSC12,1993-09-01T00:00:00-03:00,6552092.0
1993-10-01,1993,1,10,CONFAZ12_CSLLSC12,1993-10-01T00:00:00-03:00,6166537.0
1993-11-01,1993,1,11,CONFAZ12_CSLLSC12,1993-11-01T00:00:00-03:00,6578516.0
1993-12-01,1993,1,12,CONFAZ12_CSLLSC12,1993-12-01T00:00:00-02:00,5883397.0
1994-01-01,1994,1,1,CONFAZ12_CSLLSC12,1994-01-01T00:00:00-02:00,7527598.0
1994-02-01,1994,1,2,CONFAZ12_CSLLSC12,1994-02-01T00:00:00-02:00,7066059.0
1994-03-01,1994,1,3,CONFAZ12_CSLLSC12,1994-03-01T00:00:00-03:00,6041834.0
1994-04-01,1994,1,4,CONFAZ12_CSLLSC12,1994-04-01T00:00:00-03:00,8342247.0
1994-05-01,1994,1,5,CONFAZ12_CSLLSC12,1994-05-01T00:00:00-03:00,5140933.0
1994-06-01,1994,1,6,CONFAZ12_CSLLSC12,1994-06-01T00:00:00-03:00,5346733.0
1994-07-01,1994,1,7,CONFAZ12_CSLLSC12,1994-07-01T00:00:00-03:00,7150327.0
1994-08-01,1994,1,8,CONFAZ12_CSLLSC12,1994-08-01T00:00:00-03:00,12854086.0
1994-09-01,1994,1,9,CONFAZ12_CSLLSC12,1994-09-01T00:00:00-03:00,8391170.0
1994-10-01,1994,1,10,CONFAZ12_CSLLSC12,1994-10-01T00:00:00-03:00,9794467.0
1994-11-01,1994,1,11,CONFAZ12_CSLLSC12,1994-11-01T00:00:00-03:00,11167226.0
1994-12-01,1994,1,12,CONFAZ12_CSLLSC12,1994-12-01T00:00:00-02:00,13096707.0
1995-01-01,1995,1,1,CONFAZ12_CSLLSC12,1995-01-01T00:00:00-02:00,12227426.0
1995-02-01,1995,1,2,CONFAZ12_CSLLSC12,1995-02-01T00:00:00-02:00,13979775.0
1995-03-01,1995,1,3,CONFAZ12_CSLLSC12,1995-03-01T00:00:00-03:00,15813665.0
1995-04-01,1995,1,4,CONFAZ12_CSLLSC12,1995-04-01T00:00:00-03:00,14015707.0
1995-05-01,1995,1,5,CONFAZ12_CSLLSC12,1995-05-01T00:00:00-03:00,15910051.0
1995-06-01,1995,1,6,CONFAZ12_CSLLSC12,1995-06-01T00:00:00-03:00,13370880.0
1995-07-01,1995,1,7,CONFAZ12_CSLLSC12,1995-07-01T00:00:00-03:00,11450190.0
1995-08-01,1995,1,8,CONFAZ12_CSLLSC12,1995-08-01T00:00:00-03:00,12262874.0
1995-09-01,1995,1,9,CONFAZ12_CSLLSC12,1995-09-01T00:00:00-03:00,15067016.0
1995-10-01,1995,1,10,CONFAZ12_CSLLSC12,1995-10-01T00:00:00-03:00,12025387.0
1995-11-01,1995,1,11,CONFAZ12_CSLLSC12,1995-11-01T00:00:00-03:00,13991080.0
1995-12-01,1995,1,12,CONFAZ12_CSLLSC12,1995-12-01T00:00:00-02:00,14482547.0
1996-01-01,1996,1,1,CONFAZ12_CSLLSC12,1996-01-01T00:00:00-02:00,15800600.0
1996-02-01,1996,1,2,CONFAZ12_CSLLSC12,1996-02-01T00:00:00-02:00,10385669.0
1996-03-01,1996,1,3,CONFAZ12_CSLLSC12,1996-03-01T00:00:00-03:00,24964019.0
1996-04-01,1996,1,4,CONFAZ12_CSLLSC12,1996-04-01T00:00:00-03:00,12020402.0
1996-05-01,1996,1,5,CONFAZ12_CSLLSC12,1996-05-01T00:00:00-03:00,10320373.0
1996-06-01,1996,1,6,CONFAZ12_CSLLSC12,1996-06-01T00:00:00-03:00,11166649.0
1996-07-01,1996,1,7,CONFAZ12_CSLLSC12,1996-07-01T00:00:00-03:00,10955979.0
1996-08-01,1996,1,8,CONFAZ12_CSLLSC12,1996-08-01T00:00:00-03:00,16519613.0
1996-09-01,1996,1,9,CONFAZ12_CSLLSC12,1996-09-01T00:00:00-03:00,14876306.0
1996-10-01,1996,1,10,CONFAZ12_CSLLSC12,1996-10-01T00:00:00-03:00,14883498.0
1996-11-01,1996,1,11,CONFAZ12_CSLLSC12,1996-11-01T00:00:00-03:00,13629034.0
1996-12-01,1996,1,12,CONFAZ12_CSLLSC12,1996-12-01T00:00:00-02:00,14760136.0
1997-01-01,1997,1,1,CONFAZ12_CSLLSC12,1997-01-01T00:00:00-02:00,15509654.0
1997-02-01,1997,1,2,CONFAZ12_CSLLSC12,1997-02-01T00:00:00-02:00,13240659.0
1997-03-01,1997,1,3,CONFAZ12_CSLLSC12,1997-03-01T00:00:00-03:00,22012455.0
1997-04-01,1997,1,4,CONFAZ12_CSLLSC12,1997-04-01T00:00:00-03:00,17729060.0
1997-05-01,1997,1,5,CONFAZ12_CSLLSC12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_CSLLSC12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_CSLLSC12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_CSLLSC12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_CSLLSC12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_CSLLSC12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_CSLLSC12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_CSLLSC12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_CSLLSC12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_CSLLSC12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_CSLLSC12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_CSLLSC12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_CSLLSC12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_CSLLSC12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_CSLLSC12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_CSLLSC12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_CSLLSC12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_CSLLSC12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_CSLLSC12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_CSLLSC12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_CSLLSC12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_CSLLSC12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_CSLLSC12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_CSLLSC12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_CSLLSC12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_CSLLSC12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_CSLLSC12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_CSLLSC12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_CSLLSC12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_CSLLSC12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_CSLLSC12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_CSLLSC12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_CSLLSC12,2000-01-01T00:00:00-02:00,15084755.0
2000-02-01,2000,1,2,CONFAZ12_CSLLSC12,2000-02-01T00:00:00-02:00,10432983.0
2000-03-01,2000,1,3,CONFAZ12_CSLLSC12,2000-03-01T00:00:00-03:00,11724788.0
2000-04-01,2000,1,4,CONFAZ12_CSLLSC12,2000-04-01T00:00:00-03:00,21089501.0
2000-05-01,2000,1,5,CONFAZ12_CSLLSC12,2000-05-01T00:00:00-03:00,11439681.0
2000-06-01,2000,1,6,CONFAZ12_CSLLSC12,2000-06-01T00:00:00-03:00,16171008.0
2000-07-01,2000,1,7,CONFAZ12_CSLLSC12,2000-07-01T00:00:00-03:00,22497295.0
2000-08-01,2000,1,8,CONFAZ12_CSLLSC12,2000-08-01T00:00:00-03:00,13864613.0
2000-09-01,2000,1,9,CONFAZ12_CSLLSC12,2000-09-01T00:00:00-03:00,14857706.0
2000-10-01,2000,1,10,CONFAZ12_CSLLSC12,2000-10-01T00:00:00-03:00,27652472.0
2000-11-01,2000,1,11,CONFAZ12_CSLLSC12,2000-11-01T00:00:00-03:00,18466394.0
2000-12-01,2000,1,12,CONFAZ12_CSLLSC12,2000-12-01T00:00:00-02:00,16271538.0
2001-01-01,2001,1,1,CONFAZ12_CSLLSC12,2001-01-01T00:00:00-02:00,27990653.0
2001-02-01,2001,1,2,CONFAZ12_CSLLSC12,2001-02-01T00:00:00-02:00,14300459.0
2001-03-01,2001,1,3,CONFAZ12_CSLLSC12,2001-03-01T00:00:00-03:00,13549060.0
2001-04-01,2001,1,4,CONFAZ12_CSLLSC12,2001-04-01T00:00:00-03:00,27962585.0
2001-05-01,2001,1,5,CONFAZ12_CSLLSC12,2001-05-01T00:00:00-03:00,20674490.0
2001-06-01,2001,1,6,CONFAZ12_CSLLSC12,2001-06-01T00:00:00-03:00,22076159.0
2001-07-01,2001,1,7,CONFAZ12_CSLLSC12,2001-07-01T00:00:00-03:00,29199770.0
2001-08-01,2001,1,8,CONFAZ12_CSLLSC12,2001-08-01T00:00:00-03:00,21348428.0
2001-09-01,2001,1,9,CONFAZ12_CSLLSC12,2001-09-01T00:00:00-03:00,21534097.0
2001-10-01,2001,1,10,CONFAZ12_CSLLSC12,2001-10-01T00:00:00-03:00,34745703.0
2001-11-01,2001,1,11,CONFAZ12_CSLLSC12,2001-11-01T00:00:00-03:00,25014508.0
2001-12-01,2001,1,12,CONFAZ12_CSLLSC12,2001-12-01T00:00:00-02:00,23396696.0
2002-01-01,2002,1,1,CONFAZ12_CSLLSC12,2002-01-01T00:00:00-02:00,33168999.0
2002-02-01,2002,1,2,CONFAZ12_CSLLSC12,2002-02-01T00:00:00-02:00,22089688.0
2002-03-01,2002,1,3,CONFAZ12_CSLLSC12,2002-03-01T00:00:00-03:00,19885319.0
2002-04-01,2002,1,4,CONFAZ12_CSLLSC12,2002-04-01T00:00:00-03:00,34835114.0
2002-05-01,2002,1,5,CONFAZ12_CSLLSC12,2002-05-01T00:00:00-03:00,21130308.0
2002-06-01,2002,1,6,CONFAZ12_CSLLSC12,2002-06-01T00:00:00-03:00,15945421.0
2002-07-01,2002,1,7,CONFAZ12_CSLLSC12,2002-07-01T00:00:00-03:00,34666406.0
2002-08-01,2002,1,8,CONFAZ12_CSLLSC12,2002-08-01T00:00:00-03:00,21380673.0
2002-09-01,2002,1,9,CONFAZ12_CSLLSC12,2002-09-01T00:00:00-03:00,22656943.0
2002-10-01,2002,1,10,CONFAZ12_CSLLSC12,2002-10-01T00:00:00-03:00,49194392.0
2002-11-01,2002,1,11,CONFAZ12_CSLLSC12,2002-11-01T00:00:00-03:00,31850727.0
2002-12-01,2002,1,12,CONFAZ12_CSLLSC12,2002-12-01T00:00:00-02:00,26215676.0
2003-01-01,2003,1,1,CONFAZ12_CSLLSC12,2003-01-01T00:00:00-02:00,45380604.0
2003-02-01,2003,1,2,CONFAZ12_CSLLSC12,2003-02-01T00:00:00-02:00,20378089.0
2003-03-01,2003,1,3,CONFAZ12_CSLLSC12,2003-03-01T00:00:00-03:00,25996104.0
2003-04-01,2003,1,4,CONFAZ12_CSLLSC12,2003-04-01T00:00:00-03:00,44554233.0
2003-05-01,2003,1,5,CONFAZ12_CSLLSC12,2003-05-01T00:00:00-03:00,55048440.0
2003-06-01,2003,1,6,CONFAZ12_CSLLSC12,2003-06-01T00:00:00-03:00,20520208.0
2003-07-01,2003,1,7,CONFAZ12_CSLLSC12,2003-07-01T00:00:00-03:00,46696897.0
2003-08-01,2003,1,8,CONFAZ12_CSLLSC12,2003-08-01T00:00:00-03:00,36504271.0
2003-09-01,2003,1,9,CONFAZ12_CSLLSC12,2003-09-01T00:00:00-03:00,27526615.0
2003-10-01,2003,1,10,CONFAZ12_CSLLSC12,2003-10-01T00:00:00-03:00,50153756.0
2003-11-01,2003,1,11,CONFAZ12_CSLLSC12,2003-11-01T00:00:00-03:00,31334026.0
2003-12-01,2003,1,12,CONFAZ12_CSLLSC12,2003-12-01T00:00:00-02:00,26242436.0
2004-01-01,2004,1,1,CONFAZ12_CSLLSC12,2004-01-01T00:00:00-02:00,61667035.0
2004-02-01,2004,1,2,CONFAZ12_CSLLSC12,2004-02-01T00:00:00-02:00,28215300.0
2004-03-01,2004,1,3,CONFAZ12_CSLLSC12,2004-03-01T00:00:00-03:00,30382042.0
2004-04-01,2004,1,4,CONFAZ12_CSLLSC12,2004-04-01T00:00:00-03:00,62591659.0
2004-05-01,2004,1,5,CONFAZ12_CSLLSC12,2004-05-01T00:00:00-03:00,42748888.0
2004-06-01,2004,1,6,CONFAZ12_CSLLSC12,2004-06-01T00:00:00-03:00,26027140.0
2004-07-01,2004,1,7,CONFAZ12_CSLLSC12,2004-07-01T00:00:00-03:00,68202335.0
2004-08-01,2004,1,8,CONFAZ12_CSLLSC12,2004-08-01T00:00:00-03:00,33543896.0
2004-09-01,2004,1,9,CONFAZ12_CSLLSC12,2004-09-01T00:00:00-03:00,43970114.0
2004-10-01,2004,1,10,CONFAZ12_CSLLSC12,2004-10-01T00:00:00-03:00,79179806.0
2004-11-01,2004,1,11,CONFAZ12_CSLLSC12,2004-11-01T00:00:00-03:00,46403735.0
2004-12-01,2004,1,12,CONFAZ12_CSLLSC12,2004-12-01T00:00:00-02:00,44842078.0
2005-01-01,2005,1,1,CONFAZ12_CSLLSC12,2005-01-01T00:00:00-02:00,85920284.0
2005-02-01,2005,1,2,CONFAZ12_CSLLSC12,2005-02-01T00:00:00-02:00,36922981.0
2005-03-01,2005,1,3,CONFAZ12_CSLLSC12,2005-03-01T00:00:00-03:00,38165126.0
2005-04-01,2005,1,4,CONFAZ12_CSLLSC12,2005-04-01T00:00:00-03:00,83582211.0
2005-05-01,2005,1,5,CONFAZ12_CSLLSC12,2005-05-01T00:00:00-03:00,45643447.0
2005-06-01,2005,1,6,CONFAZ12_CSLLSC12,2005-06-01T00:00:00-03:00,33157053.0
2005-07-01,2005,1,7,CONFAZ12_CSLLSC12,2005-07-01T00:00:00-03:00,92902995.0
2005-08-01,2005,1,8,CONFAZ12_CSLLSC12,2005-08-01T00:00:00-03:00,46549502.0
2005-09-01,2005,1,9,CONFAZ12_CSLLSC12,2005-09-01T00:00:00-03:00,39399249.0
2005-10-01,2005,1,10,CONFAZ12_CSLLSC12,2005-10-01T00:00:00-03:00,91758341.0
2005-11-01,2005,1,11,CONFAZ12_CSLLSC12,2005-11-01T00:00:00-02:00,41395276.0
2005-12-01,2005,1,12,CONFAZ12_CSLLSC12,2005-12-01T00:00:00-02:00,44202733.0
2006-01-01,2006,1,1,CONFAZ12_CSLLSC12,2006-01-01T00:00:00-02:00,96163327.0
2006-02-01,2006,1,2,CONFAZ12_CSLLSC12,2006-02-01T00:00:00-02:00,43324986.0
2006-03-01,2006,1,3,CONFAZ12_CSLLSC12,2006-03-01T00:00:00-03:00,53418956.0
2006-04-01,2006,1,4,CONFAZ12_CSLLSC12,2006-04-01T00:00:00-03:00,78797409.0
2006-05-01,2006,1,5,CONFAZ12_CSLLSC12,2006-05-01T00:00:00-03:00,35386189.0
2006-06-01,2006,1,6,CONFAZ12_CSLLSC12,2006-06-01T00:00:00-03:00,37575486.0
2006-07-01,2006,1,7,CONFAZ12_CSLLSC12,2006-07-01T00:00:00-03:00,85249461.0
2006-08-01,2006,1,8,CONFAZ12_CSLLSC12,2006-08-01T00:00:00-03:00,45317287.0
2006-09-01,2006,1,9,CONFAZ12_CSLLSC12,2006-09-01T00:00:00-03:00,45046239.0
2006-10-01,2006,1,10,CONFAZ12_CSLLSC12,2006-10-01T00:00:00-03:00,92317564.0
2006-11-01,2006,1,11,CONFAZ12_CSLLSC12,2006-11-01T00:00:00-03:00,40508981.0
2006-12-01,2006,1,12,CONFAZ12_CSLLSC12,2006-12-01T00:00:00-02:00,39528984.0
2007-01-01,2007,1,1,CONFAZ12_CSLLSC12,2007-01-01T00:00:00-02:00,99307972.0
2007-02-01,2007,1,2,CONFAZ12_CSLLSC12,2007-02-01T00:00:00-02:00,52603536.0
2007-03-01,2007,1,3,CONFAZ12_CSLLSC12,2007-03-01T00:00:00-03:00,41763700.0
2007-04-01,2007,1,4,CONFAZ12_CSLLSC12,2007-04-01T00:00:00-03:00,103816529.0
2007-05-01,2007,1,5,CONFAZ12_CSLLSC12,2007-05-01T00:00:00-03:00,59055625.0
2007-06-01,2007,1,6,CONFAZ12_CSLLSC12,2007-06-01T00:00:00-03:00,56995471.0
2007-07-01,2007,1,7,CONFAZ12_CSLLSC12,2007-07-01T00:00:00-03:00,97377822.0
2007-08-01,2007,1,8,CONFAZ12_CSLLSC12,2007-08-01T00:00:00-03:00,58699231.0
2007-09-01,2007,1,9,CONFAZ12_CSLLSC12,2007-09-01T00:00:00-03:00,62376827.0
2007-10-01,2007,1,10,CONFAZ12_CSLLSC12,2007-10-01T00:00:00-03:00,113655775.0
2007-11-01,2007,1,11,CONFAZ12_CSLLSC12,2007-11-01T00:00:00-02:00,64977592.0
2007-12-01,2007,1,12,CONFAZ12_CSLLSC12,2007-12-01T00:00:00-02:00,61603896.0
2008-01-01,2008,1,1,CONFAZ12_CSLLSC12,2008-01-01T00:00:00-02:00,203658375.71
2008-02-01,2008,1,2,CONFAZ12_CSLLSC12,2008-02-01T00:00:00-02:00,57985358.11
2008-03-01,2008,1,3,CONFAZ12_CSLLSC12,2008-03-01T00:00:00-03:00,67580317.9
2008-04-01,2008,1,4,CONFAZ12_CSLLSC12,2008-04-01T00:00:00-03:00,106815789.37
2008-05-01,2008,1,5,CONFAZ12_CSLLSC12,2008-05-01T00:00:00-03:00,73427255.54
2008-06-01,2008,1,6,CONFAZ12_CSLLSC12,2008-06-01T00:00:00-03:00,63839162.98
2008-07-01,2008,1,7,CONFAZ12_CSLLSC12,2008-07-01T00:00:00-03:00,119384737.89
2008-08-01,2008,1,8,CONFAZ12_CSLLSC12,2008-08-01T00:00:00-03:00,56615995.85
2008-09-01,2008,1,9,CONFAZ12_CSLLSC12,2008-09-01T00:00:00-03:00,62459312.29
