DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_CSLLSE12,1993-01-01T00:00:00-02:00,808803.0
1993-02-01,1993,1,2,CONFAZ12_CSLLSE12,1993-02-01T00:00:00-02:00,924331.0
1993-03-01,1993,1,3,CONFAZ12_CSLLSE12,1993-03-01T00:00:00-03:00,1395645.0
1993-04-01,1993,1,4,CONFAZ12_CSLLSE12,1993-04-01T00:00:00-03:00,1045068.0
1993-05-01,1993,1,5,CONFAZ12_CSLLSE12,1993-05-01T00:00:00-03:00,1319827.0
1993-06-01,1993,1,6,CONFAZ12_CSLLSE12,1993-06-01T00:00:00-03:00,720191.0
1993-07-01,1993,1,7,CONFAZ12_CSLLSE12,1993-07-01T00:00:00-03:00,844562.0
1993-08-01,1993,1,8,CONFAZ12_CSLLSE12,1993-08-01T00:00:00-03:00,846035.0
1993-09-01,1993,1,9,CONFAZ12_CSLLSE12,1993-09-01T00:00:00-03:00,841497.0
1993-10-01,1993,1,10,CONFAZ12_CSLLSE12,1993-10-01T00:00:00-03:00,778679.0
1993-11-01,1993,1,11,CONFAZ12_CSLLSE12,1993-11-01T00:00:00-03:00,771941.0
1993-12-01,1993,1,12,CONFAZ12_CSLLSE12,1993-12-01T00:00:00-02:00,1007323.0
1994-01-01,1994,1,1,CONFAZ12_CSLLSE12,1994-01-01T00:00:00-02:00,955180.0
1994-02-01,1994,1,2,CONFAZ12_CSLLSE12,1994-02-01T00:00:00-02:00,1060672.0
1994-03-01,1994,1,3,CONFAZ12_CSLLSE12,1994-03-01T00:00:00-03:00,697736.0
1994-04-01,1994,1,4,CONFAZ12_CSLLSE12,1994-04-01T00:00:00-03:00,1215323.0
1994-05-01,1994,1,5,CONFAZ12_CSLLSE12,1994-05-01T00:00:00-03:00,3450935.0
1994-06-01,1994,1,6,CONFAZ12_CSLLSE12,1994-06-01T00:00:00-03:00,665241.0
1994-07-01,1994,1,7,CONFAZ12_CSLLSE12,1994-07-01T00:00:00-03:00,894823.0
1994-08-01,1994,1,8,CONFAZ12_CSLLSE12,1994-08-01T00:00:00-03:00,1087369.0
1994-09-01,1994,1,9,CONFAZ12_CSLLSE12,1994-09-01T00:00:00-03:00,1067798.0
1994-10-01,1994,1,10,CONFAZ12_CSLLSE12,1994-10-01T00:00:00-03:00,1236618.0
1994-11-01,1994,1,11,CONFAZ12_CSLLSE12,1994-11-01T00:00:00-03:00,1762426.0
1994-12-01,1994,1,12,CONFAZ12_CSLLSE12,1994-12-01T00:00:00-02:00,1644287.0
1995-01-01,1995,1,1,CONFAZ12_CSLLSE12,1995-01-01T00:00:00-02:00,1749387.0
1995-02-01,1995,1,2,CONFAZ12_CSLLSE12,1995-02-01T00:00:00-02:00,1696505.0
1995-03-01,1995,1,3,CONFAZ12_CSLLSE12,1995-03-01T00:00:00-03:00,1907252.0
1995-04-01,1995,1,4,CONFAZ12_CSLLSE12,1995-04-01T00:00:00-03:00,1570583.0
1995-05-01,1995,1,5,CONFAZ12_CSLLSE12,1995-05-01T00:00:00-03:00,2037779.0
1995-06-01,1995,1,6,CONFAZ12_CSLLSE12,1995-06-01T00:00:00-03:00,2132869.0
1995-07-01,1995,1,7,CONFAZ12_CSLLSE12,1995-07-01T00:00:00-03:00,1110592.0
1995-08-01,1995,1,8,CONFAZ12_CSLLSE12,1995-08-01T00:00:00-03:00,1212140.0
1995-09-01,1995,1,9,CONFAZ12_CSLLSE12,1995-09-01T00:00:00-03:00,1339873.0
1995-10-01,1995,1,10,CONFAZ12_CSLLSE12,1995-10-01T00:00:00-03:00,1236997.0
1995-11-01,1995,1,11,CONFAZ12_CSLLSE12,1995-11-01T00:00:00-03:00,1331415.0
1995-12-01,1995,1,12,CONFAZ12_CSLLSE12,1995-12-01T00:00:00-02:00,1970902.0
1996-01-01,1996,1,1,CONFAZ12_CSLLSE12,1996-01-01T00:00:00-02:00,1328900.0
1996-02-01,1996,1,2,CONFAZ12_CSLLSE12,1996-02-01T00:00:00-02:00,1640546.0
1996-03-01,1996,1,3,CONFAZ12_CSLLSE12,1996-03-01T00:00:00-03:00,2283314.0
1996-04-01,1996,1,4,CONFAZ12_CSLLSE12,1996-04-01T00:00:00-03:00,1541669.0
1996-05-01,1996,1,5,CONFAZ12_CSLLSE12,1996-05-01T00:00:00-03:00,1580213.0
1996-06-01,1996,1,6,CONFAZ12_CSLLSE12,1996-06-01T00:00:00-03:00,1291641.0
1996-07-01,1996,1,7,CONFAZ12_CSLLSE12,1996-07-01T00:00:00-03:00,1433008.0
1996-08-01,1996,1,8,CONFAZ12_CSLLSE12,1996-08-01T00:00:00-03:00,1607014.0
1996-09-01,1996,1,9,CONFAZ12_CSLLSE12,1996-09-01T00:00:00-03:00,1122158.0
1996-10-01,1996,1,10,CONFAZ12_CSLLSE12,1996-10-01T00:00:00-03:00,2211530.0
1996-11-01,1996,1,11,CONFAZ12_CSLLSE12,1996-11-01T00:00:00-03:00,1676936.0
1996-12-01,1996,1,12,CONFAZ12_CSLLSE12,1996-12-01T00:00:00-02:00,1901452.0
1997-01-01,1997,1,1,CONFAZ12_CSLLSE12,1997-01-01T00:00:00-02:00,1788619.0
1997-02-01,1997,1,2,CONFAZ12_CSLLSE12,1997-02-01T00:00:00-02:00,1785854.0
