DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_FINAC12,1993-01-01T00:00:00-02:00,211263.0
1993-02-01,1993,1,2,CONFAZ12_FINAC12,1993-02-01T00:00:00-02:00,132805.0
1993-03-01,1993,1,3,CONFAZ12_FINAC12,1993-03-01T00:00:00-03:00,178774.0
1993-04-01,1993,1,4,CONFAZ12_FINAC12,1993-04-01T00:00:00-03:00,189866.0
1993-05-01,1993,1,5,CONFAZ12_FINAC12,1993-05-01T00:00:00-03:00,137186.0
1993-06-01,1993,1,6,CONFAZ12_FINAC12,1993-06-01T00:00:00-03:00,201524.0
1993-07-01,1993,1,7,CONFAZ12_FINAC12,1993-07-01T00:00:00-03:00,207778.0
1993-08-01,1993,1,8,CONFAZ12_FINAC12,1993-08-01T00:00:00-03:00,198691.0
1993-09-01,1993,1,9,CONFAZ12_FINAC12,1993-09-01T00:00:00-03:00,284685.0
1993-10-01,1993,1,10,CONFAZ12_FINAC12,1993-10-01T00:00:00-03:00,293756.0
1993-11-01,1993,1,11,CONFAZ12_FINAC12,1993-11-01T00:00:00-03:00,239130.0
1993-12-01,1993,1,12,CONFAZ12_FINAC12,1993-12-01T00:00:00-02:00,412251.0
1994-01-01,1994,1,1,CONFAZ12_FINAC12,1994-01-01T00:00:00-02:00,436337.0
1994-02-01,1994,1,2,CONFAZ12_FINAC12,1994-02-01T00:00:00-02:00,276839.0
1994-03-01,1994,1,3,CONFAZ12_FINAC12,1994-03-01T00:00:00-03:00,328488.0
1994-04-01,1994,1,4,CONFAZ12_FINAC12,1994-04-01T00:00:00-03:00,340099.0
1994-05-01,1994,1,5,CONFAZ12_FINAC12,1994-05-01T00:00:00-03:00,278561.0
1994-06-01,1994,1,6,CONFAZ12_FINAC12,1994-06-01T00:00:00-03:00,341563.0
1994-07-01,1994,1,7,CONFAZ12_FINAC12,1994-07-01T00:00:00-03:00,289424.0
1994-08-01,1994,1,8,CONFAZ12_FINAC12,1994-08-01T00:00:00-03:00,429251.0
1994-09-01,1994,1,9,CONFAZ12_FINAC12,1994-09-01T00:00:00-03:00,513381.0
1994-10-01,1994,1,10,CONFAZ12_FINAC12,1994-10-01T00:00:00-03:00,512591.0
1994-11-01,1994,1,11,CONFAZ12_FINAC12,1994-11-01T00:00:00-03:00,582410.0
1994-12-01,1994,1,12,CONFAZ12_FINAC12,1994-12-01T00:00:00-02:00,530117.0
1995-01-01,1995,1,1,CONFAZ12_FINAC12,1995-01-01T00:00:00-02:00,657701.0
1995-02-01,1995,1,2,CONFAZ12_FINAC12,1995-02-01T00:00:00-02:00,564604.0
1995-03-01,1995,1,3,CONFAZ12_FINAC12,1995-03-01T00:00:00-03:00,558424.0
1995-04-01,1995,1,4,CONFAZ12_FINAC12,1995-04-01T00:00:00-03:00,517748.0
1995-05-01,1995,1,5,CONFAZ12_FINAC12,1995-05-01T00:00:00-03:00,518622.0
1995-06-01,1995,1,6,CONFAZ12_FINAC12,1995-06-01T00:00:00-03:00,507845.0
1995-07-01,1995,1,7,CONFAZ12_FINAC12,1995-07-01T00:00:00-03:00,504411.0
1995-08-01,1995,1,8,CONFAZ12_FINAC12,1995-08-01T00:00:00-03:00,1078095.0
1995-09-01,1995,1,9,CONFAZ12_FINAC12,1995-09-01T00:00:00-03:00,717296.0
1995-10-01,1995,1,10,CONFAZ12_FINAC12,1995-10-01T00:00:00-03:00,651637.0
1995-11-01,1995,1,11,CONFAZ12_FINAC12,1995-11-01T00:00:00-03:00,650613.0
1995-12-01,1995,1,12,CONFAZ12_FINAC12,1995-12-01T00:00:00-02:00,755580.0
