DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_FINBA12,1993-01-01T00:00:00-02:00,8849670.0
1993-02-01,1993,1,2,CONFAZ12_FINBA12,1993-02-01T00:00:00-02:00,10577042.0
1993-03-01,1993,1,3,CONFAZ12_FINBA12,1993-03-01T00:00:00-03:00,10583923.0
1993-04-01,1993,1,4,CONFAZ12_FINBA12,1993-04-01T00:00:00-03:00,12335482.0
1993-05-01,1993,1,5,CONFAZ12_FINBA12,1993-05-01T00:00:00-03:00,11587486.0
1993-06-01,1993,1,6,CONFAZ12_FINBA12,1993-06-01T00:00:00-03:00,11711427.0
1993-07-01,1993,1,7,CONFAZ12_FINBA12,1993-07-01T00:00:00-03:00,13285903.0
1993-08-01,1993,1,8,CONFAZ12_FINBA12,1993-08-01T00:00:00-03:00,14014261.0
1993-09-01,1993,1,9,CONFAZ12_FINBA12,1993-09-01T00:00:00-03:00,13921672.0
1993-10-01,1993,1,10,CONFAZ12_FINBA12,1993-10-01T00:00:00-03:00,14315661.0
1993-11-01,1993,1,11,CONFAZ12_FINBA12,1993-11-01T00:00:00-03:00,15688501.0
1993-12-01,1993,1,12,CONFAZ12_FINBA12,1993-12-01T00:00:00-02:00,16929297.0
1994-01-01,1994,1,1,CONFAZ12_FINBA12,1994-01-01T00:00:00-02:00,18988656.0
1994-02-01,1994,1,2,CONFAZ12_FINBA12,1994-02-01T00:00:00-02:00,20975208.0
1994-03-01,1994,1,3,CONFAZ12_FINBA12,1994-03-01T00:00:00-03:00,17909882.0
1994-04-01,1994,1,4,CONFAZ12_FINBA12,1994-04-01T00:00:00-03:00,18421879.0
1994-05-01,1994,1,5,CONFAZ12_FINBA12,1994-05-01T00:00:00-03:00,18744860.0
1994-06-01,1994,1,6,CONFAZ12_FINBA12,1994-06-01T00:00:00-03:00,20753550.0
1994-07-01,1994,1,7,CONFAZ12_FINBA12,1994-07-01T00:00:00-03:00,19257417.0
1994-08-01,1994,1,8,CONFAZ12_FINBA12,1994-08-01T00:00:00-03:00,26883612.0
1994-09-01,1994,1,9,CONFAZ12_FINBA12,1994-09-01T00:00:00-03:00,29711005.0
1994-10-01,1994,1,10,CONFAZ12_FINBA12,1994-10-01T00:00:00-03:00,40137360.0
1994-11-01,1994,1,11,CONFAZ12_FINBA12,1994-11-01T00:00:00-03:00,34908607.0
1994-12-01,1994,1,12,CONFAZ12_FINBA12,1994-12-01T00:00:00-02:00,34675987.0
1995-01-01,1995,1,1,CONFAZ12_FINBA12,1995-01-01T00:00:00-02:00,37874203.0
1995-02-01,1995,1,2,CONFAZ12_FINBA12,1995-02-01T00:00:00-02:00,30666630.0
1995-03-01,1995,1,3,CONFAZ12_FINBA12,1995-03-01T00:00:00-03:00,34057350.0
1995-04-01,1995,1,4,CONFAZ12_FINBA12,1995-04-01T00:00:00-03:00,32964553.0
1995-05-01,1995,1,5,CONFAZ12_FINBA12,1995-05-01T00:00:00-03:00,30888421.0
1995-06-01,1995,1,6,CONFAZ12_FINBA12,1995-06-01T00:00:00-03:00,36173299.0
1995-07-01,1995,1,7,CONFAZ12_FINBA12,1995-07-01T00:00:00-03:00,44134581.0
1995-08-01,1995,1,8,CONFAZ12_FINBA12,1995-08-01T00:00:00-03:00,34239444.0
1995-09-01,1995,1,9,CONFAZ12_FINBA12,1995-09-01T00:00:00-03:00,34224820.0
1995-10-01,1995,1,10,CONFAZ12_FINBA12,1995-10-01T00:00:00-03:00,34746420.0
1995-11-01,1995,1,11,CONFAZ12_FINBA12,1995-11-01T00:00:00-03:00,36015237.0
1995-12-01,1995,1,12,CONFAZ12_FINBA12,1995-12-01T00:00:00-02:00,33911315.0
1996-01-01,1996,1,1,CONFAZ12_FINBA12,1996-01-01T00:00:00-02:00,39312472.0
1996-02-01,1996,1,2,CONFAZ12_FINBA12,1996-02-01T00:00:00-02:00,37225005.0
1996-03-01,1996,1,3,CONFAZ12_FINBA12,1996-03-01T00:00:00-03:00,37904373.0
1996-04-01,1996,1,4,CONFAZ12_FINBA12,1996-04-01T00:00:00-03:00,39473071.0
1996-05-01,1996,1,5,CONFAZ12_FINBA12,1996-05-01T00:00:00-03:00,37545615.0
1996-06-01,1996,1,6,CONFAZ12_FINBA12,1996-06-01T00:00:00-03:00,42061637.0
1996-07-01,1996,1,7,CONFAZ12_FINBA12,1996-07-01T00:00:00-03:00,40137055.0
1996-08-01,1996,1,8,CONFAZ12_FINBA12,1996-08-01T00:00:00-03:00,42717384.0
1996-09-01,1996,1,9,CONFAZ12_FINBA12,1996-09-01T00:00:00-03:00,38718077.0
1996-10-01,1996,1,10,CONFAZ12_FINBA12,1996-10-01T00:00:00-03:00,42948456.0
1996-11-01,1996,1,11,CONFAZ12_FINBA12,1996-11-01T00:00:00-03:00,42177088.0
1996-12-01,1996,1,12,CONFAZ12_FINBA12,1996-12-01T00:00:00-02:00,40999014.0
1997-01-01,1997,1,1,CONFAZ12_FINBA12,1997-01-01T00:00:00-02:00,44681586.0
1997-02-01,1997,1,2,CONFAZ12_FINBA12,1997-02-01T00:00:00-02:00,41414871.0
1997-03-01,1997,1,3,CONFAZ12_FINBA12,1997-03-01T00:00:00-03:00,41230653.0
1997-04-01,1997,1,4,CONFAZ12_FINBA12,1997-04-01T00:00:00-03:00,38859653.0
1997-05-01,1997,1,5,CONFAZ12_FINBA12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_FINBA12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_FINBA12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_FINBA12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_FINBA12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_FINBA12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_FINBA12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_FINBA12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_FINBA12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_FINBA12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_FINBA12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_FINBA12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_FINBA12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_FINBA12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_FINBA12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_FINBA12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_FINBA12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_FINBA12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_FINBA12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_FINBA12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_FINBA12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_FINBA12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_FINBA12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_FINBA12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_FINBA12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_FINBA12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_FINBA12,1999-07-01T00:00:00-03:00,
