DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_FINGO12,1993-01-01T00:00:00-02:00,2574654.0
1993-02-01,1993,1,2,CONFAZ12_FINGO12,1993-02-01T00:00:00-02:00,2525883.0
1993-03-01,1993,1,3,CONFAZ12_FINGO12,1993-03-01T00:00:00-03:00,2674632.0
1993-04-01,1993,1,4,CONFAZ12_FINGO12,1993-04-01T00:00:00-03:00,3350911.0
1993-05-01,1993,1,5,CONFAZ12_FINGO12,1993-05-01T00:00:00-03:00,3384227.0
1993-06-01,1993,1,6,CONFAZ12_FINGO12,1993-06-01T00:00:00-03:00,3659377.0
1993-07-01,1993,1,7,CONFAZ12_FINGO12,1993-07-01T00:00:00-03:00,3991867.0
1993-08-01,1993,1,8,CONFAZ12_FINGO12,1993-08-01T00:00:00-03:00,3964236.0
1993-09-01,1993,1,9,CONFAZ12_FINGO12,1993-09-01T00:00:00-03:00,4389944.0
1993-10-01,1993,1,10,CONFAZ12_FINGO12,1993-10-01T00:00:00-03:00,4626679.0
1993-11-01,1993,1,11,CONFAZ12_FINGO12,1993-11-01T00:00:00-03:00,5637272.0
1993-12-01,1993,1,12,CONFAZ12_FINGO12,1993-12-01T00:00:00-02:00,6809734.0
1994-01-01,1994,1,1,CONFAZ12_FINGO12,1994-01-01T00:00:00-02:00,9017035.0
1994-02-01,1994,1,2,CONFAZ12_FINGO12,1994-02-01T00:00:00-02:00,8456259.0
1994-03-01,1994,1,3,CONFAZ12_FINGO12,1994-03-01T00:00:00-03:00,9781878.0
1994-04-01,1994,1,4,CONFAZ12_FINGO12,1994-04-01T00:00:00-03:00,9856753.0
1994-05-01,1994,1,5,CONFAZ12_FINGO12,1994-05-01T00:00:00-03:00,9531676.0
1994-06-01,1994,1,6,CONFAZ12_FINGO12,1994-06-01T00:00:00-03:00,11086612.0
1994-07-01,1994,1,7,CONFAZ12_FINGO12,1994-07-01T00:00:00-03:00,12380032.0
1994-08-01,1994,1,8,CONFAZ12_FINGO12,1994-08-01T00:00:00-03:00,14588469.0
1994-09-01,1994,1,9,CONFAZ12_FINGO12,1994-09-01T00:00:00-03:00,16469751.0
1994-10-01,1994,1,10,CONFAZ12_FINGO12,1994-10-01T00:00:00-03:00,17672566.0
1994-11-01,1994,1,11,CONFAZ12_FINGO12,1994-11-01T00:00:00-03:00,17230942.0
1994-12-01,1994,1,12,CONFAZ12_FINGO12,1994-12-01T00:00:00-02:00,18692748.0
1995-01-01,1995,1,1,CONFAZ12_FINGO12,1995-01-01T00:00:00-02:00,16612552.0
1995-02-01,1995,1,2,CONFAZ12_FINGO12,1995-02-01T00:00:00-02:00,14082997.0
1995-03-01,1995,1,3,CONFAZ12_FINGO12,1995-03-01T00:00:00-03:00,15699965.0
1995-04-01,1995,1,4,CONFAZ12_FINGO12,1995-04-01T00:00:00-03:00,16496074.0
1995-05-01,1995,1,5,CONFAZ12_FINGO12,1995-05-01T00:00:00-03:00,14876186.0
1995-06-01,1995,1,6,CONFAZ12_FINGO12,1995-06-01T00:00:00-03:00,16660758.0
1995-07-01,1995,1,7,CONFAZ12_FINGO12,1995-07-01T00:00:00-03:00,15874378.0
1995-08-01,1995,1,8,CONFAZ12_FINGO12,1995-08-01T00:00:00-03:00,15951098.0
1995-09-01,1995,1,9,CONFAZ12_FINGO12,1995-09-01T00:00:00-03:00,16812285.0
1995-10-01,1995,1,10,CONFAZ12_FINGO12,1995-10-01T00:00:00-03:00,18421452.0
1995-11-01,1995,1,11,CONFAZ12_FINGO12,1995-11-01T00:00:00-03:00,17077904.0
1995-12-01,1995,1,12,CONFAZ12_FINGO12,1995-12-01T00:00:00-02:00,18084484.0
1996-01-01,1996,1,1,CONFAZ12_FINGO12,1996-01-01T00:00:00-02:00,18422371.0
1996-02-01,1996,1,2,CONFAZ12_FINGO12,1996-02-01T00:00:00-02:00,17831055.0
1996-03-01,1996,1,3,CONFAZ12_FINGO12,1996-03-01T00:00:00-03:00,18276925.0
1996-04-01,1996,1,4,CONFAZ12_FINGO12,1996-04-01T00:00:00-03:00,18953421.0
1996-05-01,1996,1,5,CONFAZ12_FINGO12,1996-05-01T00:00:00-03:00,21031075.0
1996-06-01,1996,1,6,CONFAZ12_FINGO12,1996-06-01T00:00:00-03:00,21038636.0
1996-07-01,1996,1,7,CONFAZ12_FINGO12,1996-07-01T00:00:00-03:00,21028695.0
1996-08-01,1996,1,8,CONFAZ12_FINGO12,1996-08-01T00:00:00-03:00,21934234.0
1996-09-01,1996,1,9,CONFAZ12_FINGO12,1996-09-01T00:00:00-03:00,22889937.0
1996-10-01,1996,1,10,CONFAZ12_FINGO12,1996-10-01T00:00:00-03:00,22788570.0
1996-11-01,1996,1,11,CONFAZ12_FINGO12,1996-11-01T00:00:00-03:00,23147864.0
1996-12-01,1996,1,12,CONFAZ12_FINGO12,1996-12-01T00:00:00-02:00,23565708.0
1997-01-01,1997,1,1,CONFAZ12_FINGO12,1997-01-01T00:00:00-02:00,25402542.0
1997-02-01,1997,1,2,CONFAZ12_FINGO12,1997-02-01T00:00:00-02:00,22712471.0
1997-03-01,1997,1,3,CONFAZ12_FINGO12,1997-03-01T00:00:00-03:00,21521457.0
1997-04-01,1997,1,4,CONFAZ12_FINGO12,1997-04-01T00:00:00-03:00,22199592.0
1997-05-01,1997,1,5,CONFAZ12_FINGO12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_FINGO12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_FINGO12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_FINGO12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_FINGO12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_FINGO12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_FINGO12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_FINGO12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_FINGO12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_FINGO12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_FINGO12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_FINGO12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_FINGO12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_FINGO12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_FINGO12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_FINGO12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_FINGO12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_FINGO12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_FINGO12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_FINGO12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_FINGO12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_FINGO12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_FINGO12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_FINGO12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_FINGO12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_FINGO12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_FINGO12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_FINGO12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_FINGO12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_FINGO12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_FINGO12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_FINGO12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_FINGO12,2000-01-01T00:00:00-02:00,47986002.0
2000-02-01,2000,1,2,CONFAZ12_FINGO12,2000-02-01T00:00:00-02:00,39024921.0
2000-03-01,2000,1,3,CONFAZ12_FINGO12,2000-03-01T00:00:00-03:00,43159154.0
2000-04-01,2000,1,4,CONFAZ12_FINGO12,2000-04-01T00:00:00-03:00,41611410.0
2000-05-01,2000,1,5,CONFAZ12_FINGO12,2000-05-01T00:00:00-03:00,44757736.0
2000-06-01,2000,1,6,CONFAZ12_FINGO12,2000-06-01T00:00:00-03:00,48401296.0
2000-07-01,2000,1,7,CONFAZ12_FINGO12,2000-07-01T00:00:00-03:00,45934797.0
2000-08-01,2000,1,8,CONFAZ12_FINGO12,2000-08-01T00:00:00-03:00,47866402.0
2000-09-01,2000,1,9,CONFAZ12_FINGO12,2000-09-01T00:00:00-03:00,48336736.0
2000-10-01,2000,1,10,CONFAZ12_FINGO12,2000-10-01T00:00:00-03:00,49637069.0
2000-11-01,2000,1,11,CONFAZ12_FINGO12,2000-11-01T00:00:00-03:00,51944229.0
2000-12-01,2000,1,12,CONFAZ12_FINGO12,2000-12-01T00:00:00-02:00,50233626.0
2001-01-01,2001,1,1,CONFAZ12_FINGO12,2001-01-01T00:00:00-02:00,51288569.0
2001-02-01,2001,1,2,CONFAZ12_FINGO12,2001-02-01T00:00:00-02:00,44288724.0
2001-03-01,2001,1,3,CONFAZ12_FINGO12,2001-03-01T00:00:00-03:00,45012817.0
2001-04-01,2001,1,4,CONFAZ12_FINGO12,2001-04-01T00:00:00-03:00,44993083.0
2001-05-01,2001,1,5,CONFAZ12_FINGO12,2001-05-01T00:00:00-03:00,38542362.0
2001-06-01,2001,1,6,CONFAZ12_FINGO12,2001-06-01T00:00:00-03:00,44658945.0
2001-07-01,2001,1,7,CONFAZ12_FINGO12,2001-07-01T00:00:00-03:00,48537745.0
2001-08-01,2001,1,8,CONFAZ12_FINGO12,2001-08-01T00:00:00-03:00,44956565.0
2001-09-01,2001,1,9,CONFAZ12_FINGO12,2001-09-01T00:00:00-03:00,45944499.0
2001-10-01,2001,1,10,CONFAZ12_FINGO12,2001-10-01T00:00:00-03:00,42836429.0
2001-11-01,2001,1,11,CONFAZ12_FINGO12,2001-11-01T00:00:00-03:00,46612068.0
2001-12-01,2001,1,12,CONFAZ12_FINGO12,2001-12-01T00:00:00-02:00,46897512.0
2002-01-01,2002,1,1,CONFAZ12_FINGO12,2002-01-01T00:00:00-02:00,46930196.0
2002-02-01,2002,1,2,CONFAZ12_FINGO12,2002-02-01T00:00:00-02:00,40198083.0
2002-03-01,2002,1,3,CONFAZ12_FINGO12,2002-03-01T00:00:00-03:00,38100934.0
2002-04-01,2002,1,4,CONFAZ12_FINGO12,2002-04-01T00:00:00-03:00,42585670.0
2002-05-01,2002,1,5,CONFAZ12_FINGO12,2002-05-01T00:00:00-03:00,41197975.0
2002-06-01,2002,1,6,CONFAZ12_FINGO12,2002-06-01T00:00:00-03:00,47686771.0
2002-07-01,2002,1,7,CONFAZ12_FINGO12,2002-07-01T00:00:00-03:00,45901596.0
2002-08-01,2002,1,8,CONFAZ12_FINGO12,2002-08-01T00:00:00-03:00,49960420.0
2002-09-01,2002,1,9,CONFAZ12_FINGO12,2002-09-01T00:00:00-03:00,53844602.0
2002-10-01,2002,1,10,CONFAZ12_FINGO12,2002-10-01T00:00:00-03:00,48236439.0
2002-11-01,2002,1,11,CONFAZ12_FINGO12,2002-11-01T00:00:00-03:00,53676038.0
2002-12-01,2002,1,12,CONFAZ12_FINGO12,2002-12-01T00:00:00-02:00,46188641.0
2003-01-01,2003,1,1,CONFAZ12_FINGO12,2003-01-01T00:00:00-02:00,47001614.0
2003-02-01,2003,1,2,CONFAZ12_FINGO12,2003-02-01T00:00:00-02:00,44259039.0
2003-03-01,2003,1,3,CONFAZ12_FINGO12,2003-03-01T00:00:00-03:00,43933963.0
2003-04-01,2003,1,4,CONFAZ12_FINGO12,2003-04-01T00:00:00-03:00,48613589.0
2003-05-01,2003,1,5,CONFAZ12_FINGO12,2003-05-01T00:00:00-03:00,63339991.0
2003-06-01,2003,1,6,CONFAZ12_FINGO12,2003-06-01T00:00:00-03:00,59395521.0
2003-07-01,2003,1,7,CONFAZ12_FINGO12,2003-07-01T00:00:00-03:00,53581065.0
2003-08-01,2003,1,8,CONFAZ12_FINGO12,2003-08-01T00:00:00-03:00,57871895.0
2003-09-01,2003,1,9,CONFAZ12_FINGO12,2003-09-01T00:00:00-03:00,52050255.0
2003-10-01,2003,1,10,CONFAZ12_FINGO12,2003-10-01T00:00:00-03:00,52985232.0
2003-11-01,2003,1,11,CONFAZ12_FINGO12,2003-11-01T00:00:00-03:00,57800929.0
2003-12-01,2003,1,12,CONFAZ12_FINGO12,2003-12-01T00:00:00-02:00,55869453.0
2004-01-01,2004,1,1,CONFAZ12_FINGO12,2004-01-01T00:00:00-02:00,59137277.0
2004-02-01,2004,1,2,CONFAZ12_FINGO12,2004-02-01T00:00:00-02:00,50916361.0
2004-03-01,2004,1,3,CONFAZ12_FINGO12,2004-03-01T00:00:00-03:00,40914817.0
2004-04-01,2004,1,4,CONFAZ12_FINGO12,2004-04-01T00:00:00-03:00,48422126.0
2004-05-01,2004,1,5,CONFAZ12_FINGO12,2004-05-01T00:00:00-03:00,50934513.0
2004-06-01,2004,1,6,CONFAZ12_FINGO12,2004-06-01T00:00:00-03:00,50090966.0
2004-07-01,2004,1,7,CONFAZ12_FINGO12,2004-07-01T00:00:00-03:00,53756374.0
2004-08-01,2004,1,8,CONFAZ12_FINGO12,2004-08-01T00:00:00-03:00,61298976.0
2004-09-01,2004,1,9,CONFAZ12_FINGO12,2004-09-01T00:00:00-03:00,37318607.0
2004-10-01,2004,1,10,CONFAZ12_FINGO12,2004-10-01T00:00:00-03:00,48693961.0
2004-11-01,2004,1,11,CONFAZ12_FINGO12,2004-11-01T00:00:00-03:00,66224060.0
2004-12-01,2004,1,12,CONFAZ12_FINGO12,2004-12-01T00:00:00-02:00,52494402.0
2005-01-01,2005,1,1,CONFAZ12_FINGO12,2005-01-01T00:00:00-02:00,64699893.0
2005-02-01,2005,1,2,CONFAZ12_FINGO12,2005-02-01T00:00:00-02:00,49647216.0
2005-03-01,2005,1,3,CONFAZ12_FINGO12,2005-03-01T00:00:00-03:00,43869322.0
2005-04-01,2005,1,4,CONFAZ12_FINGO12,2005-04-01T00:00:00-03:00,60174149.0
2005-05-01,2005,1,5,CONFAZ12_FINGO12,2005-05-01T00:00:00-03:00,59488750.0
2005-06-01,2005,1,6,CONFAZ12_FINGO12,2005-06-01T00:00:00-03:00,62018951.0
2005-07-01,2005,1,7,CONFAZ12_FINGO12,2005-07-01T00:00:00-03:00,56724133.0
2005-08-01,2005,1,8,CONFAZ12_FINGO12,2005-08-01T00:00:00-03:00,57495947.0
2005-09-01,2005,1,9,CONFAZ12_FINGO12,2005-09-01T00:00:00-03:00,56551301.0
2005-10-01,2005,1,10,CONFAZ12_FINGO12,2005-10-01T00:00:00-03:00,60568172.0
2005-11-01,2005,1,11,CONFAZ12_FINGO12,2005-11-01T00:00:00-02:00,59907897.0
2005-12-01,2005,1,12,CONFAZ12_FINGO12,2005-12-01T00:00:00-02:00,64668479.0
2006-01-01,2006,1,1,CONFAZ12_FINGO12,2006-01-01T00:00:00-02:00,66849740.0
2006-02-01,2006,1,2,CONFAZ12_FINGO12,2006-02-01T00:00:00-02:00,87185909.0
2006-03-01,2006,1,3,CONFAZ12_FINGO12,2006-03-01T00:00:00-03:00,68164528.0
2006-04-01,2006,1,4,CONFAZ12_FINGO12,2006-04-01T00:00:00-03:00,70912322.0
2006-05-01,2006,1,5,CONFAZ12_FINGO12,2006-05-01T00:00:00-03:00,92208241.0
2006-06-01,2006,1,6,CONFAZ12_FINGO12,2006-06-01T00:00:00-03:00,79248200.0
2006-07-01,2006,1,7,CONFAZ12_FINGO12,2006-07-01T00:00:00-03:00,74097913.0
2006-08-01,2006,1,8,CONFAZ12_FINGO12,2006-08-01T00:00:00-03:00,96497720.0
2006-09-01,2006,1,9,CONFAZ12_FINGO12,2006-09-01T00:00:00-03:00,75076185.0
2006-10-01,2006,1,10,CONFAZ12_FINGO12,2006-10-01T00:00:00-03:00,81475719.0
2006-11-01,2006,1,11,CONFAZ12_FINGO12,2006-11-01T00:00:00-03:00,76592405.0
2006-12-01,2006,1,12,CONFAZ12_FINGO12,2006-12-01T00:00:00-02:00,96042054.0
2007-01-01,2007,1,1,CONFAZ12_FINGO12,2007-01-01T00:00:00-02:00,83019047.0
2007-02-01,2007,1,2,CONFAZ12_FINGO12,2007-02-01T00:00:00-02:00,77834676.0
2007-03-01,2007,1,3,CONFAZ12_FINGO12,2007-03-01T00:00:00-03:00,74010285.0
2007-04-01,2007,1,4,CONFAZ12_FINGO12,2007-04-01T00:00:00-03:00,83514575.0
2007-05-01,2007,1,5,CONFAZ12_FINGO12,2007-05-01T00:00:00-03:00,85522797.0
2007-06-01,2007,1,6,CONFAZ12_FINGO12,2007-06-01T00:00:00-03:00,97329242.0
2007-07-01,2007,1,7,CONFAZ12_FINGO12,2007-07-01T00:00:00-03:00,87709265.0
2007-08-01,2007,1,8,CONFAZ12_FINGO12,2007-08-01T00:00:00-03:00,97784582.0
2007-09-01,2007,1,9,CONFAZ12_FINGO12,2007-09-01T00:00:00-03:00,94318114.0
2007-10-01,2007,1,10,CONFAZ12_FINGO12,2007-10-01T00:00:00-03:00,96644909.0
2007-11-01,2007,1,11,CONFAZ12_FINGO12,2007-11-01T00:00:00-02:00,100615700.0
2007-12-01,2007,1,12,CONFAZ12_FINGO12,2007-12-01T00:00:00-02:00,110521077.0
2008-01-01,2008,1,1,CONFAZ12_FINGO12,2008-01-01T00:00:00-02:00,131157634.89
2008-02-01,2008,1,2,CONFAZ12_FINGO12,2008-02-01T00:00:00-02:00,105635596.32
2008-03-01,2008,1,3,CONFAZ12_FINGO12,2008-03-01T00:00:00-03:00,106161753.12
2008-04-01,2008,1,4,CONFAZ12_FINGO12,2008-04-01T00:00:00-03:00,104405179.19
2008-05-01,2008,1,5,CONFAZ12_FINGO12,2008-05-01T00:00:00-03:00,107866770.77
2008-06-01,2008,1,6,CONFAZ12_FINGO12,2008-06-01T00:00:00-03:00,123361619.07
2008-07-01,2008,1,7,CONFAZ12_FINGO12,2008-07-01T00:00:00-03:00,118409318.55
2008-08-01,2008,1,8,CONFAZ12_FINGO12,2008-08-01T00:00:00-03:00,112600243.23
2008-09-01,2008,1,9,CONFAZ12_FINGO12,2008-09-01T00:00:00-03:00,142596341.97
2008-10-01,2008,1,10,CONFAZ12_FINGO12,2008-10-01T00:00:00-03:00,122244034.01
2008-11-01,2008,1,11,CONFAZ12_FINGO12,2008-11-01T00:00:00-02:00,115484326.67
