DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_FINPI12,1993-01-01T00:00:00-02:00,1156698.0
1993-02-01,1993,1,2,CONFAZ12_FINPI12,1993-02-01T00:00:00-02:00,985151.0
1993-03-01,1993,1,3,CONFAZ12_FINPI12,1993-03-01T00:00:00-03:00,1015895.0
1993-04-01,1993,1,4,CONFAZ12_FINPI12,1993-04-01T00:00:00-03:00,1041484.0
1993-05-01,1993,1,5,CONFAZ12_FINPI12,1993-05-01T00:00:00-03:00,989842.0
1993-06-01,1993,1,6,CONFAZ12_FINPI12,1993-06-01T00:00:00-03:00,1063006.0
1993-07-01,1993,1,7,CONFAZ12_FINPI12,1993-07-01T00:00:00-03:00,1206288.0
1993-08-01,1993,1,8,CONFAZ12_FINPI12,1993-08-01T00:00:00-03:00,1199089.0
1993-09-01,1993,1,9,CONFAZ12_FINPI12,1993-09-01T00:00:00-03:00,1234388.0
1993-10-01,1993,1,10,CONFAZ12_FINPI12,1993-10-01T00:00:00-03:00,1187666.0
1993-11-01,1993,1,11,CONFAZ12_FINPI12,1993-11-01T00:00:00-03:00,1289224.0
1993-12-01,1993,1,12,CONFAZ12_FINPI12,1993-12-01T00:00:00-02:00,2099013.0
1994-01-01,1994,1,1,CONFAZ12_FINPI12,1994-01-01T00:00:00-02:00,2471235.0
1994-02-01,1994,1,2,CONFAZ12_FINPI12,1994-02-01T00:00:00-02:00,1767087.0
1994-03-01,1994,1,3,CONFAZ12_FINPI12,1994-03-01T00:00:00-03:00,1571722.0
1994-04-01,1994,1,4,CONFAZ12_FINPI12,1994-04-01T00:00:00-03:00,1931271.0
1994-05-01,1994,1,5,CONFAZ12_FINPI12,1994-05-01T00:00:00-03:00,1751910.0
1994-06-01,1994,1,6,CONFAZ12_FINPI12,1994-06-01T00:00:00-03:00,1798378.0
1994-07-01,1994,1,7,CONFAZ12_FINPI12,1994-07-01T00:00:00-03:00,1716761.0
1994-08-01,1994,1,8,CONFAZ12_FINPI12,1994-08-01T00:00:00-03:00,2816977.0
1994-09-01,1994,1,9,CONFAZ12_FINPI12,1994-09-01T00:00:00-03:00,3466968.0
1994-10-01,1994,1,10,CONFAZ12_FINPI12,1994-10-01T00:00:00-03:00,3333165.0
1994-11-01,1994,1,11,CONFAZ12_FINPI12,1994-11-01T00:00:00-03:00,3251943.0
1994-12-01,1994,1,12,CONFAZ12_FINPI12,1994-12-01T00:00:00-02:00,3375904.0
1995-01-01,1995,1,1,CONFAZ12_FINPI12,1995-01-01T00:00:00-02:00,4035209.0
1995-02-01,1995,1,2,CONFAZ12_FINPI12,1995-02-01T00:00:00-02:00,3102964.0
1995-03-01,1995,1,3,CONFAZ12_FINPI12,1995-03-01T00:00:00-03:00,3958072.0
1995-04-01,1995,1,4,CONFAZ12_FINPI12,1995-04-01T00:00:00-03:00,3306042.0
1995-05-01,1995,1,5,CONFAZ12_FINPI12,1995-05-01T00:00:00-03:00,2820002.0
1995-06-01,1995,1,6,CONFAZ12_FINPI12,1995-06-01T00:00:00-03:00,3006147.0
1995-07-01,1995,1,7,CONFAZ12_FINPI12,1995-07-01T00:00:00-03:00,3105561.0
1995-08-01,1995,1,8,CONFAZ12_FINPI12,1995-08-01T00:00:00-03:00,3629013.0
1995-09-01,1995,1,9,CONFAZ12_FINPI12,1995-09-01T00:00:00-03:00,3497632.0
1995-10-01,1995,1,10,CONFAZ12_FINPI12,1995-10-01T00:00:00-03:00,3472124.0
1995-11-01,1995,1,11,CONFAZ12_FINPI12,1995-11-01T00:00:00-03:00,3806622.0
1995-12-01,1995,1,12,CONFAZ12_FINPI12,1995-12-01T00:00:00-02:00,3870520.0
1996-01-01,1996,1,1,CONFAZ12_FINPI12,1996-01-01T00:00:00-02:00,4924247.0
1996-02-01,1996,1,2,CONFAZ12_FINPI12,1996-02-01T00:00:00-02:00,3737050.0
1996-03-01,1996,1,3,CONFAZ12_FINPI12,1996-03-01T00:00:00-03:00,3651825.0
1996-04-01,1996,1,4,CONFAZ12_FINPI12,1996-04-01T00:00:00-03:00,3897014.0
1996-05-01,1996,1,5,CONFAZ12_FINPI12,1996-05-01T00:00:00-03:00,3891683.0
1996-06-01,1996,1,6,CONFAZ12_FINPI12,1996-06-01T00:00:00-03:00,4276479.0
1996-07-01,1996,1,7,CONFAZ12_FINPI12,1996-07-01T00:00:00-03:00,4462936.0
1996-08-01,1996,1,8,CONFAZ12_FINPI12,1996-08-01T00:00:00-03:00,4725885.0
1996-09-01,1996,1,9,CONFAZ12_FINPI12,1996-09-01T00:00:00-03:00,4629928.0
1996-10-01,1996,1,10,CONFAZ12_FINPI12,1996-10-01T00:00:00-03:00,4649141.0
1996-11-01,1996,1,11,CONFAZ12_FINPI12,1996-11-01T00:00:00-03:00,4778200.0
1996-12-01,1996,1,12,CONFAZ12_FINPI12,1996-12-01T00:00:00-02:00,5250590.0
1997-01-01,1997,1,1,CONFAZ12_FINPI12,1997-01-01T00:00:00-02:00,5522134.0
