DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_FINSE12,1993-01-01T00:00:00-02:00,1582945.0
1993-02-01,1993,1,2,CONFAZ12_FINSE12,1993-02-01T00:00:00-02:00,1709531.0
1993-03-01,1993,1,3,CONFAZ12_FINSE12,1993-03-01T00:00:00-03:00,1671168.0
1993-04-01,1993,1,4,CONFAZ12_FINSE12,1993-04-01T00:00:00-03:00,2146671.0
1993-05-01,1993,1,5,CONFAZ12_FINSE12,1993-05-01T00:00:00-03:00,2204088.0
1993-06-01,1993,1,6,CONFAZ12_FINSE12,1993-06-01T00:00:00-03:00,1709354.0
1993-07-01,1993,1,7,CONFAZ12_FINSE12,1993-07-01T00:00:00-03:00,1752144.0
1993-08-01,1993,1,8,CONFAZ12_FINSE12,1993-08-01T00:00:00-03:00,1993150.0
1993-09-01,1993,1,9,CONFAZ12_FINSE12,1993-09-01T00:00:00-03:00,2041373.0
1993-10-01,1993,1,10,CONFAZ12_FINSE12,1993-10-01T00:00:00-03:00,1852570.0
1993-11-01,1993,1,11,CONFAZ12_FINSE12,1993-11-01T00:00:00-03:00,2091302.0
1993-12-01,1993,1,12,CONFAZ12_FINSE12,1993-12-01T00:00:00-02:00,2732488.0
1994-01-01,1994,1,1,CONFAZ12_FINSE12,1994-01-01T00:00:00-02:00,2281970.0
1994-02-01,1994,1,2,CONFAZ12_FINSE12,1994-02-01T00:00:00-02:00,2773170.0
1994-03-01,1994,1,3,CONFAZ12_FINSE12,1994-03-01T00:00:00-03:00,2409399.0
1994-04-01,1994,1,4,CONFAZ12_FINSE12,1994-04-01T00:00:00-03:00,2789925.0
1994-05-01,1994,1,5,CONFAZ12_FINSE12,1994-05-01T00:00:00-03:00,2947563.0
1994-06-01,1994,1,6,CONFAZ12_FINSE12,1994-06-01T00:00:00-03:00,2323231.0
1994-07-01,1994,1,7,CONFAZ12_FINSE12,1994-07-01T00:00:00-03:00,2308485.0
1994-08-01,1994,1,8,CONFAZ12_FINSE12,1994-08-01T00:00:00-03:00,5232301.0
1994-09-01,1994,1,9,CONFAZ12_FINSE12,1994-09-01T00:00:00-03:00,3828739.0
1994-10-01,1994,1,10,CONFAZ12_FINSE12,1994-10-01T00:00:00-03:00,4391502.0
1994-11-01,1994,1,11,CONFAZ12_FINSE12,1994-11-01T00:00:00-03:00,4490891.0
1994-12-01,1994,1,12,CONFAZ12_FINSE12,1994-12-01T00:00:00-02:00,4335321.0
