DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ICMSBA12,1993-01-01T00:00:00-02:00,1427.21
1993-02-01,1993,1,2,CONFAZ12_ICMSBA12,1993-02-01T00:00:00-02:00,1695.454
1993-03-01,1993,1,3,CONFAZ12_ICMSBA12,1993-03-01T00:00:00-03:00,2130.15
1993-04-01,1993,1,4,CONFAZ12_ICMSBA12,1993-04-01T00:00:00-03:00,2972.9
1993-05-01,1993,1,5,CONFAZ12_ICMSBA12,1993-05-01T00:00:00-03:00,3529.951
1993-06-01,1993,1,6,CONFAZ12_ICMSBA12,1993-06-01T00:00:00-03:00,4687.415
1993-07-01,1993,1,7,CONFAZ12_ICMSBA12,1993-07-01T00:00:00-03:00,6607.021
1993-08-01,1993,1,8,CONFAZ12_ICMSBA12,1993-08-01T00:00:00-03:00,9578.293
1993-09-01,1993,1,9,CONFAZ12_ICMSBA12,1993-09-01T00:00:00-03:00,11093.147
1993-10-01,1993,1,10,CONFAZ12_ICMSBA12,1993-10-01T00:00:00-03:00,15855.048
1993-11-01,1993,1,11,CONFAZ12_ICMSBA12,1993-11-01T00:00:00-03:00,20534.455
1993-12-01,1993,1,12,CONFAZ12_ICMSBA12,1993-12-01T00:00:00-02:00,29896.581
1994-01-01,1994,1,1,CONFAZ12_ICMSBA12,1994-01-01T00:00:00-02:00,15104.0
1994-02-01,1994,1,2,CONFAZ12_ICMSBA12,1994-02-01T00:00:00-02:00,19072.0
1994-03-01,1994,1,3,CONFAZ12_ICMSBA12,1994-03-01T00:00:00-03:00,27320.0
1994-04-01,1994,1,4,CONFAZ12_ICMSBA12,1994-04-01T00:00:00-03:00,41262.0
1994-05-01,1994,1,5,CONFAZ12_ICMSBA12,1994-05-01T00:00:00-03:00,62301.0
1994-06-01,1994,1,6,CONFAZ12_ICMSBA12,1994-06-01T00:00:00-03:00,97862.0
1994-07-01,1994,1,7,CONFAZ12_ICMSBA12,1994-07-01T00:00:00-03:00,117198.0
1994-08-01,1994,1,8,CONFAZ12_ICMSBA12,1994-08-01T00:00:00-03:00,140603.0
1994-09-01,1994,1,9,CONFAZ12_ICMSBA12,1994-09-01T00:00:00-03:00,152406.0
1994-10-01,1994,1,10,CONFAZ12_ICMSBA12,1994-10-01T00:00:00-03:00,162740.0
1994-11-01,1994,1,11,CONFAZ12_ICMSBA12,1994-11-01T00:00:00-03:00,154642.0
1994-12-01,1994,1,12,CONFAZ12_ICMSBA12,1994-12-01T00:00:00-02:00,175311.0
1995-01-01,1995,1,1,CONFAZ12_ICMSBA12,1995-01-01T00:00:00-02:00,181142.0
1995-02-01,1995,1,2,CONFAZ12_ICMSBA12,1995-02-01T00:00:00-02:00,167671.0
1995-03-01,1995,1,3,CONFAZ12_ICMSBA12,1995-03-01T00:00:00-03:00,155636.0
1995-04-01,1995,1,4,CONFAZ12_ICMSBA12,1995-04-01T00:00:00-03:00,170521.0
1995-05-01,1995,1,5,CONFAZ12_ICMSBA12,1995-05-01T00:00:00-03:00,159170.0
