DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ICMSGO12,1993-01-01T00:00:00-02:00,793.289
1993-02-01,1993,1,2,CONFAZ12_ICMSGO12,1993-02-01T00:00:00-02:00,869.276
1993-03-01,1993,1,3,CONFAZ12_ICMSGO12,1993-03-01T00:00:00-03:00,1084.614
1993-04-01,1993,1,4,CONFAZ12_ICMSGO12,1993-04-01T00:00:00-03:00,1553.165
1993-05-01,1993,1,5,CONFAZ12_ICMSGO12,1993-05-01T00:00:00-03:00,2095.453
1993-06-01,1993,1,6,CONFAZ12_ICMSGO12,1993-06-01T00:00:00-03:00,2596.921
1993-07-01,1993,1,7,CONFAZ12_ICMSGO12,1993-07-01T00:00:00-03:00,3546.213
1993-08-01,1993,1,8,CONFAZ12_ICMSGO12,1993-08-01T00:00:00-03:00,4424.492
1993-09-01,1993,1,9,CONFAZ12_ICMSGO12,1993-09-01T00:00:00-03:00,6116.384
1993-10-01,1993,1,10,CONFAZ12_ICMSGO12,1993-10-01T00:00:00-03:00,8173.42
1993-11-01,1993,1,11,CONFAZ12_ICMSGO12,1993-11-01T00:00:00-03:00,10892.769
1993-12-01,1993,1,12,CONFAZ12_ICMSGO12,1993-12-01T00:00:00-02:00,15000.782
1994-01-01,1994,1,1,CONFAZ12_ICMSGO12,1994-01-01T00:00:00-02:00,8778.0
1994-02-01,1994,1,2,CONFAZ12_ICMSGO12,1994-02-01T00:00:00-02:00,9545.0
1994-03-01,1994,1,3,CONFAZ12_ICMSGO12,1994-03-01T00:00:00-03:00,14643.0
1994-04-01,1994,1,4,CONFAZ12_ICMSGO12,1994-04-01T00:00:00-03:00,21542.0
1994-05-01,1994,1,5,CONFAZ12_ICMSGO12,1994-05-01T00:00:00-03:00,30914.0
1994-06-01,1994,1,6,CONFAZ12_ICMSGO12,1994-06-01T00:00:00-03:00,52918.0
1994-07-01,1994,1,7,CONFAZ12_ICMSGO12,1994-07-01T00:00:00-03:00,57332.0
1994-08-01,1994,1,8,CONFAZ12_ICMSGO12,1994-08-01T00:00:00-03:00,90755.0
1994-09-01,1994,1,9,CONFAZ12_ICMSGO12,1994-09-01T00:00:00-03:00,89848.0
1994-10-01,1994,1,10,CONFAZ12_ICMSGO12,1994-10-01T00:00:00-03:00,86677.0
1994-11-01,1994,1,11,CONFAZ12_ICMSGO12,1994-11-01T00:00:00-03:00,82948.0
1994-12-01,1994,1,12,CONFAZ12_ICMSGO12,1994-12-01T00:00:00-02:00,171281.0
1995-01-01,1995,1,1,CONFAZ12_ICMSGO12,1995-01-01T00:00:00-02:00,98946.0
1995-02-01,1995,1,2,CONFAZ12_ICMSGO12,1995-02-01T00:00:00-02:00,80675.0
1995-03-01,1995,1,3,CONFAZ12_ICMSGO12,1995-03-01T00:00:00-03:00,95873.0
1995-04-01,1995,1,4,CONFAZ12_ICMSGO12,1995-04-01T00:00:00-03:00,92726.0
1995-05-01,1995,1,5,CONFAZ12_ICMSGO12,1995-05-01T00:00:00-03:00,98009.0
1995-06-01,1995,1,6,CONFAZ12_ICMSGO12,1995-06-01T00:00:00-03:00,101527.0
1995-07-01,1995,1,7,CONFAZ12_ICMSGO12,1995-07-01T00:00:00-03:00,92432.0
1995-08-01,1995,1,8,CONFAZ12_ICMSGO12,1995-08-01T00:00:00-03:00,92912.0
1995-09-01,1995,1,9,CONFAZ12_ICMSGO12,1995-09-01T00:00:00-03:00,89825.0
1995-10-01,1995,1,10,CONFAZ12_ICMSGO12,1995-10-01T00:00:00-03:00,93303.0
1995-11-01,1995,1,11,CONFAZ12_ICMSGO12,1995-11-01T00:00:00-03:00,96877.0
1995-12-01,1995,1,12,CONFAZ12_ICMSGO12,1995-12-01T00:00:00-02:00,99469.0
