DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ICMSPA12,1993-01-01T00:00:00-02:00,395.513
1993-02-01,1993,1,2,CONFAZ12_ICMSPA12,1993-02-01T00:00:00-02:00,408.383
1993-03-01,1993,1,3,CONFAZ12_ICMSPA12,1993-03-01T00:00:00-03:00,580.11
1993-04-01,1993,1,4,CONFAZ12_ICMSPA12,1993-04-01T00:00:00-03:00,749.049
1993-05-01,1993,1,5,CONFAZ12_ICMSPA12,1993-05-01T00:00:00-03:00,918.002
1993-06-01,1993,1,6,CONFAZ12_ICMSPA12,1993-06-01T00:00:00-03:00,1251.001
1993-07-01,1993,1,7,CONFAZ12_ICMSPA12,1993-07-01T00:00:00-03:00,1791.318
1993-08-01,1993,1,8,CONFAZ12_ICMSPA12,1993-08-01T00:00:00-03:00,2369.42
1993-09-01,1993,1,9,CONFAZ12_ICMSPA12,1993-09-01T00:00:00-03:00,3377.45
1993-10-01,1993,1,10,CONFAZ12_ICMSPA12,1993-10-01T00:00:00-03:00,4182.861
1993-11-01,1993,1,11,CONFAZ12_ICMSPA12,1993-11-01T00:00:00-03:00,5933.019
1993-12-01,1993,1,12,CONFAZ12_ICMSPA12,1993-12-01T00:00:00-02:00,8722.258
1994-01-01,1994,1,1,CONFAZ12_ICMSPA12,1994-01-01T00:00:00-02:00,4605.0
1994-02-01,1994,1,2,CONFAZ12_ICMSPA12,1994-02-01T00:00:00-02:00,5291.0
1994-03-01,1994,1,3,CONFAZ12_ICMSPA12,1994-03-01T00:00:00-03:00,7694.0
1994-04-01,1994,1,4,CONFAZ12_ICMSPA12,1994-04-01T00:00:00-03:00,9721.0
1994-05-01,1994,1,5,CONFAZ12_ICMSPA12,1994-05-01T00:00:00-03:00,14202.0
1994-06-01,1994,1,6,CONFAZ12_ICMSPA12,1994-06-01T00:00:00-03:00,31582.0
1994-07-01,1994,1,7,CONFAZ12_ICMSPA12,1994-07-01T00:00:00-03:00,33472.0
1994-08-01,1994,1,8,CONFAZ12_ICMSPA12,1994-08-01T00:00:00-03:00,43895.0
1994-09-01,1994,1,9,CONFAZ12_ICMSPA12,1994-09-01T00:00:00-03:00,49535.0
1994-10-01,1994,1,10,CONFAZ12_ICMSPA12,1994-10-01T00:00:00-03:00,39035.0
1994-11-01,1994,1,11,CONFAZ12_ICMSPA12,1994-11-01T00:00:00-03:00,54067.0
1994-12-01,1994,1,12,CONFAZ12_ICMSPA12,1994-12-01T00:00:00-02:00,51815.0
1995-01-01,1995,1,1,CONFAZ12_ICMSPA12,1995-01-01T00:00:00-02:00,51062.0
1995-02-01,1995,1,2,CONFAZ12_ICMSPA12,1995-02-01T00:00:00-02:00,48090.0
1995-03-01,1995,1,3,CONFAZ12_ICMSPA12,1995-03-01T00:00:00-03:00,55487.0
1995-04-01,1995,1,4,CONFAZ12_ICMSPA12,1995-04-01T00:00:00-03:00,36531.0
1995-05-01,1995,1,5,CONFAZ12_ICMSPA12,1995-05-01T00:00:00-03:00,45920.0
1995-06-01,1995,1,6,CONFAZ12_ICMSPA12,1995-06-01T00:00:00-03:00,51423.0
1995-07-01,1995,1,7,CONFAZ12_ICMSPA12,1995-07-01T00:00:00-03:00,55119.0
1995-08-01,1995,1,8,CONFAZ12_ICMSPA12,1995-08-01T00:00:00-03:00,52276.0
1995-09-01,1995,1,9,CONFAZ12_ICMSPA12,1995-09-01T00:00:00-03:00,58268.0
1995-10-01,1995,1,10,CONFAZ12_ICMSPA12,1995-10-01T00:00:00-03:00,57317.0
1995-11-01,1995,1,11,CONFAZ12_ICMSPA12,1995-11-01T00:00:00-03:00,62414.0
1995-12-01,1995,1,12,CONFAZ12_ICMSPA12,1995-12-01T00:00:00-02:00,60509.0
1996-01-01,1996,1,1,CONFAZ12_ICMSPA12,1996-01-01T00:00:00-02:00,62476.0
1996-02-01,1996,1,2,CONFAZ12_ICMSPA12,1996-02-01T00:00:00-02:00,59542.0
1996-03-01,1996,1,3,CONFAZ12_ICMSPA12,1996-03-01T00:00:00-03:00,57298.0
1996-04-01,1996,1,4,CONFAZ12_ICMSPA12,1996-04-01T00:00:00-03:00,58911.0
1996-05-01,1996,1,5,CONFAZ12_ICMSPA12,1996-05-01T00:00:00-03:00,59352.0
1996-06-01,1996,1,6,CONFAZ12_ICMSPA12,1996-06-01T00:00:00-03:00,60921.0
1996-07-01,1996,1,7,CONFAZ12_ICMSPA12,1996-07-01T00:00:00-03:00,63860.0
1996-08-01,1996,1,8,CONFAZ12_ICMSPA12,1996-08-01T00:00:00-03:00,68016.0
1996-09-01,1996,1,9,CONFAZ12_ICMSPA12,1996-09-01T00:00:00-03:00,64172.0
1996-10-01,1996,1,10,CONFAZ12_ICMSPA12,1996-10-01T00:00:00-03:00,63713.0
1996-11-01,1996,1,11,CONFAZ12_ICMSPA12,1996-11-01T00:00:00-03:00,67147.0
1996-12-01,1996,1,12,CONFAZ12_ICMSPA12,1996-12-01T00:00:00-02:00,60584.0
1997-01-01,1997,1,1,CONFAZ12_ICMSPA12,1997-01-01T00:00:00-02:00,67826.0
1997-02-01,1997,1,2,CONFAZ12_ICMSPA12,1997-02-01T00:00:00-02:00,67065.0
1997-03-01,1997,1,3,CONFAZ12_ICMSPA12,1997-03-01T00:00:00-03:00,54860.0
1997-04-01,1997,1,4,CONFAZ12_ICMSPA12,1997-04-01T00:00:00-03:00,51302.0
1997-05-01,1997,1,5,CONFAZ12_ICMSPA12,1997-05-01T00:00:00-03:00,63428.0
1997-06-01,1997,1,6,CONFAZ12_ICMSPA12,1997-06-01T00:00:00-03:00,69643.0
1997-07-01,1997,1,7,CONFAZ12_ICMSPA12,1997-07-01T00:00:00-03:00,63954.0
1997-08-01,1997,1,8,CONFAZ12_ICMSPA12,1997-08-01T00:00:00-03:00,59048.0
1997-09-01,1997,1,9,CONFAZ12_ICMSPA12,1997-09-01T00:00:00-03:00,62308.0
1997-10-01,1997,1,10,CONFAZ12_ICMSPA12,1997-10-01T00:00:00-03:00,61652.0
1997-11-01,1997,1,11,CONFAZ12_ICMSPA12,1997-11-01T00:00:00-03:00,74500.0
1997-12-01,1997,1,12,CONFAZ12_ICMSPA12,1997-12-01T00:00:00-02:00,74628.0
1998-01-01,1998,1,1,CONFAZ12_ICMSPA12,1998-01-01T00:00:00-02:00,73577.0
1998-02-01,1998,1,2,CONFAZ12_ICMSPA12,1998-02-01T00:00:00-02:00,63151.0
1998-03-01,1998,1,3,CONFAZ12_ICMSPA12,1998-03-01T00:00:00-03:00,143875.0
1998-04-01,1998,1,4,CONFAZ12_ICMSPA12,1998-04-01T00:00:00-03:00,63112.0
1998-05-01,1998,1,5,CONFAZ12_ICMSPA12,1998-05-01T00:00:00-03:00,58645.0
1998-06-01,1998,1,6,CONFAZ12_ICMSPA12,1998-06-01T00:00:00-03:00,57455.0
1998-07-01,1998,1,7,CONFAZ12_ICMSPA12,1998-07-01T00:00:00-03:00,68902.0
1998-08-01,1998,1,8,CONFAZ12_ICMSPA12,1998-08-01T00:00:00-03:00,67291.0
1998-09-01,1998,1,9,CONFAZ12_ICMSPA12,1998-09-01T00:00:00-03:00,72448.0
1998-10-01,1998,1,10,CONFAZ12_ICMSPA12,1998-10-01T00:00:00-03:00,65249.0
1998-11-01,1998,1,11,CONFAZ12_ICMSPA12,1998-11-01T00:00:00-03:00,67990.0
1998-12-01,1998,1,12,CONFAZ12_ICMSPA12,1998-12-01T00:00:00-02:00,73650.0
1999-01-01,1999,1,1,CONFAZ12_ICMSPA12,1999-01-01T00:00:00-02:00,67753.0
1999-02-01,1999,1,2,CONFAZ12_ICMSPA12,1999-02-01T00:00:00-02:00,65179.0
1999-03-01,1999,1,3,CONFAZ12_ICMSPA12,1999-03-01T00:00:00-03:00,67069.0
1999-04-01,1999,1,4,CONFAZ12_ICMSPA12,1999-04-01T00:00:00-03:00,64019.0
1999-05-01,1999,1,5,CONFAZ12_ICMSPA12,1999-05-01T00:00:00-03:00,68816.0
1999-06-01,1999,1,6,CONFAZ12_ICMSPA12,1999-06-01T00:00:00-03:00,68900.0
1999-07-01,1999,1,7,CONFAZ12_ICMSPA12,1999-07-01T00:00:00-03:00,74225.0
1999-08-01,1999,1,8,CONFAZ12_ICMSPA12,1999-08-01T00:00:00-03:00,83024.0
1999-09-01,1999,1,9,CONFAZ12_ICMSPA12,1999-09-01T00:00:00-03:00,79384.0
1999-10-01,1999,1,10,CONFAZ12_ICMSPA12,1999-10-01T00:00:00-03:00,86267.0
1999-11-01,1999,1,11,CONFAZ12_ICMSPA12,1999-11-01T00:00:00-03:00,89481.0
1999-12-01,1999,1,12,CONFAZ12_ICMSPA12,1999-12-01T00:00:00-02:00,88861.0
2000-01-01,2000,1,1,CONFAZ12_ICMSPA12,2000-01-01T00:00:00-02:00,96633.0
2000-02-01,2000,1,2,CONFAZ12_ICMSPA12,2000-02-01T00:00:00-02:00,92325.0
2000-03-01,2000,1,3,CONFAZ12_ICMSPA12,2000-03-01T00:00:00-03:00,84333.0
2000-04-01,2000,1,4,CONFAZ12_ICMSPA12,2000-04-01T00:00:00-03:00,89556.0
2000-05-01,2000,1,5,CONFAZ12_ICMSPA12,2000-05-01T00:00:00-03:00,86750.0
2000-06-01,2000,1,6,CONFAZ12_ICMSPA12,2000-06-01T00:00:00-03:00,93674.0
2000-07-01,2000,1,7,CONFAZ12_ICMSPA12,2000-07-01T00:00:00-03:00,109469.0
2000-08-01,2000,1,8,CONFAZ12_ICMSPA12,2000-08-01T00:00:00-03:00,108846.0
2000-09-01,2000,1,9,CONFAZ12_ICMSPA12,2000-09-01T00:00:00-03:00,100599.0
2000-10-01,2000,1,10,CONFAZ12_ICMSPA12,2000-10-01T00:00:00-03:00,113822.0
2000-11-01,2000,1,11,CONFAZ12_ICMSPA12,2000-11-01T00:00:00-03:00,104515.0
2000-12-01,2000,1,12,CONFAZ12_ICMSPA12,2000-12-01T00:00:00-02:00,103408.0
2001-01-01,2001,1,1,CONFAZ12_ICMSPA12,2001-01-01T00:00:00-02:00,117458.0
2001-02-01,2001,1,2,CONFAZ12_ICMSPA12,2001-02-01T00:00:00-02:00,100733.0
2001-03-01,2001,1,3,CONFAZ12_ICMSPA12,2001-03-01T00:00:00-03:00,106168.0
2001-04-01,2001,1,4,CONFAZ12_ICMSPA12,2001-04-01T00:00:00-03:00,124846.0
