DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ICMSPI12,1993-01-01T00:00:00-02:00,120.395
1993-02-01,1993,1,2,CONFAZ12_ICMSPI12,1993-02-01T00:00:00-02:00,163.489
1993-03-01,1993,1,3,CONFAZ12_ICMSPI12,1993-03-01T00:00:00-03:00,171.749
1993-04-01,1993,1,4,CONFAZ12_ICMSPI12,1993-04-01T00:00:00-03:00,229.079
1993-05-01,1993,1,5,CONFAZ12_ICMSPI12,1993-05-01T00:00:00-03:00,295.142
1993-06-01,1993,1,6,CONFAZ12_ICMSPI12,1993-06-01T00:00:00-03:00,373.938
1993-07-01,1993,1,7,CONFAZ12_ICMSPI12,1993-07-01T00:00:00-03:00,557.671
1993-08-01,1993,1,8,CONFAZ12_ICMSPI12,1993-08-01T00:00:00-03:00,748.364
1993-09-01,1993,1,9,CONFAZ12_ICMSPI12,1993-09-01T00:00:00-03:00,1026.621
1993-10-01,1993,1,10,CONFAZ12_ICMSPI12,1993-10-01T00:00:00-03:00,1432.334
1993-11-01,1993,1,11,CONFAZ12_ICMSPI12,1993-11-01T00:00:00-03:00,2118.861
1993-12-01,1993,1,12,CONFAZ12_ICMSPI12,1993-12-01T00:00:00-02:00,2875.457
1994-01-01,1994,1,1,CONFAZ12_ICMSPI12,1994-01-01T00:00:00-02:00,1707.0
1994-02-01,1994,1,2,CONFAZ12_ICMSPI12,1994-02-01T00:00:00-02:00,1706.0
1994-03-01,1994,1,3,CONFAZ12_ICMSPI12,1994-03-01T00:00:00-03:00,2113.0
1994-04-01,1994,1,4,CONFAZ12_ICMSPI12,1994-04-01T00:00:00-03:00,3795.0
1994-05-01,1994,1,5,CONFAZ12_ICMSPI12,1994-05-01T00:00:00-03:00,4944.0
1994-06-01,1994,1,6,CONFAZ12_ICMSPI12,1994-06-01T00:00:00-03:00,6511.0
1994-07-01,1994,1,7,CONFAZ12_ICMSPI12,1994-07-01T00:00:00-03:00,9371.0
1994-08-01,1994,1,8,CONFAZ12_ICMSPI12,1994-08-01T00:00:00-03:00,11247.0
1994-09-01,1994,1,9,CONFAZ12_ICMSPI12,1994-09-01T00:00:00-03:00,14215.0
1994-10-01,1994,1,10,CONFAZ12_ICMSPI12,1994-10-01T00:00:00-03:00,14790.0
1994-11-01,1994,1,11,CONFAZ12_ICMSPI12,1994-11-01T00:00:00-03:00,14510.0
1994-12-01,1994,1,12,CONFAZ12_ICMSPI12,1994-12-01T00:00:00-02:00,17021.0
1995-01-01,1995,1,1,CONFAZ12_ICMSPI12,1995-01-01T00:00:00-02:00,18868.0
1995-02-01,1995,1,2,CONFAZ12_ICMSPI12,1995-02-01T00:00:00-02:00,15385.0
1995-03-01,1995,1,3,CONFAZ12_ICMSPI12,1995-03-01T00:00:00-03:00,16118.0
1995-04-01,1995,1,4,CONFAZ12_ICMSPI12,1995-04-01T00:00:00-03:00,15602.0
1995-05-01,1995,1,5,CONFAZ12_ICMSPI12,1995-05-01T00:00:00-03:00,14479.0
1995-06-01,1995,1,6,CONFAZ12_ICMSPI12,1995-06-01T00:00:00-03:00,15705.0
1995-07-01,1995,1,7,CONFAZ12_ICMSPI12,1995-07-01T00:00:00-03:00,17869.0
1995-08-01,1995,1,8,CONFAZ12_ICMSPI12,1995-08-01T00:00:00-03:00,19313.0
1995-09-01,1995,1,9,CONFAZ12_ICMSPI12,1995-09-01T00:00:00-03:00,19849.0
1995-10-01,1995,1,10,CONFAZ12_ICMSPI12,1995-10-01T00:00:00-03:00,18296.0
