DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ICMSRN12,1993-01-01T00:00:00-02:00,182.535
1993-02-01,1993,1,2,CONFAZ12_ICMSRN12,1993-02-01T00:00:00-02:00,213.804
1993-03-01,1993,1,3,CONFAZ12_ICMSRN12,1993-03-01T00:00:00-03:00,240.967
1993-04-01,1993,1,4,CONFAZ12_ICMSRN12,1993-04-01T00:00:00-03:00,329.944
1993-05-01,1993,1,5,CONFAZ12_ICMSRN12,1993-05-01T00:00:00-03:00,393.974
1993-06-01,1993,1,6,CONFAZ12_ICMSRN12,1993-06-01T00:00:00-03:00,527.242
1993-07-01,1993,1,7,CONFAZ12_ICMSRN12,1993-07-01T00:00:00-03:00,678.701
1993-08-01,1993,1,8,CONFAZ12_ICMSRN12,1993-08-01T00:00:00-03:00,930.193
1993-09-01,1993,1,9,CONFAZ12_ICMSRN12,1993-09-01T00:00:00-03:00,1196.476
1993-10-01,1993,1,10,CONFAZ12_ICMSRN12,1993-10-01T00:00:00-03:00,1564.098
1993-11-01,1993,1,11,CONFAZ12_ICMSRN12,1993-11-01T00:00:00-03:00,2404.435
1993-12-01,1993,1,12,CONFAZ12_ICMSRN12,1993-12-01T00:00:00-02:00,3215.048
1994-01-01,1994,1,1,CONFAZ12_ICMSRN12,1994-01-01T00:00:00-02:00,12867.0
1994-02-01,1994,1,2,CONFAZ12_ICMSRN12,1994-02-01T00:00:00-02:00,11240.0
1994-03-01,1994,1,3,CONFAZ12_ICMSRN12,1994-03-01T00:00:00-03:00,10377.0
1994-04-01,1994,1,4,CONFAZ12_ICMSRN12,1994-04-01T00:00:00-03:00,10713.0
1994-05-01,1994,1,5,CONFAZ12_ICMSRN12,1994-05-01T00:00:00-03:00,11656.0
1994-06-01,1994,1,6,CONFAZ12_ICMSRN12,1994-06-01T00:00:00-03:00,12332.0
1994-07-01,1994,1,7,CONFAZ12_ICMSRN12,1994-07-01T00:00:00-03:00,11986.0
1994-08-01,1994,1,8,CONFAZ12_ICMSRN12,1994-08-01T00:00:00-03:00,17575.0
1994-09-01,1994,1,9,CONFAZ12_ICMSRN12,1994-09-01T00:00:00-03:00,19817.0
1994-10-01,1994,1,10,CONFAZ12_ICMSRN12,1994-10-01T00:00:00-03:00,20071.0
1994-11-01,1994,1,11,CONFAZ12_ICMSRN12,1994-11-01T00:00:00-03:00,21167.0
1994-12-01,1994,1,12,CONFAZ12_ICMSRN12,1994-12-01T00:00:00-02:00,22970.0
1995-01-01,1995,1,1,CONFAZ12_ICMSRN12,1995-01-01T00:00:00-02:00,26299.0
1995-02-01,1995,1,2,CONFAZ12_ICMSRN12,1995-02-01T00:00:00-02:00,28176.0
1995-03-01,1995,1,3,CONFAZ12_ICMSRN12,1995-03-01T00:00:00-03:00,21923.0
1995-04-01,1995,1,4,CONFAZ12_ICMSRN12,1995-04-01T00:00:00-03:00,22396.0
1995-05-01,1995,1,5,CONFAZ12_ICMSRN12,1995-05-01T00:00:00-03:00,20345.0
1995-06-01,1995,1,6,CONFAZ12_ICMSRN12,1995-06-01T00:00:00-03:00,23977.0
1995-07-01,1995,1,7,CONFAZ12_ICMSRN12,1995-07-01T00:00:00-03:00,24454.0
1995-08-01,1995,1,8,CONFAZ12_ICMSRN12,1995-08-01T00:00:00-03:00,24566.0
1995-09-01,1995,1,9,CONFAZ12_ICMSRN12,1995-09-01T00:00:00-03:00,25892.0
1995-10-01,1995,1,10,CONFAZ12_ICMSRN12,1995-10-01T00:00:00-03:00,27182.0
1995-11-01,1995,1,11,CONFAZ12_ICMSRN12,1995-11-01T00:00:00-03:00,25808.0
1995-12-01,1995,1,12,CONFAZ12_ICMSRN12,1995-12-01T00:00:00-02:00,26413.0
1996-01-01,1996,1,1,CONFAZ12_ICMSRN12,1996-01-01T00:00:00-02:00,31989.0
1996-02-01,1996,1,2,CONFAZ12_ICMSRN12,1996-02-01T00:00:00-02:00,28471.0
1996-03-01,1996,1,3,CONFAZ12_ICMSRN12,1996-03-01T00:00:00-03:00,26043.0
1996-04-01,1996,1,4,CONFAZ12_ICMSRN12,1996-04-01T00:00:00-03:00,28972.0
1996-05-01,1996,1,5,CONFAZ12_ICMSRN12,1996-05-01T00:00:00-03:00,29091.0
1996-06-01,1996,1,6,CONFAZ12_ICMSRN12,1996-06-01T00:00:00-03:00,31481.0
1996-07-01,1996,1,7,CONFAZ12_ICMSRN12,1996-07-01T00:00:00-03:00,31144.0
1996-08-01,1996,1,8,CONFAZ12_ICMSRN12,1996-08-01T00:00:00-03:00,32389.0
1996-09-01,1996,1,9,CONFAZ12_ICMSRN12,1996-09-01T00:00:00-03:00,34578.0
1996-10-01,1996,1,10,CONFAZ12_ICMSRN12,1996-10-01T00:00:00-03:00,32366.0
1996-11-01,1996,1,11,CONFAZ12_ICMSRN12,1996-11-01T00:00:00-03:00,37441.0
1996-12-01,1996,1,12,CONFAZ12_ICMSRN12,1996-12-01T00:00:00-02:00,34884.0
1997-01-01,1997,1,1,CONFAZ12_ICMSRN12,1997-01-01T00:00:00-02:00,36820.0
1997-02-01,1997,1,2,CONFAZ12_ICMSRN12,1997-02-01T00:00:00-02:00,36644.0
1997-03-01,1997,1,3,CONFAZ12_ICMSRN12,1997-03-01T00:00:00-03:00,33664.0
1997-04-01,1997,1,4,CONFAZ12_ICMSRN12,1997-04-01T00:00:00-03:00,38179.0
1997-05-01,1997,1,5,CONFAZ12_ICMSRN12,1997-05-01T00:00:00-03:00,37492.0
1997-06-01,1997,1,6,CONFAZ12_ICMSRN12,1997-06-01T00:00:00-03:00,36599.0
1997-07-01,1997,1,7,CONFAZ12_ICMSRN12,1997-07-01T00:00:00-03:00,39457.0
1997-08-01,1997,1,8,CONFAZ12_ICMSRN12,1997-08-01T00:00:00-03:00,39156.0
1997-09-01,1997,1,9,CONFAZ12_ICMSRN12,1997-09-01T00:00:00-03:00,40261.0
1997-10-01,1997,1,10,CONFAZ12_ICMSRN12,1997-10-01T00:00:00-03:00,39970.0
1997-11-01,1997,1,11,CONFAZ12_ICMSRN12,1997-11-01T00:00:00-03:00,37491.0
1997-12-01,1997,1,12,CONFAZ12_ICMSRN12,1997-12-01T00:00:00-02:00,43165.0
1998-01-01,1998,1,1,CONFAZ12_ICMSRN12,1998-01-01T00:00:00-02:00,45063.0
1998-02-01,1998,1,2,CONFAZ12_ICMSRN12,1998-02-01T00:00:00-02:00,41883.0
1998-03-01,1998,1,3,CONFAZ12_ICMSRN12,1998-03-01T00:00:00-03:00,38899.0
1998-04-01,1998,1,4,CONFAZ12_ICMSRN12,1998-04-01T00:00:00-03:00,39884.0
1998-05-01,1998,1,5,CONFAZ12_ICMSRN12,1998-05-01T00:00:00-03:00,42403.0
1998-06-01,1998,1,6,CONFAZ12_ICMSRN12,1998-06-01T00:00:00-03:00,41517.0
1998-07-01,1998,1,7,CONFAZ12_ICMSRN12,1998-07-01T00:00:00-03:00,40184.0
1998-08-01,1998,1,8,CONFAZ12_ICMSRN12,1998-08-01T00:00:00-03:00,40962.0
1998-09-01,1998,1,9,CONFAZ12_ICMSRN12,1998-09-01T00:00:00-03:00,40735.0
1998-10-01,1998,1,10,CONFAZ12_ICMSRN12,1998-10-01T00:00:00-03:00,47585.0
1998-11-01,1998,1,11,CONFAZ12_ICMSRN12,1998-11-01T00:00:00-03:00,46354.0
1998-12-01,1998,1,12,CONFAZ12_ICMSRN12,1998-12-01T00:00:00-02:00,44678.0
1999-01-01,1999,1,1,CONFAZ12_ICMSRN12,1999-01-01T00:00:00-02:00,51706.0
1999-02-01,1999,1,2,CONFAZ12_ICMSRN12,1999-02-01T00:00:00-02:00,47141.0
1999-03-01,1999,1,3,CONFAZ12_ICMSRN12,1999-03-01T00:00:00-03:00,42460.0
1999-04-01,1999,1,4,CONFAZ12_ICMSRN12,1999-04-01T00:00:00-03:00,50595.0
1999-05-01,1999,1,5,CONFAZ12_ICMSRN12,1999-05-01T00:00:00-03:00,44251.0
1999-06-01,1999,1,6,CONFAZ12_ICMSRN12,1999-06-01T00:00:00-03:00,48444.0
1999-07-01,1999,1,7,CONFAZ12_ICMSRN12,1999-07-01T00:00:00-03:00,45532.0
1999-08-01,1999,1,8,CONFAZ12_ICMSRN12,1999-08-01T00:00:00-03:00,51081.0
1999-09-01,1999,1,9,CONFAZ12_ICMSRN12,1999-09-01T00:00:00-03:00,56955.0
1999-10-01,1999,1,10,CONFAZ12_ICMSRN12,1999-10-01T00:00:00-03:00,55811.0
1999-11-01,1999,1,11,CONFAZ12_ICMSRN12,1999-11-01T00:00:00-03:00,55009.0
1999-12-01,1999,1,12,CONFAZ12_ICMSRN12,1999-12-01T00:00:00-02:00,65288.0
2000-01-01,2000,1,1,CONFAZ12_ICMSRN12,2000-01-01T00:00:00-02:00,65328.0
2000-02-01,2000,1,2,CONFAZ12_ICMSRN12,2000-02-01T00:00:00-02:00,54990.0
2000-03-01,2000,1,3,CONFAZ12_ICMSRN12,2000-03-01T00:00:00-03:00,60681.0
2000-04-01,2000,1,4,CONFAZ12_ICMSRN12,2000-04-01T00:00:00-03:00,59267.0
2000-05-01,2000,1,5,CONFAZ12_ICMSRN12,2000-05-01T00:00:00-03:00,59970.0
2000-06-01,2000,1,6,CONFAZ12_ICMSRN12,2000-06-01T00:00:00-03:00,64976.0
2000-07-01,2000,1,7,CONFAZ12_ICMSRN12,2000-07-01T00:00:00-03:00,64035.0
2000-08-01,2000,1,8,CONFAZ12_ICMSRN12,2000-08-01T00:00:00-03:00,67846.0
2000-09-01,2000,1,9,CONFAZ12_ICMSRN12,2000-09-01T00:00:00-03:00,63832.0
2000-10-01,2000,1,10,CONFAZ12_ICMSRN12,2000-10-01T00:00:00-03:00,74735.0
2000-11-01,2000,1,11,CONFAZ12_ICMSRN12,2000-11-01T00:00:00-03:00,80519.0
2000-12-01,2000,1,12,CONFAZ12_ICMSRN12,2000-12-01T00:00:00-02:00,75354.0
2001-01-01,2001,1,1,CONFAZ12_ICMSRN12,2001-01-01T00:00:00-02:00,74668.0
2001-02-01,2001,1,2,CONFAZ12_ICMSRN12,2001-02-01T00:00:00-02:00,72120.0
2001-03-01,2001,1,3,CONFAZ12_ICMSRN12,2001-03-01T00:00:00-03:00,68891.0
2001-04-01,2001,1,4,CONFAZ12_ICMSRN12,2001-04-01T00:00:00-03:00,70215.0
