DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_ICMSRS12,1993-01-01T00:00:00-02:00,2514.296
1993-02-01,1993,1,2,CONFAZ12_ICMSRS12,1993-02-01T00:00:00-02:00,2816.76
1993-03-01,1993,1,3,CONFAZ12_ICMSRS12,1993-03-01T00:00:00-03:00,3967.099
1993-04-01,1993,1,4,CONFAZ12_ICMSRS12,1993-04-01T00:00:00-03:00,5190.555
1993-05-01,1993,1,5,CONFAZ12_ICMSRS12,1993-05-01T00:00:00-03:00,6473.68
1993-06-01,1993,1,6,CONFAZ12_ICMSRS12,1993-06-01T00:00:00-03:00,8597.616
1993-07-01,1993,1,7,CONFAZ12_ICMSRS12,1993-07-01T00:00:00-03:00,11276.44
1993-08-01,1993,1,8,CONFAZ12_ICMSRS12,1993-08-01T00:00:00-03:00,14619.158
1993-09-01,1993,1,9,CONFAZ12_ICMSRS12,1993-09-01T00:00:00-03:00,21098.48
1993-10-01,1993,1,10,CONFAZ12_ICMSRS12,1993-10-01T00:00:00-03:00,26200.959
1993-11-01,1993,1,11,CONFAZ12_ICMSRS12,1993-11-01T00:00:00-03:00,39670.531
1993-12-01,1993,1,12,CONFAZ12_ICMSRS12,1993-12-01T00:00:00-02:00,50351.219
1994-01-01,1994,1,1,CONFAZ12_ICMSRS12,1994-01-01T00:00:00-02:00,222484.0
1994-02-01,1994,1,2,CONFAZ12_ICMSRS12,1994-02-01T00:00:00-02:00,178420.0
1994-03-01,1994,1,3,CONFAZ12_ICMSRS12,1994-03-01T00:00:00-03:00,165272.0
1994-04-01,1994,1,4,CONFAZ12_ICMSRS12,1994-04-01T00:00:00-03:00,191172.0
1994-05-01,1994,1,5,CONFAZ12_ICMSRS12,1994-05-01T00:00:00-03:00,213923.0
1994-06-01,1994,1,6,CONFAZ12_ICMSRS12,1994-06-01T00:00:00-03:00,213472.0
1994-07-01,1994,1,7,CONFAZ12_ICMSRS12,1994-07-01T00:00:00-03:00,180311.0
1994-08-01,1994,1,8,CONFAZ12_ICMSRS12,1994-08-01T00:00:00-03:00,238728.0
1994-09-01,1994,1,9,CONFAZ12_ICMSRS12,1994-09-01T00:00:00-03:00,259027.0
1994-10-01,1994,1,10,CONFAZ12_ICMSRS12,1994-10-01T00:00:00-03:00,270200.0
1994-11-01,1994,1,11,CONFAZ12_ICMSRS12,1994-11-01T00:00:00-03:00,279128.0
1994-12-01,1994,1,12,CONFAZ12_ICMSRS12,1994-12-01T00:00:00-02:00,371781.0
1995-01-01,1995,1,1,CONFAZ12_ICMSRS12,1995-01-01T00:00:00-02:00,260983.0
1995-02-01,1995,1,2,CONFAZ12_ICMSRS12,1995-02-01T00:00:00-02:00,268814.0
1995-03-01,1995,1,3,CONFAZ12_ICMSRS12,1995-03-01T00:00:00-03:00,295978.0
1995-04-01,1995,1,4,CONFAZ12_ICMSRS12,1995-04-01T00:00:00-03:00,257850.0
1995-05-01,1995,1,5,CONFAZ12_ICMSRS12,1995-05-01T00:00:00-03:00,292040.0
1995-06-01,1995,1,6,CONFAZ12_ICMSRS12,1995-06-01T00:00:00-03:00,291975.0
1995-07-01,1995,1,7,CONFAZ12_ICMSRS12,1995-07-01T00:00:00-03:00,280217.0
1995-08-01,1995,1,8,CONFAZ12_ICMSRS12,1995-08-01T00:00:00-03:00,265509.0
1995-09-01,1995,1,9,CONFAZ12_ICMSRS12,1995-09-01T00:00:00-03:00,277459.0
1995-10-01,1995,1,10,CONFAZ12_ICMSRS12,1995-10-01T00:00:00-03:00,306188.0
1995-11-01,1995,1,11,CONFAZ12_ICMSRS12,1995-11-01T00:00:00-03:00,315776.0
1995-12-01,1995,1,12,CONFAZ12_ICMSRS12,1995-12-01T00:00:00-02:00,396694.0
1996-01-01,1996,1,1,CONFAZ12_ICMSRS12,1996-01-01T00:00:00-02:00,284450.0
1996-02-01,1996,1,2,CONFAZ12_ICMSRS12,1996-02-01T00:00:00-02:00,310365.0
1996-03-01,1996,1,3,CONFAZ12_ICMSRS12,1996-03-01T00:00:00-03:00,282525.0
1996-04-01,1996,1,4,CONFAZ12_ICMSRS12,1996-04-01T00:00:00-03:00,326337.0
1996-05-01,1996,1,5,CONFAZ12_ICMSRS12,1996-05-01T00:00:00-03:00,328749.0
1996-06-01,1996,1,6,CONFAZ12_ICMSRS12,1996-06-01T00:00:00-03:00,352008.0
1996-07-01,1996,1,7,CONFAZ12_ICMSRS12,1996-07-01T00:00:00-03:00,313801.0
1996-08-01,1996,1,8,CONFAZ12_ICMSRS12,1996-08-01T00:00:00-03:00,352087.0
1996-09-01,1996,1,9,CONFAZ12_ICMSRS12,1996-09-01T00:00:00-03:00,349866.0
1996-10-01,1996,1,10,CONFAZ12_ICMSRS12,1996-10-01T00:00:00-03:00,332025.0
