DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IEPR12,1993-01-01T00:00:00-02:00,556.0
1993-02-01,1993,1,2,CONFAZ12_IEPR12,1993-02-01T00:00:00-02:00,410.0
1993-03-01,1993,1,3,CONFAZ12_IEPR12,1993-03-01T00:00:00-03:00,238.0
1993-04-01,1993,1,4,CONFAZ12_IEPR12,1993-04-01T00:00:00-03:00,0.0
1993-05-01,1993,1,5,CONFAZ12_IEPR12,1993-05-01T00:00:00-03:00,1691.0
1993-06-01,1993,1,6,CONFAZ12_IEPR12,1993-06-01T00:00:00-03:00,857.0
1993-07-01,1993,1,7,CONFAZ12_IEPR12,1993-07-01T00:00:00-03:00,1018.0
1993-08-01,1993,1,8,CONFAZ12_IEPR12,1993-08-01T00:00:00-03:00,1411.0
1993-09-01,1993,1,9,CONFAZ12_IEPR12,1993-09-01T00:00:00-03:00,441.0
1993-10-01,1993,1,10,CONFAZ12_IEPR12,1993-10-01T00:00:00-03:00,1515.0
1993-11-01,1993,1,11,CONFAZ12_IEPR12,1993-11-01T00:00:00-03:00,476.0
1993-12-01,1993,1,12,CONFAZ12_IEPR12,1993-12-01T00:00:00-02:00,1445.0
1994-01-01,1994,1,1,CONFAZ12_IEPR12,1994-01-01T00:00:00-02:00,1646.0
1994-02-01,1994,1,2,CONFAZ12_IEPR12,1994-02-01T00:00:00-02:00,806.0
1994-03-01,1994,1,3,CONFAZ12_IEPR12,1994-03-01T00:00:00-03:00,3447.0
1994-04-01,1994,1,4,CONFAZ12_IEPR12,1994-04-01T00:00:00-03:00,68.0
1994-05-01,1994,1,5,CONFAZ12_IEPR12,1994-05-01T00:00:00-03:00,414.0
1994-06-01,1994,1,6,CONFAZ12_IEPR12,1994-06-01T00:00:00-03:00,68.0
1994-07-01,1994,1,7,CONFAZ12_IEPR12,1994-07-01T00:00:00-03:00,72.0
1994-08-01,1994,1,8,CONFAZ12_IEPR12,1994-08-01T00:00:00-03:00,19.0
1994-09-01,1994,1,9,CONFAZ12_IEPR12,1994-09-01T00:00:00-03:00,191.0
1994-10-01,1994,1,10,CONFAZ12_IEPR12,1994-10-01T00:00:00-03:00,114.0
1994-11-01,1994,1,11,CONFAZ12_IEPR12,1994-11-01T00:00:00-03:00,29.0
1994-12-01,1994,1,12,CONFAZ12_IEPR12,1994-12-01T00:00:00-02:00,678.0
1995-01-01,1995,1,1,CONFAZ12_IEPR12,1995-01-01T00:00:00-02:00,6320.0
1995-02-01,1995,1,2,CONFAZ12_IEPR12,1995-02-01T00:00:00-02:00,5671.0
1995-03-01,1995,1,3,CONFAZ12_IEPR12,1995-03-01T00:00:00-03:00,4705.0
1995-04-01,1995,1,4,CONFAZ12_IEPR12,1995-04-01T00:00:00-03:00,94.0
1995-05-01,1995,1,5,CONFAZ12_IEPR12,1995-05-01T00:00:00-03:00,554.0
1995-06-01,1995,1,6,CONFAZ12_IEPR12,1995-06-01T00:00:00-03:00,200.0
1995-07-01,1995,1,7,CONFAZ12_IEPR12,1995-07-01T00:00:00-03:00,0.0
1995-08-01,1995,1,8,CONFAZ12_IEPR12,1995-08-01T00:00:00-03:00,5252.0
1995-09-01,1995,1,9,CONFAZ12_IEPR12,1995-09-01T00:00:00-03:00,5.0
1995-10-01,1995,1,10,CONFAZ12_IEPR12,1995-10-01T00:00:00-03:00,0.0
1995-11-01,1995,1,11,CONFAZ12_IEPR12,1995-11-01T00:00:00-03:00,1658.0
1995-12-01,1995,1,12,CONFAZ12_IEPR12,1995-12-01T00:00:00-02:00,0.0
1996-01-01,1996,1,1,CONFAZ12_IEPR12,1996-01-01T00:00:00-02:00,2018.0
1996-02-01,1996,1,2,CONFAZ12_IEPR12,1996-02-01T00:00:00-02:00,616.0
1996-03-01,1996,1,3,CONFAZ12_IEPR12,1996-03-01T00:00:00-03:00,0.0
1996-04-01,1996,1,4,CONFAZ12_IEPR12,1996-04-01T00:00:00-03:00,3015.0
1996-05-01,1996,1,5,CONFAZ12_IEPR12,1996-05-01T00:00:00-03:00,1729.0
1996-06-01,1996,1,6,CONFAZ12_IEPR12,1996-06-01T00:00:00-03:00,224.0
1996-07-01,1996,1,7,CONFAZ12_IEPR12,1996-07-01T00:00:00-03:00,1214.0
1996-08-01,1996,1,8,CONFAZ12_IEPR12,1996-08-01T00:00:00-03:00,435.0
1996-09-01,1996,1,9,CONFAZ12_IEPR12,1996-09-01T00:00:00-03:00,78.0
