DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IERS12,1993-01-01T00:00:00-02:00,82030.0
1993-02-01,1993,1,2,CONFAZ12_IERS12,1993-02-01T00:00:00-02:00,74070.0
1993-03-01,1993,1,3,CONFAZ12_IERS12,1993-03-01T00:00:00-03:00,73079.0
1993-04-01,1993,1,4,CONFAZ12_IERS12,1993-04-01T00:00:00-03:00,37169.0
1993-05-01,1993,1,5,CONFAZ12_IERS12,1993-05-01T00:00:00-03:00,43720.0
1993-06-01,1993,1,6,CONFAZ12_IERS12,1993-06-01T00:00:00-03:00,58703.0
1993-07-01,1993,1,7,CONFAZ12_IERS12,1993-07-01T00:00:00-03:00,85445.0
1993-08-01,1993,1,8,CONFAZ12_IERS12,1993-08-01T00:00:00-03:00,66580.0
1993-09-01,1993,1,9,CONFAZ12_IERS12,1993-09-01T00:00:00-03:00,59604.0
1993-10-01,1993,1,10,CONFAZ12_IERS12,1993-10-01T00:00:00-03:00,71789.0
1993-11-01,1993,1,11,CONFAZ12_IERS12,1993-11-01T00:00:00-03:00,195710.0
1993-12-01,1993,1,12,CONFAZ12_IERS12,1993-12-01T00:00:00-02:00,99359.0
1994-01-01,1994,1,1,CONFAZ12_IERS12,1994-01-01T00:00:00-02:00,69347.0
1994-02-01,1994,1,2,CONFAZ12_IERS12,1994-02-01T00:00:00-02:00,68819.0
1994-03-01,1994,1,3,CONFAZ12_IERS12,1994-03-01T00:00:00-03:00,39090.0
1994-04-01,1994,1,4,CONFAZ12_IERS12,1994-04-01T00:00:00-03:00,74278.0
1994-05-01,1994,1,5,CONFAZ12_IERS12,1994-05-01T00:00:00-03:00,75301.0
1994-06-01,1994,1,6,CONFAZ12_IERS12,1994-06-01T00:00:00-03:00,67720.0
1994-07-01,1994,1,7,CONFAZ12_IERS12,1994-07-01T00:00:00-03:00,64216.0
1994-08-01,1994,1,8,CONFAZ12_IERS12,1994-08-01T00:00:00-03:00,71548.0
1994-09-01,1994,1,9,CONFAZ12_IERS12,1994-09-01T00:00:00-03:00,70866.0
1994-10-01,1994,1,10,CONFAZ12_IERS12,1994-10-01T00:00:00-03:00,68535.0
1994-11-01,1994,1,11,CONFAZ12_IERS12,1994-11-01T00:00:00-03:00,49534.0
1994-12-01,1994,1,12,CONFAZ12_IERS12,1994-12-01T00:00:00-02:00,59573.0
1995-01-01,1995,1,1,CONFAZ12_IERS12,1995-01-01T00:00:00-02:00,1098372.0
1995-02-01,1995,1,2,CONFAZ12_IERS12,1995-02-01T00:00:00-02:00,824836.0
1995-03-01,1995,1,3,CONFAZ12_IERS12,1995-03-01T00:00:00-03:00,503632.0
1995-04-01,1995,1,4,CONFAZ12_IERS12,1995-04-01T00:00:00-03:00,73424.0
1995-05-01,1995,1,5,CONFAZ12_IERS12,1995-05-01T00:00:00-03:00,34181.0
1995-06-01,1995,1,6,CONFAZ12_IERS12,1995-06-01T00:00:00-03:00,73592.0
1995-07-01,1995,1,7,CONFAZ12_IERS12,1995-07-01T00:00:00-03:00,37373.0
1995-08-01,1995,1,8,CONFAZ12_IERS12,1995-08-01T00:00:00-03:00,84889.0
1995-09-01,1995,1,9,CONFAZ12_IERS12,1995-09-01T00:00:00-03:00,129046.0
1995-10-01,1995,1,10,CONFAZ12_IERS12,1995-10-01T00:00:00-03:00,115146.0
1995-11-01,1995,1,11,CONFAZ12_IERS12,1995-11-01T00:00:00-03:00,85894.0
1995-12-01,1995,1,12,CONFAZ12_IERS12,1995-12-01T00:00:00-02:00,119926.0
1996-01-01,1996,1,1,CONFAZ12_IERS12,1996-01-01T00:00:00-02:00,124710.0
1996-02-01,1996,1,2,CONFAZ12_IERS12,1996-02-01T00:00:00-02:00,103966.0
1996-03-01,1996,1,3,CONFAZ12_IERS12,1996-03-01T00:00:00-03:00,89814.0
1996-04-01,1996,1,4,CONFAZ12_IERS12,1996-04-01T00:00:00-03:00,85098.0
