DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IIAP12,1993-01-01T00:00:00-02:00,3683.0
1993-02-01,1993,1,2,CONFAZ12_IIAP12,1993-02-01T00:00:00-02:00,6067.0
1993-03-01,1993,1,3,CONFAZ12_IIAP12,1993-03-01T00:00:00-03:00,6387.0
1993-04-01,1993,1,4,CONFAZ12_IIAP12,1993-04-01T00:00:00-03:00,3364.0
1993-05-01,1993,1,5,CONFAZ12_IIAP12,1993-05-01T00:00:00-03:00,11575.0
1993-06-01,1993,1,6,CONFAZ12_IIAP12,1993-06-01T00:00:00-03:00,5269.0
1993-07-01,1993,1,7,CONFAZ12_IIAP12,1993-07-01T00:00:00-03:00,1985.0
1993-08-01,1993,1,8,CONFAZ12_IIAP12,1993-08-01T00:00:00-03:00,4348.0
1993-09-01,1993,1,9,CONFAZ12_IIAP12,1993-09-01T00:00:00-03:00,2159.0
1993-10-01,1993,1,10,CONFAZ12_IIAP12,1993-10-01T00:00:00-03:00,244.0
1993-11-01,1993,1,11,CONFAZ12_IIAP12,1993-11-01T00:00:00-03:00,9513.0
1993-12-01,1993,1,12,CONFAZ12_IIAP12,1993-12-01T00:00:00-02:00,15136.0
1994-01-01,1994,1,1,CONFAZ12_IIAP12,1994-01-01T00:00:00-02:00,2506.0
1994-02-01,1994,1,2,CONFAZ12_IIAP12,1994-02-01T00:00:00-02:00,558.0
1994-03-01,1994,1,3,CONFAZ12_IIAP12,1994-03-01T00:00:00-03:00,205.0
1994-04-01,1994,1,4,CONFAZ12_IIAP12,1994-04-01T00:00:00-03:00,2500.0
1994-05-01,1994,1,5,CONFAZ12_IIAP12,1994-05-01T00:00:00-03:00,439.0
1994-06-01,1994,1,6,CONFAZ12_IIAP12,1994-06-01T00:00:00-03:00,190.0
1994-07-01,1994,1,7,CONFAZ12_IIAP12,1994-07-01T00:00:00-03:00,4153.0
1994-08-01,1994,1,8,CONFAZ12_IIAP12,1994-08-01T00:00:00-03:00,1988.0
1994-09-01,1994,1,9,CONFAZ12_IIAP12,1994-09-01T00:00:00-03:00,5210.0
1994-10-01,1994,1,10,CONFAZ12_IIAP12,1994-10-01T00:00:00-03:00,8463.0
1994-11-01,1994,1,11,CONFAZ12_IIAP12,1994-11-01T00:00:00-03:00,18592.0
1994-12-01,1994,1,12,CONFAZ12_IIAP12,1994-12-01T00:00:00-02:00,860.0
1995-01-01,1995,1,1,CONFAZ12_IIAP12,1995-01-01T00:00:00-02:00,2877.0
1995-02-01,1995,1,2,CONFAZ12_IIAP12,1995-02-01T00:00:00-02:00,1192.0
1995-03-01,1995,1,3,CONFAZ12_IIAP12,1995-03-01T00:00:00-03:00,27127.0
1995-04-01,1995,1,4,CONFAZ12_IIAP12,1995-04-01T00:00:00-03:00,7172.0
1995-05-01,1995,1,5,CONFAZ12_IIAP12,1995-05-01T00:00:00-03:00,8545.0
1995-06-01,1995,1,6,CONFAZ12_IIAP12,1995-06-01T00:00:00-03:00,9067.0
1995-07-01,1995,1,7,CONFAZ12_IIAP12,1995-07-01T00:00:00-03:00,2432.0
1995-08-01,1995,1,8,CONFAZ12_IIAP12,1995-08-01T00:00:00-03:00,14266.0
1995-09-01,1995,1,9,CONFAZ12_IIAP12,1995-09-01T00:00:00-03:00,29182.0
1995-10-01,1995,1,10,CONFAZ12_IIAP12,1995-10-01T00:00:00-03:00,18746.0
1995-11-01,1995,1,11,CONFAZ12_IIAP12,1995-11-01T00:00:00-03:00,17311.0
1995-12-01,1995,1,12,CONFAZ12_IIAP12,1995-12-01T00:00:00-02:00,12111.0
1996-01-01,1996,1,1,CONFAZ12_IIAP12,1996-01-01T00:00:00-02:00,6575.0
1996-02-01,1996,1,2,CONFAZ12_IIAP12,1996-02-01T00:00:00-02:00,2002.0
1996-03-01,1996,1,3,CONFAZ12_IIAP12,1996-03-01T00:00:00-03:00,6178.0
1996-04-01,1996,1,4,CONFAZ12_IIAP12,1996-04-01T00:00:00-03:00,3494.0
1996-05-01,1996,1,5,CONFAZ12_IIAP12,1996-05-01T00:00:00-03:00,49744.0
1996-06-01,1996,1,6,CONFAZ12_IIAP12,1996-06-01T00:00:00-03:00,5086.0
1996-07-01,1996,1,7,CONFAZ12_IIAP12,1996-07-01T00:00:00-03:00,7510.0
1996-08-01,1996,1,8,CONFAZ12_IIAP12,1996-08-01T00:00:00-03:00,38186.0
1996-09-01,1996,1,9,CONFAZ12_IIAP12,1996-09-01T00:00:00-03:00,7498.0
1996-10-01,1996,1,10,CONFAZ12_IIAP12,1996-10-01T00:00:00-03:00,9100.0
1996-11-01,1996,1,11,CONFAZ12_IIAP12,1996-11-01T00:00:00-03:00,10439.0
1996-12-01,1996,1,12,CONFAZ12_IIAP12,1996-12-01T00:00:00-02:00,31387.0
1997-01-01,1997,1,1,CONFAZ12_IIAP12,1997-01-01T00:00:00-02:00,5882.0
1997-02-01,1997,1,2,CONFAZ12_IIAP12,1997-02-01T00:00:00-02:00,32320.0
1997-03-01,1997,1,3,CONFAZ12_IIAP12,1997-03-01T00:00:00-03:00,4086.0
1997-04-01,1997,1,4,CONFAZ12_IIAP12,1997-04-01T00:00:00-03:00,19531.0
1997-05-01,1997,1,5,CONFAZ12_IIAP12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IIAP12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IIAP12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IIAP12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IIAP12,1997-09-01T00:00:00-03:00,
