DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IICE12,1993-01-01T00:00:00-02:00,555882.0
1993-02-01,1993,1,2,CONFAZ12_IICE12,1993-02-01T00:00:00-02:00,546716.0
1993-03-01,1993,1,3,CONFAZ12_IICE12,1993-03-01T00:00:00-03:00,866731.0
1993-04-01,1993,1,4,CONFAZ12_IICE12,1993-04-01T00:00:00-03:00,956380.0
1993-05-01,1993,1,5,CONFAZ12_IICE12,1993-05-01T00:00:00-03:00,524393.0
1993-06-01,1993,1,6,CONFAZ12_IICE12,1993-06-01T00:00:00-03:00,648438.0
1993-07-01,1993,1,7,CONFAZ12_IICE12,1993-07-01T00:00:00-03:00,1090109.0
1993-08-01,1993,1,8,CONFAZ12_IICE12,1993-08-01T00:00:00-03:00,739912.0
1993-09-01,1993,1,9,CONFAZ12_IICE12,1993-09-01T00:00:00-03:00,1372130.0
1993-10-01,1993,1,10,CONFAZ12_IICE12,1993-10-01T00:00:00-03:00,1180327.0
1993-11-01,1993,1,11,CONFAZ12_IICE12,1993-11-01T00:00:00-03:00,1325607.0
1993-12-01,1993,1,12,CONFAZ12_IICE12,1993-12-01T00:00:00-02:00,1585881.0
1994-01-01,1994,1,1,CONFAZ12_IICE12,1994-01-01T00:00:00-02:00,937657.0
1994-02-01,1994,1,2,CONFAZ12_IICE12,1994-02-01T00:00:00-02:00,980176.0
1994-03-01,1994,1,3,CONFAZ12_IICE12,1994-03-01T00:00:00-03:00,1114932.0
1994-04-01,1994,1,4,CONFAZ12_IICE12,1994-04-01T00:00:00-03:00,854665.0
1994-05-01,1994,1,5,CONFAZ12_IICE12,1994-05-01T00:00:00-03:00,2343343.0
1994-06-01,1994,1,6,CONFAZ12_IICE12,1994-06-01T00:00:00-03:00,4082411.0
1994-07-01,1994,1,7,CONFAZ12_IICE12,1994-07-01T00:00:00-03:00,2735648.0
1994-08-01,1994,1,8,CONFAZ12_IICE12,1994-08-01T00:00:00-03:00,1808824.0
1994-09-01,1994,1,9,CONFAZ12_IICE12,1994-09-01T00:00:00-03:00,2996306.0
1994-10-01,1994,1,10,CONFAZ12_IICE12,1994-10-01T00:00:00-03:00,3232029.0
1994-11-01,1994,1,11,CONFAZ12_IICE12,1994-11-01T00:00:00-03:00,2872250.0
1994-12-01,1994,1,12,CONFAZ12_IICE12,1994-12-01T00:00:00-02:00,4255030.0
1995-01-01,1995,1,1,CONFAZ12_IICE12,1995-01-01T00:00:00-02:00,4091302.0
1995-02-01,1995,1,2,CONFAZ12_IICE12,1995-02-01T00:00:00-02:00,3186653.0
1995-03-01,1995,1,3,CONFAZ12_IICE12,1995-03-01T00:00:00-03:00,3236616.0
1995-04-01,1995,1,4,CONFAZ12_IICE12,1995-04-01T00:00:00-03:00,3148099.0
1995-05-01,1995,1,5,CONFAZ12_IICE12,1995-05-01T00:00:00-03:00,3951269.0
1995-06-01,1995,1,6,CONFAZ12_IICE12,1995-06-01T00:00:00-03:00,5799591.0
1995-07-01,1995,1,7,CONFAZ12_IICE12,1995-07-01T00:00:00-03:00,5811202.0
1995-08-01,1995,1,8,CONFAZ12_IICE12,1995-08-01T00:00:00-03:00,2086164.0
1995-09-01,1995,1,9,CONFAZ12_IICE12,1995-09-01T00:00:00-03:00,6359667.0
1995-10-01,1995,1,10,CONFAZ12_IICE12,1995-10-01T00:00:00-03:00,6546040.0
1995-11-01,1995,1,11,CONFAZ12_IICE12,1995-11-01T00:00:00-03:00,4085385.0
1995-12-01,1995,1,12,CONFAZ12_IICE12,1995-12-01T00:00:00-02:00,2714545.0
1996-01-01,1996,1,1,CONFAZ12_IICE12,1996-01-01T00:00:00-02:00,3118191.0
1996-02-01,1996,1,2,CONFAZ12_IICE12,1996-02-01T00:00:00-02:00,3694650.0
1996-03-01,1996,1,3,CONFAZ12_IICE12,1996-03-01T00:00:00-03:00,3401180.0
1996-04-01,1996,1,4,CONFAZ12_IICE12,1996-04-01T00:00:00-03:00,5656547.0
1996-05-01,1996,1,5,CONFAZ12_IICE12,1996-05-01T00:00:00-03:00,5836341.0
1996-06-01,1996,1,6,CONFAZ12_IICE12,1996-06-01T00:00:00-03:00,3175603.0
1996-07-01,1996,1,7,CONFAZ12_IICE12,1996-07-01T00:00:00-03:00,6638389.0
1996-08-01,1996,1,8,CONFAZ12_IICE12,1996-08-01T00:00:00-03:00,5583461.0
1996-09-01,1996,1,9,CONFAZ12_IICE12,1996-09-01T00:00:00-03:00,7163767.0
1996-10-01,1996,1,10,CONFAZ12_IICE12,1996-10-01T00:00:00-03:00,7633043.0
1996-11-01,1996,1,11,CONFAZ12_IICE12,1996-11-01T00:00:00-03:00,5354250.0
1996-12-01,1996,1,12,CONFAZ12_IICE12,1996-12-01T00:00:00-02:00,3737233.0
1997-01-01,1997,1,1,CONFAZ12_IICE12,1997-01-01T00:00:00-02:00,2582400.0
1997-02-01,1997,1,2,CONFAZ12_IICE12,1997-02-01T00:00:00-02:00,5315182.0
1997-03-01,1997,1,3,CONFAZ12_IICE12,1997-03-01T00:00:00-03:00,2958541.0
1997-04-01,1997,1,4,CONFAZ12_IICE12,1997-04-01T00:00:00-03:00,3849388.0
1997-05-01,1997,1,5,CONFAZ12_IICE12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IICE12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IICE12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IICE12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IICE12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_IICE12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_IICE12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_IICE12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_IICE12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_IICE12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_IICE12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_IICE12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_IICE12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_IICE12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_IICE12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_IICE12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_IICE12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_IICE12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_IICE12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_IICE12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_IICE12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_IICE12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_IICE12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_IICE12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_IICE12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_IICE12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_IICE12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_IICE12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_IICE12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_IICE12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_IICE12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_IICE12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_IICE12,2000-01-01T00:00:00-02:00,5576921.0
2000-02-01,2000,1,2,CONFAZ12_IICE12,2000-02-01T00:00:00-02:00,6869180.0
2000-03-01,2000,1,3,CONFAZ12_IICE12,2000-03-01T00:00:00-03:00,6648280.0
2000-04-01,2000,1,4,CONFAZ12_IICE12,2000-04-01T00:00:00-03:00,6404554.0
2000-05-01,2000,1,5,CONFAZ12_IICE12,2000-05-01T00:00:00-03:00,7772856.0
2000-06-01,2000,1,6,CONFAZ12_IICE12,2000-06-01T00:00:00-03:00,3861043.0
2000-07-01,2000,1,7,CONFAZ12_IICE12,2000-07-01T00:00:00-03:00,6306759.0
2000-08-01,2000,1,8,CONFAZ12_IICE12,2000-08-01T00:00:00-03:00,5974802.0
2000-09-01,2000,1,9,CONFAZ12_IICE12,2000-09-01T00:00:00-03:00,9794955.0
2000-10-01,2000,1,10,CONFAZ12_IICE12,2000-10-01T00:00:00-03:00,10270635.0
2000-11-01,2000,1,11,CONFAZ12_IICE12,2000-11-01T00:00:00-03:00,8347809.0
2000-12-01,2000,1,12,CONFAZ12_IICE12,2000-12-01T00:00:00-02:00,8231357.0
2001-01-01,2001,1,1,CONFAZ12_IICE12,2001-01-01T00:00:00-02:00,6086401.0
2001-02-01,2001,1,2,CONFAZ12_IICE12,2001-02-01T00:00:00-02:00,5112496.0
