DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IIDF12,1993-01-01T00:00:00-02:00,378426.0
1993-02-01,1993,1,2,CONFAZ12_IIDF12,1993-02-01T00:00:00-02:00,1034148.0
1993-03-01,1993,1,3,CONFAZ12_IIDF12,1993-03-01T00:00:00-03:00,772156.0
1993-04-01,1993,1,4,CONFAZ12_IIDF12,1993-04-01T00:00:00-03:00,337607.0
1993-05-01,1993,1,5,CONFAZ12_IIDF12,1993-05-01T00:00:00-03:00,127046.0
1993-06-01,1993,1,6,CONFAZ12_IIDF12,1993-06-01T00:00:00-03:00,217313.0
1993-07-01,1993,1,7,CONFAZ12_IIDF12,1993-07-01T00:00:00-03:00,246495.0
1993-08-01,1993,1,8,CONFAZ12_IIDF12,1993-08-01T00:00:00-03:00,176868.0
1993-09-01,1993,1,9,CONFAZ12_IIDF12,1993-09-01T00:00:00-03:00,163619.0
1993-10-01,1993,1,10,CONFAZ12_IIDF12,1993-10-01T00:00:00-03:00,194148.0
1993-11-01,1993,1,11,CONFAZ12_IIDF12,1993-11-01T00:00:00-03:00,197212.0
1993-12-01,1993,1,12,CONFAZ12_IIDF12,1993-12-01T00:00:00-02:00,172294.0
1994-01-01,1994,1,1,CONFAZ12_IIDF12,1994-01-01T00:00:00-02:00,366754.0
1994-02-01,1994,1,2,CONFAZ12_IIDF12,1994-02-01T00:00:00-02:00,265868.0
1994-03-01,1994,1,3,CONFAZ12_IIDF12,1994-03-01T00:00:00-03:00,374481.0
1994-04-01,1994,1,4,CONFAZ12_IIDF12,1994-04-01T00:00:00-03:00,298310.0
1994-05-01,1994,1,5,CONFAZ12_IIDF12,1994-05-01T00:00:00-03:00,480669.0
1994-06-01,1994,1,6,CONFAZ12_IIDF12,1994-06-01T00:00:00-03:00,1447884.0
1994-07-01,1994,1,7,CONFAZ12_IIDF12,1994-07-01T00:00:00-03:00,383225.0
1994-08-01,1994,1,8,CONFAZ12_IIDF12,1994-08-01T00:00:00-03:00,669649.0
1994-09-01,1994,1,9,CONFAZ12_IIDF12,1994-09-01T00:00:00-03:00,414405.0
1994-10-01,1994,1,10,CONFAZ12_IIDF12,1994-10-01T00:00:00-03:00,570818.0
1994-11-01,1994,1,11,CONFAZ12_IIDF12,1994-11-01T00:00:00-03:00,869662.0
1994-12-01,1994,1,12,CONFAZ12_IIDF12,1994-12-01T00:00:00-02:00,379967.0
1995-01-01,1995,1,1,CONFAZ12_IIDF12,1995-01-01T00:00:00-02:00,501507.0
1995-02-01,1995,1,2,CONFAZ12_IIDF12,1995-02-01T00:00:00-02:00,239094.0
1995-03-01,1995,1,3,CONFAZ12_IIDF12,1995-03-01T00:00:00-03:00,623612.0
1995-04-01,1995,1,4,CONFAZ12_IIDF12,1995-04-01T00:00:00-03:00,380013.0
1995-05-01,1995,1,5,CONFAZ12_IIDF12,1995-05-01T00:00:00-03:00,438730.0
1995-06-01,1995,1,6,CONFAZ12_IIDF12,1995-06-01T00:00:00-03:00,915159.0
1995-07-01,1995,1,7,CONFAZ12_IIDF12,1995-07-01T00:00:00-03:00,603527.0
1995-08-01,1995,1,8,CONFAZ12_IIDF12,1995-08-01T00:00:00-03:00,408655.0
1995-09-01,1995,1,9,CONFAZ12_IIDF12,1995-09-01T00:00:00-03:00,507992.0
1995-10-01,1995,1,10,CONFAZ12_IIDF12,1995-10-01T00:00:00-03:00,509807.0
1995-11-01,1995,1,11,CONFAZ12_IIDF12,1995-11-01T00:00:00-03:00,399303.0
1995-12-01,1995,1,12,CONFAZ12_IIDF12,1995-12-01T00:00:00-02:00,496126.0
1996-01-01,1996,1,1,CONFAZ12_IIDF12,1996-01-01T00:00:00-02:00,467788.0
1996-02-01,1996,1,2,CONFAZ12_IIDF12,1996-02-01T00:00:00-02:00,434949.0
1996-03-01,1996,1,3,CONFAZ12_IIDF12,1996-03-01T00:00:00-03:00,571976.0
1996-04-01,1996,1,4,CONFAZ12_IIDF12,1996-04-01T00:00:00-03:00,499820.0
1996-05-01,1996,1,5,CONFAZ12_IIDF12,1996-05-01T00:00:00-03:00,537700.0
1996-06-01,1996,1,6,CONFAZ12_IIDF12,1996-06-01T00:00:00-03:00,665966.0
1996-07-01,1996,1,7,CONFAZ12_IIDF12,1996-07-01T00:00:00-03:00,845410.0
1996-08-01,1996,1,8,CONFAZ12_IIDF12,1996-08-01T00:00:00-03:00,576727.0
1996-09-01,1996,1,9,CONFAZ12_IIDF12,1996-09-01T00:00:00-03:00,1194694.0
1996-10-01,1996,1,10,CONFAZ12_IIDF12,1996-10-01T00:00:00-03:00,795371.0
1996-11-01,1996,1,11,CONFAZ12_IIDF12,1996-11-01T00:00:00-03:00,787050.0
1996-12-01,1996,1,12,CONFAZ12_IIDF12,1996-12-01T00:00:00-02:00,617784.0
1997-01-01,1997,1,1,CONFAZ12_IIDF12,1997-01-01T00:00:00-02:00,874795.0
1997-02-01,1997,1,2,CONFAZ12_IIDF12,1997-02-01T00:00:00-02:00,1069324.0
1997-03-01,1997,1,3,CONFAZ12_IIDF12,1997-03-01T00:00:00-03:00,659270.0
1997-04-01,1997,1,4,CONFAZ12_IIDF12,1997-04-01T00:00:00-03:00,1120947.0
1997-05-01,1997,1,5,CONFAZ12_IIDF12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IIDF12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IIDF12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IIDF12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IIDF12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_IIDF12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_IIDF12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_IIDF12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_IIDF12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_IIDF12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_IIDF12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_IIDF12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_IIDF12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_IIDF12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_IIDF12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_IIDF12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_IIDF12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_IIDF12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_IIDF12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_IIDF12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_IIDF12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_IIDF12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_IIDF12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_IIDF12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_IIDF12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_IIDF12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_IIDF12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_IIDF12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_IIDF12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_IIDF12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_IIDF12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_IIDF12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_IIDF12,2000-01-01T00:00:00-02:00,2254341.0
2000-02-01,2000,1,2,CONFAZ12_IIDF12,2000-02-01T00:00:00-02:00,2526852.0
2000-03-01,2000,1,3,CONFAZ12_IIDF12,2000-03-01T00:00:00-03:00,1999507.0
2000-04-01,2000,1,4,CONFAZ12_IIDF12,2000-04-01T00:00:00-03:00,1575729.0
2000-05-01,2000,1,5,CONFAZ12_IIDF12,2000-05-01T00:00:00-03:00,1623836.0
2000-06-01,2000,1,6,CONFAZ12_IIDF12,2000-06-01T00:00:00-03:00,2163431.0
2000-07-01,2000,1,7,CONFAZ12_IIDF12,2000-07-01T00:00:00-03:00,2338862.0
2000-08-01,2000,1,8,CONFAZ12_IIDF12,2000-08-01T00:00:00-03:00,2756539.0
2000-09-01,2000,1,9,CONFAZ12_IIDF12,2000-09-01T00:00:00-03:00,1800325.0
2000-10-01,2000,1,10,CONFAZ12_IIDF12,2000-10-01T00:00:00-03:00,3165696.0
2000-11-01,2000,1,11,CONFAZ12_IIDF12,2000-11-01T00:00:00-03:00,2622625.0
2000-12-01,2000,1,12,CONFAZ12_IIDF12,2000-12-01T00:00:00-02:00,2136412.0
2001-01-01,2001,1,1,CONFAZ12_IIDF12,2001-01-01T00:00:00-02:00,2444176.0
2001-02-01,2001,1,2,CONFAZ12_IIDF12,2001-02-01T00:00:00-02:00,2579490.0
2001-03-01,2001,1,3,CONFAZ12_IIDF12,2001-03-01T00:00:00-03:00,2059260.0
2001-04-01,2001,1,4,CONFAZ12_IIDF12,2001-04-01T00:00:00-03:00,2766967.0
2001-05-01,2001,1,5,CONFAZ12_IIDF12,2001-05-01T00:00:00-03:00,3432389.0
2001-06-01,2001,1,6,CONFAZ12_IIDF12,2001-06-01T00:00:00-03:00,2893096.0
2001-07-01,2001,1,7,CONFAZ12_IIDF12,2001-07-01T00:00:00-03:00,2286002.0
2001-08-01,2001,1,8,CONFAZ12_IIDF12,2001-08-01T00:00:00-03:00,2740841.0
2001-09-01,2001,1,9,CONFAZ12_IIDF12,2001-09-01T00:00:00-03:00,1839288.0
2001-10-01,2001,1,10,CONFAZ12_IIDF12,2001-10-01T00:00:00-03:00,2403534.0
2001-11-01,2001,1,11,CONFAZ12_IIDF12,2001-11-01T00:00:00-03:00,2895937.0
2001-12-01,2001,1,12,CONFAZ12_IIDF12,2001-12-01T00:00:00-02:00,3389483.0
2002-01-01,2002,1,1,CONFAZ12_IIDF12,2002-01-01T00:00:00-02:00,3232950.0
2002-02-01,2002,1,2,CONFAZ12_IIDF12,2002-02-01T00:00:00-02:00,1335980.0
2002-03-01,2002,1,3,CONFAZ12_IIDF12,2002-03-01T00:00:00-03:00,4711654.0
2002-04-01,2002,1,4,CONFAZ12_IIDF12,2002-04-01T00:00:00-03:00,3311373.0
2002-05-01,2002,1,5,CONFAZ12_IIDF12,2002-05-01T00:00:00-03:00,2522047.0
2002-06-01,2002,1,6,CONFAZ12_IIDF12,2002-06-01T00:00:00-03:00,2333342.0
