DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IIGO12,1993-01-01T00:00:00-02:00,205669.0
1993-02-01,1993,1,2,CONFAZ12_IIGO12,1993-02-01T00:00:00-02:00,423156.0
1993-03-01,1993,1,3,CONFAZ12_IIGO12,1993-03-01T00:00:00-03:00,1088432.0
1993-04-01,1993,1,4,CONFAZ12_IIGO12,1993-04-01T00:00:00-03:00,551653.0
1993-05-01,1993,1,5,CONFAZ12_IIGO12,1993-05-01T00:00:00-03:00,556756.0
1993-06-01,1993,1,6,CONFAZ12_IIGO12,1993-06-01T00:00:00-03:00,828769.0
1993-07-01,1993,1,7,CONFAZ12_IIGO12,1993-07-01T00:00:00-03:00,304862.0
1993-08-01,1993,1,8,CONFAZ12_IIGO12,1993-08-01T00:00:00-03:00,360836.0
1993-09-01,1993,1,9,CONFAZ12_IIGO12,1993-09-01T00:00:00-03:00,391906.0
1993-10-01,1993,1,10,CONFAZ12_IIGO12,1993-10-01T00:00:00-03:00,436802.0
1993-11-01,1993,1,11,CONFAZ12_IIGO12,1993-11-01T00:00:00-03:00,485848.0
1993-12-01,1993,1,12,CONFAZ12_IIGO12,1993-12-01T00:00:00-02:00,423159.0
1994-01-01,1994,1,1,CONFAZ12_IIGO12,1994-01-01T00:00:00-02:00,258457.0
1994-02-01,1994,1,2,CONFAZ12_IIGO12,1994-02-01T00:00:00-02:00,315939.0
1994-03-01,1994,1,3,CONFAZ12_IIGO12,1994-03-01T00:00:00-03:00,412751.0
1994-04-01,1994,1,4,CONFAZ12_IIGO12,1994-04-01T00:00:00-03:00,390797.0
1994-05-01,1994,1,5,CONFAZ12_IIGO12,1994-05-01T00:00:00-03:00,811208.0
1994-06-01,1994,1,6,CONFAZ12_IIGO12,1994-06-01T00:00:00-03:00,538525.0
1994-07-01,1994,1,7,CONFAZ12_IIGO12,1994-07-01T00:00:00-03:00,503976.0
1994-08-01,1994,1,8,CONFAZ12_IIGO12,1994-08-01T00:00:00-03:00,458320.0
1994-09-01,1994,1,9,CONFAZ12_IIGO12,1994-09-01T00:00:00-03:00,355390.0
1994-10-01,1994,1,10,CONFAZ12_IIGO12,1994-10-01T00:00:00-03:00,745332.0
1994-11-01,1994,1,11,CONFAZ12_IIGO12,1994-11-01T00:00:00-03:00,840464.0
1994-12-01,1994,1,12,CONFAZ12_IIGO12,1994-12-01T00:00:00-02:00,785865.0
1995-01-01,1995,1,1,CONFAZ12_IIGO12,1995-01-01T00:00:00-02:00,518487.0
1995-02-01,1995,1,2,CONFAZ12_IIGO12,1995-02-01T00:00:00-02:00,815194.0
1995-03-01,1995,1,3,CONFAZ12_IIGO12,1995-03-01T00:00:00-03:00,1000314.0
1995-04-01,1995,1,4,CONFAZ12_IIGO12,1995-04-01T00:00:00-03:00,865194.0
1995-05-01,1995,1,5,CONFAZ12_IIGO12,1995-05-01T00:00:00-03:00,1509517.0
1995-06-01,1995,1,6,CONFAZ12_IIGO12,1995-06-01T00:00:00-03:00,1009195.0
1995-07-01,1995,1,7,CONFAZ12_IIGO12,1995-07-01T00:00:00-03:00,1043063.0
1995-08-01,1995,1,8,CONFAZ12_IIGO12,1995-08-01T00:00:00-03:00,1196755.0
1995-09-01,1995,1,9,CONFAZ12_IIGO12,1995-09-01T00:00:00-03:00,1238279.0
1995-10-01,1995,1,10,CONFAZ12_IIGO12,1995-10-01T00:00:00-03:00,989538.0
1995-11-01,1995,1,11,CONFAZ12_IIGO12,1995-11-01T00:00:00-03:00,1264925.0
1995-12-01,1995,1,12,CONFAZ12_IIGO12,1995-12-01T00:00:00-02:00,741881.0
1996-01-01,1996,1,1,CONFAZ12_IIGO12,1996-01-01T00:00:00-02:00,658000.0
1996-02-01,1996,1,2,CONFAZ12_IIGO12,1996-02-01T00:00:00-02:00,892276.0
1996-03-01,1996,1,3,CONFAZ12_IIGO12,1996-03-01T00:00:00-03:00,637266.0
1996-04-01,1996,1,4,CONFAZ12_IIGO12,1996-04-01T00:00:00-03:00,937118.0
1996-05-01,1996,1,5,CONFAZ12_IIGO12,1996-05-01T00:00:00-03:00,720284.0
1996-06-01,1996,1,6,CONFAZ12_IIGO12,1996-06-01T00:00:00-03:00,1009447.0
1996-07-01,1996,1,7,CONFAZ12_IIGO12,1996-07-01T00:00:00-03:00,1977650.0
1996-08-01,1996,1,8,CONFAZ12_IIGO12,1996-08-01T00:00:00-03:00,2048737.0
1996-09-01,1996,1,9,CONFAZ12_IIGO12,1996-09-01T00:00:00-03:00,986789.0
1996-10-01,1996,1,10,CONFAZ12_IIGO12,1996-10-01T00:00:00-03:00,1096481.0
1996-11-01,1996,1,11,CONFAZ12_IIGO12,1996-11-01T00:00:00-03:00,1212493.0
1996-12-01,1996,1,12,CONFAZ12_IIGO12,1996-12-01T00:00:00-02:00,1238084.0
1997-01-01,1997,1,1,CONFAZ12_IIGO12,1997-01-01T00:00:00-02:00,771429.0
1997-02-01,1997,1,2,CONFAZ12_IIGO12,1997-02-01T00:00:00-02:00,682187.0
1997-03-01,1997,1,3,CONFAZ12_IIGO12,1997-03-01T00:00:00-03:00,1247596.0
1997-04-01,1997,1,4,CONFAZ12_IIGO12,1997-04-01T00:00:00-03:00,1101134.0
1997-05-01,1997,1,5,CONFAZ12_IIGO12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IIGO12,1997-06-01T00:00:00-03:00,
