DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IIPR12,1993-01-01T00:00:00-02:00,3908858.0
1993-02-01,1993,1,2,CONFAZ12_IIPR12,1993-02-01T00:00:00-02:00,3958524.0
1993-03-01,1993,1,3,CONFAZ12_IIPR12,1993-03-01T00:00:00-03:00,6960684.0
1993-04-01,1993,1,4,CONFAZ12_IIPR12,1993-04-01T00:00:00-03:00,5876061.0
1993-05-01,1993,1,5,CONFAZ12_IIPR12,1993-05-01T00:00:00-03:00,4727053.0
1993-06-01,1993,1,6,CONFAZ12_IIPR12,1993-06-01T00:00:00-03:00,5583821.0
1993-07-01,1993,1,7,CONFAZ12_IIPR12,1993-07-01T00:00:00-03:00,7471892.0
1993-08-01,1993,1,8,CONFAZ12_IIPR12,1993-08-01T00:00:00-03:00,5646745.0
1993-09-01,1993,1,9,CONFAZ12_IIPR12,1993-09-01T00:00:00-03:00,6200180.0
1993-10-01,1993,1,10,CONFAZ12_IIPR12,1993-10-01T00:00:00-03:00,6277756.0
1993-11-01,1993,1,11,CONFAZ12_IIPR12,1993-11-01T00:00:00-03:00,6633890.0
1993-12-01,1993,1,12,CONFAZ12_IIPR12,1993-12-01T00:00:00-02:00,4981376.0
1994-01-01,1994,1,1,CONFAZ12_IIPR12,1994-01-01T00:00:00-02:00,5978672.0
1994-02-01,1994,1,2,CONFAZ12_IIPR12,1994-02-01T00:00:00-02:00,5571801.0
1994-03-01,1994,1,3,CONFAZ12_IIPR12,1994-03-01T00:00:00-03:00,8240141.0
1994-04-01,1994,1,4,CONFAZ12_IIPR12,1994-04-01T00:00:00-03:00,4988182.0
1994-05-01,1994,1,5,CONFAZ12_IIPR12,1994-05-01T00:00:00-03:00,6115706.0
1994-06-01,1994,1,6,CONFAZ12_IIPR12,1994-06-01T00:00:00-03:00,13082251.0
1994-07-01,1994,1,7,CONFAZ12_IIPR12,1994-07-01T00:00:00-03:00,7904386.0
1994-08-01,1994,1,8,CONFAZ12_IIPR12,1994-08-01T00:00:00-03:00,11780480.0
1994-09-01,1994,1,9,CONFAZ12_IIPR12,1994-09-01T00:00:00-03:00,14359269.0
1994-10-01,1994,1,10,CONFAZ12_IIPR12,1994-10-01T00:00:00-03:00,12825558.0
1994-11-01,1994,1,11,CONFAZ12_IIPR12,1994-11-01T00:00:00-03:00,11194368.0
1994-12-01,1994,1,12,CONFAZ12_IIPR12,1994-12-01T00:00:00-02:00,9922737.0
1995-01-01,1995,1,1,CONFAZ12_IIPR12,1995-01-01T00:00:00-02:00,11731453.0
1995-02-01,1995,1,2,CONFAZ12_IIPR12,1995-02-01T00:00:00-02:00,15850217.0
1995-03-01,1995,1,3,CONFAZ12_IIPR12,1995-03-01T00:00:00-03:00,19567207.0
1995-04-01,1995,1,4,CONFAZ12_IIPR12,1995-04-01T00:00:00-03:00,13426550.0
1995-05-01,1995,1,5,CONFAZ12_IIPR12,1995-05-01T00:00:00-03:00,23799903.0
1995-06-01,1995,1,6,CONFAZ12_IIPR12,1995-06-01T00:00:00-03:00,19740612.0
1995-07-01,1995,1,7,CONFAZ12_IIPR12,1995-07-01T00:00:00-03:00,21930082.0
1995-08-01,1995,1,8,CONFAZ12_IIPR12,1995-08-01T00:00:00-03:00,25324413.0
1995-09-01,1995,1,9,CONFAZ12_IIPR12,1995-09-01T00:00:00-03:00,14615310.0
1995-10-01,1995,1,10,CONFAZ12_IIPR12,1995-10-01T00:00:00-03:00,19344102.0
1995-11-01,1995,1,11,CONFAZ12_IIPR12,1995-11-01T00:00:00-03:00,14559889.0
1995-12-01,1995,1,12,CONFAZ12_IIPR12,1995-12-01T00:00:00-02:00,16248840.0
1996-01-01,1996,1,1,CONFAZ12_IIPR12,1996-01-01T00:00:00-02:00,15248376.0
1996-02-01,1996,1,2,CONFAZ12_IIPR12,1996-02-01T00:00:00-02:00,10824084.0
1996-03-01,1996,1,3,CONFAZ12_IIPR12,1996-03-01T00:00:00-03:00,14015299.0
1996-04-01,1996,1,4,CONFAZ12_IIPR12,1996-04-01T00:00:00-03:00,15178147.0
1996-05-01,1996,1,5,CONFAZ12_IIPR12,1996-05-01T00:00:00-03:00,12540789.0
1996-06-01,1996,1,6,CONFAZ12_IIPR12,1996-06-01T00:00:00-03:00,13170465.0
1996-07-01,1996,1,7,CONFAZ12_IIPR12,1996-07-01T00:00:00-03:00,18029355.0
1996-08-01,1996,1,8,CONFAZ12_IIPR12,1996-08-01T00:00:00-03:00,18429156.0
1996-09-01,1996,1,9,CONFAZ12_IIPR12,1996-09-01T00:00:00-03:00,15687931.0
1996-10-01,1996,1,10,CONFAZ12_IIPR12,1996-10-01T00:00:00-03:00,19213939.0
1996-11-01,1996,1,11,CONFAZ12_IIPR12,1996-11-01T00:00:00-03:00,17884045.0
1996-12-01,1996,1,12,CONFAZ12_IIPR12,1996-12-01T00:00:00-02:00,20718927.0
1997-01-01,1997,1,1,CONFAZ12_IIPR12,1997-01-01T00:00:00-02:00,12772324.0
1997-02-01,1997,1,2,CONFAZ12_IIPR12,1997-02-01T00:00:00-02:00,17865317.0
1997-03-01,1997,1,3,CONFAZ12_IIPR12,1997-03-01T00:00:00-03:00,21340631.0
1997-04-01,1997,1,4,CONFAZ12_IIPR12,1997-04-01T00:00:00-03:00,21659973.0
1997-05-01,1997,1,5,CONFAZ12_IIPR12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IIPR12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IIPR12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IIPR12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IIPR12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_IIPR12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_IIPR12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_IIPR12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_IIPR12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_IIPR12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_IIPR12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_IIPR12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_IIPR12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_IIPR12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_IIPR12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_IIPR12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_IIPR12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_IIPR12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_IIPR12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_IIPR12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_IIPR12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_IIPR12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_IIPR12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_IIPR12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_IIPR12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_IIPR12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_IIPR12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_IIPR12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_IIPR12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_IIPR12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_IIPR12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_IIPR12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_IIPR12,2000-01-01T00:00:00-02:00,45984119.0
2000-02-01,2000,1,2,CONFAZ12_IIPR12,2000-02-01T00:00:00-02:00,50820306.0
2000-03-01,2000,1,3,CONFAZ12_IIPR12,2000-03-01T00:00:00-03:00,54528178.0
2000-04-01,2000,1,4,CONFAZ12_IIPR12,2000-04-01T00:00:00-03:00,53090478.0
2000-05-01,2000,1,5,CONFAZ12_IIPR12,2000-05-01T00:00:00-03:00,62859100.0
2000-06-01,2000,1,6,CONFAZ12_IIPR12,2000-06-01T00:00:00-03:00,67144952.0
2000-07-01,2000,1,7,CONFAZ12_IIPR12,2000-07-01T00:00:00-03:00,76444547.0
2000-08-01,2000,1,8,CONFAZ12_IIPR12,2000-08-01T00:00:00-03:00,87102830.0
2000-09-01,2000,1,9,CONFAZ12_IIPR12,2000-09-01T00:00:00-03:00,65080278.0
2000-10-01,2000,1,10,CONFAZ12_IIPR12,2000-10-01T00:00:00-03:00,74722262.0
2000-11-01,2000,1,11,CONFAZ12_IIPR12,2000-11-01T00:00:00-03:00,84677541.0
2000-12-01,2000,1,12,CONFAZ12_IIPR12,2000-12-01T00:00:00-02:00,78551066.0
2001-01-01,2001,1,1,CONFAZ12_IIPR12,2001-01-01T00:00:00-02:00,75215089.0
2001-02-01,2001,1,2,CONFAZ12_IIPR12,2001-02-01T00:00:00-02:00,61721746.0
2001-03-01,2001,1,3,CONFAZ12_IIPR12,2001-03-01T00:00:00-03:00,81336711.0
2001-04-01,2001,1,4,CONFAZ12_IIPR12,2001-04-01T00:00:00-03:00,81398562.0
2001-05-01,2001,1,5,CONFAZ12_IIPR12,2001-05-01T00:00:00-03:00,98249787.0
2001-06-01,2001,1,6,CONFAZ12_IIPR12,2001-06-01T00:00:00-03:00,93821154.0
2001-07-01,2001,1,7,CONFAZ12_IIPR12,2001-07-01T00:00:00-03:00,88472803.0
2001-08-01,2001,1,8,CONFAZ12_IIPR12,2001-08-01T00:00:00-03:00,89528199.0
2001-09-01,2001,1,9,CONFAZ12_IIPR12,2001-09-01T00:00:00-03:00,70149842.0
2001-10-01,2001,1,10,CONFAZ12_IIPR12,2001-10-01T00:00:00-03:00,72499328.0
2001-11-01,2001,1,11,CONFAZ12_IIPR12,2001-11-01T00:00:00-03:00,56621077.0
2001-12-01,2001,1,12,CONFAZ12_IIPR12,2001-12-01T00:00:00-02:00,37895982.0
2002-01-01,2002,1,1,CONFAZ12_IIPR12,2002-01-01T00:00:00-02:00,49712653.0
2002-02-01,2002,1,2,CONFAZ12_IIPR12,2002-02-01T00:00:00-02:00,41353018.0
2002-03-01,2002,1,3,CONFAZ12_IIPR12,2002-03-01T00:00:00-03:00,51002369.0
2002-04-01,2002,1,4,CONFAZ12_IIPR12,2002-04-01T00:00:00-03:00,43586518.0
2002-05-01,2002,1,5,CONFAZ12_IIPR12,2002-05-01T00:00:00-03:00,44553008.0
2002-06-01,2002,1,6,CONFAZ12_IIPR12,2002-06-01T00:00:00-03:00,49055456.0
2002-07-01,2002,1,7,CONFAZ12_IIPR12,2002-07-01T00:00:00-03:00,61532036.0
2002-08-01,2002,1,8,CONFAZ12_IIPR12,2002-08-01T00:00:00-03:00,68115927.0
2002-09-01,2002,1,9,CONFAZ12_IIPR12,2002-09-01T00:00:00-03:00,60146234.0
2002-10-01,2002,1,10,CONFAZ12_IIPR12,2002-10-01T00:00:00-03:00,80249951.0
2002-11-01,2002,1,11,CONFAZ12_IIPR12,2002-11-01T00:00:00-03:00,61097820.0
2002-12-01,2002,1,12,CONFAZ12_IIPR12,2002-12-01T00:00:00-02:00,56819882.0
2003-01-01,2003,1,1,CONFAZ12_IIPR12,2003-01-01T00:00:00-02:00,63319042.0
2003-02-01,2003,1,2,CONFAZ12_IIPR12,2003-02-01T00:00:00-02:00,64448111.0
2003-03-01,2003,1,3,CONFAZ12_IIPR12,2003-03-01T00:00:00-03:00,59031878.0
2003-04-01,2003,1,4,CONFAZ12_IIPR12,2003-04-01T00:00:00-03:00,54333011.0
2003-05-01,2003,1,5,CONFAZ12_IIPR12,2003-05-01T00:00:00-03:00,58796898.0
2003-06-01,2003,1,6,CONFAZ12_IIPR12,2003-06-01T00:00:00-03:00,52295740.0
2003-07-01,2003,1,7,CONFAZ12_IIPR12,2003-07-01T00:00:00-03:00,62637371.0
2003-08-01,2003,1,8,CONFAZ12_IIPR12,2003-08-01T00:00:00-03:00,60501294.0
2003-09-01,2003,1,9,CONFAZ12_IIPR12,2003-09-01T00:00:00-03:00,65266919.0
2003-10-01,2003,1,10,CONFAZ12_IIPR12,2003-10-01T00:00:00-03:00,61998110.0
2003-11-01,2003,1,11,CONFAZ12_IIPR12,2003-11-01T00:00:00-03:00,55615153.0
2003-12-01,2003,1,12,CONFAZ12_IIPR12,2003-12-01T00:00:00-02:00,54362523.0
2004-01-01,2004,1,1,CONFAZ12_IIPR12,2004-01-01T00:00:00-02:00,61137394.0
2004-02-01,2004,1,2,CONFAZ12_IIPR12,2004-02-01T00:00:00-02:00,49962516.0
2004-03-01,2004,1,3,CONFAZ12_IIPR12,2004-03-01T00:00:00-03:00,60669668.0
2004-04-01,2004,1,4,CONFAZ12_IIPR12,2004-04-01T00:00:00-03:00,61084484.0
2004-05-01,2004,1,5,CONFAZ12_IIPR12,2004-05-01T00:00:00-03:00,57231105.0
2004-06-01,2004,1,6,CONFAZ12_IIPR12,2004-06-01T00:00:00-03:00,67780492.0
2004-07-01,2004,1,7,CONFAZ12_IIPR12,2004-07-01T00:00:00-03:00,69559372.0
2004-08-01,2004,1,8,CONFAZ12_IIPR12,2004-08-01T00:00:00-03:00,67713952.0
2004-09-01,2004,1,9,CONFAZ12_IIPR12,2004-09-01T00:00:00-03:00,61563607.0
2004-10-01,2004,1,10,CONFAZ12_IIPR12,2004-10-01T00:00:00-03:00,57770528.0
2004-11-01,2004,1,11,CONFAZ12_IIPR12,2004-11-01T00:00:00-03:00,62618337.0
2004-12-01,2004,1,12,CONFAZ12_IIPR12,2004-12-01T00:00:00-02:00,55926778.0
2005-01-01,2005,1,1,CONFAZ12_IIPR12,2005-01-01T00:00:00-02:00,54511924.0
2005-02-01,2005,1,2,CONFAZ12_IIPR12,2005-02-01T00:00:00-02:00,43730735.0
2005-03-01,2005,1,3,CONFAZ12_IIPR12,2005-03-01T00:00:00-03:00,60737843.0
2005-04-01,2005,1,4,CONFAZ12_IIPR12,2005-04-01T00:00:00-03:00,53319008.0
2005-05-01,2005,1,5,CONFAZ12_IIPR12,2005-05-01T00:00:00-03:00,48173124.0
2005-06-01,2005,1,6,CONFAZ12_IIPR12,2005-06-01T00:00:00-03:00,48994832.0
2005-07-01,2005,1,7,CONFAZ12_IIPR12,2005-07-01T00:00:00-03:00,53327037.0
2005-08-01,2005,1,8,CONFAZ12_IIPR12,2005-08-01T00:00:00-03:00,72305376.0
2005-09-01,2005,1,9,CONFAZ12_IIPR12,2005-09-01T00:00:00-03:00,45734040.0
2005-10-01,2005,1,10,CONFAZ12_IIPR12,2005-10-01T00:00:00-03:00,42874193.0
2005-11-01,2005,1,11,CONFAZ12_IIPR12,2005-11-01T00:00:00-02:00,49750984.0
2005-12-01,2005,1,12,CONFAZ12_IIPR12,2005-12-01T00:00:00-02:00,46684655.0
2006-01-01,2006,1,1,CONFAZ12_IIPR12,2006-01-01T00:00:00-02:00,55740668.0
2006-02-01,2006,1,2,CONFAZ12_IIPR12,2006-02-01T00:00:00-02:00,40404198.0
2006-03-01,2006,1,3,CONFAZ12_IIPR12,2006-03-01T00:00:00-03:00,44414945.0
2006-04-01,2006,1,4,CONFAZ12_IIPR12,2006-04-01T00:00:00-03:00,41246024.0
2006-05-01,2006,1,5,CONFAZ12_IIPR12,2006-05-01T00:00:00-03:00,46687252.0
2006-06-01,2006,1,6,CONFAZ12_IIPR12,2006-06-01T00:00:00-03:00,49010651.0
2006-07-01,2006,1,7,CONFAZ12_IIPR12,2006-07-01T00:00:00-03:00,45690579.0
2006-08-01,2006,1,8,CONFAZ12_IIPR12,2006-08-01T00:00:00-03:00,59201579.0
2006-09-01,2006,1,9,CONFAZ12_IIPR12,2006-09-01T00:00:00-03:00,45193344.0
2006-10-01,2006,1,10,CONFAZ12_IIPR12,2006-10-01T00:00:00-03:00,54788849.0
2006-11-01,2006,1,11,CONFAZ12_IIPR12,2006-11-01T00:00:00-03:00,55239182.0
2006-12-01,2006,1,12,CONFAZ12_IIPR12,2006-12-01T00:00:00-02:00,58822792.0
2007-01-01,2007,1,1,CONFAZ12_IIPR12,2007-01-01T00:00:00-02:00,63348536.0
2007-02-01,2007,1,2,CONFAZ12_IIPR12,2007-02-01T00:00:00-02:00,55479984.0
2007-03-01,2007,1,3,CONFAZ12_IIPR12,2007-03-01T00:00:00-03:00,65611141.0
2007-04-01,2007,1,4,CONFAZ12_IIPR12,2007-04-01T00:00:00-03:00,58237301.0
2007-05-01,2007,1,5,CONFAZ12_IIPR12,2007-05-01T00:00:00-03:00,70647648.0
2007-06-01,2007,1,6,CONFAZ12_IIPR12,2007-06-01T00:00:00-03:00,59020735.0
2007-07-01,2007,1,7,CONFAZ12_IIPR12,2007-07-01T00:00:00-03:00,64545110.0
2007-08-01,2007,1,8,CONFAZ12_IIPR12,2007-08-01T00:00:00-03:00,73253482.0
