DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IIRO12,1993-01-01T00:00:00-02:00,1485.0
1993-02-01,1993,1,2,CONFAZ12_IIRO12,1993-02-01T00:00:00-02:00,51.0
1993-03-01,1993,1,3,CONFAZ12_IIRO12,1993-03-01T00:00:00-03:00,1097.0
1993-04-01,1993,1,4,CONFAZ12_IIRO12,1993-04-01T00:00:00-03:00,3637.0
1993-05-01,1993,1,5,CONFAZ12_IIRO12,1993-05-01T00:00:00-03:00,1531.0
1993-06-01,1993,1,6,CONFAZ12_IIRO12,1993-06-01T00:00:00-03:00,959.0
1993-07-01,1993,1,7,CONFAZ12_IIRO12,1993-07-01T00:00:00-03:00,14071.0
1993-08-01,1993,1,8,CONFAZ12_IIRO12,1993-08-01T00:00:00-03:00,5104.0
1993-09-01,1993,1,9,CONFAZ12_IIRO12,1993-09-01T00:00:00-03:00,7586.0
1993-10-01,1993,1,10,CONFAZ12_IIRO12,1993-10-01T00:00:00-03:00,1897.0
1993-11-01,1993,1,11,CONFAZ12_IIRO12,1993-11-01T00:00:00-03:00,3157.0
1993-12-01,1993,1,12,CONFAZ12_IIRO12,1993-12-01T00:00:00-02:00,1546.0
1994-01-01,1994,1,1,CONFAZ12_IIRO12,1994-01-01T00:00:00-02:00,874.0
1994-02-01,1994,1,2,CONFAZ12_IIRO12,1994-02-01T00:00:00-02:00,13426.0
1994-03-01,1994,1,3,CONFAZ12_IIRO12,1994-03-01T00:00:00-03:00,7185.0
1994-04-01,1994,1,4,CONFAZ12_IIRO12,1994-04-01T00:00:00-03:00,12070.0
1994-05-01,1994,1,5,CONFAZ12_IIRO12,1994-05-01T00:00:00-03:00,1040.0
1994-06-01,1994,1,6,CONFAZ12_IIRO12,1994-06-01T00:00:00-03:00,16895.0
1994-07-01,1994,1,7,CONFAZ12_IIRO12,1994-07-01T00:00:00-03:00,1799.0
1994-08-01,1994,1,8,CONFAZ12_IIRO12,1994-08-01T00:00:00-03:00,30500.0
1994-09-01,1994,1,9,CONFAZ12_IIRO12,1994-09-01T00:00:00-03:00,4315.0
1994-10-01,1994,1,10,CONFAZ12_IIRO12,1994-10-01T00:00:00-03:00,14986.0
1994-11-01,1994,1,11,CONFAZ12_IIRO12,1994-11-01T00:00:00-03:00,22971.0
1994-12-01,1994,1,12,CONFAZ12_IIRO12,1994-12-01T00:00:00-02:00,40567.0
1995-01-01,1995,1,1,CONFAZ12_IIRO12,1995-01-01T00:00:00-02:00,37253.0
1995-02-01,1995,1,2,CONFAZ12_IIRO12,1995-02-01T00:00:00-02:00,28299.0
1995-03-01,1995,1,3,CONFAZ12_IIRO12,1995-03-01T00:00:00-03:00,17178.0
1995-04-01,1995,1,4,CONFAZ12_IIRO12,1995-04-01T00:00:00-03:00,13572.0
1995-05-01,1995,1,5,CONFAZ12_IIRO12,1995-05-01T00:00:00-03:00,70694.0
1995-06-01,1995,1,6,CONFAZ12_IIRO12,1995-06-01T00:00:00-03:00,33746.0
1995-07-01,1995,1,7,CONFAZ12_IIRO12,1995-07-01T00:00:00-03:00,40337.0
1995-08-01,1995,1,8,CONFAZ12_IIRO12,1995-08-01T00:00:00-03:00,50073.0
1995-09-01,1995,1,9,CONFAZ12_IIRO12,1995-09-01T00:00:00-03:00,43316.0
1995-10-01,1995,1,10,CONFAZ12_IIRO12,1995-10-01T00:00:00-03:00,38327.0
1995-11-01,1995,1,11,CONFAZ12_IIRO12,1995-11-01T00:00:00-03:00,38419.0
1995-12-01,1995,1,12,CONFAZ12_IIRO12,1995-12-01T00:00:00-02:00,75424.0
1996-01-01,1996,1,1,CONFAZ12_IIRO12,1996-01-01T00:00:00-02:00,27091.0
1996-02-01,1996,1,2,CONFAZ12_IIRO12,1996-02-01T00:00:00-02:00,31968.0
1996-03-01,1996,1,3,CONFAZ12_IIRO12,1996-03-01T00:00:00-03:00,19946.0
1996-04-01,1996,1,4,CONFAZ12_IIRO12,1996-04-01T00:00:00-03:00,56548.0
1996-05-01,1996,1,5,CONFAZ12_IIRO12,1996-05-01T00:00:00-03:00,35606.0
1996-06-01,1996,1,6,CONFAZ12_IIRO12,1996-06-01T00:00:00-03:00,24118.0
1996-07-01,1996,1,7,CONFAZ12_IIRO12,1996-07-01T00:00:00-03:00,22939.0
1996-08-01,1996,1,8,CONFAZ12_IIRO12,1996-08-01T00:00:00-03:00,21156.0
1996-09-01,1996,1,9,CONFAZ12_IIRO12,1996-09-01T00:00:00-03:00,23149.0
1996-10-01,1996,1,10,CONFAZ12_IIRO12,1996-10-01T00:00:00-03:00,53578.0
1996-11-01,1996,1,11,CONFAZ12_IIRO12,1996-11-01T00:00:00-03:00,78168.0
1996-12-01,1996,1,12,CONFAZ12_IIRO12,1996-12-01T00:00:00-02:00,30351.0
1997-01-01,1997,1,1,CONFAZ12_IIRO12,1997-01-01T00:00:00-02:00,15944.0
1997-02-01,1997,1,2,CONFAZ12_IIRO12,1997-02-01T00:00:00-02:00,15053.0
1997-03-01,1997,1,3,CONFAZ12_IIRO12,1997-03-01T00:00:00-03:00,17724.0
1997-04-01,1997,1,4,CONFAZ12_IIRO12,1997-04-01T00:00:00-03:00,12414.0
1997-05-01,1997,1,5,CONFAZ12_IIRO12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IIRO12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IIRO12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IIRO12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IIRO12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_IIRO12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_IIRO12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_IIRO12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_IIRO12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_IIRO12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_IIRO12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_IIRO12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_IIRO12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_IIRO12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_IIRO12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_IIRO12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_IIRO12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_IIRO12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_IIRO12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_IIRO12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_IIRO12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_IIRO12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_IIRO12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_IIRO12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_IIRO12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_IIRO12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_IIRO12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_IIRO12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_IIRO12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_IIRO12,1999-10-01T00:00:00-03:00,
