DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IISE12,1993-01-01T00:00:00-02:00,71178.0
1993-02-01,1993,1,2,CONFAZ12_IISE12,1993-02-01T00:00:00-02:00,229136.0
1993-03-01,1993,1,3,CONFAZ12_IISE12,1993-03-01T00:00:00-03:00,132633.0
1993-04-01,1993,1,4,CONFAZ12_IISE12,1993-04-01T00:00:00-03:00,198957.0
1993-05-01,1993,1,5,CONFAZ12_IISE12,1993-05-01T00:00:00-03:00,74677.0
1993-06-01,1993,1,6,CONFAZ12_IISE12,1993-06-01T00:00:00-03:00,279524.0
1993-07-01,1993,1,7,CONFAZ12_IISE12,1993-07-01T00:00:00-03:00,210258.0
1993-08-01,1993,1,8,CONFAZ12_IISE12,1993-08-01T00:00:00-03:00,209545.0
1993-09-01,1993,1,9,CONFAZ12_IISE12,1993-09-01T00:00:00-03:00,181959.0
1993-10-01,1993,1,10,CONFAZ12_IISE12,1993-10-01T00:00:00-03:00,369035.0
1993-11-01,1993,1,11,CONFAZ12_IISE12,1993-11-01T00:00:00-03:00,244252.0
1993-12-01,1993,1,12,CONFAZ12_IISE12,1993-12-01T00:00:00-02:00,250536.0
1994-01-01,1994,1,1,CONFAZ12_IISE12,1994-01-01T00:00:00-02:00,189823.0
1994-02-01,1994,1,2,CONFAZ12_IISE12,1994-02-01T00:00:00-02:00,121027.0
1994-03-01,1994,1,3,CONFAZ12_IISE12,1994-03-01T00:00:00-03:00,1024151.0
1994-04-01,1994,1,4,CONFAZ12_IISE12,1994-04-01T00:00:00-03:00,3703524.0
1994-05-01,1994,1,5,CONFAZ12_IISE12,1994-05-01T00:00:00-03:00,300587.0
1994-06-01,1994,1,6,CONFAZ12_IISE12,1994-06-01T00:00:00-03:00,645971.0
1994-07-01,1994,1,7,CONFAZ12_IISE12,1994-07-01T00:00:00-03:00,2055865.0
1994-08-01,1994,1,8,CONFAZ12_IISE12,1994-08-01T00:00:00-03:00,204475.0
1994-09-01,1994,1,9,CONFAZ12_IISE12,1994-09-01T00:00:00-03:00,250739.0
1994-10-01,1994,1,10,CONFAZ12_IISE12,1994-10-01T00:00:00-03:00,171712.0
1994-11-01,1994,1,11,CONFAZ12_IISE12,1994-11-01T00:00:00-03:00,386054.0
1994-12-01,1994,1,12,CONFAZ12_IISE12,1994-12-01T00:00:00-02:00,93172.0
1995-01-01,1995,1,1,CONFAZ12_IISE12,1995-01-01T00:00:00-02:00,484861.0
1995-02-01,1995,1,2,CONFAZ12_IISE12,1995-02-01T00:00:00-02:00,233469.0
1995-03-01,1995,1,3,CONFAZ12_IISE12,1995-03-01T00:00:00-03:00,915088.0
1995-04-01,1995,1,4,CONFAZ12_IISE12,1995-04-01T00:00:00-03:00,215921.0
1995-05-01,1995,1,5,CONFAZ12_IISE12,1995-05-01T00:00:00-03:00,763584.0
1995-06-01,1995,1,6,CONFAZ12_IISE12,1995-06-01T00:00:00-03:00,191699.0
1995-07-01,1995,1,7,CONFAZ12_IISE12,1995-07-01T00:00:00-03:00,433685.0
1995-08-01,1995,1,8,CONFAZ12_IISE12,1995-08-01T00:00:00-03:00,416027.0
1995-09-01,1995,1,9,CONFAZ12_IISE12,1995-09-01T00:00:00-03:00,482093.0
1995-10-01,1995,1,10,CONFAZ12_IISE12,1995-10-01T00:00:00-03:00,383926.0
1995-11-01,1995,1,11,CONFAZ12_IISE12,1995-11-01T00:00:00-03:00,633541.0
1995-12-01,1995,1,12,CONFAZ12_IISE12,1995-12-01T00:00:00-02:00,144671.0
1996-01-01,1996,1,1,CONFAZ12_IISE12,1996-01-01T00:00:00-02:00,125111.0
1996-02-01,1996,1,2,CONFAZ12_IISE12,1996-02-01T00:00:00-02:00,5347090.0
1996-03-01,1996,1,3,CONFAZ12_IISE12,1996-03-01T00:00:00-03:00,392524.0
1996-04-01,1996,1,4,CONFAZ12_IISE12,1996-04-01T00:00:00-03:00,909648.0
1996-05-01,1996,1,5,CONFAZ12_IISE12,1996-05-01T00:00:00-03:00,2094868.0
1996-06-01,1996,1,6,CONFAZ12_IISE12,1996-06-01T00:00:00-03:00,121891.0
1996-07-01,1996,1,7,CONFAZ12_IISE12,1996-07-01T00:00:00-03:00,430180.0
1996-08-01,1996,1,8,CONFAZ12_IISE12,1996-08-01T00:00:00-03:00,2295355.0
1996-09-01,1996,1,9,CONFAZ12_IISE12,1996-09-01T00:00:00-03:00,305459.0
1996-10-01,1996,1,10,CONFAZ12_IISE12,1996-10-01T00:00:00-03:00,293940.0
1996-11-01,1996,1,11,CONFAZ12_IISE12,1996-11-01T00:00:00-03:00,741203.0
1996-12-01,1996,1,12,CONFAZ12_IISE12,1996-12-01T00:00:00-02:00,865292.0
1997-01-01,1997,1,1,CONFAZ12_IISE12,1997-01-01T00:00:00-02:00,7448309.0
1997-02-01,1997,1,2,CONFAZ12_IISE12,1997-02-01T00:00:00-02:00,309182.0
1997-03-01,1997,1,3,CONFAZ12_IISE12,1997-03-01T00:00:00-03:00,763228.0
1997-04-01,1997,1,4,CONFAZ12_IISE12,1997-04-01T00:00:00-03:00,103760.0
1997-05-01,1997,1,5,CONFAZ12_IISE12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IISE12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IISE12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IISE12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IISE12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_IISE12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_IISE12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_IISE12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_IISE12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_IISE12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_IISE12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_IISE12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_IISE12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_IISE12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_IISE12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_IISE12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_IISE12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_IISE12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_IISE12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_IISE12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_IISE12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_IISE12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_IISE12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_IISE12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_IISE12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_IISE12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_IISE12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_IISE12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_IISE12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_IISE12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_IISE12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_IISE12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_IISE12,2000-01-01T00:00:00-02:00,641774.0
2000-02-01,2000,1,2,CONFAZ12_IISE12,2000-02-01T00:00:00-02:00,632278.0
2000-03-01,2000,1,3,CONFAZ12_IISE12,2000-03-01T00:00:00-03:00,480266.0
2000-04-01,2000,1,4,CONFAZ12_IISE12,2000-04-01T00:00:00-03:00,903877.0
2000-05-01,2000,1,5,CONFAZ12_IISE12,2000-05-01T00:00:00-03:00,920929.0
2000-06-01,2000,1,6,CONFAZ12_IISE12,2000-06-01T00:00:00-03:00,792597.0
2000-07-01,2000,1,7,CONFAZ12_IISE12,2000-07-01T00:00:00-03:00,839909.0
