DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IITO12,1993-01-01T00:00:00-02:00,5663.0
1993-02-01,1993,1,2,CONFAZ12_IITO12,1993-02-01T00:00:00-02:00,0.0
1993-03-01,1993,1,3,CONFAZ12_IITO12,1993-03-01T00:00:00-03:00,31.0
1993-04-01,1993,1,4,CONFAZ12_IITO12,1993-04-01T00:00:00-03:00,1228.0
1993-05-01,1993,1,5,CONFAZ12_IITO12,1993-05-01T00:00:00-03:00,509.0
1993-06-01,1993,1,6,CONFAZ12_IITO12,1993-06-01T00:00:00-03:00,3405.0
1993-07-01,1993,1,7,CONFAZ12_IITO12,1993-07-01T00:00:00-03:00,8498.0
1993-08-01,1993,1,8,CONFAZ12_IITO12,1993-08-01T00:00:00-03:00,0.0
1993-09-01,1993,1,9,CONFAZ12_IITO12,1993-09-01T00:00:00-03:00,188.0
1993-10-01,1993,1,10,CONFAZ12_IITO12,1993-10-01T00:00:00-03:00,483.0
1993-11-01,1993,1,11,CONFAZ12_IITO12,1993-11-01T00:00:00-03:00,0.0
1993-12-01,1993,1,12,CONFAZ12_IITO12,1993-12-01T00:00:00-02:00,0.0
1994-01-01,1994,1,1,CONFAZ12_IITO12,1994-01-01T00:00:00-02:00,7258.0
1994-02-01,1994,1,2,CONFAZ12_IITO12,1994-02-01T00:00:00-02:00,2030.0
1994-03-01,1994,1,3,CONFAZ12_IITO12,1994-03-01T00:00:00-03:00,200.0
1994-04-01,1994,1,4,CONFAZ12_IITO12,1994-04-01T00:00:00-03:00,996.0
1994-05-01,1994,1,5,CONFAZ12_IITO12,1994-05-01T00:00:00-03:00,11091.0
1994-06-01,1994,1,6,CONFAZ12_IITO12,1994-06-01T00:00:00-03:00,1798.0
1994-07-01,1994,1,7,CONFAZ12_IITO12,1994-07-01T00:00:00-03:00,154.0
1994-08-01,1994,1,8,CONFAZ12_IITO12,1994-08-01T00:00:00-03:00,4115.0
1994-09-01,1994,1,9,CONFAZ12_IITO12,1994-09-01T00:00:00-03:00,43.0
1994-10-01,1994,1,10,CONFAZ12_IITO12,1994-10-01T00:00:00-03:00,145.0
1994-11-01,1994,1,11,CONFAZ12_IITO12,1994-11-01T00:00:00-03:00,10302.0
1994-12-01,1994,1,12,CONFAZ12_IITO12,1994-12-01T00:00:00-02:00,63.0
1995-01-01,1995,1,1,CONFAZ12_IITO12,1995-01-01T00:00:00-02:00,6952.0
1995-02-01,1995,1,2,CONFAZ12_IITO12,1995-02-01T00:00:00-02:00,11463.0
1995-03-01,1995,1,3,CONFAZ12_IITO12,1995-03-01T00:00:00-03:00,3991.0
1995-04-01,1995,1,4,CONFAZ12_IITO12,1995-04-01T00:00:00-03:00,2062.0
1995-05-01,1995,1,5,CONFAZ12_IITO12,1995-05-01T00:00:00-03:00,14347.0
1995-06-01,1995,1,6,CONFAZ12_IITO12,1995-06-01T00:00:00-03:00,12968.0
1995-07-01,1995,1,7,CONFAZ12_IITO12,1995-07-01T00:00:00-03:00,4028.0
1995-08-01,1995,1,8,CONFAZ12_IITO12,1995-08-01T00:00:00-03:00,3045.0
1995-09-01,1995,1,9,CONFAZ12_IITO12,1995-09-01T00:00:00-03:00,3321.0
1995-10-01,1995,1,10,CONFAZ12_IITO12,1995-10-01T00:00:00-03:00,3638.0
