DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IOFAC12,1993-01-01T00:00:00-02:00,87348.0
1993-02-01,1993,1,2,CONFAZ12_IOFAC12,1993-02-01T00:00:00-02:00,85076.0
1993-03-01,1993,1,3,CONFAZ12_IOFAC12,1993-03-01T00:00:00-03:00,182571.0
1993-04-01,1993,1,4,CONFAZ12_IOFAC12,1993-04-01T00:00:00-03:00,160053.0
1993-05-01,1993,1,5,CONFAZ12_IOFAC12,1993-05-01T00:00:00-03:00,159277.0
1993-06-01,1993,1,6,CONFAZ12_IOFAC12,1993-06-01T00:00:00-03:00,174826.0
1993-07-01,1993,1,7,CONFAZ12_IOFAC12,1993-07-01T00:00:00-03:00,198194.0
1993-08-01,1993,1,8,CONFAZ12_IOFAC12,1993-08-01T00:00:00-03:00,181083.0
1993-09-01,1993,1,9,CONFAZ12_IOFAC12,1993-09-01T00:00:00-03:00,191797.0
1993-10-01,1993,1,10,CONFAZ12_IOFAC12,1993-10-01T00:00:00-03:00,168343.0
1993-11-01,1993,1,11,CONFAZ12_IOFAC12,1993-11-01T00:00:00-03:00,153478.0
1993-12-01,1993,1,12,CONFAZ12_IOFAC12,1993-12-01T00:00:00-02:00,252999.0
1994-01-01,1994,1,1,CONFAZ12_IOFAC12,1994-01-01T00:00:00-02:00,244007.0
1994-02-01,1994,1,2,CONFAZ12_IOFAC12,1994-02-01T00:00:00-02:00,194786.0
1994-03-01,1994,1,3,CONFAZ12_IOFAC12,1994-03-01T00:00:00-03:00,252434.0
1994-04-01,1994,1,4,CONFAZ12_IOFAC12,1994-04-01T00:00:00-03:00,130276.0
1994-05-01,1994,1,5,CONFAZ12_IOFAC12,1994-05-01T00:00:00-03:00,178777.0
1994-06-01,1994,1,6,CONFAZ12_IOFAC12,1994-06-01T00:00:00-03:00,131384.0
1994-07-01,1994,1,7,CONFAZ12_IOFAC12,1994-07-01T00:00:00-03:00,64678.0
1994-08-01,1994,1,8,CONFAZ12_IOFAC12,1994-08-01T00:00:00-03:00,30790.0
1994-09-01,1994,1,9,CONFAZ12_IOFAC12,1994-09-01T00:00:00-03:00,45496.0
1994-10-01,1994,1,10,CONFAZ12_IOFAC12,1994-10-01T00:00:00-03:00,39523.0
1994-11-01,1994,1,11,CONFAZ12_IOFAC12,1994-11-01T00:00:00-03:00,45144.0
1994-12-01,1994,1,12,CONFAZ12_IOFAC12,1994-12-01T00:00:00-02:00,64908.0
1995-01-01,1995,1,1,CONFAZ12_IOFAC12,1995-01-01T00:00:00-02:00,63665.0
1995-02-01,1995,1,2,CONFAZ12_IOFAC12,1995-02-01T00:00:00-02:00,58773.0
1995-03-01,1995,1,3,CONFAZ12_IOFAC12,1995-03-01T00:00:00-03:00,68121.0
1995-04-01,1995,1,4,CONFAZ12_IOFAC12,1995-04-01T00:00:00-03:00,85483.0
1995-05-01,1995,1,5,CONFAZ12_IOFAC12,1995-05-01T00:00:00-03:00,97832.0
1995-06-01,1995,1,6,CONFAZ12_IOFAC12,1995-06-01T00:00:00-03:00,161001.0
1995-07-01,1995,1,7,CONFAZ12_IOFAC12,1995-07-01T00:00:00-03:00,240254.0
1995-08-01,1995,1,8,CONFAZ12_IOFAC12,1995-08-01T00:00:00-03:00,260861.0
1995-09-01,1995,1,9,CONFAZ12_IOFAC12,1995-09-01T00:00:00-03:00,264997.0
1995-10-01,1995,1,10,CONFAZ12_IOFAC12,1995-10-01T00:00:00-03:00,266650.0
1995-11-01,1995,1,11,CONFAZ12_IOFAC12,1995-11-01T00:00:00-03:00,145390.0
1995-12-01,1995,1,12,CONFAZ12_IOFAC12,1995-12-01T00:00:00-02:00,177350.0
1996-01-01,1996,1,1,CONFAZ12_IOFAC12,1996-01-01T00:00:00-02:00,205738.0
1996-02-01,1996,1,2,CONFAZ12_IOFAC12,1996-02-01T00:00:00-02:00,77093.0
1996-03-01,1996,1,3,CONFAZ12_IOFAC12,1996-03-01T00:00:00-03:00,93721.0
1996-04-01,1996,1,4,CONFAZ12_IOFAC12,1996-04-01T00:00:00-03:00,137279.0
1996-05-01,1996,1,5,CONFAZ12_IOFAC12,1996-05-01T00:00:00-03:00,88500.0
1996-06-01,1996,1,6,CONFAZ12_IOFAC12,1996-06-01T00:00:00-03:00,90304.0
1996-07-01,1996,1,7,CONFAZ12_IOFAC12,1996-07-01T00:00:00-03:00,64608.0
1996-08-01,1996,1,8,CONFAZ12_IOFAC12,1996-08-01T00:00:00-03:00,69810.0
1996-09-01,1996,1,9,CONFAZ12_IOFAC12,1996-09-01T00:00:00-03:00,69092.0
1996-10-01,1996,1,10,CONFAZ12_IOFAC12,1996-10-01T00:00:00-03:00,78229.0
1996-11-01,1996,1,11,CONFAZ12_IOFAC12,1996-11-01T00:00:00-03:00,68762.0
1996-12-01,1996,1,12,CONFAZ12_IOFAC12,1996-12-01T00:00:00-02:00,63692.0
1997-01-01,1997,1,1,CONFAZ12_IOFAC12,1997-01-01T00:00:00-02:00,59504.0
1997-02-01,1997,1,2,CONFAZ12_IOFAC12,1997-02-01T00:00:00-02:00,26401.0
1997-03-01,1997,1,3,CONFAZ12_IOFAC12,1997-03-01T00:00:00-03:00,31949.0
1997-04-01,1997,1,4,CONFAZ12_IOFAC12,1997-04-01T00:00:00-03:00,32265.0
1997-05-01,1997,1,5,CONFAZ12_IOFAC12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IOFAC12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IOFAC12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IOFAC12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IOFAC12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_IOFAC12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_IOFAC12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_IOFAC12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_IOFAC12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_IOFAC12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_IOFAC12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_IOFAC12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_IOFAC12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_IOFAC12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_IOFAC12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_IOFAC12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_IOFAC12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_IOFAC12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_IOFAC12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_IOFAC12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_IOFAC12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_IOFAC12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_IOFAC12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_IOFAC12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_IOFAC12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_IOFAC12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_IOFAC12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_IOFAC12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_IOFAC12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_IOFAC12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_IOFAC12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_IOFAC12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_IOFAC12,2000-01-01T00:00:00-02:00,1220.0
2000-02-01,2000,1,2,CONFAZ12_IOFAC12,2000-02-01T00:00:00-02:00,1447.0
2000-03-01,2000,1,3,CONFAZ12_IOFAC12,2000-03-01T00:00:00-03:00,956.0
2000-04-01,2000,1,4,CONFAZ12_IOFAC12,2000-04-01T00:00:00-03:00,602.0
2000-05-01,2000,1,5,CONFAZ12_IOFAC12,2000-05-01T00:00:00-03:00,749.0
2000-06-01,2000,1,6,CONFAZ12_IOFAC12,2000-06-01T00:00:00-03:00,806.0
2000-07-01,2000,1,7,CONFAZ12_IOFAC12,2000-07-01T00:00:00-03:00,752.0
2000-08-01,2000,1,8,CONFAZ12_IOFAC12,2000-08-01T00:00:00-03:00,815.0
2000-09-01,2000,1,9,CONFAZ12_IOFAC12,2000-09-01T00:00:00-03:00,2812.0
2000-10-01,2000,1,10,CONFAZ12_IOFAC12,2000-10-01T00:00:00-03:00,6658.0
2000-11-01,2000,1,11,CONFAZ12_IOFAC12,2000-11-01T00:00:00-03:00,1013.0
2000-12-01,2000,1,12,CONFAZ12_IOFAC12,2000-12-01T00:00:00-02:00,469.0
2001-01-01,2001,1,1,CONFAZ12_IOFAC12,2001-01-01T00:00:00-02:00,724.0
2001-02-01,2001,1,2,CONFAZ12_IOFAC12,2001-02-01T00:00:00-02:00,601.0
2001-03-01,2001,1,3,CONFAZ12_IOFAC12,2001-03-01T00:00:00-03:00,491.0
2001-04-01,2001,1,4,CONFAZ12_IOFAC12,2001-04-01T00:00:00-03:00,2037.0
2001-05-01,2001,1,5,CONFAZ12_IOFAC12,2001-05-01T00:00:00-03:00,1722.0
2001-06-01,2001,1,6,CONFAZ12_IOFAC12,2001-06-01T00:00:00-03:00,3734.0
2001-07-01,2001,1,7,CONFAZ12_IOFAC12,2001-07-01T00:00:00-03:00,1649.0
2001-08-01,2001,1,8,CONFAZ12_IOFAC12,2001-08-01T00:00:00-03:00,2740.0
2001-09-01,2001,1,9,CONFAZ12_IOFAC12,2001-09-01T00:00:00-03:00,20917.0
2001-10-01,2001,1,10,CONFAZ12_IOFAC12,2001-10-01T00:00:00-03:00,8728.0
2001-11-01,2001,1,11,CONFAZ12_IOFAC12,2001-11-01T00:00:00-03:00,7490.0
2001-12-01,2001,1,12,CONFAZ12_IOFAC12,2001-12-01T00:00:00-02:00,6552.0
2002-01-01,2002,1,1,CONFAZ12_IOFAC12,2002-01-01T00:00:00-02:00,729.0
2002-02-01,2002,1,2,CONFAZ12_IOFAC12,2002-02-01T00:00:00-02:00,7023.0
2002-03-01,2002,1,3,CONFAZ12_IOFAC12,2002-03-01T00:00:00-03:00,7247.0
2002-04-01,2002,1,4,CONFAZ12_IOFAC12,2002-04-01T00:00:00-03:00,7964.0
2002-05-01,2002,1,5,CONFAZ12_IOFAC12,2002-05-01T00:00:00-03:00,8946.0
2002-06-01,2002,1,6,CONFAZ12_IOFAC12,2002-06-01T00:00:00-03:00,5857.0
2002-07-01,2002,1,7,CONFAZ12_IOFAC12,2002-07-01T00:00:00-03:00,5026.0
2002-08-01,2002,1,8,CONFAZ12_IOFAC12,2002-08-01T00:00:00-03:00,1422.0
2002-09-01,2002,1,9,CONFAZ12_IOFAC12,2002-09-01T00:00:00-03:00,8263.0
2002-10-01,2002,1,10,CONFAZ12_IOFAC12,2002-10-01T00:00:00-03:00,335.0
2002-11-01,2002,1,11,CONFAZ12_IOFAC12,2002-11-01T00:00:00-03:00,8165.0
2002-12-01,2002,1,12,CONFAZ12_IOFAC12,2002-12-01T00:00:00-02:00,6978.0
2003-01-01,2003,1,1,CONFAZ12_IOFAC12,2003-01-01T00:00:00-02:00,7615.0
2003-02-01,2003,1,2,CONFAZ12_IOFAC12,2003-02-01T00:00:00-02:00,481.0
2003-03-01,2003,1,3,CONFAZ12_IOFAC12,2003-03-01T00:00:00-03:00,5913.0
2003-04-01,2003,1,4,CONFAZ12_IOFAC12,2003-04-01T00:00:00-03:00,6664.0
2003-05-01,2003,1,5,CONFAZ12_IOFAC12,2003-05-01T00:00:00-03:00,3852.0
2003-06-01,2003,1,6,CONFAZ12_IOFAC12,2003-06-01T00:00:00-03:00,4113.0
2003-07-01,2003,1,7,CONFAZ12_IOFAC12,2003-07-01T00:00:00-03:00,3595.0
2003-08-01,2003,1,8,CONFAZ12_IOFAC12,2003-08-01T00:00:00-03:00,2532.0
2003-09-01,2003,1,9,CONFAZ12_IOFAC12,2003-09-01T00:00:00-03:00,639.0
2003-10-01,2003,1,10,CONFAZ12_IOFAC12,2003-10-01T00:00:00-03:00,1169.0
2003-11-01,2003,1,11,CONFAZ12_IOFAC12,2003-11-01T00:00:00-03:00,776.0
2003-12-01,2003,1,12,CONFAZ12_IOFAC12,2003-12-01T00:00:00-02:00,1010.0
2004-01-01,2004,1,1,CONFAZ12_IOFAC12,2004-01-01T00:00:00-02:00,2781.0
2004-02-01,2004,1,2,CONFAZ12_IOFAC12,2004-02-01T00:00:00-02:00,3226.0
2004-03-01,2004,1,3,CONFAZ12_IOFAC12,2004-03-01T00:00:00-03:00,1555.0
2004-04-01,2004,1,4,CONFAZ12_IOFAC12,2004-04-01T00:00:00-03:00,618.0
2004-05-01,2004,1,5,CONFAZ12_IOFAC12,2004-05-01T00:00:00-03:00,528.0
2004-06-01,2004,1,6,CONFAZ12_IOFAC12,2004-06-01T00:00:00-03:00,378.0
2004-07-01,2004,1,7,CONFAZ12_IOFAC12,2004-07-01T00:00:00-03:00,386.0
2004-08-01,2004,1,8,CONFAZ12_IOFAC12,2004-08-01T00:00:00-03:00,457.0
2004-09-01,2004,1,9,CONFAZ12_IOFAC12,2004-09-01T00:00:00-03:00,380.0
2004-10-01,2004,1,10,CONFAZ12_IOFAC12,2004-10-01T00:00:00-03:00,6581.0
2004-11-01,2004,1,11,CONFAZ12_IOFAC12,2004-11-01T00:00:00-03:00,800.0
2004-12-01,2004,1,12,CONFAZ12_IOFAC12,2004-12-01T00:00:00-02:00,406.0
2005-01-01,2005,1,1,CONFAZ12_IOFAC12,2005-01-01T00:00:00-02:00,432.0
2005-02-01,2005,1,2,CONFAZ12_IOFAC12,2005-02-01T00:00:00-02:00,531.0
2005-03-01,2005,1,3,CONFAZ12_IOFAC12,2005-03-01T00:00:00-03:00,332.0
2005-04-01,2005,1,4,CONFAZ12_IOFAC12,2005-04-01T00:00:00-03:00,119.0
2005-05-01,2005,1,5,CONFAZ12_IOFAC12,2005-05-01T00:00:00-03:00,511.0
2005-06-01,2005,1,6,CONFAZ12_IOFAC12,2005-06-01T00:00:00-03:00,252.0
2005-07-01,2005,1,7,CONFAZ12_IOFAC12,2005-07-01T00:00:00-03:00,376.0
2005-08-01,2005,1,8,CONFAZ12_IOFAC12,2005-08-01T00:00:00-03:00,67.0
2005-09-01,2005,1,9,CONFAZ12_IOFAC12,2005-09-01T00:00:00-03:00,38.0
2005-10-01,2005,1,10,CONFAZ12_IOFAC12,2005-10-01T00:00:00-03:00,208.0
2005-11-01,2005,1,11,CONFAZ12_IOFAC12,2005-11-01T00:00:00-02:00,-242.0
2005-12-01,2005,1,12,CONFAZ12_IOFAC12,2005-12-01T00:00:00-02:00,35.0
2006-01-01,2006,1,1,CONFAZ12_IOFAC12,2006-01-01T00:00:00-02:00,35.0
2006-02-01,2006,1,2,CONFAZ12_IOFAC12,2006-02-01T00:00:00-02:00,26.0
2006-03-01,2006,1,3,CONFAZ12_IOFAC12,2006-03-01T00:00:00-03:00,300.0
2006-04-01,2006,1,4,CONFAZ12_IOFAC12,2006-04-01T00:00:00-03:00,58.0
2006-05-01,2006,1,5,CONFAZ12_IOFAC12,2006-05-01T00:00:00-03:00,40.0
2006-06-01,2006,1,6,CONFAZ12_IOFAC12,2006-06-01T00:00:00-03:00,36.0
2006-07-01,2006,1,7,CONFAZ12_IOFAC12,2006-07-01T00:00:00-03:00,164.0
2006-08-01,2006,1,8,CONFAZ12_IOFAC12,2006-08-01T00:00:00-03:00,17.0
2006-09-01,2006,1,9,CONFAZ12_IOFAC12,2006-09-01T00:00:00-03:00,67.0
2006-10-01,2006,1,10,CONFAZ12_IOFAC12,2006-10-01T00:00:00-03:00,1124.0
2006-11-01,2006,1,11,CONFAZ12_IOFAC12,2006-11-01T00:00:00-03:00,4.0
