DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IOFAL12,1993-01-01T00:00:00-02:00,228392.0
1993-02-01,1993,1,2,CONFAZ12_IOFAL12,1993-02-01T00:00:00-02:00,402720.0
1993-03-01,1993,1,3,CONFAZ12_IOFAL12,1993-03-01T00:00:00-03:00,399880.0
1993-04-01,1993,1,4,CONFAZ12_IOFAL12,1993-04-01T00:00:00-03:00,268229.0
1993-05-01,1993,1,5,CONFAZ12_IOFAL12,1993-05-01T00:00:00-03:00,236324.0
1993-06-01,1993,1,6,CONFAZ12_IOFAL12,1993-06-01T00:00:00-03:00,227667.0
1993-07-01,1993,1,7,CONFAZ12_IOFAL12,1993-07-01T00:00:00-03:00,258691.0
1993-08-01,1993,1,8,CONFAZ12_IOFAL12,1993-08-01T00:00:00-03:00,223582.0
1993-09-01,1993,1,9,CONFAZ12_IOFAL12,1993-09-01T00:00:00-03:00,214841.0
1993-10-01,1993,1,10,CONFAZ12_IOFAL12,1993-10-01T00:00:00-03:00,263137.0
1993-11-01,1993,1,11,CONFAZ12_IOFAL12,1993-11-01T00:00:00-03:00,297762.0
1993-12-01,1993,1,12,CONFAZ12_IOFAL12,1993-12-01T00:00:00-02:00,381900.0
1994-01-01,1994,1,1,CONFAZ12_IOFAL12,1994-01-01T00:00:00-02:00,461555.0
1994-02-01,1994,1,2,CONFAZ12_IOFAL12,1994-02-01T00:00:00-02:00,441534.0
1994-03-01,1994,1,3,CONFAZ12_IOFAL12,1994-03-01T00:00:00-03:00,464366.0
1994-04-01,1994,1,4,CONFAZ12_IOFAL12,1994-04-01T00:00:00-03:00,425445.0
1994-05-01,1994,1,5,CONFAZ12_IOFAL12,1994-05-01T00:00:00-03:00,486513.0
1994-06-01,1994,1,6,CONFAZ12_IOFAL12,1994-06-01T00:00:00-03:00,485473.0
1994-07-01,1994,1,7,CONFAZ12_IOFAL12,1994-07-01T00:00:00-03:00,194673.0
1994-08-01,1994,1,8,CONFAZ12_IOFAL12,1994-08-01T00:00:00-03:00,102418.0
1994-09-01,1994,1,9,CONFAZ12_IOFAL12,1994-09-01T00:00:00-03:00,171261.0
1994-10-01,1994,1,10,CONFAZ12_IOFAL12,1994-10-01T00:00:00-03:00,208399.0
1994-11-01,1994,1,11,CONFAZ12_IOFAL12,1994-11-01T00:00:00-03:00,192703.0
1994-12-01,1994,1,12,CONFAZ12_IOFAL12,1994-12-01T00:00:00-02:00,186254.0
1995-01-01,1995,1,1,CONFAZ12_IOFAL12,1995-01-01T00:00:00-02:00,185103.0
1995-02-01,1995,1,2,CONFAZ12_IOFAL12,1995-02-01T00:00:00-02:00,194534.0
1995-03-01,1995,1,3,CONFAZ12_IOFAL12,1995-03-01T00:00:00-03:00,166788.0
1995-04-01,1995,1,4,CONFAZ12_IOFAL12,1995-04-01T00:00:00-03:00,223072.0
1995-05-01,1995,1,5,CONFAZ12_IOFAL12,1995-05-01T00:00:00-03:00,281829.0
1995-06-01,1995,1,6,CONFAZ12_IOFAL12,1995-06-01T00:00:00-03:00,487884.0
1995-07-01,1995,1,7,CONFAZ12_IOFAL12,1995-07-01T00:00:00-03:00,580248.0
1995-08-01,1995,1,8,CONFAZ12_IOFAL12,1995-08-01T00:00:00-03:00,1196377.0
1995-09-01,1995,1,9,CONFAZ12_IOFAL12,1995-09-01T00:00:00-03:00,583260.0
1995-10-01,1995,1,10,CONFAZ12_IOFAL12,1995-10-01T00:00:00-03:00,408566.0
1995-11-01,1995,1,11,CONFAZ12_IOFAL12,1995-11-01T00:00:00-03:00,410363.0
1995-12-01,1995,1,12,CONFAZ12_IOFAL12,1995-12-01T00:00:00-02:00,337331.0
1996-01-01,1996,1,1,CONFAZ12_IOFAL12,1996-01-01T00:00:00-02:00,365138.0
1996-02-01,1996,1,2,CONFAZ12_IOFAL12,1996-02-01T00:00:00-02:00,264994.0
1996-03-01,1996,1,3,CONFAZ12_IOFAL12,1996-03-01T00:00:00-03:00,230085.0
1996-04-01,1996,1,4,CONFAZ12_IOFAL12,1996-04-01T00:00:00-03:00,243035.0
1996-05-01,1996,1,5,CONFAZ12_IOFAL12,1996-05-01T00:00:00-03:00,253578.0
1996-06-01,1996,1,6,CONFAZ12_IOFAL12,1996-06-01T00:00:00-03:00,221938.0
1996-07-01,1996,1,7,CONFAZ12_IOFAL12,1996-07-01T00:00:00-03:00,182744.0
1996-08-01,1996,1,8,CONFAZ12_IOFAL12,1996-08-01T00:00:00-03:00,211018.0
1996-09-01,1996,1,9,CONFAZ12_IOFAL12,1996-09-01T00:00:00-03:00,193746.0
1996-10-01,1996,1,10,CONFAZ12_IOFAL12,1996-10-01T00:00:00-03:00,206433.0
1996-11-01,1996,1,11,CONFAZ12_IOFAL12,1996-11-01T00:00:00-03:00,174860.0
1996-12-01,1996,1,12,CONFAZ12_IOFAL12,1996-12-01T00:00:00-02:00,139028.0
1997-01-01,1997,1,1,CONFAZ12_IOFAL12,1997-01-01T00:00:00-02:00,93788.0
1997-02-01,1997,1,2,CONFAZ12_IOFAL12,1997-02-01T00:00:00-02:00,24552.0
1997-03-01,1997,1,3,CONFAZ12_IOFAL12,1997-03-01T00:00:00-03:00,20603.0
1997-04-01,1997,1,4,CONFAZ12_IOFAL12,1997-04-01T00:00:00-03:00,27078.0
1997-05-01,1997,1,5,CONFAZ12_IOFAL12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IOFAL12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IOFAL12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IOFAL12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IOFAL12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_IOFAL12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_IOFAL12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_IOFAL12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_IOFAL12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_IOFAL12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_IOFAL12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_IOFAL12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_IOFAL12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_IOFAL12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_IOFAL12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_IOFAL12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_IOFAL12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_IOFAL12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_IOFAL12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_IOFAL12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_IOFAL12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_IOFAL12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_IOFAL12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_IOFAL12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_IOFAL12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_IOFAL12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_IOFAL12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_IOFAL12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_IOFAL12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_IOFAL12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_IOFAL12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_IOFAL12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_IOFAL12,2000-01-01T00:00:00-02:00,26939.0
2000-02-01,2000,1,2,CONFAZ12_IOFAL12,2000-02-01T00:00:00-02:00,7670.0
2000-03-01,2000,1,3,CONFAZ12_IOFAL12,2000-03-01T00:00:00-03:00,12043.0
2000-04-01,2000,1,4,CONFAZ12_IOFAL12,2000-04-01T00:00:00-03:00,6371.0
2000-05-01,2000,1,5,CONFAZ12_IOFAL12,2000-05-01T00:00:00-03:00,8852.0
2000-06-01,2000,1,6,CONFAZ12_IOFAL12,2000-06-01T00:00:00-03:00,7049.0
2000-07-01,2000,1,7,CONFAZ12_IOFAL12,2000-07-01T00:00:00-03:00,14283.0
2000-08-01,2000,1,8,CONFAZ12_IOFAL12,2000-08-01T00:00:00-03:00,12491.0
2000-09-01,2000,1,9,CONFAZ12_IOFAL12,2000-09-01T00:00:00-03:00,7204.0
2000-10-01,2000,1,10,CONFAZ12_IOFAL12,2000-10-01T00:00:00-03:00,7299.0
2000-11-01,2000,1,11,CONFAZ12_IOFAL12,2000-11-01T00:00:00-03:00,23396.0
2000-12-01,2000,1,12,CONFAZ12_IOFAL12,2000-12-01T00:00:00-02:00,14013.0
2001-01-01,2001,1,1,CONFAZ12_IOFAL12,2001-01-01T00:00:00-02:00,23907.0
2001-02-01,2001,1,2,CONFAZ12_IOFAL12,2001-02-01T00:00:00-02:00,8777.0
2001-03-01,2001,1,3,CONFAZ12_IOFAL12,2001-03-01T00:00:00-03:00,10677.0
2001-04-01,2001,1,4,CONFAZ12_IOFAL12,2001-04-01T00:00:00-03:00,12515.0
2001-05-01,2001,1,5,CONFAZ12_IOFAL12,2001-05-01T00:00:00-03:00,24474.0
2001-06-01,2001,1,6,CONFAZ12_IOFAL12,2001-06-01T00:00:00-03:00,12288.0
2001-07-01,2001,1,7,CONFAZ12_IOFAL12,2001-07-01T00:00:00-03:00,15074.0
2001-08-01,2001,1,8,CONFAZ12_IOFAL12,2001-08-01T00:00:00-03:00,14821.0
2001-09-01,2001,1,9,CONFAZ12_IOFAL12,2001-09-01T00:00:00-03:00,13817.0
2001-10-01,2001,1,10,CONFAZ12_IOFAL12,2001-10-01T00:00:00-03:00,16695.0
2001-11-01,2001,1,11,CONFAZ12_IOFAL12,2001-11-01T00:00:00-03:00,17887.0
2001-12-01,2001,1,12,CONFAZ12_IOFAL12,2001-12-01T00:00:00-02:00,13122.0
2002-01-01,2002,1,1,CONFAZ12_IOFAL12,2002-01-01T00:00:00-02:00,13731.0
2002-02-01,2002,1,2,CONFAZ12_IOFAL12,2002-02-01T00:00:00-02:00,31584.0
2002-03-01,2002,1,3,CONFAZ12_IOFAL12,2002-03-01T00:00:00-03:00,12909.0
2002-04-01,2002,1,4,CONFAZ12_IOFAL12,2002-04-01T00:00:00-03:00,12309.0
2002-05-01,2002,1,5,CONFAZ12_IOFAL12,2002-05-01T00:00:00-03:00,20211.0
2002-06-01,2002,1,6,CONFAZ12_IOFAL12,2002-06-01T00:00:00-03:00,58991.0
2002-07-01,2002,1,7,CONFAZ12_IOFAL12,2002-07-01T00:00:00-03:00,6235.0
2002-08-01,2002,1,8,CONFAZ12_IOFAL12,2002-08-01T00:00:00-03:00,63954.0
2002-09-01,2002,1,9,CONFAZ12_IOFAL12,2002-09-01T00:00:00-03:00,64019.0
2002-10-01,2002,1,10,CONFAZ12_IOFAL12,2002-10-01T00:00:00-03:00,65818.0
2002-11-01,2002,1,11,CONFAZ12_IOFAL12,2002-11-01T00:00:00-03:00,7057.0
2002-12-01,2002,1,12,CONFAZ12_IOFAL12,2002-12-01T00:00:00-02:00,68227.0
2003-01-01,2003,1,1,CONFAZ12_IOFAL12,2003-01-01T00:00:00-02:00,66088.0
2003-02-01,2003,1,2,CONFAZ12_IOFAL12,2003-02-01T00:00:00-02:00,77083.0
2003-03-01,2003,1,3,CONFAZ12_IOFAL12,2003-03-01T00:00:00-03:00,66686.0
2003-04-01,2003,1,4,CONFAZ12_IOFAL12,2003-04-01T00:00:00-03:00,73038.0
2003-05-01,2003,1,5,CONFAZ12_IOFAL12,2003-05-01T00:00:00-03:00,70467.0
2003-06-01,2003,1,6,CONFAZ12_IOFAL12,2003-06-01T00:00:00-03:00,70878.0
2003-07-01,2003,1,7,CONFAZ12_IOFAL12,2003-07-01T00:00:00-03:00,74693.0
2003-08-01,2003,1,8,CONFAZ12_IOFAL12,2003-08-01T00:00:00-03:00,73996.0
2003-09-01,2003,1,9,CONFAZ12_IOFAL12,2003-09-01T00:00:00-03:00,74149.0
2003-10-01,2003,1,10,CONFAZ12_IOFAL12,2003-10-01T00:00:00-03:00,73688.0
2003-11-01,2003,1,11,CONFAZ12_IOFAL12,2003-11-01T00:00:00-03:00,78549.0
2003-12-01,2003,1,12,CONFAZ12_IOFAL12,2003-12-01T00:00:00-02:00,76720.0
2004-01-01,2004,1,1,CONFAZ12_IOFAL12,2004-01-01T00:00:00-02:00,77449.0
2004-02-01,2004,1,2,CONFAZ12_IOFAL12,2004-02-01T00:00:00-02:00,32649.0
2004-03-01,2004,1,3,CONFAZ12_IOFAL12,2004-03-01T00:00:00-03:00,49491.0
2004-04-01,2004,1,4,CONFAZ12_IOFAL12,2004-04-01T00:00:00-03:00,66816.0
2004-05-01,2004,1,5,CONFAZ12_IOFAL12,2004-05-01T00:00:00-03:00,50301.0
2004-06-01,2004,1,6,CONFAZ12_IOFAL12,2004-06-01T00:00:00-03:00,46494.0
2004-07-01,2004,1,7,CONFAZ12_IOFAL12,2004-07-01T00:00:00-03:00,28146.0
2004-08-01,2004,1,8,CONFAZ12_IOFAL12,2004-08-01T00:00:00-03:00,30361.0
2004-09-01,2004,1,9,CONFAZ12_IOFAL12,2004-09-01T00:00:00-03:00,30398.0
2004-10-01,2004,1,10,CONFAZ12_IOFAL12,2004-10-01T00:00:00-03:00,32461.0
2004-11-01,2004,1,11,CONFAZ12_IOFAL12,2004-11-01T00:00:00-03:00,28331.0
2004-12-01,2004,1,12,CONFAZ12_IOFAL12,2004-12-01T00:00:00-02:00,33632.0
2005-01-01,2005,1,1,CONFAZ12_IOFAL12,2005-01-01T00:00:00-02:00,44308.0
2005-02-01,2005,1,2,CONFAZ12_IOFAL12,2005-02-01T00:00:00-02:00,28313.0
2005-03-01,2005,1,3,CONFAZ12_IOFAL12,2005-03-01T00:00:00-03:00,35107.0
2005-04-01,2005,1,4,CONFAZ12_IOFAL12,2005-04-01T00:00:00-03:00,34184.0
2005-05-01,2005,1,5,CONFAZ12_IOFAL12,2005-05-01T00:00:00-03:00,29994.0
2005-06-01,2005,1,6,CONFAZ12_IOFAL12,2005-06-01T00:00:00-03:00,33753.0
2005-07-01,2005,1,7,CONFAZ12_IOFAL12,2005-07-01T00:00:00-03:00,30711.0
2005-08-01,2005,1,8,CONFAZ12_IOFAL12,2005-08-01T00:00:00-03:00,32434.0
2005-09-01,2005,1,9,CONFAZ12_IOFAL12,2005-09-01T00:00:00-03:00,202500.0
2005-10-01,2005,1,10,CONFAZ12_IOFAL12,2005-10-01T00:00:00-03:00,195001.0
2005-11-01,2005,1,11,CONFAZ12_IOFAL12,2005-11-01T00:00:00-02:00,39382.0
2005-12-01,2005,1,12,CONFAZ12_IOFAL12,2005-12-01T00:00:00-02:00,392954.0
2006-01-01,2006,1,1,CONFAZ12_IOFAL12,2006-01-01T00:00:00-02:00,189405.0
