DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IOFAM12,1993-01-01T00:00:00-02:00,169583.0
1993-02-01,1993,1,2,CONFAZ12_IOFAM12,1993-02-01T00:00:00-02:00,129673.0
1993-03-01,1993,1,3,CONFAZ12_IOFAM12,1993-03-01T00:00:00-03:00,356145.0
1993-04-01,1993,1,4,CONFAZ12_IOFAM12,1993-04-01T00:00:00-03:00,270412.0
1993-05-01,1993,1,5,CONFAZ12_IOFAM12,1993-05-01T00:00:00-03:00,223440.0
1993-06-01,1993,1,6,CONFAZ12_IOFAM12,1993-06-01T00:00:00-03:00,230627.0
1993-07-01,1993,1,7,CONFAZ12_IOFAM12,1993-07-01T00:00:00-03:00,250366.0
1993-08-01,1993,1,8,CONFAZ12_IOFAM12,1993-08-01T00:00:00-03:00,274068.0
1993-09-01,1993,1,9,CONFAZ12_IOFAM12,1993-09-01T00:00:00-03:00,502435.0
1993-10-01,1993,1,10,CONFAZ12_IOFAM12,1993-10-01T00:00:00-03:00,345796.0
1993-11-01,1993,1,11,CONFAZ12_IOFAM12,1993-11-01T00:00:00-03:00,387600.0
1993-12-01,1993,1,12,CONFAZ12_IOFAM12,1993-12-01T00:00:00-02:00,440670.0
1994-01-01,1994,1,1,CONFAZ12_IOFAM12,1994-01-01T00:00:00-02:00,480851.0
1994-02-01,1994,1,2,CONFAZ12_IOFAM12,1994-02-01T00:00:00-02:00,479402.0
1994-03-01,1994,1,3,CONFAZ12_IOFAM12,1994-03-01T00:00:00-03:00,430963.0
1994-04-01,1994,1,4,CONFAZ12_IOFAM12,1994-04-01T00:00:00-03:00,411431.0
1994-05-01,1994,1,5,CONFAZ12_IOFAM12,1994-05-01T00:00:00-03:00,363488.0
1994-06-01,1994,1,6,CONFAZ12_IOFAM12,1994-06-01T00:00:00-03:00,503012.0
1994-07-01,1994,1,7,CONFAZ12_IOFAM12,1994-07-01T00:00:00-03:00,491548.0
1994-08-01,1994,1,8,CONFAZ12_IOFAM12,1994-08-01T00:00:00-03:00,383566.0
1994-09-01,1994,1,9,CONFAZ12_IOFAM12,1994-09-01T00:00:00-03:00,204585.0
1994-10-01,1994,1,10,CONFAZ12_IOFAM12,1994-10-01T00:00:00-03:00,1407543.0
1994-11-01,1994,1,11,CONFAZ12_IOFAM12,1994-11-01T00:00:00-03:00,1857106.0
1994-12-01,1994,1,12,CONFAZ12_IOFAM12,1994-12-01T00:00:00-02:00,267483.0
1995-01-01,1995,1,1,CONFAZ12_IOFAM12,1995-01-01T00:00:00-02:00,613183.0
1995-02-01,1995,1,2,CONFAZ12_IOFAM12,1995-02-01T00:00:00-02:00,184015.0
1995-03-01,1995,1,3,CONFAZ12_IOFAM12,1995-03-01T00:00:00-03:00,245353.0
1995-04-01,1995,1,4,CONFAZ12_IOFAM12,1995-04-01T00:00:00-03:00,628759.0
1995-05-01,1995,1,5,CONFAZ12_IOFAM12,1995-05-01T00:00:00-03:00,3228283.0
1995-06-01,1995,1,6,CONFAZ12_IOFAM12,1995-06-01T00:00:00-03:00,352860.0
1995-07-01,1995,1,7,CONFAZ12_IOFAM12,1995-07-01T00:00:00-03:00,426429.0
1995-08-01,1995,1,8,CONFAZ12_IOFAM12,1995-08-01T00:00:00-03:00,639915.0
1995-09-01,1995,1,9,CONFAZ12_IOFAM12,1995-09-01T00:00:00-03:00,642529.0
1995-10-01,1995,1,10,CONFAZ12_IOFAM12,1995-10-01T00:00:00-03:00,926878.0
1995-11-01,1995,1,11,CONFAZ12_IOFAM12,1995-11-01T00:00:00-03:00,395338.0
1995-12-01,1995,1,12,CONFAZ12_IOFAM12,1995-12-01T00:00:00-02:00,1133410.0
1996-01-01,1996,1,1,CONFAZ12_IOFAM12,1996-01-01T00:00:00-02:00,416781.0
1996-02-01,1996,1,2,CONFAZ12_IOFAM12,1996-02-01T00:00:00-02:00,264207.0
1996-03-01,1996,1,3,CONFAZ12_IOFAM12,1996-03-01T00:00:00-03:00,231590.0
1996-04-01,1996,1,4,CONFAZ12_IOFAM12,1996-04-01T00:00:00-03:00,260522.0
1996-05-01,1996,1,5,CONFAZ12_IOFAM12,1996-05-01T00:00:00-03:00,207716.0
1996-06-01,1996,1,6,CONFAZ12_IOFAM12,1996-06-01T00:00:00-03:00,168761.0
1996-07-01,1996,1,7,CONFAZ12_IOFAM12,1996-07-01T00:00:00-03:00,358430.0
1996-08-01,1996,1,8,CONFAZ12_IOFAM12,1996-08-01T00:00:00-03:00,466812.0
1996-09-01,1996,1,9,CONFAZ12_IOFAM12,1996-09-01T00:00:00-03:00,409724.0
1996-10-01,1996,1,10,CONFAZ12_IOFAM12,1996-10-01T00:00:00-03:00,229578.0
1996-11-01,1996,1,11,CONFAZ12_IOFAM12,1996-11-01T00:00:00-03:00,523590.0
1996-12-01,1996,1,12,CONFAZ12_IOFAM12,1996-12-01T00:00:00-02:00,225987.0
1997-01-01,1997,1,1,CONFAZ12_IOFAM12,1997-01-01T00:00:00-02:00,182140.0
1997-02-01,1997,1,2,CONFAZ12_IOFAM12,1997-02-01T00:00:00-02:00,164794.0
1997-03-01,1997,1,3,CONFAZ12_IOFAM12,1997-03-01T00:00:00-03:00,610130.0
1997-04-01,1997,1,4,CONFAZ12_IOFAM12,1997-04-01T00:00:00-03:00,345968.0
1997-05-01,1997,1,5,CONFAZ12_IOFAM12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IOFAM12,1997-06-01T00:00:00-03:00,
