DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IOFPE12,1993-01-01T00:00:00-02:00,2397481.0
1993-02-01,1993,1,2,CONFAZ12_IOFPE12,1993-02-01T00:00:00-02:00,2207728.0
1993-03-01,1993,1,3,CONFAZ12_IOFPE12,1993-03-01T00:00:00-03:00,2159186.0
1993-04-01,1993,1,4,CONFAZ12_IOFPE12,1993-04-01T00:00:00-03:00,2313421.0
1993-05-01,1993,1,5,CONFAZ12_IOFPE12,1993-05-01T00:00:00-03:00,2055343.0
1993-06-01,1993,1,6,CONFAZ12_IOFPE12,1993-06-01T00:00:00-03:00,2345359.0
1993-07-01,1993,1,7,CONFAZ12_IOFPE12,1993-07-01T00:00:00-03:00,2425242.0
1993-08-01,1993,1,8,CONFAZ12_IOFPE12,1993-08-01T00:00:00-03:00,2537632.0
1993-09-01,1993,1,9,CONFAZ12_IOFPE12,1993-09-01T00:00:00-03:00,2557814.0
1993-10-01,1993,1,10,CONFAZ12_IOFPE12,1993-10-01T00:00:00-03:00,2550566.0
1993-11-01,1993,1,11,CONFAZ12_IOFPE12,1993-11-01T00:00:00-03:00,3303177.0
1993-12-01,1993,1,12,CONFAZ12_IOFPE12,1993-12-01T00:00:00-02:00,4089499.0
1994-01-01,1994,1,1,CONFAZ12_IOFPE12,1994-01-01T00:00:00-02:00,3814990.0
1994-02-01,1994,1,2,CONFAZ12_IOFPE12,1994-02-01T00:00:00-02:00,3519237.0
1994-03-01,1994,1,3,CONFAZ12_IOFPE12,1994-03-01T00:00:00-03:00,3414190.0
1994-04-01,1994,1,4,CONFAZ12_IOFPE12,1994-04-01T00:00:00-03:00,3118075.0
1994-05-01,1994,1,5,CONFAZ12_IOFPE12,1994-05-01T00:00:00-03:00,3176064.0
1994-06-01,1994,1,6,CONFAZ12_IOFPE12,1994-06-01T00:00:00-03:00,3569684.0
1994-07-01,1994,1,7,CONFAZ12_IOFPE12,1994-07-01T00:00:00-03:00,3661675.0
1994-08-01,1994,1,8,CONFAZ12_IOFPE12,1994-08-01T00:00:00-03:00,1519745.0
1994-09-01,1994,1,9,CONFAZ12_IOFPE12,1994-09-01T00:00:00-03:00,2527397.0
1994-10-01,1994,1,10,CONFAZ12_IOFPE12,1994-10-01T00:00:00-03:00,2552184.0
1994-11-01,1994,1,11,CONFAZ12_IOFPE12,1994-11-01T00:00:00-03:00,2607116.0
1994-12-01,1994,1,12,CONFAZ12_IOFPE12,1994-12-01T00:00:00-02:00,2537699.0
1995-01-01,1995,1,1,CONFAZ12_IOFPE12,1995-01-01T00:00:00-02:00,1974686.0
1995-02-01,1995,1,2,CONFAZ12_IOFPE12,1995-02-01T00:00:00-02:00,2245605.0
1995-03-01,1995,1,3,CONFAZ12_IOFPE12,1995-03-01T00:00:00-03:00,2510132.0
1995-04-01,1995,1,4,CONFAZ12_IOFPE12,1995-04-01T00:00:00-03:00,2173912.0
1995-05-01,1995,1,5,CONFAZ12_IOFPE12,1995-05-01T00:00:00-03:00,2942651.0
1995-06-01,1995,1,6,CONFAZ12_IOFPE12,1995-06-01T00:00:00-03:00,4081851.0
1995-07-01,1995,1,7,CONFAZ12_IOFPE12,1995-07-01T00:00:00-03:00,4862161.0
1995-08-01,1995,1,8,CONFAZ12_IOFPE12,1995-08-01T00:00:00-03:00,5414273.0
1995-09-01,1995,1,9,CONFAZ12_IOFPE12,1995-09-01T00:00:00-03:00,4484558.0
1995-10-01,1995,1,10,CONFAZ12_IOFPE12,1995-10-01T00:00:00-03:00,3247132.0
1995-11-01,1995,1,11,CONFAZ12_IOFPE12,1995-11-01T00:00:00-03:00,3529856.0
1995-12-01,1995,1,12,CONFAZ12_IOFPE12,1995-12-01T00:00:00-02:00,3176197.0
1996-01-01,1996,1,1,CONFAZ12_IOFPE12,1996-01-01T00:00:00-02:00,2636287.0
1996-02-01,1996,1,2,CONFAZ12_IOFPE12,1996-02-01T00:00:00-02:00,2179703.0
1996-03-01,1996,1,3,CONFAZ12_IOFPE12,1996-03-01T00:00:00-03:00,2019980.0
1996-04-01,1996,1,4,CONFAZ12_IOFPE12,1996-04-01T00:00:00-03:00,1809498.0
1996-05-01,1996,1,5,CONFAZ12_IOFPE12,1996-05-01T00:00:00-03:00,3111112.0
1996-06-01,1996,1,6,CONFAZ12_IOFPE12,1996-06-01T00:00:00-03:00,15441740.0
1996-07-01,1996,1,7,CONFAZ12_IOFPE12,1996-07-01T00:00:00-03:00,2115271.0
1996-08-01,1996,1,8,CONFAZ12_IOFPE12,1996-08-01T00:00:00-03:00,507552.0
1996-09-01,1996,1,9,CONFAZ12_IOFPE12,1996-09-01T00:00:00-03:00,1198016.0
1996-10-01,1996,1,10,CONFAZ12_IOFPE12,1996-10-01T00:00:00-03:00,935302.0
1996-11-01,1996,1,11,CONFAZ12_IOFPE12,1996-11-01T00:00:00-03:00,699098.0
1996-12-01,1996,1,12,CONFAZ12_IOFPE12,1996-12-01T00:00:00-02:00,1985098.0
1997-01-01,1997,1,1,CONFAZ12_IOFPE12,1997-01-01T00:00:00-02:00,724639.0
1997-02-01,1997,1,2,CONFAZ12_IOFPE12,1997-02-01T00:00:00-02:00,350354.0
1997-03-01,1997,1,3,CONFAZ12_IOFPE12,1997-03-01T00:00:00-03:00,621244.0
1997-04-01,1997,1,4,CONFAZ12_IOFPE12,1997-04-01T00:00:00-03:00,384587.0
1997-05-01,1997,1,5,CONFAZ12_IOFPE12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IOFPE12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IOFPE12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IOFPE12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IOFPE12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_IOFPE12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_IOFPE12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_IOFPE12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_IOFPE12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_IOFPE12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_IOFPE12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_IOFPE12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_IOFPE12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_IOFPE12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_IOFPE12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_IOFPE12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_IOFPE12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_IOFPE12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_IOFPE12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_IOFPE12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_IOFPE12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_IOFPE12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_IOFPE12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_IOFPE12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_IOFPE12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_IOFPE12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_IOFPE12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_IOFPE12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_IOFPE12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_IOFPE12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_IOFPE12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_IOFPE12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_IOFPE12,2000-01-01T00:00:00-02:00,519577.0
2000-02-01,2000,1,2,CONFAZ12_IOFPE12,2000-02-01T00:00:00-02:00,580534.0
2000-03-01,2000,1,3,CONFAZ12_IOFPE12,2000-03-01T00:00:00-03:00,862310.0
2000-04-01,2000,1,4,CONFAZ12_IOFPE12,2000-04-01T00:00:00-03:00,801417.0
2000-05-01,2000,1,5,CONFAZ12_IOFPE12,2000-05-01T00:00:00-03:00,792661.0
2000-06-01,2000,1,6,CONFAZ12_IOFPE12,2000-06-01T00:00:00-03:00,760677.0
2000-07-01,2000,1,7,CONFAZ12_IOFPE12,2000-07-01T00:00:00-03:00,688000.0
2000-08-01,2000,1,8,CONFAZ12_IOFPE12,2000-08-01T00:00:00-03:00,689377.0
2000-09-01,2000,1,9,CONFAZ12_IOFPE12,2000-09-01T00:00:00-03:00,679283.0
2000-10-01,2000,1,10,CONFAZ12_IOFPE12,2000-10-01T00:00:00-03:00,704512.0
2000-11-01,2000,1,11,CONFAZ12_IOFPE12,2000-11-01T00:00:00-03:00,605915.0
2000-12-01,2000,1,12,CONFAZ12_IOFPE12,2000-12-01T00:00:00-02:00,856298.0
2001-01-01,2001,1,1,CONFAZ12_IOFPE12,2001-01-01T00:00:00-02:00,819001.0
2001-02-01,2001,1,2,CONFAZ12_IOFPE12,2001-02-01T00:00:00-02:00,843221.0
2001-03-01,2001,1,3,CONFAZ12_IOFPE12,2001-03-01T00:00:00-03:00,885757.0
2001-04-01,2001,1,4,CONFAZ12_IOFPE12,2001-04-01T00:00:00-03:00,762018.0
2001-05-01,2001,1,5,CONFAZ12_IOFPE12,2001-05-01T00:00:00-03:00,1298288.0
2001-06-01,2001,1,6,CONFAZ12_IOFPE12,2001-06-01T00:00:00-03:00,868328.0
2001-07-01,2001,1,7,CONFAZ12_IOFPE12,2001-07-01T00:00:00-03:00,829850.0
2001-08-01,2001,1,8,CONFAZ12_IOFPE12,2001-08-01T00:00:00-03:00,891202.0
2001-09-01,2001,1,9,CONFAZ12_IOFPE12,2001-09-01T00:00:00-03:00,876789.0
2001-10-01,2001,1,10,CONFAZ12_IOFPE12,2001-10-01T00:00:00-03:00,862668.0
2001-11-01,2001,1,11,CONFAZ12_IOFPE12,2001-11-01T00:00:00-03:00,858246.0
2001-12-01,2001,1,12,CONFAZ12_IOFPE12,2001-12-01T00:00:00-02:00,923417.0
2002-01-01,2002,1,1,CONFAZ12_IOFPE12,2002-01-01T00:00:00-02:00,1523123.0
2002-02-01,2002,1,2,CONFAZ12_IOFPE12,2002-02-01T00:00:00-02:00,924368.0
2002-03-01,2002,1,3,CONFAZ12_IOFPE12,2002-03-01T00:00:00-03:00,1118434.0
2002-04-01,2002,1,4,CONFAZ12_IOFPE12,2002-04-01T00:00:00-03:00,1025921.0
2002-05-01,2002,1,5,CONFAZ12_IOFPE12,2002-05-01T00:00:00-03:00,1074746.0
2002-06-01,2002,1,6,CONFAZ12_IOFPE12,2002-06-01T00:00:00-03:00,1202474.0
2002-07-01,2002,1,7,CONFAZ12_IOFPE12,2002-07-01T00:00:00-03:00,974262.0
2002-08-01,2002,1,8,CONFAZ12_IOFPE12,2002-08-01T00:00:00-03:00,926296.0
2002-09-01,2002,1,9,CONFAZ12_IOFPE12,2002-09-01T00:00:00-03:00,966966.0
2002-10-01,2002,1,10,CONFAZ12_IOFPE12,2002-10-01T00:00:00-03:00,1021961.0
2002-11-01,2002,1,11,CONFAZ12_IOFPE12,2002-11-01T00:00:00-03:00,892135.0
2002-12-01,2002,1,12,CONFAZ12_IOFPE12,2002-12-01T00:00:00-02:00,931854.0
2003-01-01,2003,1,1,CONFAZ12_IOFPE12,2003-01-01T00:00:00-02:00,1049576.0
2003-02-01,2003,1,2,CONFAZ12_IOFPE12,2003-02-01T00:00:00-02:00,1068326.0
2003-03-01,2003,1,3,CONFAZ12_IOFPE12,2003-03-01T00:00:00-03:00,1018106.0
2003-04-01,2003,1,4,CONFAZ12_IOFPE12,2003-04-01T00:00:00-03:00,1071993.0
2003-05-01,2003,1,5,CONFAZ12_IOFPE12,2003-05-01T00:00:00-03:00,973454.0
2003-06-01,2003,1,6,CONFAZ12_IOFPE12,2003-06-01T00:00:00-03:00,978187.0
2003-07-01,2003,1,7,CONFAZ12_IOFPE12,2003-07-01T00:00:00-03:00,1088183.0
2003-08-01,2003,1,8,CONFAZ12_IOFPE12,2003-08-01T00:00:00-03:00,888834.0
2003-09-01,2003,1,9,CONFAZ12_IOFPE12,2003-09-01T00:00:00-03:00,941285.0
2003-10-01,2003,1,10,CONFAZ12_IOFPE12,2003-10-01T00:00:00-03:00,1214841.0
2003-11-01,2003,1,11,CONFAZ12_IOFPE12,2003-11-01T00:00:00-03:00,1119735.0
2003-12-01,2003,1,12,CONFAZ12_IOFPE12,2003-12-01T00:00:00-02:00,1152526.0
2004-01-01,2004,1,1,CONFAZ12_IOFPE12,2004-01-01T00:00:00-02:00,1033602.0
2004-02-01,2004,1,2,CONFAZ12_IOFPE12,2004-02-01T00:00:00-02:00,1241349.0
2004-03-01,2004,1,3,CONFAZ12_IOFPE12,2004-03-01T00:00:00-03:00,1452469.0
