DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IOFSC12,1993-01-01T00:00:00-02:00,2118322.0
1993-02-01,1993,1,2,CONFAZ12_IOFSC12,1993-02-01T00:00:00-02:00,2251065.0
1993-03-01,1993,1,3,CONFAZ12_IOFSC12,1993-03-01T00:00:00-03:00,2698804.0
1993-04-01,1993,1,4,CONFAZ12_IOFSC12,1993-04-01T00:00:00-03:00,2908584.0
1993-05-01,1993,1,5,CONFAZ12_IOFSC12,1993-05-01T00:00:00-03:00,2489183.0
1993-06-01,1993,1,6,CONFAZ12_IOFSC12,1993-06-01T00:00:00-03:00,2484635.0
1993-07-01,1993,1,7,CONFAZ12_IOFSC12,1993-07-01T00:00:00-03:00,2588051.0
1993-08-01,1993,1,8,CONFAZ12_IOFSC12,1993-08-01T00:00:00-03:00,2717307.0
1993-09-01,1993,1,9,CONFAZ12_IOFSC12,1993-09-01T00:00:00-03:00,2718616.0
1993-10-01,1993,1,10,CONFAZ12_IOFSC12,1993-10-01T00:00:00-03:00,2480028.0
1993-11-01,1993,1,11,CONFAZ12_IOFSC12,1993-11-01T00:00:00-03:00,3050590.0
1993-12-01,1993,1,12,CONFAZ12_IOFSC12,1993-12-01T00:00:00-02:00,4467574.0
1994-01-01,1994,1,1,CONFAZ12_IOFSC12,1994-01-01T00:00:00-02:00,3958554.0
1994-02-01,1994,1,2,CONFAZ12_IOFSC12,1994-02-01T00:00:00-02:00,3005690.0
1994-03-01,1994,1,3,CONFAZ12_IOFSC12,1994-03-01T00:00:00-03:00,4789107.0
1994-04-01,1994,1,4,CONFAZ12_IOFSC12,1994-04-01T00:00:00-03:00,4483836.0
1994-05-01,1994,1,5,CONFAZ12_IOFSC12,1994-05-01T00:00:00-03:00,4594340.0
1994-06-01,1994,1,6,CONFAZ12_IOFSC12,1994-06-01T00:00:00-03:00,4604920.0
1994-07-01,1994,1,7,CONFAZ12_IOFSC12,1994-07-01T00:00:00-03:00,1858404.0
1994-08-01,1994,1,8,CONFAZ12_IOFSC12,1994-08-01T00:00:00-03:00,2180412.0
1994-09-01,1994,1,9,CONFAZ12_IOFSC12,1994-09-01T00:00:00-03:00,3826715.0
1994-10-01,1994,1,10,CONFAZ12_IOFSC12,1994-10-01T00:00:00-03:00,2302861.0
1994-11-01,1994,1,11,CONFAZ12_IOFSC12,1994-11-01T00:00:00-03:00,2448293.0
1994-12-01,1994,1,12,CONFAZ12_IOFSC12,1994-12-01T00:00:00-02:00,2266899.0
1995-01-01,1995,1,1,CONFAZ12_IOFSC12,1995-01-01T00:00:00-02:00,3321400.0
1995-02-01,1995,1,2,CONFAZ12_IOFSC12,1995-02-01T00:00:00-02:00,2555590.0
1995-03-01,1995,1,3,CONFAZ12_IOFSC12,1995-03-01T00:00:00-03:00,2149525.0
1995-04-01,1995,1,4,CONFAZ12_IOFSC12,1995-04-01T00:00:00-03:00,2119154.0
1995-05-01,1995,1,5,CONFAZ12_IOFSC12,1995-05-01T00:00:00-03:00,2694784.0
1995-06-01,1995,1,6,CONFAZ12_IOFSC12,1995-06-01T00:00:00-03:00,3968040.0
1995-07-01,1995,1,7,CONFAZ12_IOFSC12,1995-07-01T00:00:00-03:00,4673296.0
1995-08-01,1995,1,8,CONFAZ12_IOFSC12,1995-08-01T00:00:00-03:00,5816327.0
1995-09-01,1995,1,9,CONFAZ12_IOFSC12,1995-09-01T00:00:00-03:00,7511469.0
1995-10-01,1995,1,10,CONFAZ12_IOFSC12,1995-10-01T00:00:00-03:00,5851918.0
1995-11-01,1995,1,11,CONFAZ12_IOFSC12,1995-11-01T00:00:00-03:00,4918437.0
1995-12-01,1995,1,12,CONFAZ12_IOFSC12,1995-12-01T00:00:00-02:00,4272358.0
1996-01-01,1996,1,1,CONFAZ12_IOFSC12,1996-01-01T00:00:00-02:00,4119503.0
1996-02-01,1996,1,2,CONFAZ12_IOFSC12,1996-02-01T00:00:00-02:00,2692649.0
1996-03-01,1996,1,3,CONFAZ12_IOFSC12,1996-03-01T00:00:00-03:00,2539651.0
1996-04-01,1996,1,4,CONFAZ12_IOFSC12,1996-04-01T00:00:00-03:00,2401565.0
1996-05-01,1996,1,5,CONFAZ12_IOFSC12,1996-05-01T00:00:00-03:00,2963288.0
1996-06-01,1996,1,6,CONFAZ12_IOFSC12,1996-06-01T00:00:00-03:00,4014421.0
1996-07-01,1996,1,7,CONFAZ12_IOFSC12,1996-07-01T00:00:00-03:00,3497358.0
1996-08-01,1996,1,8,CONFAZ12_IOFSC12,1996-08-01T00:00:00-03:00,2319540.0
1996-09-01,1996,1,9,CONFAZ12_IOFSC12,1996-09-01T00:00:00-03:00,6113868.0
1996-10-01,1996,1,10,CONFAZ12_IOFSC12,1996-10-01T00:00:00-03:00,2713432.0
1996-11-01,1996,1,11,CONFAZ12_IOFSC12,1996-11-01T00:00:00-03:00,2275730.0
1996-12-01,1996,1,12,CONFAZ12_IOFSC12,1996-12-01T00:00:00-02:00,2962196.0
1997-01-01,1997,1,1,CONFAZ12_IOFSC12,1997-01-01T00:00:00-02:00,2347474.0
1997-02-01,1997,1,2,CONFAZ12_IOFSC12,1997-02-01T00:00:00-02:00,1924980.0
1997-03-01,1997,1,3,CONFAZ12_IOFSC12,1997-03-01T00:00:00-03:00,2217932.0
1997-04-01,1997,1,4,CONFAZ12_IOFSC12,1997-04-01T00:00:00-03:00,2491690.0
