DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IPIAC12,1993-01-01T00:00:00-02:00,221293.0
1993-02-01,1993,1,2,CONFAZ12_IPIAC12,1993-02-01T00:00:00-02:00,222773.0
1993-03-01,1993,1,3,CONFAZ12_IPIAC12,1993-03-01T00:00:00-03:00,106585.0
1993-04-01,1993,1,4,CONFAZ12_IPIAC12,1993-04-01T00:00:00-03:00,176815.0
1993-05-01,1993,1,5,CONFAZ12_IPIAC12,1993-05-01T00:00:00-03:00,153442.0
1993-06-01,1993,1,6,CONFAZ12_IPIAC12,1993-06-01T00:00:00-03:00,152082.0
1993-07-01,1993,1,7,CONFAZ12_IPIAC12,1993-07-01T00:00:00-03:00,155985.0
1993-08-01,1993,1,8,CONFAZ12_IPIAC12,1993-08-01T00:00:00-03:00,182961.0
1993-09-01,1993,1,9,CONFAZ12_IPIAC12,1993-09-01T00:00:00-03:00,152083.0
1993-10-01,1993,1,10,CONFAZ12_IPIAC12,1993-10-01T00:00:00-03:00,178443.0
1993-11-01,1993,1,11,CONFAZ12_IPIAC12,1993-11-01T00:00:00-03:00,171822.0
1993-12-01,1993,1,12,CONFAZ12_IPIAC12,1993-12-01T00:00:00-02:00,162098.0
1994-01-01,1994,1,1,CONFAZ12_IPIAC12,1994-01-01T00:00:00-02:00,112311.0
1994-02-01,1994,1,2,CONFAZ12_IPIAC12,1994-02-01T00:00:00-02:00,114970.0
1994-03-01,1994,1,3,CONFAZ12_IPIAC12,1994-03-01T00:00:00-03:00,106080.0
1994-04-01,1994,1,4,CONFAZ12_IPIAC12,1994-04-01T00:00:00-03:00,100999.0
1994-05-01,1994,1,5,CONFAZ12_IPIAC12,1994-05-01T00:00:00-03:00,100933.0
1994-06-01,1994,1,6,CONFAZ12_IPIAC12,1994-06-01T00:00:00-03:00,109254.0
1994-07-01,1994,1,7,CONFAZ12_IPIAC12,1994-07-01T00:00:00-03:00,122085.0
1994-08-01,1994,1,8,CONFAZ12_IPIAC12,1994-08-01T00:00:00-03:00,210325.0
1994-09-01,1994,1,9,CONFAZ12_IPIAC12,1994-09-01T00:00:00-03:00,197361.0
1994-10-01,1994,1,10,CONFAZ12_IPIAC12,1994-10-01T00:00:00-03:00,193003.0
