DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IPIAL12,1993-01-01T00:00:00-02:00,2622941.0
1993-02-01,1993,1,2,CONFAZ12_IPIAL12,1993-02-01T00:00:00-02:00,2704371.0
1993-03-01,1993,1,3,CONFAZ12_IPIAL12,1993-03-01T00:00:00-03:00,1923022.0
1993-04-01,1993,1,4,CONFAZ12_IPIAL12,1993-04-01T00:00:00-03:00,2796765.0
1993-05-01,1993,1,5,CONFAZ12_IPIAL12,1993-05-01T00:00:00-03:00,2131618.0
1993-06-01,1993,1,6,CONFAZ12_IPIAL12,1993-06-01T00:00:00-03:00,2191267.0
1993-07-01,1993,1,7,CONFAZ12_IPIAL12,1993-07-01T00:00:00-03:00,1867668.0
1993-08-01,1993,1,8,CONFAZ12_IPIAL12,1993-08-01T00:00:00-03:00,2018587.0
1993-09-01,1993,1,9,CONFAZ12_IPIAL12,1993-09-01T00:00:00-03:00,2325028.0
1993-10-01,1993,1,10,CONFAZ12_IPIAL12,1993-10-01T00:00:00-03:00,2219402.0
1993-11-01,1993,1,11,CONFAZ12_IPIAL12,1993-11-01T00:00:00-03:00,2791804.0
1993-12-01,1993,1,12,CONFAZ12_IPIAL12,1993-12-01T00:00:00-02:00,2420298.0
1994-01-01,1994,1,1,CONFAZ12_IPIAL12,1994-01-01T00:00:00-02:00,2241152.0
1994-02-01,1994,1,2,CONFAZ12_IPIAL12,1994-02-01T00:00:00-02:00,2046816.0
1994-03-01,1994,1,3,CONFAZ12_IPIAL12,1994-03-01T00:00:00-03:00,1996138.0
1994-04-01,1994,1,4,CONFAZ12_IPIAL12,1994-04-01T00:00:00-03:00,1992865.0
1994-05-01,1994,1,5,CONFAZ12_IPIAL12,1994-05-01T00:00:00-03:00,1310065.0
1994-06-01,1994,1,6,CONFAZ12_IPIAL12,1994-06-01T00:00:00-03:00,2518046.0
1994-07-01,1994,1,7,CONFAZ12_IPIAL12,1994-07-01T00:00:00-03:00,1640322.0
1994-08-01,1994,1,8,CONFAZ12_IPIAL12,1994-08-01T00:00:00-03:00,2020088.0
1994-09-01,1994,1,9,CONFAZ12_IPIAL12,1994-09-01T00:00:00-03:00,2571761.0
1994-10-01,1994,1,10,CONFAZ12_IPIAL12,1994-10-01T00:00:00-03:00,2535652.0
1994-11-01,1994,1,11,CONFAZ12_IPIAL12,1994-11-01T00:00:00-03:00,3353483.0
1994-12-01,1994,1,12,CONFAZ12_IPIAL12,1994-12-01T00:00:00-02:00,3829486.0
1995-01-01,1995,1,1,CONFAZ12_IPIAL12,1995-01-01T00:00:00-02:00,3800571.0
1995-02-01,1995,1,2,CONFAZ12_IPIAL12,1995-02-01T00:00:00-02:00,4098743.0
1995-03-01,1995,1,3,CONFAZ12_IPIAL12,1995-03-01T00:00:00-03:00,2993816.0
1995-04-01,1995,1,4,CONFAZ12_IPIAL12,1995-04-01T00:00:00-03:00,3121783.0
1995-05-01,1995,1,5,CONFAZ12_IPIAL12,1995-05-01T00:00:00-03:00,2351757.0
1995-06-01,1995,1,6,CONFAZ12_IPIAL12,1995-06-01T00:00:00-03:00,2986057.0
1995-07-01,1995,1,7,CONFAZ12_IPIAL12,1995-07-01T00:00:00-03:00,2491524.0
1995-08-01,1995,1,8,CONFAZ12_IPIAL12,1995-08-01T00:00:00-03:00,2897825.0
1995-09-01,1995,1,9,CONFAZ12_IPIAL12,1995-09-01T00:00:00-03:00,2473347.0
1995-10-01,1995,1,10,CONFAZ12_IPIAL12,1995-10-01T00:00:00-03:00,3005044.0
1995-11-01,1995,1,11,CONFAZ12_IPIAL12,1995-11-01T00:00:00-03:00,2618557.0
1995-12-01,1995,1,12,CONFAZ12_IPIAL12,1995-12-01T00:00:00-02:00,2727222.0
1996-01-01,1996,1,1,CONFAZ12_IPIAL12,1996-01-01T00:00:00-02:00,3177625.0
1996-02-01,1996,1,2,CONFAZ12_IPIAL12,1996-02-01T00:00:00-02:00,3507716.0
1996-03-01,1996,1,3,CONFAZ12_IPIAL12,1996-03-01T00:00:00-03:00,3136647.0
1996-04-01,1996,1,4,CONFAZ12_IPIAL12,1996-04-01T00:00:00-03:00,3183833.0
1996-05-01,1996,1,5,CONFAZ12_IPIAL12,1996-05-01T00:00:00-03:00,2893160.0
1996-06-01,1996,1,6,CONFAZ12_IPIAL12,1996-06-01T00:00:00-03:00,3255569.0
1996-07-01,1996,1,7,CONFAZ12_IPIAL12,1996-07-01T00:00:00-03:00,3060162.0
1996-08-01,1996,1,8,CONFAZ12_IPIAL12,1996-08-01T00:00:00-03:00,2899993.0
1996-09-01,1996,1,9,CONFAZ12_IPIAL12,1996-09-01T00:00:00-03:00,3528273.0
1996-10-01,1996,1,10,CONFAZ12_IPIAL12,1996-10-01T00:00:00-03:00,5982859.0
1996-11-01,1996,1,11,CONFAZ12_IPIAL12,1996-11-01T00:00:00-03:00,8024782.0
1996-12-01,1996,1,12,CONFAZ12_IPIAL12,1996-12-01T00:00:00-02:00,6229927.0
1997-01-01,1997,1,1,CONFAZ12_IPIAL12,1997-01-01T00:00:00-02:00,3620252.0
1997-02-01,1997,1,2,CONFAZ12_IPIAL12,1997-02-01T00:00:00-02:00,3673241.0
1997-03-01,1997,1,3,CONFAZ12_IPIAL12,1997-03-01T00:00:00-03:00,4612879.0
1997-04-01,1997,1,4,CONFAZ12_IPIAL12,1997-04-01T00:00:00-03:00,3600113.0
1997-05-01,1997,1,5,CONFAZ12_IPIAL12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IPIAL12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IPIAL12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IPIAL12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IPIAL12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_IPIAL12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_IPIAL12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_IPIAL12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_IPIAL12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_IPIAL12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_IPIAL12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_IPIAL12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_IPIAL12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_IPIAL12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_IPIAL12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_IPIAL12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_IPIAL12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_IPIAL12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_IPIAL12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_IPIAL12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_IPIAL12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_IPIAL12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_IPIAL12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_IPIAL12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_IPIAL12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_IPIAL12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_IPIAL12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_IPIAL12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_IPIAL12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_IPIAL12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_IPIAL12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_IPIAL12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_IPIAL12,2000-01-01T00:00:00-02:00,5960390.0
2000-02-01,2000,1,2,CONFAZ12_IPIAL12,2000-02-01T00:00:00-02:00,5260384.0
2000-03-01,2000,1,3,CONFAZ12_IPIAL12,2000-03-01T00:00:00-03:00,5482559.0
2000-04-01,2000,1,4,CONFAZ12_IPIAL12,2000-04-01T00:00:00-03:00,5734883.0
2000-05-01,2000,1,5,CONFAZ12_IPIAL12,2000-05-01T00:00:00-03:00,2092268.0
2000-06-01,2000,1,6,CONFAZ12_IPIAL12,2000-06-01T00:00:00-03:00,4916075.0
2000-07-01,2000,1,7,CONFAZ12_IPIAL12,2000-07-01T00:00:00-03:00,4658191.0
2000-08-01,2000,1,8,CONFAZ12_IPIAL12,2000-08-01T00:00:00-03:00,4223189.0
2000-09-01,2000,1,9,CONFAZ12_IPIAL12,2000-09-01T00:00:00-03:00,4044150.0
2000-10-01,2000,1,10,CONFAZ12_IPIAL12,2000-10-01T00:00:00-03:00,3052010.0
2000-11-01,2000,1,11,CONFAZ12_IPIAL12,2000-11-01T00:00:00-03:00,2292856.0
2000-12-01,2000,1,12,CONFAZ12_IPIAL12,2000-12-01T00:00:00-02:00,2991862.0
2001-01-01,2001,1,1,CONFAZ12_IPIAL12,2001-01-01T00:00:00-02:00,2906756.0
2001-02-01,2001,1,2,CONFAZ12_IPIAL12,2001-02-01T00:00:00-02:00,3488442.0
2001-03-01,2001,1,3,CONFAZ12_IPIAL12,2001-03-01T00:00:00-03:00,2342526.0
2001-04-01,2001,1,4,CONFAZ12_IPIAL12,2001-04-01T00:00:00-03:00,3201871.0
2001-05-01,2001,1,5,CONFAZ12_IPIAL12,2001-05-01T00:00:00-03:00,2640575.0
2001-06-01,2001,1,6,CONFAZ12_IPIAL12,2001-06-01T00:00:00-03:00,2522509.0
2001-07-01,2001,1,7,CONFAZ12_IPIAL12,2001-07-01T00:00:00-03:00,2254342.0
2001-08-01,2001,1,8,CONFAZ12_IPIAL12,2001-08-01T00:00:00-03:00,2788242.0
2001-09-01,2001,1,9,CONFAZ12_IPIAL12,2001-09-01T00:00:00-03:00,2585761.0
2001-10-01,2001,1,10,CONFAZ12_IPIAL12,2001-10-01T00:00:00-03:00,2886254.0
2001-11-01,2001,1,11,CONFAZ12_IPIAL12,2001-11-01T00:00:00-03:00,2724563.0
2001-12-01,2001,1,12,CONFAZ12_IPIAL12,2001-12-01T00:00:00-02:00,4980605.0
2002-01-01,2002,1,1,CONFAZ12_IPIAL12,2002-01-01T00:00:00-02:00,2800469.0
2002-02-01,2002,1,2,CONFAZ12_IPIAL12,2002-02-01T00:00:00-02:00,3142758.0
2002-03-01,2002,1,3,CONFAZ12_IPIAL12,2002-03-01T00:00:00-03:00,2772693.0
2002-04-01,2002,1,4,CONFAZ12_IPIAL12,2002-04-01T00:00:00-03:00,3177328.0
2002-05-01,2002,1,5,CONFAZ12_IPIAL12,2002-05-01T00:00:00-03:00,2515228.0
2002-06-01,2002,1,6,CONFAZ12_IPIAL12,2002-06-01T00:00:00-03:00,2748147.0
2002-07-01,2002,1,7,CONFAZ12_IPIAL12,2002-07-01T00:00:00-03:00,2199333.0
