DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IPIMG12,1993-01-01T00:00:00-02:00,56794842.0
1993-02-01,1993,1,2,CONFAZ12_IPIMG12,1993-02-01T00:00:00-02:00,54750004.0
1993-03-01,1993,1,3,CONFAZ12_IPIMG12,1993-03-01T00:00:00-03:00,46097957.0
1993-04-01,1993,1,4,CONFAZ12_IPIMG12,1993-04-01T00:00:00-03:00,50992960.0
1993-05-01,1993,1,5,CONFAZ12_IPIMG12,1993-05-01T00:00:00-03:00,46995997.0
1993-06-01,1993,1,6,CONFAZ12_IPIMG12,1993-06-01T00:00:00-03:00,45711094.0
1993-07-01,1993,1,7,CONFAZ12_IPIMG12,1993-07-01T00:00:00-03:00,55057097.0
1993-08-01,1993,1,8,CONFAZ12_IPIMG12,1993-08-01T00:00:00-03:00,61871125.0
1993-09-01,1993,1,9,CONFAZ12_IPIMG12,1993-09-01T00:00:00-03:00,60325041.0
1993-10-01,1993,1,10,CONFAZ12_IPIMG12,1993-10-01T00:00:00-03:00,60059430.0
1993-11-01,1993,1,11,CONFAZ12_IPIMG12,1993-11-01T00:00:00-03:00,93056064.0
1993-12-01,1993,1,12,CONFAZ12_IPIMG12,1993-12-01T00:00:00-02:00,63191922.0
1994-01-01,1994,1,1,CONFAZ12_IPIMG12,1994-01-01T00:00:00-02:00,55365712.0
1994-02-01,1994,1,2,CONFAZ12_IPIMG12,1994-02-01T00:00:00-02:00,43068696.0
1994-03-01,1994,1,3,CONFAZ12_IPIMG12,1994-03-01T00:00:00-03:00,53142946.0
1994-04-01,1994,1,4,CONFAZ12_IPIMG12,1994-04-01T00:00:00-03:00,61191922.0
1994-05-01,1994,1,5,CONFAZ12_IPIMG12,1994-05-01T00:00:00-03:00,63305020.0
1994-06-01,1994,1,6,CONFAZ12_IPIMG12,1994-06-01T00:00:00-03:00,72284053.0
1994-07-01,1994,1,7,CONFAZ12_IPIMG12,1994-07-01T00:00:00-03:00,66084422.0
1994-08-01,1994,1,8,CONFAZ12_IPIMG12,1994-08-01T00:00:00-03:00,93326148.0
1994-09-01,1994,1,9,CONFAZ12_IPIMG12,1994-09-01T00:00:00-03:00,73621149.0
1994-10-01,1994,1,10,CONFAZ12_IPIMG12,1994-10-01T00:00:00-03:00,85653831.0
1994-11-01,1994,1,11,CONFAZ12_IPIMG12,1994-11-01T00:00:00-03:00,99556053.0
1994-12-01,1994,1,12,CONFAZ12_IPIMG12,1994-12-01T00:00:00-02:00,112031153.0
1995-01-01,1995,1,1,CONFAZ12_IPIMG12,1995-01-01T00:00:00-02:00,107538119.0
1995-02-01,1995,1,2,CONFAZ12_IPIMG12,1995-02-01T00:00:00-02:00,107358651.0
1995-03-01,1995,1,3,CONFAZ12_IPIMG12,1995-03-01T00:00:00-03:00,120872610.0
1995-04-01,1995,1,4,CONFAZ12_IPIMG12,1995-04-01T00:00:00-03:00,132651163.0
1995-05-01,1995,1,5,CONFAZ12_IPIMG12,1995-05-01T00:00:00-03:00,121409736.0
1995-06-01,1995,1,6,CONFAZ12_IPIMG12,1995-06-01T00:00:00-03:00,101935139.0
1995-07-01,1995,1,7,CONFAZ12_IPIMG12,1995-07-01T00:00:00-03:00,85132480.0
