DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IPIMS12,1993-01-01T00:00:00-02:00,1620167.0
1993-02-01,1993,1,2,CONFAZ12_IPIMS12,1993-02-01T00:00:00-02:00,2053562.0
1993-03-01,1993,1,3,CONFAZ12_IPIMS12,1993-03-01T00:00:00-03:00,862072.0
1993-04-01,1993,1,4,CONFAZ12_IPIMS12,1993-04-01T00:00:00-03:00,1627707.0
1993-05-01,1993,1,5,CONFAZ12_IPIMS12,1993-05-01T00:00:00-03:00,1421310.0
1993-06-01,1993,1,6,CONFAZ12_IPIMS12,1993-06-01T00:00:00-03:00,1386643.0
1993-07-01,1993,1,7,CONFAZ12_IPIMS12,1993-07-01T00:00:00-03:00,1463865.0
1993-08-01,1993,1,8,CONFAZ12_IPIMS12,1993-08-01T00:00:00-03:00,1270280.0
1993-09-01,1993,1,9,CONFAZ12_IPIMS12,1993-09-01T00:00:00-03:00,1441736.0
1993-10-01,1993,1,10,CONFAZ12_IPIMS12,1993-10-01T00:00:00-03:00,1375871.0
1993-11-01,1993,1,11,CONFAZ12_IPIMS12,1993-11-01T00:00:00-03:00,1557454.0
1993-12-01,1993,1,12,CONFAZ12_IPIMS12,1993-12-01T00:00:00-02:00,1386341.0
1994-01-01,1994,1,1,CONFAZ12_IPIMS12,1994-01-01T00:00:00-02:00,1326068.0
1994-02-01,1994,1,2,CONFAZ12_IPIMS12,1994-02-01T00:00:00-02:00,959689.0
1994-03-01,1994,1,3,CONFAZ12_IPIMS12,1994-03-01T00:00:00-03:00,989910.0
1994-04-01,1994,1,4,CONFAZ12_IPIMS12,1994-04-01T00:00:00-03:00,950570.0
1994-05-01,1994,1,5,CONFAZ12_IPIMS12,1994-05-01T00:00:00-03:00,998140.0
1994-06-01,1994,1,6,CONFAZ12_IPIMS12,1994-06-01T00:00:00-03:00,930888.0
1994-07-01,1994,1,7,CONFAZ12_IPIMS12,1994-07-01T00:00:00-03:00,1156007.0
1994-08-01,1994,1,8,CONFAZ12_IPIMS12,1994-08-01T00:00:00-03:00,1540422.0
1994-09-01,1994,1,9,CONFAZ12_IPIMS12,1994-09-01T00:00:00-03:00,1367542.0
1994-10-01,1994,1,10,CONFAZ12_IPIMS12,1994-10-01T00:00:00-03:00,1493126.0
1994-11-01,1994,1,11,CONFAZ12_IPIMS12,1994-11-01T00:00:00-03:00,1588258.0
1994-12-01,1994,1,12,CONFAZ12_IPIMS12,1994-12-01T00:00:00-02:00,1850433.0
1995-01-01,1995,1,1,CONFAZ12_IPIMS12,1995-01-01T00:00:00-02:00,1582387.0
1995-02-01,1995,1,2,CONFAZ12_IPIMS12,1995-02-01T00:00:00-02:00,1793837.0
1995-03-01,1995,1,3,CONFAZ12_IPIMS12,1995-03-01T00:00:00-03:00,1779533.0
1995-04-01,1995,1,4,CONFAZ12_IPIMS12,1995-04-01T00:00:00-03:00,1790763.0
1995-05-01,1995,1,5,CONFAZ12_IPIMS12,1995-05-01T00:00:00-03:00,1455559.0
1995-06-01,1995,1,6,CONFAZ12_IPIMS12,1995-06-01T00:00:00-03:00,1721378.0
1995-07-01,1995,1,7,CONFAZ12_IPIMS12,1995-07-01T00:00:00-03:00,1664437.0
1995-08-01,1995,1,8,CONFAZ12_IPIMS12,1995-08-01T00:00:00-03:00,1740636.0
1995-09-01,1995,1,9,CONFAZ12_IPIMS12,1995-09-01T00:00:00-03:00,1759116.0
1995-10-01,1995,1,10,CONFAZ12_IPIMS12,1995-10-01T00:00:00-03:00,1835487.0
1995-11-01,1995,1,11,CONFAZ12_IPIMS12,1995-11-01T00:00:00-03:00,1508618.0
1995-12-01,1995,1,12,CONFAZ12_IPIMS12,1995-12-01T00:00:00-02:00,1842777.0
1996-01-01,1996,1,1,CONFAZ12_IPIMS12,1996-01-01T00:00:00-02:00,1916630.0
1996-02-01,1996,1,2,CONFAZ12_IPIMS12,1996-02-01T00:00:00-02:00,1856242.0
1996-03-01,1996,1,3,CONFAZ12_IPIMS12,1996-03-01T00:00:00-03:00,1435491.0
1996-04-01,1996,1,4,CONFAZ12_IPIMS12,1996-04-01T00:00:00-03:00,1454644.0
1996-05-01,1996,1,5,CONFAZ12_IPIMS12,1996-05-01T00:00:00-03:00,1469587.0
1996-06-01,1996,1,6,CONFAZ12_IPIMS12,1996-06-01T00:00:00-03:00,1505330.0
1996-07-01,1996,1,7,CONFAZ12_IPIMS12,1996-07-01T00:00:00-03:00,1500896.0
1996-08-01,1996,1,8,CONFAZ12_IPIMS12,1996-08-01T00:00:00-03:00,1507710.0
1996-09-01,1996,1,9,CONFAZ12_IPIMS12,1996-09-01T00:00:00-03:00,1552232.0
1996-10-01,1996,1,10,CONFAZ12_IPIMS12,1996-10-01T00:00:00-03:00,1649313.0
1996-11-01,1996,1,11,CONFAZ12_IPIMS12,1996-11-01T00:00:00-03:00,1928960.0
1996-12-01,1996,1,12,CONFAZ12_IPIMS12,1996-12-01T00:00:00-02:00,1961615.0
1997-01-01,1997,1,1,CONFAZ12_IPIMS12,1997-01-01T00:00:00-02:00,1722940.0
1997-02-01,1997,1,2,CONFAZ12_IPIMS12,1997-02-01T00:00:00-02:00,1707741.0
1997-03-01,1997,1,3,CONFAZ12_IPIMS12,1997-03-01T00:00:00-03:00,1755339.0
1997-04-01,1997,1,4,CONFAZ12_IPIMS12,1997-04-01T00:00:00-03:00,1574847.0
1997-05-01,1997,1,5,CONFAZ12_IPIMS12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IPIMS12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IPIMS12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IPIMS12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IPIMS12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_IPIMS12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_IPIMS12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_IPIMS12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_IPIMS12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_IPIMS12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_IPIMS12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_IPIMS12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_IPIMS12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_IPIMS12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_IPIMS12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_IPIMS12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_IPIMS12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_IPIMS12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_IPIMS12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_IPIMS12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_IPIMS12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_IPIMS12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_IPIMS12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_IPIMS12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_IPIMS12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_IPIMS12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_IPIMS12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_IPIMS12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_IPIMS12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_IPIMS12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_IPIMS12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_IPIMS12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_IPIMS12,2000-01-01T00:00:00-02:00,2160132.0
2000-02-01,2000,1,2,CONFAZ12_IPIMS12,2000-02-01T00:00:00-02:00,1767218.0
2000-03-01,2000,1,3,CONFAZ12_IPIMS12,2000-03-01T00:00:00-03:00,1587071.0
2000-04-01,2000,1,4,CONFAZ12_IPIMS12,2000-04-01T00:00:00-03:00,1953902.0
2000-05-01,2000,1,5,CONFAZ12_IPIMS12,2000-05-01T00:00:00-03:00,1523426.0
2000-06-01,2000,1,6,CONFAZ12_IPIMS12,2000-06-01T00:00:00-03:00,1745180.0
2000-07-01,2000,1,7,CONFAZ12_IPIMS12,2000-07-01T00:00:00-03:00,1593142.0
2000-08-01,2000,1,8,CONFAZ12_IPIMS12,2000-08-01T00:00:00-03:00,1770503.0
2000-09-01,2000,1,9,CONFAZ12_IPIMS12,2000-09-01T00:00:00-03:00,2133297.0
2000-10-01,2000,1,10,CONFAZ12_IPIMS12,2000-10-01T00:00:00-03:00,1825146.0
2000-11-01,2000,1,11,CONFAZ12_IPIMS12,2000-11-01T00:00:00-03:00,1711212.0
2000-12-01,2000,1,12,CONFAZ12_IPIMS12,2000-12-01T00:00:00-02:00,2005841.0
2001-01-01,2001,1,1,CONFAZ12_IPIMS12,2001-01-01T00:00:00-02:00,1794160.0
2001-02-01,2001,1,2,CONFAZ12_IPIMS12,2001-02-01T00:00:00-02:00,2028164.0
2001-03-01,2001,1,3,CONFAZ12_IPIMS12,2001-03-01T00:00:00-03:00,1645240.0
2001-04-01,2001,1,4,CONFAZ12_IPIMS12,2001-04-01T00:00:00-03:00,1749440.0
2001-05-01,2001,1,5,CONFAZ12_IPIMS12,2001-05-01T00:00:00-03:00,1764602.0
2001-06-01,2001,1,6,CONFAZ12_IPIMS12,2001-06-01T00:00:00-03:00,1825398.0
2001-07-01,2001,1,7,CONFAZ12_IPIMS12,2001-07-01T00:00:00-03:00,1827776.0
2001-08-01,2001,1,8,CONFAZ12_IPIMS12,2001-08-01T00:00:00-03:00,2095835.0
2001-09-01,2001,1,9,CONFAZ12_IPIMS12,2001-09-01T00:00:00-03:00,1673978.0
2001-10-01,2001,1,10,CONFAZ12_IPIMS12,2001-10-01T00:00:00-03:00,1965320.0
