DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IPIPE12,1993-01-01T00:00:00-02:00,16923660.0
1993-02-01,1993,1,2,CONFAZ12_IPIPE12,1993-02-01T00:00:00-02:00,16553832.0
1993-03-01,1993,1,3,CONFAZ12_IPIPE12,1993-03-01T00:00:00-03:00,11750726.0
1993-04-01,1993,1,4,CONFAZ12_IPIPE12,1993-04-01T00:00:00-03:00,15804067.0
1993-05-01,1993,1,5,CONFAZ12_IPIPE12,1993-05-01T00:00:00-03:00,12742708.0
1993-06-01,1993,1,6,CONFAZ12_IPIPE12,1993-06-01T00:00:00-03:00,13286424.0
1993-07-01,1993,1,7,CONFAZ12_IPIPE12,1993-07-01T00:00:00-03:00,13836078.0
1993-08-01,1993,1,8,CONFAZ12_IPIPE12,1993-08-01T00:00:00-03:00,13804002.0
1993-09-01,1993,1,9,CONFAZ12_IPIPE12,1993-09-01T00:00:00-03:00,13436603.0
1993-10-01,1993,1,10,CONFAZ12_IPIPE12,1993-10-01T00:00:00-03:00,14079576.0
1993-11-01,1993,1,11,CONFAZ12_IPIPE12,1993-11-01T00:00:00-03:00,17647323.0
1993-12-01,1993,1,12,CONFAZ12_IPIPE12,1993-12-01T00:00:00-02:00,15552385.0
1994-01-01,1994,1,1,CONFAZ12_IPIPE12,1994-01-01T00:00:00-02:00,14390097.0
1994-02-01,1994,1,2,CONFAZ12_IPIPE12,1994-02-01T00:00:00-02:00,12297648.0
1994-03-01,1994,1,3,CONFAZ12_IPIPE12,1994-03-01T00:00:00-03:00,13820218.0
1994-04-01,1994,1,4,CONFAZ12_IPIPE12,1994-04-01T00:00:00-03:00,11818065.0
1994-05-01,1994,1,5,CONFAZ12_IPIPE12,1994-05-01T00:00:00-03:00,11242623.0
1994-06-01,1994,1,6,CONFAZ12_IPIPE12,1994-06-01T00:00:00-03:00,13178954.0
1994-07-01,1994,1,7,CONFAZ12_IPIPE12,1994-07-01T00:00:00-03:00,11321042.0
1994-08-01,1994,1,8,CONFAZ12_IPIPE12,1994-08-01T00:00:00-03:00,15488025.0
1994-09-01,1994,1,9,CONFAZ12_IPIPE12,1994-09-01T00:00:00-03:00,15482794.0
1994-10-01,1994,1,10,CONFAZ12_IPIPE12,1994-10-01T00:00:00-03:00,17286443.0
1994-11-01,1994,1,11,CONFAZ12_IPIPE12,1994-11-01T00:00:00-03:00,18193489.0
1994-12-01,1994,1,12,CONFAZ12_IPIPE12,1994-12-01T00:00:00-02:00,20080390.0
1995-01-01,1995,1,1,CONFAZ12_IPIPE12,1995-01-01T00:00:00-02:00,19793560.0
1995-02-01,1995,1,2,CONFAZ12_IPIPE12,1995-02-01T00:00:00-02:00,18890817.0
1995-03-01,1995,1,3,CONFAZ12_IPIPE12,1995-03-01T00:00:00-03:00,17360524.0
1995-04-01,1995,1,4,CONFAZ12_IPIPE12,1995-04-01T00:00:00-03:00,19076340.0
1995-05-01,1995,1,5,CONFAZ12_IPIPE12,1995-05-01T00:00:00-03:00,17149060.0
1995-06-01,1995,1,6,CONFAZ12_IPIPE12,1995-06-01T00:00:00-03:00,17629358.0
1995-07-01,1995,1,7,CONFAZ12_IPIPE12,1995-07-01T00:00:00-03:00,18662039.0
1995-08-01,1995,1,8,CONFAZ12_IPIPE12,1995-08-01T00:00:00-03:00,18694050.0
1995-09-01,1995,1,9,CONFAZ12_IPIPE12,1995-09-01T00:00:00-03:00,20035931.0
1995-10-01,1995,1,10,CONFAZ12_IPIPE12,1995-10-01T00:00:00-03:00,21462638.0
1995-11-01,1995,1,11,CONFAZ12_IPIPE12,1995-11-01T00:00:00-03:00,22857006.0
1995-12-01,1995,1,12,CONFAZ12_IPIPE12,1995-12-01T00:00:00-02:00,25078771.0
1996-01-01,1996,1,1,CONFAZ12_IPIPE12,1996-01-01T00:00:00-02:00,23383507.0
1996-02-01,1996,1,2,CONFAZ12_IPIPE12,1996-02-01T00:00:00-02:00,23716231.0
1996-03-01,1996,1,3,CONFAZ12_IPIPE12,1996-03-01T00:00:00-03:00,20676153.0
1996-04-01,1996,1,4,CONFAZ12_IPIPE12,1996-04-01T00:00:00-03:00,19323928.0
1996-05-01,1996,1,5,CONFAZ12_IPIPE12,1996-05-01T00:00:00-03:00,19550626.0
1996-06-01,1996,1,6,CONFAZ12_IPIPE12,1996-06-01T00:00:00-03:00,22524426.0
1996-07-01,1996,1,7,CONFAZ12_IPIPE12,1996-07-01T00:00:00-03:00,21904277.0
1996-08-01,1996,1,8,CONFAZ12_IPIPE12,1996-08-01T00:00:00-03:00,21334154.0
1996-09-01,1996,1,9,CONFAZ12_IPIPE12,1996-09-01T00:00:00-03:00,24271624.0
1996-10-01,1996,1,10,CONFAZ12_IPIPE12,1996-10-01T00:00:00-03:00,21837729.0
1996-11-01,1996,1,11,CONFAZ12_IPIPE12,1996-11-01T00:00:00-03:00,22940293.0
1996-12-01,1996,1,12,CONFAZ12_IPIPE12,1996-12-01T00:00:00-02:00,25759631.0
1997-01-01,1997,1,1,CONFAZ12_IPIPE12,1997-01-01T00:00:00-02:00,23473853.0
1997-02-01,1997,1,2,CONFAZ12_IPIPE12,1997-02-01T00:00:00-02:00,24956583.0
