DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IPIRJ12,1993-01-01T00:00:00-02:00,74027693.0
1993-02-01,1993,1,2,CONFAZ12_IPIRJ12,1993-02-01T00:00:00-02:00,69028560.0
1993-03-01,1993,1,3,CONFAZ12_IPIRJ12,1993-03-01T00:00:00-03:00,54101186.0
1993-04-01,1993,1,4,CONFAZ12_IPIRJ12,1993-04-01T00:00:00-03:00,68061411.0
1993-05-01,1993,1,5,CONFAZ12_IPIRJ12,1993-05-01T00:00:00-03:00,72476242.0
1993-06-01,1993,1,6,CONFAZ12_IPIRJ12,1993-06-01T00:00:00-03:00,65791529.0
1993-07-01,1993,1,7,CONFAZ12_IPIRJ12,1993-07-01T00:00:00-03:00,67969640.0
1993-08-01,1993,1,8,CONFAZ12_IPIRJ12,1993-08-01T00:00:00-03:00,69109489.0
1993-09-01,1993,1,9,CONFAZ12_IPIRJ12,1993-09-01T00:00:00-03:00,72212762.0
1993-10-01,1993,1,10,CONFAZ12_IPIRJ12,1993-10-01T00:00:00-03:00,77232077.0
1993-11-01,1993,1,11,CONFAZ12_IPIRJ12,1993-11-01T00:00:00-03:00,102756682.0
1993-12-01,1993,1,12,CONFAZ12_IPIRJ12,1993-12-01T00:00:00-02:00,83903327.0
1994-01-01,1994,1,1,CONFAZ12_IPIRJ12,1994-01-01T00:00:00-02:00,68106464.0
1994-02-01,1994,1,2,CONFAZ12_IPIRJ12,1994-02-01T00:00:00-02:00,66886969.0
1994-03-01,1994,1,3,CONFAZ12_IPIRJ12,1994-03-01T00:00:00-03:00,71977445.0
1994-04-01,1994,1,4,CONFAZ12_IPIRJ12,1994-04-01T00:00:00-03:00,66718098.0
1994-05-01,1994,1,5,CONFAZ12_IPIRJ12,1994-05-01T00:00:00-03:00,61440521.0
1994-06-01,1994,1,6,CONFAZ12_IPIRJ12,1994-06-01T00:00:00-03:00,64824260.0
1994-07-01,1994,1,7,CONFAZ12_IPIRJ12,1994-07-01T00:00:00-03:00,57372980.0
1994-08-01,1994,1,8,CONFAZ12_IPIRJ12,1994-08-01T00:00:00-03:00,77188995.0
1994-09-01,1994,1,9,CONFAZ12_IPIRJ12,1994-09-01T00:00:00-03:00,81430885.0
1994-10-01,1994,1,10,CONFAZ12_IPIRJ12,1994-10-01T00:00:00-03:00,87035381.0
1994-11-01,1994,1,11,CONFAZ12_IPIRJ12,1994-11-01T00:00:00-03:00,96462007.0
1994-12-01,1994,1,12,CONFAZ12_IPIRJ12,1994-12-01T00:00:00-02:00,107864991.0
1995-01-01,1995,1,1,CONFAZ12_IPIRJ12,1995-01-01T00:00:00-02:00,95764900.0
1995-02-01,1995,1,2,CONFAZ12_IPIRJ12,1995-02-01T00:00:00-02:00,92537831.0
