DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IPIRN12,1993-01-01T00:00:00-02:00,1221483.0
1993-02-01,1993,1,2,CONFAZ12_IPIRN12,1993-02-01T00:00:00-02:00,2335089.0
1993-03-01,1993,1,3,CONFAZ12_IPIRN12,1993-03-01T00:00:00-03:00,801561.0
1993-04-01,1993,1,4,CONFAZ12_IPIRN12,1993-04-01T00:00:00-03:00,1684564.0
1993-05-01,1993,1,5,CONFAZ12_IPIRN12,1993-05-01T00:00:00-03:00,1370992.0
1993-06-01,1993,1,6,CONFAZ12_IPIRN12,1993-06-01T00:00:00-03:00,1434201.0
1993-07-01,1993,1,7,CONFAZ12_IPIRN12,1993-07-01T00:00:00-03:00,1460075.0
1993-08-01,1993,1,8,CONFAZ12_IPIRN12,1993-08-01T00:00:00-03:00,1456145.0
1993-09-01,1993,1,9,CONFAZ12_IPIRN12,1993-09-01T00:00:00-03:00,1489506.0
1993-10-01,1993,1,10,CONFAZ12_IPIRN12,1993-10-01T00:00:00-03:00,1611794.0
1993-11-01,1993,1,11,CONFAZ12_IPIRN12,1993-11-01T00:00:00-03:00,1853041.0
1993-12-01,1993,1,12,CONFAZ12_IPIRN12,1993-12-01T00:00:00-02:00,1615055.0
1994-01-01,1994,1,1,CONFAZ12_IPIRN12,1994-01-01T00:00:00-02:00,1795122.0
1994-02-01,1994,1,2,CONFAZ12_IPIRN12,1994-02-01T00:00:00-02:00,1426825.0
1994-03-01,1994,1,3,CONFAZ12_IPIRN12,1994-03-01T00:00:00-03:00,1419042.0
1994-04-01,1994,1,4,CONFAZ12_IPIRN12,1994-04-01T00:00:00-03:00,1673767.0
1994-05-01,1994,1,5,CONFAZ12_IPIRN12,1994-05-01T00:00:00-03:00,1505669.0
1994-06-01,1994,1,6,CONFAZ12_IPIRN12,1994-06-01T00:00:00-03:00,1414091.0
1994-07-01,1994,1,7,CONFAZ12_IPIRN12,1994-07-01T00:00:00-03:00,1530182.0
1994-08-01,1994,1,8,CONFAZ12_IPIRN12,1994-08-01T00:00:00-03:00,1824086.0
1994-09-01,1994,1,9,CONFAZ12_IPIRN12,1994-09-01T00:00:00-03:00,1779152.0
1994-10-01,1994,1,10,CONFAZ12_IPIRN12,1994-10-01T00:00:00-03:00,2084132.0
1994-11-01,1994,1,11,CONFAZ12_IPIRN12,1994-11-01T00:00:00-03:00,1976619.0
1994-12-01,1994,1,12,CONFAZ12_IPIRN12,1994-12-01T00:00:00-02:00,2390890.0
1995-01-01,1995,1,1,CONFAZ12_IPIRN12,1995-01-01T00:00:00-02:00,2905006.0
1995-02-01,1995,1,2,CONFAZ12_IPIRN12,1995-02-01T00:00:00-02:00,2905481.0
1995-03-01,1995,1,3,CONFAZ12_IPIRN12,1995-03-01T00:00:00-03:00,2694703.0
1995-04-01,1995,1,4,CONFAZ12_IPIRN12,1995-04-01T00:00:00-03:00,3021094.0
1995-05-01,1995,1,5,CONFAZ12_IPIRN12,1995-05-01T00:00:00-03:00,2791066.0
1995-06-01,1995,1,6,CONFAZ12_IPIRN12,1995-06-01T00:00:00-03:00,2901614.0
1995-07-01,1995,1,7,CONFAZ12_IPIRN12,1995-07-01T00:00:00-03:00,3177989.0
1995-08-01,1995,1,8,CONFAZ12_IPIRN12,1995-08-01T00:00:00-03:00,3040882.0
