DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IPVADF12,1993-01-01T00:00:00-02:00,131716.0
1993-02-01,1993,1,2,CONFAZ12_IPVADF12,1993-02-01T00:00:00-02:00,66624.0
1993-03-01,1993,1,3,CONFAZ12_IPVADF12,1993-03-01T00:00:00-03:00,67522.0
1993-04-01,1993,1,4,CONFAZ12_IPVADF12,1993-04-01T00:00:00-03:00,69664.0
1993-05-01,1993,1,5,CONFAZ12_IPVADF12,1993-05-01T00:00:00-03:00,78635.0
1993-06-01,1993,1,6,CONFAZ12_IPVADF12,1993-06-01T00:00:00-03:00,94489.0
1993-07-01,1993,1,7,CONFAZ12_IPVADF12,1993-07-01T00:00:00-03:00,122791.0
1993-08-01,1993,1,8,CONFAZ12_IPVADF12,1993-08-01T00:00:00-03:00,159155.0
1993-09-01,1993,1,9,CONFAZ12_IPVADF12,1993-09-01T00:00:00-03:00,188058.0
1993-10-01,1993,1,10,CONFAZ12_IPVADF12,1993-10-01T00:00:00-03:00,282161.0
1993-11-01,1993,1,11,CONFAZ12_IPVADF12,1993-11-01T00:00:00-03:00,204363.0
1993-12-01,1993,1,12,CONFAZ12_IPVADF12,1993-12-01T00:00:00-02:00,230730.0
1994-01-01,1994,1,1,CONFAZ12_IPVADF12,1994-01-01T00:00:00-02:00,2911537.0
1994-02-01,1994,1,2,CONFAZ12_IPVADF12,1994-02-01T00:00:00-02:00,2282368.0
1994-03-01,1994,1,3,CONFAZ12_IPVADF12,1994-03-01T00:00:00-03:00,2375180.0
1994-04-01,1994,1,4,CONFAZ12_IPVADF12,1994-04-01T00:00:00-03:00,2050799.0
1994-05-01,1994,1,5,CONFAZ12_IPVADF12,1994-05-01T00:00:00-03:00,4562314.0
1994-06-01,1994,1,6,CONFAZ12_IPVADF12,1994-06-01T00:00:00-03:00,6721501.0
1994-07-01,1994,1,7,CONFAZ12_IPVADF12,1994-07-01T00:00:00-03:00,2530.0
1994-08-01,1994,1,8,CONFAZ12_IPVADF12,1994-08-01T00:00:00-03:00,3007.0
1994-09-01,1994,1,9,CONFAZ12_IPVADF12,1994-09-01T00:00:00-03:00,3010.0
1994-10-01,1994,1,10,CONFAZ12_IPVADF12,1994-10-01T00:00:00-03:00,2950.0
1994-11-01,1994,1,11,CONFAZ12_IPVADF12,1994-11-01T00:00:00-03:00,1763.0
1994-12-01,1994,1,12,CONFAZ12_IPVADF12,1994-12-01T00:00:00-02:00,1378.0
