DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IPVAMT12,1993-01-01T00:00:00-02:00,8818.0
1993-02-01,1993,1,2,CONFAZ12_IPVAMT12,1993-02-01T00:00:00-02:00,9767.0
1993-03-01,1993,1,3,CONFAZ12_IPVAMT12,1993-03-01T00:00:00-03:00,15364.0
1993-04-01,1993,1,4,CONFAZ12_IPVAMT12,1993-04-01T00:00:00-03:00,16788.0
1993-05-01,1993,1,5,CONFAZ12_IPVAMT12,1993-05-01T00:00:00-03:00,22383.0
1993-06-01,1993,1,6,CONFAZ12_IPVAMT12,1993-06-01T00:00:00-03:00,27731.0
1993-07-01,1993,1,7,CONFAZ12_IPVAMT12,1993-07-01T00:00:00-03:00,39353.0
1993-08-01,1993,1,8,CONFAZ12_IPVAMT12,1993-08-01T00:00:00-03:00,47785.0
1993-09-01,1993,1,9,CONFAZ12_IPVAMT12,1993-09-01T00:00:00-03:00,61803.0
1993-10-01,1993,1,10,CONFAZ12_IPVAMT12,1993-10-01T00:00:00-03:00,95577.0
1993-11-01,1993,1,11,CONFAZ12_IPVAMT12,1993-11-01T00:00:00-03:00,43882.0
1993-12-01,1993,1,12,CONFAZ12_IPVAMT12,1993-12-01T00:00:00-02:00,35784.0
1994-01-01,1994,1,1,CONFAZ12_IPVAMT12,1994-01-01T00:00:00-02:00,332422.0
1994-02-01,1994,1,2,CONFAZ12_IPVAMT12,1994-02-01T00:00:00-02:00,372154.0
1994-03-01,1994,1,3,CONFAZ12_IPVAMT12,1994-03-01T00:00:00-03:00,566312.0
1994-04-01,1994,1,4,CONFAZ12_IPVAMT12,1994-04-01T00:00:00-03:00,706559.0
1994-05-01,1994,1,5,CONFAZ12_IPVAMT12,1994-05-01T00:00:00-03:00,1082696.0
1994-06-01,1994,1,6,CONFAZ12_IPVAMT12,1994-06-01T00:00:00-03:00,1433429.0
1994-07-01,1994,1,7,CONFAZ12_IPVAMT12,1994-07-01T00:00:00-03:00,760.0
1994-08-01,1994,1,8,CONFAZ12_IPVAMT12,1994-08-01T00:00:00-03:00,801.0
1994-09-01,1994,1,9,CONFAZ12_IPVAMT12,1994-09-01T00:00:00-03:00,830.0
1994-10-01,1994,1,10,CONFAZ12_IPVAMT12,1994-10-01T00:00:00-03:00,828.0
1994-11-01,1994,1,11,CONFAZ12_IPVAMT12,1994-11-01T00:00:00-03:00,356.0
1994-12-01,1994,1,12,CONFAZ12_IPVAMT12,1994-12-01T00:00:00-02:00,354.0
1995-01-01,1995,1,1,CONFAZ12_IPVAMT12,1995-01-01T00:00:00-02:00,1186.0
1995-02-01,1995,1,2,CONFAZ12_IPVAMT12,1995-02-01T00:00:00-02:00,1054.0
1995-03-01,1995,1,3,CONFAZ12_IPVAMT12,1995-03-01T00:00:00-03:00,1330.0
1995-04-01,1995,1,4,CONFAZ12_IPVAMT12,1995-04-01T00:00:00-03:00,1036.0
1995-05-01,1995,1,5,CONFAZ12_IPVAMT12,1995-05-01T00:00:00-03:00,1046.0
1995-06-01,1995,1,6,CONFAZ12_IPVAMT12,1995-06-01T00:00:00-03:00,1052.0
1995-07-01,1995,1,7,CONFAZ12_IPVAMT12,1995-07-01T00:00:00-03:00,1005.0
1995-08-01,1995,1,8,CONFAZ12_IPVAMT12,1995-08-01T00:00:00-03:00,180.0
1995-09-01,1995,1,9,CONFAZ12_IPVAMT12,1995-09-01T00:00:00-03:00,1090.0
1995-10-01,1995,1,10,CONFAZ12_IPVAMT12,1995-10-01T00:00:00-03:00,2187.0
