DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1994-01-01,1994,1,1,CONFAZ12_IPVAPA12,1994-01-01T00:00:00-02:00,222.0
1994-02-01,1994,1,2,CONFAZ12_IPVAPA12,1994-02-01T00:00:00-02:00,344.0
1994-03-01,1994,1,3,CONFAZ12_IPVAPA12,1994-03-01T00:00:00-03:00,583.0
1994-04-01,1994,1,4,CONFAZ12_IPVAPA12,1994-04-01T00:00:00-03:00,579.0
1994-05-01,1994,1,5,CONFAZ12_IPVAPA12,1994-05-01T00:00:00-03:00,890.0
1994-06-01,1994,1,6,CONFAZ12_IPVAPA12,1994-06-01T00:00:00-03:00,1355.0
1994-07-01,1994,1,7,CONFAZ12_IPVAPA12,1994-07-01T00:00:00-03:00,665.0
1994-08-01,1994,1,8,CONFAZ12_IPVAPA12,1994-08-01T00:00:00-03:00,1242.0
1994-09-01,1994,1,9,CONFAZ12_IPVAPA12,1994-09-01T00:00:00-03:00,1276.0
1994-10-01,1994,1,10,CONFAZ12_IPVAPA12,1994-10-01T00:00:00-03:00,1041.0
1994-11-01,1994,1,11,CONFAZ12_IPVAPA12,1994-11-01T00:00:00-03:00,924.0
1994-12-01,1994,1,12,CONFAZ12_IPVAPA12,1994-12-01T00:00:00-02:00,1595.0
1995-01-01,1995,1,1,CONFAZ12_IPVAPA12,1995-01-01T00:00:00-02:00,1401.0
1995-02-01,1995,1,2,CONFAZ12_IPVAPA12,1995-02-01T00:00:00-02:00,1587.0
1995-03-01,1995,1,3,CONFAZ12_IPVAPA12,1995-03-01T00:00:00-03:00,1945.0
1995-04-01,1995,1,4,CONFAZ12_IPVAPA12,1995-04-01T00:00:00-03:00,1569.0
1995-05-01,1995,1,5,CONFAZ12_IPVAPA12,1995-05-01T00:00:00-03:00,2031.0
1995-06-01,1995,1,6,CONFAZ12_IPVAPA12,1995-06-01T00:00:00-03:00,2276.0
1995-07-01,1995,1,7,CONFAZ12_IPVAPA12,1995-07-01T00:00:00-03:00,1844.0
1995-08-01,1995,1,8,CONFAZ12_IPVAPA12,1995-08-01T00:00:00-03:00,2118.0
1995-09-01,1995,1,9,CONFAZ12_IPVAPA12,1995-09-01T00:00:00-03:00,2149.0
1995-10-01,1995,1,10,CONFAZ12_IPVAPA12,1995-10-01T00:00:00-03:00,1562.0
1995-11-01,1995,1,11,CONFAZ12_IPVAPA12,1995-11-01T00:00:00-03:00,2075.0
1995-12-01,1995,1,12,CONFAZ12_IPVAPA12,1995-12-01T00:00:00-02:00,3472.0
1996-01-01,1996,1,1,CONFAZ12_IPVAPA12,1996-01-01T00:00:00-02:00,1712.0
1996-02-01,1996,1,2,CONFAZ12_IPVAPA12,1996-02-01T00:00:00-02:00,2162.0
1996-03-01,1996,1,3,CONFAZ12_IPVAPA12,1996-03-01T00:00:00-03:00,2588.0
1996-04-01,1996,1,4,CONFAZ12_IPVAPA12,1996-04-01T00:00:00-03:00,2548.0
1996-05-01,1996,1,5,CONFAZ12_IPVAPA12,1996-05-01T00:00:00-03:00,2995.0
1996-06-01,1996,1,6,CONFAZ12_IPVAPA12,1996-06-01T00:00:00-03:00,2627.0
1996-07-01,1996,1,7,CONFAZ12_IPVAPA12,1996-07-01T00:00:00-03:00,2635.0
1996-08-01,1996,1,8,CONFAZ12_IPVAPA12,1996-08-01T00:00:00-03:00,2581.0
1996-09-01,1996,1,9,CONFAZ12_IPVAPA12,1996-09-01T00:00:00-03:00,3060.0
