DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IPVAPB12,1993-01-01T00:00:00-02:00,9551.0
1993-02-01,1993,1,2,CONFAZ12_IPVAPB12,1993-02-01T00:00:00-02:00,10829.0
1993-03-01,1993,1,3,CONFAZ12_IPVAPB12,1993-03-01T00:00:00-03:00,20102.0
1993-04-01,1993,1,4,CONFAZ12_IPVAPB12,1993-04-01T00:00:00-03:00,19697.0
1993-05-01,1993,1,5,CONFAZ12_IPVAPB12,1993-05-01T00:00:00-03:00,25767.0
1993-06-01,1993,1,6,CONFAZ12_IPVAPB12,1993-06-01T00:00:00-03:00,31895.0
1993-07-01,1993,1,7,CONFAZ12_IPVAPB12,1993-07-01T00:00:00-03:00,45311.0
1993-08-01,1993,1,8,CONFAZ12_IPVAPB12,1993-08-01T00:00:00-03:00,62340.0
1993-09-01,1993,1,9,CONFAZ12_IPVAPB12,1993-09-01T00:00:00-03:00,83816.0
1993-10-01,1993,1,10,CONFAZ12_IPVAPB12,1993-10-01T00:00:00-03:00,119862.0
1993-11-01,1993,1,11,CONFAZ12_IPVAPB12,1993-11-01T00:00:00-03:00,159639.0
1993-12-01,1993,1,12,CONFAZ12_IPVAPB12,1993-12-01T00:00:00-02:00,124128.0
1994-01-01,1994,1,1,CONFAZ12_IPVAPB12,1994-01-01T00:00:00-02:00,167099.0
1994-02-01,1994,1,2,CONFAZ12_IPVAPB12,1994-02-01T00:00:00-02:00,259886.0
1994-03-01,1994,1,3,CONFAZ12_IPVAPB12,1994-03-01T00:00:00-03:00,432912.0
1994-04-01,1994,1,4,CONFAZ12_IPVAPB12,1994-04-01T00:00:00-03:00,582366.0
1994-05-01,1994,1,5,CONFAZ12_IPVAPB12,1994-05-01T00:00:00-03:00,836882.0
1994-06-01,1994,1,6,CONFAZ12_IPVAPB12,1994-06-01T00:00:00-03:00,1076348.0
1994-07-01,1994,1,7,CONFAZ12_IPVAPB12,1994-07-01T00:00:00-03:00,534.0
1994-08-01,1994,1,8,CONFAZ12_IPVAPB12,1994-08-01T00:00:00-03:00,805.0
1994-09-01,1994,1,9,CONFAZ12_IPVAPB12,1994-09-01T00:00:00-03:00,800.0
1994-10-01,1994,1,10,CONFAZ12_IPVAPB12,1994-10-01T00:00:00-03:00,1076.0
1994-11-01,1994,1,11,CONFAZ12_IPVAPB12,1994-11-01T00:00:00-03:00,704.0
1994-12-01,1994,1,12,CONFAZ12_IPVAPB12,1994-12-01T00:00:00-02:00,388.0
1995-01-01,1995,1,1,CONFAZ12_IPVAPB12,1995-01-01T00:00:00-02:00,642.0
1995-02-01,1995,1,2,CONFAZ12_IPVAPB12,1995-02-01T00:00:00-02:00,759.0
1995-03-01,1995,1,3,CONFAZ12_IPVAPB12,1995-03-01T00:00:00-03:00,1017.0
1995-04-01,1995,1,4,CONFAZ12_IPVAPB12,1995-04-01T00:00:00-03:00,807.0
1995-05-01,1995,1,5,CONFAZ12_IPVAPB12,1995-05-01T00:00:00-03:00,880.0
1995-06-01,1995,1,6,CONFAZ12_IPVAPB12,1995-06-01T00:00:00-03:00,822.0
1995-07-01,1995,1,7,CONFAZ12_IPVAPB12,1995-07-01T00:00:00-03:00,957.0
1995-08-01,1995,1,8,CONFAZ12_IPVAPB12,1995-08-01T00:00:00-03:00,1114.0
1995-09-01,1995,1,9,CONFAZ12_IPVAPB12,1995-09-01T00:00:00-03:00,973.0
1995-10-01,1995,1,10,CONFAZ12_IPVAPB12,1995-10-01T00:00:00-03:00,1946.0
1995-11-01,1995,1,11,CONFAZ12_IPVAPB12,1995-11-01T00:00:00-03:00,918.0
1995-12-01,1995,1,12,CONFAZ12_IPVAPB12,1995-12-01T00:00:00-02:00,733.0
1996-01-01,1996,1,1,CONFAZ12_IPVAPB12,1996-01-01T00:00:00-02:00,1019.0
1996-02-01,1996,1,2,CONFAZ12_IPVAPB12,1996-02-01T00:00:00-02:00,1201.0
1996-03-01,1996,1,3,CONFAZ12_IPVAPB12,1996-03-01T00:00:00-03:00,1301.0
1996-04-01,1996,1,4,CONFAZ12_IPVAPB12,1996-04-01T00:00:00-03:00,1210.0
1996-05-01,1996,1,5,CONFAZ12_IPVAPB12,1996-05-01T00:00:00-03:00,1102.0
1996-06-01,1996,1,6,CONFAZ12_IPVAPB12,1996-06-01T00:00:00-03:00,1006.0
1996-07-01,1996,1,7,CONFAZ12_IPVAPB12,1996-07-01T00:00:00-03:00,1231.0
1996-08-01,1996,1,8,CONFAZ12_IPVAPB12,1996-08-01T00:00:00-03:00,1097.0
1996-09-01,1996,1,9,CONFAZ12_IPVAPB12,1996-09-01T00:00:00-03:00,1175.0
1996-10-01,1996,1,10,CONFAZ12_IPVAPB12,1996-10-01T00:00:00-03:00,2484.0
1996-11-01,1996,1,11,CONFAZ12_IPVAPB12,1996-11-01T00:00:00-03:00,1040.0
1996-12-01,1996,1,12,CONFAZ12_IPVAPB12,1996-12-01T00:00:00-02:00,
1997-01-01,1997,1,1,CONFAZ12_IPVAPB12,1997-01-01T00:00:00-02:00,1267.0
1997-02-01,1997,1,2,CONFAZ12_IPVAPB12,1997-02-01T00:00:00-02:00,1278.0
1997-03-01,1997,1,3,CONFAZ12_IPVAPB12,1997-03-01T00:00:00-03:00,1448.0
1997-04-01,1997,1,4,CONFAZ12_IPVAPB12,1997-04-01T00:00:00-03:00,1473.0
1997-05-01,1997,1,5,CONFAZ12_IPVAPB12,1997-05-01T00:00:00-03:00,1235.0
1997-06-01,1997,1,6,CONFAZ12_IPVAPB12,1997-06-01T00:00:00-03:00,1400.0
1997-07-01,1997,1,7,CONFAZ12_IPVAPB12,1997-07-01T00:00:00-03:00,1517.0
1997-08-01,1997,1,8,CONFAZ12_IPVAPB12,1997-08-01T00:00:00-03:00,1344.0
1997-09-01,1997,1,9,CONFAZ12_IPVAPB12,1997-09-01T00:00:00-03:00,1453.0
1997-10-01,1997,1,10,CONFAZ12_IPVAPB12,1997-10-01T00:00:00-03:00,2893.0
1997-11-01,1997,1,11,CONFAZ12_IPVAPB12,1997-11-01T00:00:00-03:00,619.0
1997-12-01,1997,1,12,CONFAZ12_IPVAPB12,1997-12-01T00:00:00-02:00,438.0
1998-01-01,1998,1,1,CONFAZ12_IPVAPB12,1998-01-01T00:00:00-02:00,1651.0
1998-02-01,1998,1,2,CONFAZ12_IPVAPB12,1998-02-01T00:00:00-02:00,1771.0
1998-03-01,1998,1,3,CONFAZ12_IPVAPB12,1998-03-01T00:00:00-03:00,2166.0
1998-04-01,1998,1,4,CONFAZ12_IPVAPB12,1998-04-01T00:00:00-03:00,1847.0
1998-05-01,1998,1,5,CONFAZ12_IPVAPB12,1998-05-01T00:00:00-03:00,1674.0
1998-06-01,1998,1,6,CONFAZ12_IPVAPB12,1998-06-01T00:00:00-03:00,1815.0
1998-07-01,1998,1,7,CONFAZ12_IPVAPB12,1998-07-01T00:00:00-03:00,1991.0
1998-08-01,1998,1,8,CONFAZ12_IPVAPB12,1998-08-01T00:00:00-03:00,2109.0
1998-09-01,1998,1,9,CONFAZ12_IPVAPB12,1998-09-01T00:00:00-03:00,1937.0
1998-10-01,1998,1,10,CONFAZ12_IPVAPB12,1998-10-01T00:00:00-03:00,3155.0
1998-11-01,1998,1,11,CONFAZ12_IPVAPB12,1998-11-01T00:00:00-03:00,1210.0
1998-12-01,1998,1,12,CONFAZ12_IPVAPB12,1998-12-01T00:00:00-02:00,551.0
1999-01-01,1999,1,1,CONFAZ12_IPVAPB12,1999-01-01T00:00:00-02:00,855.0
1999-02-01,1999,1,2,CONFAZ12_IPVAPB12,1999-02-01T00:00:00-02:00,1911.0
1999-03-01,1999,1,3,CONFAZ12_IPVAPB12,1999-03-01T00:00:00-03:00,2312.0
1999-04-01,1999,1,4,CONFAZ12_IPVAPB12,1999-04-01T00:00:00-03:00,2298.0
1999-05-01,1999,1,5,CONFAZ12_IPVAPB12,1999-05-01T00:00:00-03:00,2613.0
1999-06-01,1999,1,6,CONFAZ12_IPVAPB12,1999-06-01T00:00:00-03:00,3264.0
1999-07-01,1999,1,7,CONFAZ12_IPVAPB12,1999-07-01T00:00:00-03:00,3975.0
1999-08-01,1999,1,8,CONFAZ12_IPVAPB12,1999-08-01T00:00:00-03:00,4482.0
1999-09-01,1999,1,9,CONFAZ12_IPVAPB12,1999-09-01T00:00:00-03:00,1061.0
1999-10-01,1999,1,10,CONFAZ12_IPVAPB12,1999-10-01T00:00:00-03:00,721.0
1999-11-01,1999,1,11,CONFAZ12_IPVAPB12,1999-11-01T00:00:00-03:00,462.0
1999-12-01,1999,1,12,CONFAZ12_IPVAPB12,1999-12-01T00:00:00-02:00,469.0
2000-01-01,2000,1,1,CONFAZ12_IPVAPB12,2000-01-01T00:00:00-02:00,749.0
2000-02-01,2000,1,2,CONFAZ12_IPVAPB12,2000-02-01T00:00:00-02:00,1041.0
2000-03-01,2000,1,3,CONFAZ12_IPVAPB12,2000-03-01T00:00:00-03:00,1766.0
2000-04-01,2000,1,4,CONFAZ12_IPVAPB12,2000-04-01T00:00:00-03:00,1629.0
2000-05-01,2000,1,5,CONFAZ12_IPVAPB12,2000-05-01T00:00:00-03:00,2570.0
2000-06-01,2000,1,6,CONFAZ12_IPVAPB12,2000-06-01T00:00:00-03:00,3184.0
2000-07-01,2000,1,7,CONFAZ12_IPVAPB12,2000-07-01T00:00:00-03:00,3184.0
2000-08-01,2000,1,8,CONFAZ12_IPVAPB12,2000-08-01T00:00:00-03:00,3915.0
2000-09-01,2000,1,9,CONFAZ12_IPVAPB12,2000-09-01T00:00:00-03:00,2564.0
2000-10-01,2000,1,10,CONFAZ12_IPVAPB12,2000-10-01T00:00:00-03:00,3496.0
2000-11-01,2000,1,11,CONFAZ12_IPVAPB12,2000-11-01T00:00:00-03:00,1266.0
2000-12-01,2000,1,12,CONFAZ12_IPVAPB12,2000-12-01T00:00:00-02:00,735.0
2001-01-01,2001,1,1,CONFAZ12_IPVAPB12,2001-01-01T00:00:00-02:00,1389.0
2001-02-01,2001,1,2,CONFAZ12_IPVAPB12,2001-02-01T00:00:00-02:00,1345.0
2001-03-01,2001,1,3,CONFAZ12_IPVAPB12,2001-03-01T00:00:00-03:00,3112.0
2001-04-01,2001,1,4,CONFAZ12_IPVAPB12,2001-04-01T00:00:00-03:00,4614.0
2001-05-01,2001,1,5,CONFAZ12_IPVAPB12,2001-05-01T00:00:00-03:00,3074.0
2001-06-01,2001,1,6,CONFAZ12_IPVAPB12,2001-06-01T00:00:00-03:00,2120.0
2001-07-01,2001,1,7,CONFAZ12_IPVAPB12,2001-07-01T00:00:00-03:00,3273.0
2001-08-01,2001,1,8,CONFAZ12_IPVAPB12,2001-08-01T00:00:00-03:00,3279.0
2001-09-01,2001,1,9,CONFAZ12_IPVAPB12,2001-09-01T00:00:00-03:00,1803.0
2001-10-01,2001,1,10,CONFAZ12_IPVAPB12,2001-10-01T00:00:00-03:00,3859.0
2001-11-01,2001,1,11,CONFAZ12_IPVAPB12,2001-11-01T00:00:00-03:00,2630.0
2001-12-01,2001,1,12,CONFAZ12_IPVAPB12,2001-12-01T00:00:00-02:00,886.0
2002-01-01,2002,1,1,CONFAZ12_IPVAPB12,2002-01-01T00:00:00-02:00,1161.0
