DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IPVAPI12,1993-01-01T00:00:00-02:00,2223.0
1993-02-01,1993,1,2,CONFAZ12_IPVAPI12,1993-02-01T00:00:00-02:00,5666.0
1993-03-01,1993,1,3,CONFAZ12_IPVAPI12,1993-03-01T00:00:00-03:00,12256.0
1993-04-01,1993,1,4,CONFAZ12_IPVAPI12,1993-04-01T00:00:00-03:00,12256.0
1993-05-01,1993,1,5,CONFAZ12_IPVAPI12,1993-05-01T00:00:00-03:00,17905.0
1993-06-01,1993,1,6,CONFAZ12_IPVAPI12,1993-06-01T00:00:00-03:00,22299.0
1993-07-01,1993,1,7,CONFAZ12_IPVAPI12,1993-07-01T00:00:00-03:00,29261.0
1993-08-01,1993,1,8,CONFAZ12_IPVAPI12,1993-08-01T00:00:00-03:00,36430.0
1993-09-01,1993,1,9,CONFAZ12_IPVAPI12,1993-09-01T00:00:00-03:00,44011.0
1993-10-01,1993,1,10,CONFAZ12_IPVAPI12,1993-10-01T00:00:00-03:00,62256.0
1993-11-01,1993,1,11,CONFAZ12_IPVAPI12,1993-11-01T00:00:00-03:00,61266.0
1993-12-01,1993,1,12,CONFAZ12_IPVAPI12,1993-12-01T00:00:00-02:00,59863.0
1994-01-01,1994,1,1,CONFAZ12_IPVAPI12,1994-01-01T00:00:00-02:00,75509.0
1994-02-01,1994,1,2,CONFAZ12_IPVAPI12,1994-02-01T00:00:00-02:00,737159.0
1994-03-01,1994,1,3,CONFAZ12_IPVAPI12,1994-03-01T00:00:00-03:00,260798.0
1994-04-01,1994,1,4,CONFAZ12_IPVAPI12,1994-04-01T00:00:00-03:00,389827.0
1994-05-01,1994,1,5,CONFAZ12_IPVAPI12,1994-05-01T00:00:00-03:00,616234.0
1994-06-01,1994,1,6,CONFAZ12_IPVAPI12,1994-06-01T00:00:00-03:00,705679.0
1994-07-01,1994,1,7,CONFAZ12_IPVAPI12,1994-07-01T00:00:00-03:00,272.0
1994-08-01,1994,1,8,CONFAZ12_IPVAPI12,1994-08-01T00:00:00-03:00,436.0
1994-09-01,1994,1,9,CONFAZ12_IPVAPI12,1994-09-01T00:00:00-03:00,421.0
1994-10-01,1994,1,10,CONFAZ12_IPVAPI12,1994-10-01T00:00:00-03:00,358.0
1994-11-01,1994,1,11,CONFAZ12_IPVAPI12,1994-11-01T00:00:00-03:00,310.0
1994-12-01,1994,1,12,CONFAZ12_IPVAPI12,1994-12-01T00:00:00-02:00,204.0
1995-01-01,1995,1,1,CONFAZ12_IPVAPI12,1995-01-01T00:00:00-02:00,196.0
1995-02-01,1995,1,2,CONFAZ12_IPVAPI12,1995-02-01T00:00:00-02:00,416.0
1995-03-01,1995,1,3,CONFAZ12_IPVAPI12,1995-03-01T00:00:00-03:00,494.0
1995-04-01,1995,1,4,CONFAZ12_IPVAPI12,1995-04-01T00:00:00-03:00,542.0
1995-05-01,1995,1,5,CONFAZ12_IPVAPI12,1995-05-01T00:00:00-03:00,665.0
1995-06-01,1995,1,6,CONFAZ12_IPVAPI12,1995-06-01T00:00:00-03:00,586.0
1995-07-01,1995,1,7,CONFAZ12_IPVAPI12,1995-07-01T00:00:00-03:00,585.0
1995-08-01,1995,1,8,CONFAZ12_IPVAPI12,1995-08-01T00:00:00-03:00,530.0
1995-09-01,1995,1,9,CONFAZ12_IPVAPI12,1995-09-01T00:00:00-03:00,514.0
1995-10-01,1995,1,10,CONFAZ12_IPVAPI12,1995-10-01T00:00:00-03:00,653.0
1995-11-01,1995,1,11,CONFAZ12_IPVAPI12,1995-11-01T00:00:00-03:00,378.0
1995-12-01,1995,1,12,CONFAZ12_IPVAPI12,1995-12-01T00:00:00-02:00,315.0
1996-01-01,1996,1,1,CONFAZ12_IPVAPI12,1996-01-01T00:00:00-02:00,482.0
1996-02-01,1996,1,2,CONFAZ12_IPVAPI12,1996-02-01T00:00:00-02:00,601.0
1996-03-01,1996,1,3,CONFAZ12_IPVAPI12,1996-03-01T00:00:00-03:00,987.0
1996-04-01,1996,1,4,CONFAZ12_IPVAPI12,1996-04-01T00:00:00-03:00,983.0
1996-05-01,1996,1,5,CONFAZ12_IPVAPI12,1996-05-01T00:00:00-03:00,880.0
1996-06-01,1996,1,6,CONFAZ12_IPVAPI12,1996-06-01T00:00:00-03:00,708.0
1996-07-01,1996,1,7,CONFAZ12_IPVAPI12,1996-07-01T00:00:00-03:00,793.0
1996-08-01,1996,1,8,CONFAZ12_IPVAPI12,1996-08-01T00:00:00-03:00,755.0
1996-09-01,1996,1,9,CONFAZ12_IPVAPI12,1996-09-01T00:00:00-03:00,715.0
1996-10-01,1996,1,10,CONFAZ12_IPVAPI12,1996-10-01T00:00:00-03:00,791.0
1996-11-01,1996,1,11,CONFAZ12_IPVAPI12,1996-11-01T00:00:00-03:00,465.0
1996-12-01,1996,1,12,CONFAZ12_IPVAPI12,1996-12-01T00:00:00-02:00,
1997-01-01,1997,1,1,CONFAZ12_IPVAPI12,1997-01-01T00:00:00-02:00,696.0
1997-02-01,1997,1,2,CONFAZ12_IPVAPI12,1997-02-01T00:00:00-02:00,807.0
1997-03-01,1997,1,3,CONFAZ12_IPVAPI12,1997-03-01T00:00:00-03:00,1139.0
1997-04-01,1997,1,4,CONFAZ12_IPVAPI12,1997-04-01T00:00:00-03:00,1440.0
1997-05-01,1997,1,5,CONFAZ12_IPVAPI12,1997-05-01T00:00:00-03:00,1129.0
1997-06-01,1997,1,6,CONFAZ12_IPVAPI12,1997-06-01T00:00:00-03:00,1072.0
1997-07-01,1997,1,7,CONFAZ12_IPVAPI12,1997-07-01T00:00:00-03:00,1130.0
1997-08-01,1997,1,8,CONFAZ12_IPVAPI12,1997-08-01T00:00:00-03:00,902.0
