DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IRBA12,1993-01-01T00:00:00-02:00,22773769.0
1993-02-01,1993,1,2,CONFAZ12_IRBA12,1993-02-01T00:00:00-02:00,23999680.0
1993-03-01,1993,1,3,CONFAZ12_IRBA12,1993-03-01T00:00:00-03:00,20765919.0
1993-04-01,1993,1,4,CONFAZ12_IRBA12,1993-04-01T00:00:00-03:00,21495193.0
1993-05-01,1993,1,5,CONFAZ12_IRBA12,1993-05-01T00:00:00-03:00,36224312.0
1993-06-01,1993,1,6,CONFAZ12_IRBA12,1993-06-01T00:00:00-03:00,32162275.0
1993-07-01,1993,1,7,CONFAZ12_IRBA12,1993-07-01T00:00:00-03:00,24595516.0
1993-08-01,1993,1,8,CONFAZ12_IRBA12,1993-08-01T00:00:00-03:00,22475328.0
1993-09-01,1993,1,9,CONFAZ12_IRBA12,1993-09-01T00:00:00-03:00,28350641.0
1993-10-01,1993,1,10,CONFAZ12_IRBA12,1993-10-01T00:00:00-03:00,23720307.0
1993-11-01,1993,1,11,CONFAZ12_IRBA12,1993-11-01T00:00:00-03:00,25015293.0
1993-12-01,1993,1,12,CONFAZ12_IRBA12,1993-12-01T00:00:00-02:00,32921685.0
1994-01-01,1994,1,1,CONFAZ12_IRBA12,1994-01-01T00:00:00-02:00,35432225.0
1994-02-01,1994,1,2,CONFAZ12_IRBA12,1994-02-01T00:00:00-02:00,28978380.0
1994-03-01,1994,1,3,CONFAZ12_IRBA12,1994-03-01T00:00:00-03:00,23517074.0
1994-04-01,1994,1,4,CONFAZ12_IRBA12,1994-04-01T00:00:00-03:00,33217503.0
1994-05-01,1994,1,5,CONFAZ12_IRBA12,1994-05-01T00:00:00-03:00,30509044.0
1994-06-01,1994,1,6,CONFAZ12_IRBA12,1994-06-01T00:00:00-03:00,33781947.0
1994-07-01,1994,1,7,CONFAZ12_IRBA12,1994-07-01T00:00:00-03:00,32562221.0
1994-08-01,1994,1,8,CONFAZ12_IRBA12,1994-08-01T00:00:00-03:00,28092019.0
1994-09-01,1994,1,9,CONFAZ12_IRBA12,1994-09-01T00:00:00-03:00,24269763.0
1994-10-01,1994,1,10,CONFAZ12_IRBA12,1994-10-01T00:00:00-03:00,27335683.0
1994-11-01,1994,1,11,CONFAZ12_IRBA12,1994-11-01T00:00:00-03:00,27430781.0
1994-12-01,1994,1,12,CONFAZ12_IRBA12,1994-12-01T00:00:00-02:00,45801493.0
1995-01-01,1995,1,1,CONFAZ12_IRBA12,1995-01-01T00:00:00-02:00,38643135.0
1995-02-01,1995,1,2,CONFAZ12_IRBA12,1995-02-01T00:00:00-02:00,37771942.0
1995-03-01,1995,1,3,CONFAZ12_IRBA12,1995-03-01T00:00:00-03:00,57409220.0
1995-04-01,1995,1,4,CONFAZ12_IRBA12,1995-04-01T00:00:00-03:00,35444944.0
1995-05-01,1995,1,5,CONFAZ12_IRBA12,1995-05-01T00:00:00-03:00,75807481.0
1995-06-01,1995,1,6,CONFAZ12_IRBA12,1995-06-01T00:00:00-03:00,47103067.0
1995-07-01,1995,1,7,CONFAZ12_IRBA12,1995-07-01T00:00:00-03:00,49671537.0
1995-08-01,1995,1,8,CONFAZ12_IRBA12,1995-08-01T00:00:00-03:00,55653259.0
1995-09-01,1995,1,9,CONFAZ12_IRBA12,1995-09-01T00:00:00-03:00,36513627.0
1995-10-01,1995,1,10,CONFAZ12_IRBA12,1995-10-01T00:00:00-03:00,38754888.0
1995-11-01,1995,1,11,CONFAZ12_IRBA12,1995-11-01T00:00:00-03:00,43826363.0
1995-12-01,1995,1,12,CONFAZ12_IRBA12,1995-12-01T00:00:00-02:00,48421724.0
1996-01-01,1996,1,1,CONFAZ12_IRBA12,1996-01-01T00:00:00-02:00,41245278.0
1996-02-01,1996,1,2,CONFAZ12_IRBA12,1996-02-01T00:00:00-02:00,56037257.0
1996-03-01,1996,1,3,CONFAZ12_IRBA12,1996-03-01T00:00:00-03:00,61047384.0
1996-04-01,1996,1,4,CONFAZ12_IRBA12,1996-04-01T00:00:00-03:00,67944470.0
1996-05-01,1996,1,5,CONFAZ12_IRBA12,1996-05-01T00:00:00-03:00,63310434.0
1996-06-01,1996,1,6,CONFAZ12_IRBA12,1996-06-01T00:00:00-03:00,47740508.0
1996-07-01,1996,1,7,CONFAZ12_IRBA12,1996-07-01T00:00:00-03:00,57983217.0
1996-08-01,1996,1,8,CONFAZ12_IRBA12,1996-08-01T00:00:00-03:00,46338857.0
1996-09-01,1996,1,9,CONFAZ12_IRBA12,1996-09-01T00:00:00-03:00,41689854.0
1996-10-01,1996,1,10,CONFAZ12_IRBA12,1996-10-01T00:00:00-03:00,49561303.0
1996-11-01,1996,1,11,CONFAZ12_IRBA12,1996-11-01T00:00:00-03:00,41319062.0
1996-12-01,1996,1,12,CONFAZ12_IRBA12,1996-12-01T00:00:00-02:00,65801023.0
1997-01-01,1997,1,1,CONFAZ12_IRBA12,1997-01-01T00:00:00-02:00,45469566.0
1997-02-01,1997,1,2,CONFAZ12_IRBA12,1997-02-01T00:00:00-02:00,41262532.0
1997-03-01,1997,1,3,CONFAZ12_IRBA12,1997-03-01T00:00:00-03:00,53429271.0
1997-04-01,1997,1,4,CONFAZ12_IRBA12,1997-04-01T00:00:00-03:00,61314638.0
1997-05-01,1997,1,5,CONFAZ12_IRBA12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IRBA12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IRBA12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IRBA12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IRBA12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_IRBA12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_IRBA12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_IRBA12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_IRBA12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_IRBA12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_IRBA12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_IRBA12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_IRBA12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_IRBA12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_IRBA12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_IRBA12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_IRBA12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_IRBA12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_IRBA12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_IRBA12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_IRBA12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_IRBA12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_IRBA12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_IRBA12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_IRBA12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_IRBA12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_IRBA12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_IRBA12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_IRBA12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_IRBA12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_IRBA12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_IRBA12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_IRBA12,2000-01-01T00:00:00-02:00,73348514.0
2000-02-01,2000,1,2,CONFAZ12_IRBA12,2000-02-01T00:00:00-02:00,59933803.0
2000-03-01,2000,1,3,CONFAZ12_IRBA12,2000-03-01T00:00:00-03:00,87081321.0
2000-04-01,2000,1,4,CONFAZ12_IRBA12,2000-04-01T00:00:00-03:00,80736901.0
2000-05-01,2000,1,5,CONFAZ12_IRBA12,2000-05-01T00:00:00-03:00,84868859.0
2000-06-01,2000,1,6,CONFAZ12_IRBA12,2000-06-01T00:00:00-03:00,89847214.0
2000-07-01,2000,1,7,CONFAZ12_IRBA12,2000-07-01T00:00:00-03:00,77675065.0
2000-08-01,2000,1,8,CONFAZ12_IRBA12,2000-08-01T00:00:00-03:00,77080284.0
2000-09-01,2000,1,9,CONFAZ12_IRBA12,2000-09-01T00:00:00-03:00,63328828.0
2000-10-01,2000,1,10,CONFAZ12_IRBA12,2000-10-01T00:00:00-03:00,63115046.0
2000-11-01,2000,1,11,CONFAZ12_IRBA12,2000-11-01T00:00:00-03:00,64794142.0
2000-12-01,2000,1,12,CONFAZ12_IRBA12,2000-12-01T00:00:00-02:00,88687267.0
2001-01-01,2001,1,1,CONFAZ12_IRBA12,2001-01-01T00:00:00-02:00,92989619.0
2001-02-01,2001,1,2,CONFAZ12_IRBA12,2001-02-01T00:00:00-02:00,54872264.0
2001-03-01,2001,1,3,CONFAZ12_IRBA12,2001-03-01T00:00:00-03:00,85541885.0
2001-04-01,2001,1,4,CONFAZ12_IRBA12,2001-04-01T00:00:00-03:00,85517608.0
2001-05-01,2001,1,5,CONFAZ12_IRBA12,2001-05-01T00:00:00-03:00,89000090.0
2001-06-01,2001,1,6,CONFAZ12_IRBA12,2001-06-01T00:00:00-03:00,65033791.0
2001-07-01,2001,1,7,CONFAZ12_IRBA12,2001-07-01T00:00:00-03:00,87161103.0
2001-08-01,2001,1,8,CONFAZ12_IRBA12,2001-08-01T00:00:00-03:00,85448344.0
2001-09-01,2001,1,9,CONFAZ12_IRBA12,2001-09-01T00:00:00-03:00,199468258.0
2001-10-01,2001,1,10,CONFAZ12_IRBA12,2001-10-01T00:00:00-03:00,94958707.0
2001-11-01,2001,1,11,CONFAZ12_IRBA12,2001-11-01T00:00:00-03:00,70185318.0
2001-12-01,2001,1,12,CONFAZ12_IRBA12,2001-12-01T00:00:00-02:00,97971751.0
2002-01-01,2002,1,1,CONFAZ12_IRBA12,2002-01-01T00:00:00-02:00,133994917.0
2002-02-01,2002,1,2,CONFAZ12_IRBA12,2002-02-01T00:00:00-02:00,83103264.0
2002-03-01,2002,1,3,CONFAZ12_IRBA12,2002-03-01T00:00:00-03:00,110844583.0
2002-04-01,2002,1,4,CONFAZ12_IRBA12,2002-04-01T00:00:00-03:00,161614727.0
2002-05-01,2002,1,5,CONFAZ12_IRBA12,2002-05-01T00:00:00-03:00,113436330.0
2002-06-01,2002,1,6,CONFAZ12_IRBA12,2002-06-01T00:00:00-03:00,80031503.0
2002-07-01,2002,1,7,CONFAZ12_IRBA12,2002-07-01T00:00:00-03:00,96053165.0
2002-08-01,2002,1,8,CONFAZ12_IRBA12,2002-08-01T00:00:00-03:00,81332503.0
2002-09-01,2002,1,9,CONFAZ12_IRBA12,2002-09-01T00:00:00-03:00,434604597.0
2002-10-01,2002,1,10,CONFAZ12_IRBA12,2002-10-01T00:00:00-03:00,168703867.0
2002-11-01,2002,1,11,CONFAZ12_IRBA12,2002-11-01T00:00:00-03:00,88757754.0
2002-12-01,2002,1,12,CONFAZ12_IRBA12,2002-12-01T00:00:00-02:00,124787425.0
2003-01-01,2003,1,1,CONFAZ12_IRBA12,2003-01-01T00:00:00-02:00,119893289.0
2003-02-01,2003,1,2,CONFAZ12_IRBA12,2003-02-01T00:00:00-02:00,111802606.0
2003-03-01,2003,1,3,CONFAZ12_IRBA12,2003-03-01T00:00:00-03:00,114145287.0
2003-04-01,2003,1,4,CONFAZ12_IRBA12,2003-04-01T00:00:00-03:00,145081161.0
2003-05-01,2003,1,5,CONFAZ12_IRBA12,2003-05-01T00:00:00-03:00,112415326.0
2003-06-01,2003,1,6,CONFAZ12_IRBA12,2003-06-01T00:00:00-03:00,83728044.0
2003-07-01,2003,1,7,CONFAZ12_IRBA12,2003-07-01T00:00:00-03:00,112521641.0
2003-08-01,2003,1,8,CONFAZ12_IRBA12,2003-08-01T00:00:00-03:00,78828716.0
2003-09-01,2003,1,9,CONFAZ12_IRBA12,2003-09-01T00:00:00-03:00,78927877.0
2003-10-01,2003,1,10,CONFAZ12_IRBA12,2003-10-01T00:00:00-03:00,88420692.0
2003-11-01,2003,1,11,CONFAZ12_IRBA12,2003-11-01T00:00:00-03:00,79920632.0
2003-12-01,2003,1,12,CONFAZ12_IRBA12,2003-12-01T00:00:00-02:00,100353689.0
2004-01-01,2004,1,1,CONFAZ12_IRBA12,2004-01-01T00:00:00-02:00,119524932.0
2004-02-01,2004,1,2,CONFAZ12_IRBA12,2004-02-01T00:00:00-02:00,84727620.0
2004-03-01,2004,1,3,CONFAZ12_IRBA12,2004-03-01T00:00:00-03:00,149681863.0
2004-04-01,2004,1,4,CONFAZ12_IRBA12,2004-04-01T00:00:00-03:00,144403026.0
2004-05-01,2004,1,5,CONFAZ12_IRBA12,2004-05-01T00:00:00-03:00,91085822.0
2004-06-01,2004,1,6,CONFAZ12_IRBA12,2004-06-01T00:00:00-03:00,93730801.0
2004-07-01,2004,1,7,CONFAZ12_IRBA12,2004-07-01T00:00:00-03:00,109234348.0
2004-08-01,2004,1,8,CONFAZ12_IRBA12,2004-08-01T00:00:00-03:00,94134038.0
2004-09-01,2004,1,9,CONFAZ12_IRBA12,2004-09-01T00:00:00-03:00,97124878.0
2004-10-01,2004,1,10,CONFAZ12_IRBA12,2004-10-01T00:00:00-03:00,116576435.0
2004-11-01,2004,1,11,CONFAZ12_IRBA12,2004-11-01T00:00:00-03:00,95070576.0
2004-12-01,2004,1,12,CONFAZ12_IRBA12,2004-12-01T00:00:00-02:00,160535380.0
2005-01-01,2005,1,1,CONFAZ12_IRBA12,2005-01-01T00:00:00-02:00,197827857.0
2005-02-01,2005,1,2,CONFAZ12_IRBA12,2005-02-01T00:00:00-02:00,199018085.0
2005-03-01,2005,1,3,CONFAZ12_IRBA12,2005-03-01T00:00:00-03:00,185705182.0
2005-04-01,2005,1,4,CONFAZ12_IRBA12,2005-04-01T00:00:00-03:00,195730356.0
2005-05-01,2005,1,5,CONFAZ12_IRBA12,2005-05-01T00:00:00-03:00,126069950.0
2005-06-01,2005,1,6,CONFAZ12_IRBA12,2005-06-01T00:00:00-03:00,134095338.0
2005-07-01,2005,1,7,CONFAZ12_IRBA12,2005-07-01T00:00:00-03:00,162821248.0
2005-08-01,2005,1,8,CONFAZ12_IRBA12,2005-08-01T00:00:00-03:00,144901298.0
2005-09-01,2005,1,9,CONFAZ12_IRBA12,2005-09-01T00:00:00-03:00,287397077.0
2005-10-01,2005,1,10,CONFAZ12_IRBA12,2005-10-01T00:00:00-03:00,143762869.0
2005-11-01,2005,1,11,CONFAZ12_IRBA12,2005-11-01T00:00:00-02:00,132475256.0
2005-12-01,2005,1,12,CONFAZ12_IRBA12,2005-12-01T00:00:00-02:00,190087431.0
2006-01-01,2006,1,1,CONFAZ12_IRBA12,2006-01-01T00:00:00-02:00,174416269.0
