DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IRMA12,1993-01-01T00:00:00-02:00,2093094.0
1993-02-01,1993,1,2,CONFAZ12_IRMA12,1993-02-01T00:00:00-02:00,2574221.0
1993-03-01,1993,1,3,CONFAZ12_IRMA12,1993-03-01T00:00:00-03:00,3144294.0
1993-04-01,1993,1,4,CONFAZ12_IRMA12,1993-04-01T00:00:00-03:00,2950544.0
1993-05-01,1993,1,5,CONFAZ12_IRMA12,1993-05-01T00:00:00-03:00,5141008.0
1993-06-01,1993,1,6,CONFAZ12_IRMA12,1993-06-01T00:00:00-03:00,5156173.0
1993-07-01,1993,1,7,CONFAZ12_IRMA12,1993-07-01T00:00:00-03:00,4717508.0
1993-08-01,1993,1,8,CONFAZ12_IRMA12,1993-08-01T00:00:00-03:00,2994735.0
1993-09-01,1993,1,9,CONFAZ12_IRMA12,1993-09-01T00:00:00-03:00,2930248.0
1993-10-01,1993,1,10,CONFAZ12_IRMA12,1993-10-01T00:00:00-03:00,3341950.0
1993-11-01,1993,1,11,CONFAZ12_IRMA12,1993-11-01T00:00:00-03:00,2787261.0
1993-12-01,1993,1,12,CONFAZ12_IRMA12,1993-12-01T00:00:00-02:00,4150386.0
1994-01-01,1994,1,1,CONFAZ12_IRMA12,1994-01-01T00:00:00-02:00,4460560.0
1994-02-01,1994,1,2,CONFAZ12_IRMA12,1994-02-01T00:00:00-02:00,3855676.0
1994-03-01,1994,1,3,CONFAZ12_IRMA12,1994-03-01T00:00:00-03:00,3621960.0
1994-04-01,1994,1,4,CONFAZ12_IRMA12,1994-04-01T00:00:00-03:00,4328048.0
1994-05-01,1994,1,5,CONFAZ12_IRMA12,1994-05-01T00:00:00-03:00,3794596.0
1994-06-01,1994,1,6,CONFAZ12_IRMA12,1994-06-01T00:00:00-03:00,4100311.0
1994-07-01,1994,1,7,CONFAZ12_IRMA12,1994-07-01T00:00:00-03:00,3488465.0
1994-08-01,1994,1,8,CONFAZ12_IRMA12,1994-08-01T00:00:00-03:00,4872807.0
1994-09-01,1994,1,9,CONFAZ12_IRMA12,1994-09-01T00:00:00-03:00,4269511.0
1994-10-01,1994,1,10,CONFAZ12_IRMA12,1994-10-01T00:00:00-03:00,3384231.0
1994-11-01,1994,1,11,CONFAZ12_IRMA12,1994-11-01T00:00:00-03:00,4342439.0
1994-12-01,1994,1,12,CONFAZ12_IRMA12,1994-12-01T00:00:00-02:00,5626397.0
1995-01-01,1995,1,1,CONFAZ12_IRMA12,1995-01-01T00:00:00-02:00,5808270.0
1995-02-01,1995,1,2,CONFAZ12_IRMA12,1995-02-01T00:00:00-02:00,5610949.0
1995-03-01,1995,1,3,CONFAZ12_IRMA12,1995-03-01T00:00:00-03:00,6405284.0
1995-04-01,1995,1,4,CONFAZ12_IRMA12,1995-04-01T00:00:00-03:00,4893687.0
1995-05-01,1995,1,5,CONFAZ12_IRMA12,1995-05-01T00:00:00-03:00,8726206.0
1995-06-01,1995,1,6,CONFAZ12_IRMA12,1995-06-01T00:00:00-03:00,7788737.0
1995-07-01,1995,1,7,CONFAZ12_IRMA12,1995-07-01T00:00:00-03:00,8966416.0
1995-08-01,1995,1,8,CONFAZ12_IRMA12,1995-08-01T00:00:00-03:00,7384121.0
1995-09-01,1995,1,9,CONFAZ12_IRMA12,1995-09-01T00:00:00-03:00,8236060.0
1995-10-01,1995,1,10,CONFAZ12_IRMA12,1995-10-01T00:00:00-03:00,7220839.0
1995-11-01,1995,1,11,CONFAZ12_IRMA12,1995-11-01T00:00:00-03:00,6518983.0
