DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IRMG12,1993-01-01T00:00:00-02:00,85960485.0
1993-02-01,1993,1,2,CONFAZ12_IRMG12,1993-02-01T00:00:00-02:00,85092087.0
1993-03-01,1993,1,3,CONFAZ12_IRMG12,1993-03-01T00:00:00-03:00,90126593.0
1993-04-01,1993,1,4,CONFAZ12_IRMG12,1993-04-01T00:00:00-03:00,79463837.0
1993-05-01,1993,1,5,CONFAZ12_IRMG12,1993-05-01T00:00:00-03:00,166699533.0
1993-06-01,1993,1,6,CONFAZ12_IRMG12,1993-06-01T00:00:00-03:00,79824280.0
1993-07-01,1993,1,7,CONFAZ12_IRMG12,1993-07-01T00:00:00-03:00,68066908.0
1993-08-01,1993,1,8,CONFAZ12_IRMG12,1993-08-01T00:00:00-03:00,61769816.0
1993-09-01,1993,1,9,CONFAZ12_IRMG12,1993-09-01T00:00:00-03:00,65843027.0
1993-10-01,1993,1,10,CONFAZ12_IRMG12,1993-10-01T00:00:00-03:00,54993657.0
1993-11-01,1993,1,11,CONFAZ12_IRMG12,1993-11-01T00:00:00-03:00,68120675.0
1993-12-01,1993,1,12,CONFAZ12_IRMG12,1993-12-01T00:00:00-02:00,105338542.0
1994-01-01,1994,1,1,CONFAZ12_IRMG12,1994-01-01T00:00:00-02:00,101631273.0
1994-02-01,1994,1,2,CONFAZ12_IRMG12,1994-02-01T00:00:00-02:00,67928972.0
1994-03-01,1994,1,3,CONFAZ12_IRMG12,1994-03-01T00:00:00-03:00,70871476.0
1994-04-01,1994,1,4,CONFAZ12_IRMG12,1994-04-01T00:00:00-03:00,135979472.0
1994-05-01,1994,1,5,CONFAZ12_IRMG12,1994-05-01T00:00:00-03:00,77339548.0
1994-06-01,1994,1,6,CONFAZ12_IRMG12,1994-06-01T00:00:00-03:00,88874135.0
1994-07-01,1994,1,7,CONFAZ12_IRMG12,1994-07-01T00:00:00-03:00,74008798.0
1994-08-01,1994,1,8,CONFAZ12_IRMG12,1994-08-01T00:00:00-03:00,61666808.0
1994-09-01,1994,1,9,CONFAZ12_IRMG12,1994-09-01T00:00:00-03:00,70368209.0
1994-10-01,1994,1,10,CONFAZ12_IRMG12,1994-10-01T00:00:00-03:00,87932765.0
