DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IRMT12,1993-01-01T00:00:00-02:00,4137895.0
1993-02-01,1993,1,2,CONFAZ12_IRMT12,1993-02-01T00:00:00-02:00,3240810.0
1993-03-01,1993,1,3,CONFAZ12_IRMT12,1993-03-01T00:00:00-03:00,3073989.0
1993-04-01,1993,1,4,CONFAZ12_IRMT12,1993-04-01T00:00:00-03:00,4257984.0
1993-05-01,1993,1,5,CONFAZ12_IRMT12,1993-05-01T00:00:00-03:00,7505751.0
1993-06-01,1993,1,6,CONFAZ12_IRMT12,1993-06-01T00:00:00-03:00,4276909.0
1993-07-01,1993,1,7,CONFAZ12_IRMT12,1993-07-01T00:00:00-03:00,4329589.0
1993-08-01,1993,1,8,CONFAZ12_IRMT12,1993-08-01T00:00:00-03:00,4306055.0
1993-09-01,1993,1,9,CONFAZ12_IRMT12,1993-09-01T00:00:00-03:00,4322456.0
1993-10-01,1993,1,10,CONFAZ12_IRMT12,1993-10-01T00:00:00-03:00,4107948.0
1993-11-01,1993,1,11,CONFAZ12_IRMT12,1993-11-01T00:00:00-03:00,3827503.0
1993-12-01,1993,1,12,CONFAZ12_IRMT12,1993-12-01T00:00:00-02:00,4738279.0
1994-01-01,1994,1,1,CONFAZ12_IRMT12,1994-01-01T00:00:00-02:00,5222948.0
1994-02-01,1994,1,2,CONFAZ12_IRMT12,1994-02-01T00:00:00-02:00,3908890.0
1994-03-01,1994,1,3,CONFAZ12_IRMT12,1994-03-01T00:00:00-03:00,4737997.0
1994-04-01,1994,1,4,CONFAZ12_IRMT12,1994-04-01T00:00:00-03:00,6460753.0
1994-05-01,1994,1,5,CONFAZ12_IRMT12,1994-05-01T00:00:00-03:00,6484642.0
1994-06-01,1994,1,6,CONFAZ12_IRMT12,1994-06-01T00:00:00-03:00,4447308.0
1994-07-01,1994,1,7,CONFAZ12_IRMT12,1994-07-01T00:00:00-03:00,3846378.0
1994-08-01,1994,1,8,CONFAZ12_IRMT12,1994-08-01T00:00:00-03:00,4208428.0
1994-09-01,1994,1,9,CONFAZ12_IRMT12,1994-09-01T00:00:00-03:00,4926241.0
1994-10-01,1994,1,10,CONFAZ12_IRMT12,1994-10-01T00:00:00-03:00,4414251.0
1994-11-01,1994,1,11,CONFAZ12_IRMT12,1994-11-01T00:00:00-03:00,5437873.0
1994-12-01,1994,1,12,CONFAZ12_IRMT12,1994-12-01T00:00:00-02:00,6253744.0
1995-01-01,1995,1,1,CONFAZ12_IRMT12,1995-01-01T00:00:00-02:00,5851418.0
1995-02-01,1995,1,2,CONFAZ12_IRMT12,1995-02-01T00:00:00-02:00,6122654.0
1995-03-01,1995,1,3,CONFAZ12_IRMT12,1995-03-01T00:00:00-03:00,6382443.0
1995-04-01,1995,1,4,CONFAZ12_IRMT12,1995-04-01T00:00:00-03:00,5058834.0
1995-05-01,1995,1,5,CONFAZ12_IRMT12,1995-05-01T00:00:00-03:00,13332551.0
1995-06-01,1995,1,6,CONFAZ12_IRMT12,1995-06-01T00:00:00-03:00,8347626.0
1995-07-01,1995,1,7,CONFAZ12_IRMT12,1995-07-01T00:00:00-03:00,7024744.0
1995-08-01,1995,1,8,CONFAZ12_IRMT12,1995-08-01T00:00:00-03:00,8085176.0
1995-09-01,1995,1,9,CONFAZ12_IRMT12,1995-09-01T00:00:00-03:00,9387295.0
1995-10-01,1995,1,10,CONFAZ12_IRMT12,1995-10-01T00:00:00-03:00,9661896.0
1995-11-01,1995,1,11,CONFAZ12_IRMT12,1995-11-01T00:00:00-03:00,8793522.0
1995-12-01,1995,1,12,CONFAZ12_IRMT12,1995-12-01T00:00:00-02:00,8892932.0
1996-01-01,1996,1,1,CONFAZ12_IRMT12,1996-01-01T00:00:00-02:00,8321323.0
1996-02-01,1996,1,2,CONFAZ12_IRMT12,1996-02-01T00:00:00-02:00,7761307.0
1996-03-01,1996,1,3,CONFAZ12_IRMT12,1996-03-01T00:00:00-03:00,14245167.0
1996-04-01,1996,1,4,CONFAZ12_IRMT12,1996-04-01T00:00:00-03:00,8252655.0
1996-05-01,1996,1,5,CONFAZ12_IRMT12,1996-05-01T00:00:00-03:00,11300604.0
