DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IRPA12,1993-01-01T00:00:00-02:00,7515662.0
1993-02-01,1993,1,2,CONFAZ12_IRPA12,1993-02-01T00:00:00-02:00,6814581.0
1993-03-01,1993,1,3,CONFAZ12_IRPA12,1993-03-01T00:00:00-03:00,7474998.0
1993-04-01,1993,1,4,CONFAZ12_IRPA12,1993-04-01T00:00:00-03:00,6421566.0
1993-05-01,1993,1,5,CONFAZ12_IRPA12,1993-05-01T00:00:00-03:00,8930664.0
1993-06-01,1993,1,6,CONFAZ12_IRPA12,1993-06-01T00:00:00-03:00,10600144.0
1993-07-01,1993,1,7,CONFAZ12_IRPA12,1993-07-01T00:00:00-03:00,9552574.0
1993-08-01,1993,1,8,CONFAZ12_IRPA12,1993-08-01T00:00:00-03:00,6527976.0
1993-09-01,1993,1,9,CONFAZ12_IRPA12,1993-09-01T00:00:00-03:00,8287423.0
1993-10-01,1993,1,10,CONFAZ12_IRPA12,1993-10-01T00:00:00-03:00,6828795.0
1993-11-01,1993,1,11,CONFAZ12_IRPA12,1993-11-01T00:00:00-03:00,7051508.0
1993-12-01,1993,1,12,CONFAZ12_IRPA12,1993-12-01T00:00:00-02:00,8082840.0
1994-01-01,1994,1,1,CONFAZ12_IRPA12,1994-01-01T00:00:00-02:00,12010394.0
1994-02-01,1994,1,2,CONFAZ12_IRPA12,1994-02-01T00:00:00-02:00,7370182.0
1994-03-01,1994,1,3,CONFAZ12_IRPA12,1994-03-01T00:00:00-03:00,8071739.0
1994-04-01,1994,1,4,CONFAZ12_IRPA12,1994-04-01T00:00:00-03:00,8876840.0
1994-05-01,1994,1,5,CONFAZ12_IRPA12,1994-05-01T00:00:00-03:00,11474222.0
1994-06-01,1994,1,6,CONFAZ12_IRPA12,1994-06-01T00:00:00-03:00,9628234.0
1994-07-01,1994,1,7,CONFAZ12_IRPA12,1994-07-01T00:00:00-03:00,10404340.0
1994-08-01,1994,1,8,CONFAZ12_IRPA12,1994-08-01T00:00:00-03:00,8665511.0
1994-09-01,1994,1,9,CONFAZ12_IRPA12,1994-09-01T00:00:00-03:00,9036547.0
1994-10-01,1994,1,10,CONFAZ12_IRPA12,1994-10-01T00:00:00-03:00,8531132.0
1994-11-01,1994,1,11,CONFAZ12_IRPA12,1994-11-01T00:00:00-03:00,8898183.0
1994-12-01,1994,1,12,CONFAZ12_IRPA12,1994-12-01T00:00:00-02:00,15828239.0
1995-01-01,1995,1,1,CONFAZ12_IRPA12,1995-01-01T00:00:00-02:00,11461264.0
1995-02-01,1995,1,2,CONFAZ12_IRPA12,1995-02-01T00:00:00-02:00,11952831.0
1995-03-01,1995,1,3,CONFAZ12_IRPA12,1995-03-01T00:00:00-03:00,15001177.0
1995-04-01,1995,1,4,CONFAZ12_IRPA12,1995-04-01T00:00:00-03:00,10999724.0
1995-05-01,1995,1,5,CONFAZ12_IRPA12,1995-05-01T00:00:00-03:00,17732800.0
1995-06-01,1995,1,6,CONFAZ12_IRPA12,1995-06-01T00:00:00-03:00,15505006.0
1995-07-01,1995,1,7,CONFAZ12_IRPA12,1995-07-01T00:00:00-03:00,18978002.0
1995-08-01,1995,1,8,CONFAZ12_IRPA12,1995-08-01T00:00:00-03:00,15975040.0
1995-09-01,1995,1,9,CONFAZ12_IRPA12,1995-09-01T00:00:00-03:00,17640595.0
1995-10-01,1995,1,10,CONFAZ12_IRPA12,1995-10-01T00:00:00-03:00,18950834.0
1995-11-01,1995,1,11,CONFAZ12_IRPA12,1995-11-01T00:00:00-03:00,16125336.0
1995-12-01,1995,1,12,CONFAZ12_IRPA12,1995-12-01T00:00:00-02:00,19993106.0
1996-01-01,1996,1,1,CONFAZ12_IRPA12,1996-01-01T00:00:00-02:00,16578876.0
1996-02-01,1996,1,2,CONFAZ12_IRPA12,1996-02-01T00:00:00-02:00,13504322.0
1996-03-01,1996,1,3,CONFAZ12_IRPA12,1996-03-01T00:00:00-03:00,22220023.0
1996-04-01,1996,1,4,CONFAZ12_IRPA12,1996-04-01T00:00:00-03:00,39817361.0
1996-05-01,1996,1,5,CONFAZ12_IRPA12,1996-05-01T00:00:00-03:00,18540491.0
1996-06-01,1996,1,6,CONFAZ12_IRPA12,1996-06-01T00:00:00-03:00,16439619.0
1996-07-01,1996,1,7,CONFAZ12_IRPA12,1996-07-01T00:00:00-03:00,18529732.0
1996-08-01,1996,1,8,CONFAZ12_IRPA12,1996-08-01T00:00:00-03:00,18292810.0
1996-09-01,1996,1,9,CONFAZ12_IRPA12,1996-09-01T00:00:00-03:00,16279655.0
1996-10-01,1996,1,10,CONFAZ12_IRPA12,1996-10-01T00:00:00-03:00,15603913.0
1996-11-01,1996,1,11,CONFAZ12_IRPA12,1996-11-01T00:00:00-03:00,15386987.0
1996-12-01,1996,1,12,CONFAZ12_IRPA12,1996-12-01T00:00:00-02:00,22610805.0
1997-01-01,1997,1,1,CONFAZ12_IRPA12,1997-01-01T00:00:00-02:00,18737757.0
1997-02-01,1997,1,2,CONFAZ12_IRPA12,1997-02-01T00:00:00-02:00,16477179.0
1997-03-01,1997,1,3,CONFAZ12_IRPA12,1997-03-01T00:00:00-03:00,20727648.0
1997-04-01,1997,1,4,CONFAZ12_IRPA12,1997-04-01T00:00:00-03:00,20266220.0
1997-05-01,1997,1,5,CONFAZ12_IRPA12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IRPA12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IRPA12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IRPA12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IRPA12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_IRPA12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_IRPA12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_IRPA12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_IRPA12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_IRPA12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_IRPA12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_IRPA12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_IRPA12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_IRPA12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_IRPA12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_IRPA12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_IRPA12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_IRPA12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_IRPA12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_IRPA12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_IRPA12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_IRPA12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_IRPA12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_IRPA12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_IRPA12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_IRPA12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_IRPA12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_IRPA12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_IRPA12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_IRPA12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_IRPA12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_IRPA12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_IRPA12,2000-01-01T00:00:00-02:00,25275246.0
2000-02-01,2000,1,2,CONFAZ12_IRPA12,2000-02-01T00:00:00-02:00,48515551.0
2000-03-01,2000,1,3,CONFAZ12_IRPA12,2000-03-01T00:00:00-03:00,25297960.0
2000-04-01,2000,1,4,CONFAZ12_IRPA12,2000-04-01T00:00:00-03:00,28665447.0
2000-05-01,2000,1,5,CONFAZ12_IRPA12,2000-05-01T00:00:00-03:00,24426624.0
2000-06-01,2000,1,6,CONFAZ12_IRPA12,2000-06-01T00:00:00-03:00,23122307.0
2000-07-01,2000,1,7,CONFAZ12_IRPA12,2000-07-01T00:00:00-03:00,21667119.0
2000-08-01,2000,1,8,CONFAZ12_IRPA12,2000-08-01T00:00:00-03:00,17697000.0
2000-09-01,2000,1,9,CONFAZ12_IRPA12,2000-09-01T00:00:00-03:00,20397842.0
2000-10-01,2000,1,10,CONFAZ12_IRPA12,2000-10-01T00:00:00-03:00,20071430.0
2000-11-01,2000,1,11,CONFAZ12_IRPA12,2000-11-01T00:00:00-03:00,19139079.0
2000-12-01,2000,1,12,CONFAZ12_IRPA12,2000-12-01T00:00:00-02:00,23184280.0
2001-01-01,2001,1,1,CONFAZ12_IRPA12,2001-01-01T00:00:00-02:00,28863319.0
2001-02-01,2001,1,2,CONFAZ12_IRPA12,2001-02-01T00:00:00-02:00,17483764.0
2001-03-01,2001,1,3,CONFAZ12_IRPA12,2001-03-01T00:00:00-03:00,23845706.0
2001-04-01,2001,1,4,CONFAZ12_IRPA12,2001-04-01T00:00:00-03:00,36138648.0
2001-05-01,2001,1,5,CONFAZ12_IRPA12,2001-05-01T00:00:00-03:00,28049740.0
2001-06-01,2001,1,6,CONFAZ12_IRPA12,2001-06-01T00:00:00-03:00,23034781.0
2001-07-01,2001,1,7,CONFAZ12_IRPA12,2001-07-01T00:00:00-03:00,36740965.0
2001-08-01,2001,1,8,CONFAZ12_IRPA12,2001-08-01T00:00:00-03:00,23048634.0
2001-09-01,2001,1,9,CONFAZ12_IRPA12,2001-09-01T00:00:00-03:00,23223179.0
2001-10-01,2001,1,10,CONFAZ12_IRPA12,2001-10-01T00:00:00-03:00,29713401.0
2001-11-01,2001,1,11,CONFAZ12_IRPA12,2001-11-01T00:00:00-03:00,24847346.0
2001-12-01,2001,1,12,CONFAZ12_IRPA12,2001-12-01T00:00:00-02:00,29932833.0
2002-01-01,2002,1,1,CONFAZ12_IRPA12,2002-01-01T00:00:00-02:00,44912283.0
2002-02-01,2002,1,2,CONFAZ12_IRPA12,2002-02-01T00:00:00-02:00,55063453.0
2002-03-01,2002,1,3,CONFAZ12_IRPA12,2002-03-01T00:00:00-03:00,28723400.0
2002-04-01,2002,1,4,CONFAZ12_IRPA12,2002-04-01T00:00:00-03:00,41315970.0
2002-05-01,2002,1,5,CONFAZ12_IRPA12,2002-05-01T00:00:00-03:00,31271121.0
2002-06-01,2002,1,6,CONFAZ12_IRPA12,2002-06-01T00:00:00-03:00,26672586.0
2002-07-01,2002,1,7,CONFAZ12_IRPA12,2002-07-01T00:00:00-03:00,46972535.0
2002-08-01,2002,1,8,CONFAZ12_IRPA12,2002-08-01T00:00:00-03:00,23251409.0
2002-09-01,2002,1,9,CONFAZ12_IRPA12,2002-09-01T00:00:00-03:00,24753211.0
2002-10-01,2002,1,10,CONFAZ12_IRPA12,2002-10-01T00:00:00-03:00,39459914.0
2002-11-01,2002,1,11,CONFAZ12_IRPA12,2002-11-01T00:00:00-03:00,26664770.0
2002-12-01,2002,1,12,CONFAZ12_IRPA12,2002-12-01T00:00:00-02:00,32979860.0
2003-01-01,2003,1,1,CONFAZ12_IRPA12,2003-01-01T00:00:00-02:00,42179171.0
2003-02-01,2003,1,2,CONFAZ12_IRPA12,2003-02-01T00:00:00-02:00,80102578.0
2003-03-01,2003,1,3,CONFAZ12_IRPA12,2003-03-01T00:00:00-03:00,26095381.0
2003-04-01,2003,1,4,CONFAZ12_IRPA12,2003-04-01T00:00:00-03:00,50846777.0
2003-05-01,2003,1,5,CONFAZ12_IRPA12,2003-05-01T00:00:00-03:00,345881314.0
2003-06-01,2003,1,6,CONFAZ12_IRPA12,2003-06-01T00:00:00-03:00,28042628.0
2003-07-01,2003,1,7,CONFAZ12_IRPA12,2003-07-01T00:00:00-03:00,40202209.0
2003-08-01,2003,1,8,CONFAZ12_IRPA12,2003-08-01T00:00:00-03:00,29128537.0
2003-09-01,2003,1,9,CONFAZ12_IRPA12,2003-09-01T00:00:00-03:00,27940856.0
2003-10-01,2003,1,10,CONFAZ12_IRPA12,2003-10-01T00:00:00-03:00,39212965.0
2003-11-01,2003,1,11,CONFAZ12_IRPA12,2003-11-01T00:00:00-03:00,32221434.0
2003-12-01,2003,1,12,CONFAZ12_IRPA12,2003-12-01T00:00:00-02:00,36346390.0
2004-01-01,2004,1,1,CONFAZ12_IRPA12,2004-01-01T00:00:00-02:00,49515383.0
2004-02-01,2004,1,2,CONFAZ12_IRPA12,2004-02-01T00:00:00-02:00,47519883.0
2004-03-01,2004,1,3,CONFAZ12_IRPA12,2004-03-01T00:00:00-03:00,43621298.0
2004-04-01,2004,1,4,CONFAZ12_IRPA12,2004-04-01T00:00:00-03:00,48701201.0
2004-05-01,2004,1,5,CONFAZ12_IRPA12,2004-05-01T00:00:00-03:00,36655212.0
2004-06-01,2004,1,6,CONFAZ12_IRPA12,2004-06-01T00:00:00-03:00,37069477.0
2004-07-01,2004,1,7,CONFAZ12_IRPA12,2004-07-01T00:00:00-03:00,49890708.0
2004-08-01,2004,1,8,CONFAZ12_IRPA12,2004-08-01T00:00:00-03:00,38152317.0
2004-09-01,2004,1,9,CONFAZ12_IRPA12,2004-09-01T00:00:00-03:00,41450964.0
2004-10-01,2004,1,10,CONFAZ12_IRPA12,2004-10-01T00:00:00-03:00,43122909.0
2004-11-01,2004,1,11,CONFAZ12_IRPA12,2004-11-01T00:00:00-03:00,39014172.0
2004-12-01,2004,1,12,CONFAZ12_IRPA12,2004-12-01T00:00:00-02:00,42099295.0
2005-01-01,2005,1,1,CONFAZ12_IRPA12,2005-01-01T00:00:00-02:00,52412425.0
2005-02-01,2005,1,2,CONFAZ12_IRPA12,2005-02-01T00:00:00-02:00,31732427.0
2005-03-01,2005,1,3,CONFAZ12_IRPA12,2005-03-01T00:00:00-03:00,41528277.0
2005-04-01,2005,1,4,CONFAZ12_IRPA12,2005-04-01T00:00:00-03:00,61334947.0
2005-05-01,2005,1,5,CONFAZ12_IRPA12,2005-05-01T00:00:00-03:00,44022887.0
2005-06-01,2005,1,6,CONFAZ12_IRPA12,2005-06-01T00:00:00-03:00,48103973.0
2005-07-01,2005,1,7,CONFAZ12_IRPA12,2005-07-01T00:00:00-03:00,61866586.0
2005-08-01,2005,1,8,CONFAZ12_IRPA12,2005-08-01T00:00:00-03:00,48162882.0
2005-09-01,2005,1,9,CONFAZ12_IRPA12,2005-09-01T00:00:00-03:00,41271368.0
2005-10-01,2005,1,10,CONFAZ12_IRPA12,2005-10-01T00:00:00-03:00,51771958.0
2005-11-01,2005,1,11,CONFAZ12_IRPA12,2005-11-01T00:00:00-02:00,46269647.0
2005-12-01,2005,1,12,CONFAZ12_IRPA12,2005-12-01T00:00:00-02:00,48525991.0
2006-01-01,2006,1,1,CONFAZ12_IRPA12,2006-01-01T00:00:00-02:00,54653872.0
2006-02-01,2006,1,2,CONFAZ12_IRPA12,2006-02-01T00:00:00-02:00,58157694.0
2006-03-01,2006,1,3,CONFAZ12_IRPA12,2006-03-01T00:00:00-03:00,37916694.0
2006-04-01,2006,1,4,CONFAZ12_IRPA12,2006-04-01T00:00:00-03:00,60892498.0
2006-05-01,2006,1,5,CONFAZ12_IRPA12,2006-05-01T00:00:00-03:00,45909435.0
2006-06-01,2006,1,6,CONFAZ12_IRPA12,2006-06-01T00:00:00-03:00,44716739.0
2006-07-01,2006,1,7,CONFAZ12_IRPA12,2006-07-01T00:00:00-03:00,74935097.0
2006-08-01,2006,1,8,CONFAZ12_IRPA12,2006-08-01T00:00:00-03:00,46680563.0
2006-09-01,2006,1,9,CONFAZ12_IRPA12,2006-09-01T00:00:00-03:00,54980840.0
2006-10-01,2006,1,10,CONFAZ12_IRPA12,2006-10-01T00:00:00-03:00,62293869.0
2006-11-01,2006,1,11,CONFAZ12_IRPA12,2006-11-01T00:00:00-03:00,44410039.0
2006-12-01,2006,1,12,CONFAZ12_IRPA12,2006-12-01T00:00:00-02:00,66278438.0
2007-01-01,2007,1,1,CONFAZ12_IRPA12,2007-01-01T00:00:00-02:00,58825664.0
2007-02-01,2007,1,2,CONFAZ12_IRPA12,2007-02-01T00:00:00-02:00,43559061.0
2007-03-01,2007,1,3,CONFAZ12_IRPA12,2007-03-01T00:00:00-03:00,44933800.0
2007-04-01,2007,1,4,CONFAZ12_IRPA12,2007-04-01T00:00:00-03:00,71810849.0
2007-05-01,2007,1,5,CONFAZ12_IRPA12,2007-05-01T00:00:00-03:00,54055615.0
2007-06-01,2007,1,6,CONFAZ12_IRPA12,2007-06-01T00:00:00-03:00,55225566.0
2007-07-01,2007,1,7,CONFAZ12_IRPA12,2007-07-01T00:00:00-03:00,64323258.0
2007-08-01,2007,1,8,CONFAZ12_IRPA12,2007-08-01T00:00:00-03:00,54051206.0
2007-09-01,2007,1,9,CONFAZ12_IRPA12,2007-09-01T00:00:00-03:00,50958719.0
2007-10-01,2007,1,10,CONFAZ12_IRPA12,2007-10-01T00:00:00-03:00,69434034.0
2007-11-01,2007,1,11,CONFAZ12_IRPA12,2007-11-01T00:00:00-02:00,56741282.0
2007-12-01,2007,1,12,CONFAZ12_IRPA12,2007-12-01T00:00:00-02:00,62642984.0
2008-01-01,2008,1,1,CONFAZ12_IRPA12,2008-01-01T00:00:00-02:00,77697114.5
2008-02-01,2008,1,2,CONFAZ12_IRPA12,2008-02-01T00:00:00-02:00,51817194.95
2008-03-01,2008,1,3,CONFAZ12_IRPA12,2008-03-01T00:00:00-03:00,61336781.88
2008-04-01,2008,1,4,CONFAZ12_IRPA12,2008-04-01T00:00:00-03:00,87800286.69
2008-05-01,2008,1,5,CONFAZ12_IRPA12,2008-05-01T00:00:00-03:00,64796685.31
2008-06-01,2008,1,6,CONFAZ12_IRPA12,2008-06-01T00:00:00-03:00,72640395.25
2008-07-01,2008,1,7,CONFAZ12_IRPA12,2008-07-01T00:00:00-03:00,84649960.49
2008-08-01,2008,1,8,CONFAZ12_IRPA12,2008-08-01T00:00:00-03:00,64762361.73
2008-09-01,2008,1,9,CONFAZ12_IRPA12,2008-09-01T00:00:00-03:00,64099427.61
2008-10-01,2008,1,10,CONFAZ12_IRPA12,2008-10-01T00:00:00-03:00,87789448.2
2008-11-01,2008,1,11,CONFAZ12_IRPA12,2008-11-01T00:00:00-02:00,81044801.72
2008-12-01,2008,1,12,CONFAZ12_IRPA12,2008-12-01T00:00:00-02:00,79055075.92
2009-01-01,2009,1,1,CONFAZ12_IRPA12,2009-01-01T00:00:00-02:00,121768590.11
2009-02-01,2009,1,2,CONFAZ12_IRPA12,2009-02-01T00:00:00-02:00,54004298.89
2009-03-01,2009,1,3,CONFAZ12_IRPA12,2009-03-01T00:00:00-03:00,71277034.64
2009-04-01,2009,1,4,CONFAZ12_IRPA12,2009-04-01T00:00:00-03:00,96183720.53
2009-05-01,2009,1,5,CONFAZ12_IRPA12,2009-05-01T00:00:00-03:00,71118847.07
2009-06-01,2009,1,6,CONFAZ12_IRPA12,2009-06-01T00:00:00-03:00,74035665.15
2009-07-01,2009,1,7,CONFAZ12_IRPA12,2009-07-01T00:00:00-03:00,86204213.45
2009-08-01,2009,1,8,CONFAZ12_IRPA12,2009-08-01T00:00:00-03:00,66836296.24
2009-09-01,2009,1,9,CONFAZ12_IRPA12,2009-09-01T00:00:00-03:00,62644154.6
2009-10-01,2009,1,10,CONFAZ12_IRPA12,2009-10-01T00:00:00-03:00,90616678.53
2009-11-01,2009,1,11,CONFAZ12_IRPA12,2009-11-01T00:00:00-02:00,84430332.11
2009-12-01,2009,1,12,CONFAZ12_IRPA12,2009-12-01T00:00:00-02:00,68745083.77
2010-01-01,2010,1,1,CONFAZ12_IRPA12,2010-01-01T00:00:00-02:00,108546020.96
2010-02-01,2010,1,2,CONFAZ12_IRPA12,2010-02-01T00:00:00-02:00,56640005.76
2010-03-01,2010,1,3,CONFAZ12_IRPA12,2010-03-01T00:00:00-03:00,67566667.94
2010-04-01,2010,1,4,CONFAZ12_IRPA12,2010-04-01T00:00:00-03:00,106950269.47
2010-05-01,2010,1,5,CONFAZ12_IRPA12,2010-05-01T00:00:00-03:00,75195990.5
2010-06-01,2010,1,6,CONFAZ12_IRPA12,2010-06-01T00:00:00-03:00,70082429.44
2010-07-01,2010,1,7,CONFAZ12_IRPA12,2010-07-01T00:00:00-03:00,103852070.8
2010-08-01,2010,1,8,CONFAZ12_IRPA12,2010-08-01T00:00:00-03:00,73874483.0
2010-09-01,2010,1,9,CONFAZ12_IRPA12,2010-09-01T00:00:00-03:00,71466851.09
2010-10-01,2010,1,10,CONFAZ12_IRPA12,2010-10-01T00:00:00-03:00,99698556.71
2010-11-01,2010,1,11,CONFAZ12_IRPA12,2010-11-01T00:00:00-02:00,83977566.89
2010-12-01,2010,1,12,CONFAZ12_IRPA12,2010-12-01T00:00:00-02:00,82253394.12
2011-01-01,2011,1,1,CONFAZ12_IRPA12,2011-01-01T00:00:00-02:00,122431017.15
2011-02-01,2011,1,2,CONFAZ12_IRPA12,2011-02-01T00:00:00-02:00,72306190.03
2011-03-01,2011,1,3,CONFAZ12_IRPA12,2011-03-01T00:00:00-03:00,94384084.37
2011-04-01,2011,1,4,CONFAZ12_IRPA12,2011-04-01T00:00:00-03:00,130795856.82
2011-05-01,2011,1,5,CONFAZ12_IRPA12,2011-05-01T00:00:00-03:00,91217534.31
2011-06-01,2011,1,6,CONFAZ12_IRPA12,2011-06-01T00:00:00-03:00,91631770.15
2011-07-01,2011,1,7,CONFAZ12_IRPA12,2011-07-01T00:00:00-03:00,115493246.0
2011-08-01,2011,1,8,CONFAZ12_IRPA12,2011-08-01T00:00:00-03:00,93627808.91
2011-09-01,2011,1,9,CONFAZ12_IRPA12,2011-09-01T00:00:00-03:00,89661455.38
2011-10-01,2011,1,10,CONFAZ12_IRPA12,2011-10-01T00:00:00-03:00,118812933.34
2011-11-01,2011,1,11,CONFAZ12_IRPA12,2011-11-01T00:00:00-02:00,108603319.55
2011-12-01,2011,1,12,CONFAZ12_IRPA12,2011-12-01T00:00:00-02:00,89461476.38
2012-01-01,2012,1,1,CONFAZ12_IRPA12,2012-01-01T00:00:00-02:00,173406470.92
2012-02-01,2012,1,2,CONFAZ12_IRPA12,2012-02-01T00:00:00-02:00,96928613.08
2012-03-01,2012,1,3,CONFAZ12_IRPA12,2012-03-01T00:00:00-03:00,96473413.4
2012-04-01,2012,1,4,CONFAZ12_IRPA12,2012-04-01T00:00:00-03:00,177688238.57
2012-05-01,2012,1,5,CONFAZ12_IRPA12,2012-05-01T00:00:00-03:00,110879992.74
2012-06-01,2012,1,6,CONFAZ12_IRPA12,2012-06-01T00:00:00-03:00,114719090.07
2012-07-01,2012,1,7,CONFAZ12_IRPA12,2012-07-01T00:00:00-03:00,142803301.54
2012-08-01,2012,1,8,CONFAZ12_IRPA12,2012-08-01T00:00:00-03:00,105813921.1
2012-09-01,2012,1,9,CONFAZ12_IRPA12,2012-09-01T00:00:00-03:00,114765742.77
2012-10-01,2012,1,10,CONFAZ12_IRPA12,2012-10-01T00:00:00-03:00,148691035.75
2012-11-01,2012,1,11,CONFAZ12_IRPA12,2012-11-01T00:00:00-02:00,128189807.65
2012-12-01,2012,1,12,CONFAZ12_IRPA12,2012-12-01T00:00:00-02:00,112222266.02
2013-01-01,2013,1,1,CONFAZ12_IRPA12,2013-01-01T00:00:00-02:00,233338239.31
2013-02-01,2013,1,2,CONFAZ12_IRPA12,2013-02-01T00:00:00-02:00,104481724.22
2013-03-01,2013,1,3,CONFAZ12_IRPA12,2013-03-01T00:00:00-03:00,108958057.09
