DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IRRR12,1993-01-01T00:00:00-02:00,158683.0
1993-02-01,1993,1,2,CONFAZ12_IRRR12,1993-02-01T00:00:00-02:00,212356.0
1993-03-01,1993,1,3,CONFAZ12_IRRR12,1993-03-01T00:00:00-03:00,201795.0
1993-04-01,1993,1,4,CONFAZ12_IRRR12,1993-04-01T00:00:00-03:00,434911.0
1993-05-01,1993,1,5,CONFAZ12_IRRR12,1993-05-01T00:00:00-03:00,1058523.0
1993-06-01,1993,1,6,CONFAZ12_IRRR12,1993-06-01T00:00:00-03:00,448524.0
1993-07-01,1993,1,7,CONFAZ12_IRRR12,1993-07-01T00:00:00-03:00,321965.0
1993-08-01,1993,1,8,CONFAZ12_IRRR12,1993-08-01T00:00:00-03:00,286832.0
1993-09-01,1993,1,9,CONFAZ12_IRRR12,1993-09-01T00:00:00-03:00,326018.0
1993-10-01,1993,1,10,CONFAZ12_IRRR12,1993-10-01T00:00:00-03:00,318946.0
1993-11-01,1993,1,11,CONFAZ12_IRRR12,1993-11-01T00:00:00-03:00,331818.0
1993-12-01,1993,1,12,CONFAZ12_IRRR12,1993-12-01T00:00:00-02:00,448977.0
1994-01-01,1994,1,1,CONFAZ12_IRRR12,1994-01-01T00:00:00-02:00,339558.0
1994-02-01,1994,1,2,CONFAZ12_IRRR12,1994-02-01T00:00:00-02:00,299428.0
1994-03-01,1994,1,3,CONFAZ12_IRRR12,1994-03-01T00:00:00-03:00,291629.0
1994-04-01,1994,1,4,CONFAZ12_IRRR12,1994-04-01T00:00:00-03:00,576751.0
1994-05-01,1994,1,5,CONFAZ12_IRRR12,1994-05-01T00:00:00-03:00,525850.0
1994-06-01,1994,1,6,CONFAZ12_IRRR12,1994-06-01T00:00:00-03:00,516739.0
1994-07-01,1994,1,7,CONFAZ12_IRRR12,1994-07-01T00:00:00-03:00,394241.0
1994-08-01,1994,1,8,CONFAZ12_IRRR12,1994-08-01T00:00:00-03:00,401473.0
1994-09-01,1994,1,9,CONFAZ12_IRRR12,1994-09-01T00:00:00-03:00,440744.0
1994-10-01,1994,1,10,CONFAZ12_IRRR12,1994-10-01T00:00:00-03:00,402724.0
1994-11-01,1994,1,11,CONFAZ12_IRRR12,1994-11-01T00:00:00-03:00,385008.0
1994-12-01,1994,1,12,CONFAZ12_IRRR12,1994-12-01T00:00:00-02:00,669746.0
1995-01-01,1995,1,1,CONFAZ12_IRRR12,1995-01-01T00:00:00-02:00,443240.0
1995-02-01,1995,1,2,CONFAZ12_IRRR12,1995-02-01T00:00:00-02:00,555682.0
1995-03-01,1995,1,3,CONFAZ12_IRRR12,1995-03-01T00:00:00-03:00,736048.0
1995-04-01,1995,1,4,CONFAZ12_IRRR12,1995-04-01T00:00:00-03:00,548111.0
1995-05-01,1995,1,5,CONFAZ12_IRRR12,1995-05-01T00:00:00-03:00,1008684.0
1995-06-01,1995,1,6,CONFAZ12_IRRR12,1995-06-01T00:00:00-03:00,1075779.0
1995-07-01,1995,1,7,CONFAZ12_IRRR12,1995-07-01T00:00:00-03:00,845889.0
1995-08-01,1995,1,8,CONFAZ12_IRRR12,1995-08-01T00:00:00-03:00,990027.0
1995-09-01,1995,1,9,CONFAZ12_IRRR12,1995-09-01T00:00:00-03:00,916692.0
1995-10-01,1995,1,10,CONFAZ12_IRRR12,1995-10-01T00:00:00-03:00,1074068.0
1995-11-01,1995,1,11,CONFAZ12_IRRR12,1995-11-01T00:00:00-03:00,783268.0
1995-12-01,1995,1,12,CONFAZ12_IRRR12,1995-12-01T00:00:00-02:00,1239683.0
1996-01-01,1996,1,1,CONFAZ12_IRRR12,1996-01-01T00:00:00-02:00,695997.0
1996-02-01,1996,1,2,CONFAZ12_IRRR12,1996-02-01T00:00:00-02:00,626840.0
1996-03-01,1996,1,3,CONFAZ12_IRRR12,1996-03-01T00:00:00-03:00,921844.0
1996-04-01,1996,1,4,CONFAZ12_IRRR12,1996-04-01T00:00:00-03:00,1068572.0
1996-05-01,1996,1,5,CONFAZ12_IRRR12,1996-05-01T00:00:00-03:00,1129584.0
1996-06-01,1996,1,6,CONFAZ12_IRRR12,1996-06-01T00:00:00-03:00,1293137.0
1996-07-01,1996,1,7,CONFAZ12_IRRR12,1996-07-01T00:00:00-03:00,1311837.0
1996-08-01,1996,1,8,CONFAZ12_IRRR12,1996-08-01T00:00:00-03:00,1005458.0
1996-09-01,1996,1,9,CONFAZ12_IRRR12,1996-09-01T00:00:00-03:00,976619.0
1996-10-01,1996,1,10,CONFAZ12_IRRR12,1996-10-01T00:00:00-03:00,798621.0
1996-11-01,1996,1,11,CONFAZ12_IRRR12,1996-11-01T00:00:00-03:00,948207.0
1996-12-01,1996,1,12,CONFAZ12_IRRR12,1996-12-01T00:00:00-02:00,1204616.0
1997-01-01,1997,1,1,CONFAZ12_IRRR12,1997-01-01T00:00:00-02:00,730328.0
1997-02-01,1997,1,2,CONFAZ12_IRRR12,1997-02-01T00:00:00-02:00,796141.0
1997-03-01,1997,1,3,CONFAZ12_IRRR12,1997-03-01T00:00:00-03:00,817069.0
1997-04-01,1997,1,4,CONFAZ12_IRRR12,1997-04-01T00:00:00-03:00,1510015.0
1997-05-01,1997,1,5,CONFAZ12_IRRR12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IRRR12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IRRR12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IRRR12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IRRR12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_IRRR12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_IRRR12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_IRRR12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_IRRR12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_IRRR12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_IRRR12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_IRRR12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_IRRR12,1998-05-01T00:00:00-03:00,
1998-06-01,1998,1,6,CONFAZ12_IRRR12,1998-06-01T00:00:00-03:00,
1998-07-01,1998,1,7,CONFAZ12_IRRR12,1998-07-01T00:00:00-03:00,
1998-08-01,1998,1,8,CONFAZ12_IRRR12,1998-08-01T00:00:00-03:00,
1998-09-01,1998,1,9,CONFAZ12_IRRR12,1998-09-01T00:00:00-03:00,
1998-10-01,1998,1,10,CONFAZ12_IRRR12,1998-10-01T00:00:00-03:00,
1998-11-01,1998,1,11,CONFAZ12_IRRR12,1998-11-01T00:00:00-03:00,
1998-12-01,1998,1,12,CONFAZ12_IRRR12,1998-12-01T00:00:00-02:00,
1999-01-01,1999,1,1,CONFAZ12_IRRR12,1999-01-01T00:00:00-02:00,
1999-02-01,1999,1,2,CONFAZ12_IRRR12,1999-02-01T00:00:00-02:00,
1999-03-01,1999,1,3,CONFAZ12_IRRR12,1999-03-01T00:00:00-03:00,
1999-04-01,1999,1,4,CONFAZ12_IRRR12,1999-04-01T00:00:00-03:00,
1999-05-01,1999,1,5,CONFAZ12_IRRR12,1999-05-01T00:00:00-03:00,
1999-06-01,1999,1,6,CONFAZ12_IRRR12,1999-06-01T00:00:00-03:00,
1999-07-01,1999,1,7,CONFAZ12_IRRR12,1999-07-01T00:00:00-03:00,
1999-08-01,1999,1,8,CONFAZ12_IRRR12,1999-08-01T00:00:00-03:00,
1999-09-01,1999,1,9,CONFAZ12_IRRR12,1999-09-01T00:00:00-03:00,
1999-10-01,1999,1,10,CONFAZ12_IRRR12,1999-10-01T00:00:00-03:00,
1999-11-01,1999,1,11,CONFAZ12_IRRR12,1999-11-01T00:00:00-03:00,
1999-12-01,1999,1,12,CONFAZ12_IRRR12,1999-12-01T00:00:00-02:00,
2000-01-01,2000,1,1,CONFAZ12_IRRR12,2000-01-01T00:00:00-02:00,2042170.0
2000-02-01,2000,1,2,CONFAZ12_IRRR12,2000-02-01T00:00:00-02:00,1332406.0
2000-03-01,2000,1,3,CONFAZ12_IRRR12,2000-03-01T00:00:00-03:00,1575478.0
2000-04-01,2000,1,4,CONFAZ12_IRRR12,2000-04-01T00:00:00-03:00,2075127.0
2000-05-01,2000,1,5,CONFAZ12_IRRR12,2000-05-01T00:00:00-03:00,2197738.0
2000-06-01,2000,1,6,CONFAZ12_IRRR12,2000-06-01T00:00:00-03:00,2144388.0
2000-07-01,2000,1,7,CONFAZ12_IRRR12,2000-07-01T00:00:00-03:00,1444839.0
2000-08-01,2000,1,8,CONFAZ12_IRRR12,2000-08-01T00:00:00-03:00,1853866.0
2000-09-01,2000,1,9,CONFAZ12_IRRR12,2000-09-01T00:00:00-03:00,1693126.0
2000-10-01,2000,1,10,CONFAZ12_IRRR12,2000-10-01T00:00:00-03:00,1609013.0
2000-11-01,2000,1,11,CONFAZ12_IRRR12,2000-11-01T00:00:00-03:00,1348211.0
2000-12-01,2000,1,12,CONFAZ12_IRRR12,2000-12-01T00:00:00-02:00,1661741.0
2001-01-01,2001,1,1,CONFAZ12_IRRR12,2001-01-01T00:00:00-02:00,2106436.0
2001-02-01,2001,1,2,CONFAZ12_IRRR12,2001-02-01T00:00:00-02:00,1609549.0
2001-03-01,2001,1,3,CONFAZ12_IRRR12,2001-03-01T00:00:00-03:00,1549233.0
