DATE,YEAR,DAY,MONTH,CODE,RAW DATE,VALUE (R$)
1993-01-01,1993,1,1,CONFAZ12_IRRS12,1993-01-01T00:00:00-02:00,71056275.0
1993-02-01,1993,1,2,CONFAZ12_IRRS12,1993-02-01T00:00:00-02:00,65825599.0
1993-03-01,1993,1,3,CONFAZ12_IRRS12,1993-03-01T00:00:00-03:00,60250408.0
1993-04-01,1993,1,4,CONFAZ12_IRRS12,1993-04-01T00:00:00-03:00,61027327.0
1993-05-01,1993,1,5,CONFAZ12_IRRS12,1993-05-01T00:00:00-03:00,105897634.0
1993-06-01,1993,1,6,CONFAZ12_IRRS12,1993-06-01T00:00:00-03:00,64350518.0
1993-07-01,1993,1,7,CONFAZ12_IRRS12,1993-07-01T00:00:00-03:00,57221222.0
1993-08-01,1993,1,8,CONFAZ12_IRRS12,1993-08-01T00:00:00-03:00,50173381.0
1993-09-01,1993,1,9,CONFAZ12_IRRS12,1993-09-01T00:00:00-03:00,58808918.0
1993-10-01,1993,1,10,CONFAZ12_IRRS12,1993-10-01T00:00:00-03:00,56330575.0
1993-11-01,1993,1,11,CONFAZ12_IRRS12,1993-11-01T00:00:00-03:00,56372442.0
1993-12-01,1993,1,12,CONFAZ12_IRRS12,1993-12-01T00:00:00-02:00,86341399.0
1994-01-01,1994,1,1,CONFAZ12_IRRS12,1994-01-01T00:00:00-02:00,96222746.0
1994-02-01,1994,1,2,CONFAZ12_IRRS12,1994-02-01T00:00:00-02:00,58620753.0
1994-03-01,1994,1,3,CONFAZ12_IRRS12,1994-03-01T00:00:00-03:00,59734632.0
1994-04-01,1994,1,4,CONFAZ12_IRRS12,1994-04-01T00:00:00-03:00,116637483.0
1994-05-01,1994,1,5,CONFAZ12_IRRS12,1994-05-01T00:00:00-03:00,75507233.0
1994-06-01,1994,1,6,CONFAZ12_IRRS12,1994-06-01T00:00:00-03:00,77537885.0
1994-07-01,1994,1,7,CONFAZ12_IRRS12,1994-07-01T00:00:00-03:00,66277997.0
1994-08-01,1994,1,8,CONFAZ12_IRRS12,1994-08-01T00:00:00-03:00,70822048.0
1994-09-01,1994,1,9,CONFAZ12_IRRS12,1994-09-01T00:00:00-03:00,82123841.0
1994-10-01,1994,1,10,CONFAZ12_IRRS12,1994-10-01T00:00:00-03:00,71226367.0
1994-11-01,1994,1,11,CONFAZ12_IRRS12,1994-11-01T00:00:00-03:00,73997453.0
1994-12-01,1994,1,12,CONFAZ12_IRRS12,1994-12-01T00:00:00-02:00,99118636.0
1995-01-01,1995,1,1,CONFAZ12_IRRS12,1995-01-01T00:00:00-02:00,134966860.0
1995-02-01,1995,1,2,CONFAZ12_IRRS12,1995-02-01T00:00:00-02:00,95219817.0
1995-03-01,1995,1,3,CONFAZ12_IRRS12,1995-03-01T00:00:00-03:00,114067811.0
1995-04-01,1995,1,4,CONFAZ12_IRRS12,1995-04-01T00:00:00-03:00,97833103.0
1995-05-01,1995,1,5,CONFAZ12_IRRS12,1995-05-01T00:00:00-03:00,188356790.0
1995-06-01,1995,1,6,CONFAZ12_IRRS12,1995-06-01T00:00:00-03:00,128760682.0
1995-07-01,1995,1,7,CONFAZ12_IRRS12,1995-07-01T00:00:00-03:00,126604630.0
1995-08-01,1995,1,8,CONFAZ12_IRRS12,1995-08-01T00:00:00-03:00,117778347.0
1995-09-01,1995,1,9,CONFAZ12_IRRS12,1995-09-01T00:00:00-03:00,116780058.0
1995-10-01,1995,1,10,CONFAZ12_IRRS12,1995-10-01T00:00:00-03:00,119044963.0
1995-11-01,1995,1,11,CONFAZ12_IRRS12,1995-11-01T00:00:00-03:00,130536487.0
1995-12-01,1995,1,12,CONFAZ12_IRRS12,1995-12-01T00:00:00-02:00,145801415.0
1996-01-01,1996,1,1,CONFAZ12_IRRS12,1996-01-01T00:00:00-02:00,124346611.0
1996-02-01,1996,1,2,CONFAZ12_IRRS12,1996-02-01T00:00:00-02:00,95604927.0
1996-03-01,1996,1,3,CONFAZ12_IRRS12,1996-03-01T00:00:00-03:00,276271593.0
1996-04-01,1996,1,4,CONFAZ12_IRRS12,1996-04-01T00:00:00-03:00,128498554.0
1996-05-01,1996,1,5,CONFAZ12_IRRS12,1996-05-01T00:00:00-03:00,122986785.0
1996-06-01,1996,1,6,CONFAZ12_IRRS12,1996-06-01T00:00:00-03:00,115039700.0
1996-07-01,1996,1,7,CONFAZ12_IRRS12,1996-07-01T00:00:00-03:00,124857051.0
1996-08-01,1996,1,8,CONFAZ12_IRRS12,1996-08-01T00:00:00-03:00,117312804.0
1996-09-01,1996,1,9,CONFAZ12_IRRS12,1996-09-01T00:00:00-03:00,116449993.0
1996-10-01,1996,1,10,CONFAZ12_IRRS12,1996-10-01T00:00:00-03:00,117982596.0
1996-11-01,1996,1,11,CONFAZ12_IRRS12,1996-11-01T00:00:00-03:00,117325523.0
1996-12-01,1996,1,12,CONFAZ12_IRRS12,1996-12-01T00:00:00-02:00,160536258.0
1997-01-01,1997,1,1,CONFAZ12_IRRS12,1997-01-01T00:00:00-02:00,141869105.0
1997-02-01,1997,1,2,CONFAZ12_IRRS12,1997-02-01T00:00:00-02:00,98448473.0
1997-03-01,1997,1,3,CONFAZ12_IRRS12,1997-03-01T00:00:00-03:00,141119063.0
1997-04-01,1997,1,4,CONFAZ12_IRRS12,1997-04-01T00:00:00-03:00,166109838.0
1997-05-01,1997,1,5,CONFAZ12_IRRS12,1997-05-01T00:00:00-03:00,
1997-06-01,1997,1,6,CONFAZ12_IRRS12,1997-06-01T00:00:00-03:00,
1997-07-01,1997,1,7,CONFAZ12_IRRS12,1997-07-01T00:00:00-03:00,
1997-08-01,1997,1,8,CONFAZ12_IRRS12,1997-08-01T00:00:00-03:00,
1997-09-01,1997,1,9,CONFAZ12_IRRS12,1997-09-01T00:00:00-03:00,
1997-10-01,1997,1,10,CONFAZ12_IRRS12,1997-10-01T00:00:00-03:00,
1997-11-01,1997,1,11,CONFAZ12_IRRS12,1997-11-01T00:00:00-03:00,
1997-12-01,1997,1,12,CONFAZ12_IRRS12,1997-12-01T00:00:00-02:00,
1998-01-01,1998,1,1,CONFAZ12_IRRS12,1998-01-01T00:00:00-02:00,
1998-02-01,1998,1,2,CONFAZ12_IRRS12,1998-02-01T00:00:00-02:00,
1998-03-01,1998,1,3,CONFAZ12_IRRS12,1998-03-01T00:00:00-03:00,
1998-04-01,1998,1,4,CONFAZ12_IRRS12,1998-04-01T00:00:00-03:00,
1998-05-01,1998,1,5,CONFAZ12_IRRS12,1998-05-01T00:00:00-03:00,
